ValueDate,Amps,HH Val,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,144.644,0.324,2.842,0.319,-2.904,11.364
2026-02-24T00:10:00+00:00,147.152,0.324,2.891,0.323,-2.991,11.35
2026-02-24T00:15:00+00:00,151.304,0.323,2.982,0.319,-3.102,11.35
2026-02-24T00:20:00+00:00,151.838,0.322,2.995,0.328,-3.096,11.363
2026-02-24T00:25:00+00:00,153.684,0.322,3.03,0.3,-3.131,11.385
2026-02-24T00:30:00+00:00,155.22,0.321,3.066,0.3,-3.154,11.377
2026-02-24T00:35:00+00:00,164.34,0.318,3.216,0.188,-3.348,11.308
2026-02-24T00:40:00+00:00,176.948,0.313,3.486,0.243,-3.607,11.381
2026-02-24T00:45:00+00:00,181.899,0.308,3.577,0.3,-3.744,11.35
2026-02-24T00:50:00+00:00,182.053,0.303,3.577,0.3,-3.746,11.353
2026-02-24T00:55:00+00:00,183.74,0.298,3.619,0.3,-3.77,11.378
2026-02-24T01:00:00+00:00,182.386,0.292,3.595,0.3,-3.752,11.378
2026-02-24T01:05:00+00:00,184.199,0.291,3.632,0.3,-3.764,11.378
2026-02-24T01:10:00+00:00,182.013,0.293,3.596,0.3,-3.745,11.376
2026-02-24T01:15:00+00:00,181.052,0.294,3.574,0.3,-3.717,11.4
2026-02-24T01:20:00+00:00,180.482,0.296,3.562,0.3,-3.714,11.4
2026-02-24T01:25:00+00:00,178.959,0.298,3.523,0.3,-3.686,11.401
2026-02-24T01:30:00+00:00,177.327,0.3,3.501,0.322,-3.649,11.432
2026-02-24T01:35:00+00:00,175.864,0.302,3.466,0.308,-3.62,11.402
2026-02-24T01:40:00+00:00,174.547,0.304,3.442,0.3,-3.593,11.4
2026-02-24T01:45:00+00:00,175.445,0.306,3.462,0.3,-3.612,11.402
2026-02-24T01:50:00+00:00,172.98,0.308,3.412,0.31,-3.568,11.43
2026-02-24T01:55:00+00:00,174.787,0.311,3.46,0.311,-3.586,11.434
2026-02-24T02:00:00+00:00,173.574,0.313,3.432,0.3,-3.557,11.404
2026-02-24T02:05:00+00:00,175.288,0.314,3.455,0.3,-3.593,11.4
