ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,176.05,3.457,1.096,-3.215,11.344
2026-02-24T00:10:00+00:00,177.783,3.469,1.114,-3.241,11.324
2026-02-24T00:15:00+00:00,175.51,3.447,1.098,-3.178,11.328
2026-02-24T00:20:00+00:00,175.655,3.454,1.08,-3.202,11.34
2026-02-24T00:25:00+00:00,174.496,3.43,1.122,-3.162,11.374
2026-02-24T00:30:00+00:00,173.206,3.418,1.138,-3.146,11.38
2026-02-24T00:35:00+00:00,180.293,3.526,1.15,-3.278,11.306
2026-02-24T00:40:00+00:00,185.642,3.633,1.102,-3.376,11.296
2026-02-24T00:45:00+00:00,186.505,3.638,1.087,-3.384,11.242
2026-02-24T00:50:00+00:00,186.382,3.624,1.086,-3.389,11.25
2026-02-24T00:55:00+00:00,189.674,3.668,1.054,-3.481,11.244
2026-02-24T01:00:00+00:00,189.168,3.672,1.062,-3.466,11.274
2026-02-24T01:05:00+00:00,186.403,3.636,1.062,-3.406,11.276
2026-02-24T01:10:00+00:00,184.819,3.608,1.05,-3.377,11.294
2026-02-24T01:15:00+00:00,182.124,3.55,1.058,-3.327,11.3
2026-02-24T01:20:00+00:00,181.138,3.55,1.094,-3.304,11.3
2026-02-24T01:25:00+00:00,180.722,3.55,1.088,-3.288,11.3
2026-02-24T01:30:00+00:00,178.588,3.475,1.106,-3.248,11.3
2026-02-24T01:35:00+00:00,180.532,3.53,1.05,-3.294,11.3
2026-02-24T01:40:00+00:00,180.861,3.542,1.076,-3.295,11.3
2026-02-24T01:45:00+00:00,179.692,3.53,1.05,-3.272,11.3
2026-02-24T01:50:00+00:00,177.862,3.459,1.05,-3.243,11.301
2026-02-24T01:55:00+00:00,176.824,3.45,1.05,-3.24,11.327
2026-02-24T02:00:00+00:00,174.844,3.438,1.05,-3.171,11.324
2026-02-24T02:05:00+00:00,173.986,3.407,1.05,-3.158,11.3
2026-02-24T02:10:00+00:00,175.225,3.445,1.05,-3.197,11.3
2026-02-24T02:15:00+00:00,173.436,3.39,1.05,-3.154,11.317
2026-02-24T02:20:00+00:00,171.762,3.367,1.05,-3.124,11.342
2026-02-24T02:25:00+00:00,170.302,3.356,1.038,-3.112,11.384
2026-02-24T02:30:00+00:00,170.594,3.356,1.05,-3.112,11.374
2026-02-24T02:35:00+00:00,170.964,3.352,1.05,-3.113,11.332
2026-02-24T02:40:00+00:00,170.524,3.351,1.05,-3.11,11.328
2026-02-24T02:45:00+00:00,169.164,3.338,1.058,-3.066,11.369
2026-02-24T02:50:00+00:00,167.596,3.33,1.05,-3.053,11.398
2026-02-24T02:55:00+00:00,165.234,3.26,1.05,-3.016,11.4
2026-02-24T03:00:00+00:00,165.094,3.252,1.05,-2.997,11.4
2026-02-24T03:05:00+00:00,165.2,3.251,1.05,-3.004,11.383
2026-02-24T03:10:00+00:00,165.048,3.25,1.05,-2.997,11.389
2026-02-24T03:15:00+00:00,164.182,3.249,1.05,-2.98,11.4
2026-02-24T03:20:00+00:00,163.394,3.24,1.091,-2.956,11.4
2026-02-24T03:25:00+00:00,160.946,3.188,1.062,-2.942,11.415
2026-02-24T03:30:00+00:00,160.805,3.186,1.068,-2.926,11.426
2026-02-24T03:35:00+00:00,159.619,3.166,1.06,-2.906,11.407
2026-02-24T03:40:00+00:00,157.354,3.12,1.05,-2.862,11.407
2026-02-24T03:45:00+00:00,156.39,3.097,1.046,-2.846,11.421
2026-02-24T03:50:00+00:00,157.526,3.126,1.05,-2.85,11.41
2026-02-24T03:55:00+00:00,157.076,3.117,1.05,-2.85,11.433
2026-02-24T04:00:00+00:00,155.08,3.058,1.05,-2.802,11.424
2026-02-24T04:05:00+00:00,156.743,3.106,1.05,-2.842,11.401
2026-02-24T04:10:00+00:00,157.762,3.131,1.05,-2.847,11.4
2026-02-24T04:15:00+00:00,159.224,3.15,1.05,-2.876,11.4
2026-02-24T04:20:00+00:00,158.454,3.141,1.072,-2.854,11.4
2026-02-24T04:25:00+00:00,156.326,3.095,1.076,-2.819,11.4
2026-02-24T04:30:00+00:00,155.394,3.073,1.062,-2.792,11.4
2026-02-24T04:35:00+00:00,154.564,3.048,1.05,-2.788,11.4
2026-02-24T04:40:00+00:00,154.794,3.058,1.074,-2.782,11.4
2026-02-24T04:45:00+00:00,151.618,2.998,1.108,-2.708,11.401
2026-02-24T04:50:00+00:00,155.548,3.076,1.055,-2.81,11.418
2026-02-24T04:55:00+00:00,154.706,3.053,1.058,-2.79,11.433
2026-02-24T05:00:00+00:00,156.126,3.092,1.098,-2.806,11.414
2026-02-24T05:05:00+00:00,154.527,3.051,1.085,-2.763,11.4
2026-02-24T05:10:00+00:00,155.589,3.077,1.074,-2.782,11.4
2026-02-24T05:15:00+00:00,154.837,3.064,1.076,-2.784,11.417
2026-02-24T05:20:00+00:00,152.762,3.008,1.074,-2.744,11.4
2026-02-24T05:25:00+00:00,155.626,3.072,1.047,-2.802,11.4
2026-02-24T05:30:00+00:00,155.82,3.083,1.081,-2.802,11.4
2026-02-24T05:35:00+00:00,157.372,3.118,1.082,-2.828,11.4
2026-02-24T05:40:00+00:00,159.752,3.156,1.066,-2.877,11.4
2026-02-24T05:45:00+00:00,164.139,3.242,1.062,-2.973,11.4
2026-02-24T05:50:00+00:00,164.597,3.25,1.05,-2.978,11.4
2026-02-24T05:55:00+00:00,166.092,3.277,1.05,-3.029,11.4
2026-02-24T06:00:00+00:00,168.6,3.34,1.05,-3.068,11.375
2026-02-24T06:05:00+00:00,176.248,3.448,1.033,-3.216,11.307
2026-02-24T06:10:00+00:00,183.6,3.572,1.034,-3.351,11.257
2026-02-24T06:15:00+00:00,180.585,3.528,1.027,-3.303,11.296
2026-02-24T06:20:00+00:00,184.036,3.598,1.011,-3.378,11.3
2026-02-24T06:25:00+00:00,188.055,3.674,1.026,-3.468,11.3
2026-02-24T06:30:00+00:00,192.685,3.763,0.974,-3.584,11.3
2026-02-24T06:35:00+00:00,195.112,3.822,0.997,-3.622,11.286
2026-02-24T06:40:00+00:00,201.002,3.916,1.014,-3.715,11.22
2026-02-24T06:45:00+00:00,203.082,3.95,0.968,-3.768,11.2
