ValueDate,5 Min Ave,Amps,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,43.03,44.644,-0.208,-0.86,11.201
2026-02-24T00:10:00+00:00,45.768,47.33,-0.2,-0.912,11.2
2026-02-24T00:15:00+00:00,46.721,46.363,-0.2,-0.9,11.2
2026-02-24T00:20:00+00:00,46.613,46.775,-0.2,-0.901,11.2
2026-02-24T00:25:00+00:00,48.448,50.336,-0.207,-0.958,11.2
2026-02-24T00:30:00+00:00,50.971,51.742,-0.206,-0.979,11.2
2026-02-24T00:35:00+00:00,53.576,55.319,-0.194,-1.055,11.183
2026-02-24T00:40:00+00:00,56.173,57.377,-0.2,-1.077,11.31
2026-02-24T00:45:00+00:00,58.481,60.299,-0.212,-1.143,11.398
2026-02-24T00:50:00+00:00,58.784,57.44,-0.195,-1.12,11.4
2026-02-24T00:55:00+00:00,57.37,57.449,-0.173,-1.107,11.4
2026-02-24T01:00:00+00:00,57.725,58.254,-0.169,-1.131,11.365
2026-02-24T01:05:00+00:00,58.136,58.029,-0.169,-1.129,11.3
2026-02-24T01:10:00+00:00,58.164,58.001,-0.2,-1.158,11.3
2026-02-24T01:15:00+00:00,58.301,58.206,-0.2,-1.133,11.3
2026-02-24T01:20:00+00:00,57.607,57.138,-0.2,-1.109,11.3
2026-02-24T01:25:00+00:00,56.21,55.485,-0.191,-1.105,11.3
2026-02-24T01:30:00+00:00,56.551,57.94,-0.196,-1.156,11.3
2026-02-24T01:35:00+00:00,56.844,56.139,-0.199,-1.135,11.3
2026-02-24T01:40:00+00:00,54.811,53.425,-0.2,-1.066,11.3
2026-02-24T01:45:00+00:00,53.355,53.071,-0.191,-1.074,11.3
2026-02-24T01:50:00+00:00,50.884,48.684,-0.179,-0.985,11.3
2026-02-24T01:55:00+00:00,49.768,50.815,-0.2,-1.004,11.3
2026-02-24T02:00:00+00:00,50.719,50.567,-0.2,-1.007,11.3
2026-02-24T02:05:00+00:00,52.064,53.988,-0.196,-1.071,11.3
2026-02-24T02:10:00+00:00,53.699,54.053,-0.177,-1.069,11.3
2026-02-24T02:15:00+00:00,52.729,51.571,-0.13,-1.036,11.3
2026-02-24T02:20:00+00:00,51.568,51.458,-0.162,-1.026,11.3
2026-02-24T02:25:00+00:00,49.396,47.082,-0.145,-0.952,11.372
2026-02-24T02:30:00+00:00,47.926,48.308,-0.166,-0.99,11.342
2026-02-24T02:35:00+00:00,48.534,48.338,-0.165,-0.996,11.318
2026-02-24T02:40:00+00:00,48.17,47.862,-0.139,-0.973,11.303
2026-02-24T02:45:00+00:00,47.949,48.595,-0.135,-0.984,11.37
2026-02-24T02:50:00+00:00,48.0,48.073,-0.17,-0.988,11.4
2026-02-24T02:55:00+00:00,48.213,48.428,-0.159,-0.987,11.4
2026-02-24T03:00:00+00:00,48.713,48.946,-0.151,-0.991,11.4
2026-02-24T03:05:00+00:00,49.54,50.236,-0.174,-1.001,11.324
2026-02-24T03:10:00+00:00,47.982,45.952,-0.16,-0.932,11.35
2026-02-24T03:15:00+00:00,45.75,45.45,-0.15,-0.95,11.378
2026-02-24T03:20:00+00:00,45.323,44.847,-0.162,-0.899,11.4
2026-02-24T03:25:00+00:00,44.408,44.233,-0.128,-0.906,11.4
2026-02-24T03:30:00+00:00,43.555,43.37,-0.138,-0.889,11.4
2026-02-24T03:35:00+00:00,43.958,44.514,-0.108,-0.91,11.367
2026-02-24T03:40:00+00:00,42.23,39.772,-0.152,-0.794,11.343
2026-02-24T03:45:00+00:00,39.552,39.901,-0.138,-0.793,11.392
2026-02-24T03:50:00+00:00,39.466,39.753,-0.111,-0.789,11.4
2026-02-24T03:55:00+00:00,39.861,40.6,-0.127,-0.793,11.4
2026-02-24T04:00:00+00:00,42.618,45.162,-0.123,-0.883,11.378
2026-02-24T04:05:00+00:00,46.055,47.236,-0.148,-0.901,11.3
2026-02-24T04:10:00+00:00,46.606,46.269,-0.143,-0.892,11.3
2026-02-24T04:15:00+00:00,46.873,47.525,-0.208,-0.898,11.287
2026-02-24T04:20:00+00:00,47.189,46.905,-0.194,-0.895,11.3
2026-02-24T04:25:00+00:00,46.618,46.552,-0.163,-0.898,11.3
2026-02-24T04:30:00+00:00,46.089,45.81,-0.163,-0.89,11.3
2026-02-24T04:35:00+00:00,45.304,44.967,-0.144,-0.865,11.3
2026-02-24T04:40:00+00:00,43.288,41.648,-0.107,-0.803,11.3
2026-02-24T04:45:00+00:00,42.75,44.027,-0.144,-0.835,11.3
2026-02-24T04:50:00+00:00,45.508,47.301,-0.171,-0.899,11.319
2026-02-24T04:55:00+00:00,47.528,47.596,-0.124,-0.925,11.336
2026-02-24T05:00:00+00:00,47.637,47.753,-0.131,-0.916,11.328
2026-02-24T05:05:00+00:00,49.079,50.795,-0.151,-0.962,11.242
2026-02-24T05:10:00+00:00,50.932,51.007,-0.193,-0.927,11.203
2026-02-24T05:15:00+00:00,50.639,49.977,-0.169,-0.936,11.288
2026-02-24T05:20:00+00:00,50.267,50.624,-0.199,-0.959,11.3
2026-02-24T05:25:00+00:00,53.236,56.409,-0.219,-1.073,11.293
2026-02-24T05:30:00+00:00,57.025,57.681,-0.197,-1.102,11.3
2026-02-24T05:35:00+00:00,57.273,57.339,-0.224,-1.105,11.3
2026-02-24T05:40:00+00:00,57.391,57.785,-0.226,-1.105,11.3
2026-02-24T05:45:00+00:00,58.658,59.495,-0.224,-1.135,11.3
2026-02-24T05:50:00+00:00,59.974,60.809,-0.22,-1.153,11.3
2026-02-24T05:55:00+00:00,62.398,63.922,-0.248,-1.202,11.28
2026-02-24T06:00:00+00:00,63.837,63.628,-0.222,-1.207,11.225
2026-02-24T06:05:00+00:00,65.425,67.305,-0.249,-1.273,11.164
2026-02-24T06:10:00+00:00,66.824,66.493,-0.308,-1.27,11.249
2026-02-24T06:15:00+00:00,67.139,67.948,-0.269,-1.306,11.326
2026-02-24T06:20:00+00:00,68.987,70.347,-0.294,-1.36,11.301
2026-02-24T06:25:00+00:00,70.131,70.314,-0.276,-1.358,11.375
2026-02-24T06:30:00+00:00,69.938,70.001,-0.246,-1.385,11.385
2026-02-24T06:35:00+00:00,70.915,72.363,-0.249,-1.408,11.3
2026-02-24T06:40:00+00:00,71.43,70.645,-0.265,-1.382,11.3
2026-02-24T06:45:00+00:00,71.57,72.682,-0.319,-1.401,11.311
2026-02-24T06:50:00+00:00,71.204,69.561,-0.255,-1.392,11.3
2026-02-24T06:55:00+00:00,70.406,71.201,-0.286,-1.417,11.3
2026-02-24T07:00:00+00:00,73.139,75.445,-0.3,-1.467,11.3
2026-02-24T07:05:00+00:00,75.66,76.156,-0.302,-1.475,11.28
2026-02-24T07:10:00+00:00,77.483,78.667,-0.342,-1.536,11.216
2026-02-24T07:15:00+00:00,79.788,80.601,-0.318,-1.587,11.296
2026-02-24T07:20:00+00:00,80.979,81.444,-0.307,-1.606,11.3
2026-02-24T07:25:00+00:00,83.142,84.799,-0.326,-1.658,11.3
2026-02-24T07:30:00+00:00,82.832,80.611,-0.319,-1.589,11.3
2026-02-24T07:35:00+00:00,82.338,83.919,-0.4,-1.627,11.3
2026-02-24T07:40:00+00:00,84.2,84.269,-0.4,-1.62,11.364
2026-02-24T07:45:00+00:00,81.638,79.311,-0.358,-1.543,11.4
2026-02-24T07:50:00+00:00,78.935,79.088,-0.366,-1.526,11.4
2026-02-24T07:55:00+00:00,78.949,79.062,-0.379,-1.552,11.392
2026-02-24T08:00:00+00:00,77.93,77.107,-0.338,-1.508,11.4
2026-02-24T08:05:00+00:00,76.767,76.709,-0.376,-1.506,11.401
2026-02-24T08:10:00+00:00,75.091,73.277,-0.376,-1.453,11.369
2026-02-24T08:15:00+00:00,72.215,71.155,-0.347,-1.39,11.369
2026-02-24T08:20:00+00:00,70.293,69.637,-0.387,-1.358,11.381
2026-02-24T08:25:00+00:00,69.058,68.565,-0.365,-1.368,11.4
2026-02-24T08:30:00+00:00,68.714,68.689,-0.407,-1.37,11.4
2026-02-24T08:35:00+00:00,66.279,63.576,-0.364,-1.297,11.4
2026-02-24T08:40:00+00:00,63.979,64.331,-0.402,-1.268,11.4
2026-02-24T08:45:00+00:00,63.906,63.446,-0.348,-1.214,11.4
2026-02-24T08:50:00+00:00,64.307,65.061,-0.367,-1.251,11.4
2026-02-24T08:55:00+00:00,65.728,66.203,-0.395,-1.266,11.4
2026-02-24T09:00:00+00:00,63.958,61.715,-0.375,-1.186,11.369
2026-02-24T09:05:00+00:00,62.737,63.947,-0.396,-1.216,11.238
2026-02-24T09:10:00+00:00,65.183,66.605,-0.395,-1.257,11.235
2026-02-24T09:15:00+00:00,65.087,63.53,-0.4,-1.204,11.291
2026-02-24T09:20:00+00:00,63.798,63.994,-0.396,-1.205,11.3
2026-02-24T09:25:00+00:00,62.58,60.934,-0.39,-1.13,11.3
2026-02-24T09:30:00+00:00,59.139,57.112,-0.353,-1.051,11.3
