ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,125.377,2.43,0.25,-2.488,7.129
2026-02-24T00:10:00+00:00,128.081,2.48,0.25,-2.518,7.133
2026-02-24T00:15:00+00:00,129.626,2.512,0.248,-2.542,7.142
2026-02-24T00:20:00+00:00,131.038,2.536,0.254,-2.554,7.151
2026-02-24T00:25:00+00:00,130.309,2.523,0.25,-2.558,7.16
2026-02-24T00:30:00+00:00,129.203,2.512,0.268,-2.54,7.194
2026-02-24T00:35:00+00:00,137.287,2.666,0.25,-2.686,7.179
2026-02-24T00:40:00+00:00,133.987,2.586,0.253,-2.606,7.167
2026-02-24T00:45:00+00:00,137.284,2.655,0.221,-2.674,7.196
2026-02-24T00:50:00+00:00,136.862,2.675,0.218,-2.672,7.248
2026-02-24T00:55:00+00:00,136.295,2.668,0.22,-2.67,7.264
2026-02-24T01:00:00+00:00,138.407,2.706,0.204,-2.712,7.274
2026-02-24T01:05:00+00:00,136.107,2.657,0.226,-2.664,7.278
2026-02-24T01:10:00+00:00,136.037,2.652,0.233,-2.664,7.292
2026-02-24T01:15:00+00:00,133.256,2.61,0.25,-2.627,7.3
2026-02-24T01:20:00+00:00,134.67,2.639,0.226,-2.653,7.31
2026-02-24T01:25:00+00:00,131.922,2.58,0.25,-2.61,7.318
2026-02-24T01:30:00+00:00,130.919,2.562,0.25,-2.588,7.328
2026-02-24T01:35:00+00:00,131.879,2.58,0.249,-2.586,7.337
2026-02-24T01:40:00+00:00,132.444,2.596,0.245,-2.596,7.346
2026-02-24T01:45:00+00:00,132.746,2.6,0.242,-2.608,7.355
2026-02-24T01:50:00+00:00,130.462,2.552,0.257,-2.564,7.364
2026-02-24T01:55:00+00:00,128.877,2.512,0.251,-2.533,7.379
2026-02-24T02:00:00+00:00,129.709,2.534,0.24,-2.534,7.388
2026-02-24T02:05:00+00:00,128.063,2.506,0.232,-2.505,7.391
2026-02-24T02:10:00+00:00,129.252,2.522,0.239,-2.52,7.4
2026-02-24T02:15:00+00:00,128.878,2.51,0.248,-2.512,7.409
2026-02-24T02:20:00+00:00,130.54,2.55,0.223,-2.542,7.418
2026-02-24T02:25:00+00:00,127.632,2.511,0.248,-2.498,7.462
2026-02-24T02:30:00+00:00,124.483,2.459,0.25,-2.458,7.486
2026-02-24T02:35:00+00:00,124.006,2.44,0.246,-2.446,7.462
2026-02-24T02:40:00+00:00,124.895,2.452,0.25,-2.446,7.457
2026-02-24T02:45:00+00:00,124.11,2.449,0.25,-2.443,7.502
2026-02-24T02:50:00+00:00,123.274,2.442,0.25,-2.416,7.522
2026-02-24T02:55:00+00:00,120.436,2.382,0.273,-2.358,7.523
2026-02-24T03:00:00+00:00,121.159,2.38,0.25,-2.343,7.491
2026-02-24T03:05:00+00:00,123.04,2.394,0.232,-2.38,7.462
2026-02-24T03:10:00+00:00,121.989,2.37,0.243,-2.372,7.478
2026-02-24T03:15:00+00:00,120.018,2.348,0.25,-2.334,7.516
2026-02-24T03:20:00+00:00,119.385,2.332,0.25,-2.317,7.526
2026-02-24T03:25:00+00:00,116.62,2.278,0.25,-2.275,7.536
2026-02-24T03:30:00+00:00,115.458,2.253,0.25,-2.254,7.545
2026-02-24T03:35:00+00:00,115.965,2.262,0.249,-2.26,7.554
2026-02-24T03:40:00+00:00,115.868,2.261,0.24,-2.25,7.563
2026-02-24T03:45:00+00:00,112.238,2.195,0.261,-2.188,7.572
2026-02-24T03:50:00+00:00,111.045,2.172,0.27,-2.161,7.581
2026-02-24T03:55:00+00:00,110.396,2.156,0.276,-2.16,7.59
2026-02-24T04:00:00+00:00,110.945,2.168,0.26,-2.178,7.599
2026-02-24T04:05:00+00:00,113.328,2.202,0.246,-2.202,7.574
2026-02-24T04:10:00+00:00,114.578,2.226,0.25,-2.229,7.567
2026-02-24T04:15:00+00:00,113.37,2.201,0.238,-2.208,7.576
2026-02-24T04:20:00+00:00,113.77,2.217,0.25,-2.207,7.616
2026-02-24T04:25:00+00:00,111.39,2.174,0.254,-2.156,7.636
2026-02-24T04:30:00+00:00,107.63,2.106,0.288,-2.092,7.654
2026-02-24T04:35:00+00:00,107.554,2.104,0.261,-2.106,7.658
2026-02-24T04:40:00+00:00,110.475,2.154,0.25,-2.156,7.652
2026-02-24T04:45:00+00:00,108.632,2.122,0.242,-2.124,7.674
2026-02-24T04:50:00+00:00,111.895,2.186,0.255,-2.19,7.69
2026-02-24T04:55:00+00:00,111.814,2.186,0.254,-2.196,7.699
2026-02-24T05:00:00+00:00,111.12,2.164,0.236,-2.18,7.688
2026-02-24T05:05:00+00:00,111.558,2.158,0.238,-2.167,7.655
2026-02-24T05:10:00+00:00,111.428,2.155,0.25,-2.164,7.65
2026-02-24T05:15:00+00:00,110.726,2.148,0.25,-2.151,7.684
2026-02-24T05:20:00+00:00,113.118,2.191,0.25,-2.196,7.694
2026-02-24T05:25:00+00:00,122.28,2.369,0.252,-2.38,7.703
2026-02-24T05:30:00+00:00,121.43,2.354,0.264,-2.364,7.712
2026-02-24T05:35:00+00:00,120.199,2.329,0.268,-2.352,7.721
2026-02-24T05:40:00+00:00,123.594,2.392,0.226,-2.412,7.73
2026-02-24T05:45:00+00:00,126.197,2.442,0.229,-2.457,7.739
2026-02-24T05:50:00+00:00,123.958,2.398,0.268,-2.42,7.748
2026-02-24T05:55:00+00:00,127.782,2.474,0.246,-2.484,7.748
2026-02-24T06:00:00+00:00,130.242,2.505,0.25,-2.546,7.716
2026-02-24T06:05:00+00:00,129.649,2.499,0.226,-2.536,7.748
2026-02-24T06:10:00+00:00,129.065,2.488,0.2,-2.497,7.768
2026-02-24T06:15:00+00:00,131.64,2.54,0.181,-2.568,7.782
2026-02-24T06:20:00+00:00,136.857,2.674,0.136,-2.677,7.834
2026-02-24T06:25:00+00:00,139.168,2.738,0.15,-2.745,7.91
2026-02-24T06:30:00+00:00,139.422,2.746,0.15,-2.754,7.916
2026-02-24T06:35:00+00:00,144.17,2.82,0.134,-2.832,7.88
2026-02-24T06:40:00+00:00,148.271,2.909,0.084,-2.89,7.889
2026-02-24T06:45:00+00:00,149.299,2.928,0.074,-2.936,7.898
2026-02-24T06:50:00+00:00,151.329,2.958,0.058,-2.985,7.906
2026-02-24T06:55:00+00:00,152.634,2.982,0.015,-3.04,7.916
2026-02-24T07:00:00+00:00,153.968,3.004,-0.036,-3.067,7.924
2026-02-24T07:05:00+00:00,158.384,3.105,-0.101,-3.134,7.934
2026-02-24T07:10:00+00:00,161.124,3.124,-0.078,-3.144,7.896
2026-02-24T07:15:00+00:00,165.561,3.208,-0.119,-3.184,7.902
2026-02-24T07:20:00+00:00,172.321,3.346,-0.147,-3.309,7.911
2026-02-24T07:25:00+00:00,174.231,3.369,-0.134,-3.336,7.893
2026-02-24T07:30:00+00:00,174.804,3.387,-0.106,-3.318,7.918
2026-02-24T07:35:00+00:00,171.866,3.322,-0.106,-3.278,7.909
2026-02-24T07:40:00+00:00,172.78,3.334,-0.134,-3.287,7.914
2026-02-24T07:45:00+00:00,174.86,3.39,-0.145,-3.351,7.942
2026-02-24T07:50:00+00:00,176.118,3.415,-0.136,-3.364,7.962
2026-02-24T07:55:00+00:00,175.929,3.407,-0.126,-3.367,7.974
2026-02-24T08:00:00+00:00,178.186,3.456,-0.149,-3.41,7.976
2026-02-24T08:05:00+00:00,177.92,3.432,-0.166,-3.396,7.961
2026-02-24T08:10:00+00:00,177.786,3.446,-0.145,-3.424,8.002
2026-02-24T08:15:00+00:00,181.463,3.516,-0.172,-3.474,8.003
2026-02-24T08:20:00+00:00,180.443,3.502,-0.19,-3.45,8.02
2026-02-24T08:25:00+00:00,185.053,3.596,-0.192,-3.537,8.028
2026-02-24T08:30:00+00:00,185.836,3.608,-0.19,-3.564,8.038
2026-02-24T08:35:00+00:00,185.694,3.606,-0.216,-3.552,8.046
2026-02-24T08:40:00+00:00,188.393,3.658,-0.241,-3.586,8.055
2026-02-24T08:45:00+00:00,189.018,3.668,-0.224,-3.601,8.063
2026-02-24T08:50:00+00:00,190.608,3.692,-0.225,-3.622,8.056
2026-02-24T08:55:00+00:00,193.258,3.732,-0.218,-3.689,8.061
2026-02-24T09:00:00+00:00,194.726,3.766,-0.256,-3.732,8.086
2026-02-24T09:05:00+00:00,192.914,3.741,-0.252,-3.726,8.101
2026-02-24T09:10:00+00:00,196.572,3.813,-0.214,-3.789,8.11
