ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,38.542,0.798,0.1,-0.752,11.4
2026-02-24T00:10:00+00:00,39.264,0.8,0.1,-0.788,11.392
2026-02-24T00:15:00+00:00,39.799,0.8,0.1,-0.8,11.36
2026-02-24T00:20:00+00:00,40.65,0.8,0.1,-0.8,11.4
2026-02-24T00:25:00+00:00,40.574,0.8,0.1,-0.8,11.4
2026-02-24T00:30:00+00:00,40.457,0.8,0.1,-0.8,11.4
2026-02-24T00:35:00+00:00,42.915,0.846,0.1,-0.857,11.303
2026-02-24T00:40:00+00:00,44.226,0.88,0.1,-0.876,11.3
2026-02-24T00:45:00+00:00,44.735,0.899,0.1,-0.9,11.277
2026-02-24T00:50:00+00:00,44.106,0.883,0.1,-0.868,11.3
2026-02-24T00:55:00+00:00,44.104,0.867,0.1,-0.864,11.3
2026-02-24T01:00:00+00:00,44.582,0.897,0.1,-0.897,11.3
2026-02-24T01:05:00+00:00,45.642,0.9,0.1,-0.9,11.3
2026-02-24T01:10:00+00:00,44.972,0.9,0.1,-0.9,11.3
2026-02-24T01:15:00+00:00,45.129,0.9,0.1,-0.9,11.3
2026-02-24T01:20:00+00:00,45.144,0.9,0.1,-0.9,11.3
2026-02-24T01:25:00+00:00,46.04,0.9,0.1,-0.9,11.3
2026-02-24T01:30:00+00:00,45.961,0.9,0.1,-0.9,11.3
2026-02-24T01:35:00+00:00,47.186,0.9,0.1,-0.9,11.3
2026-02-24T01:40:00+00:00,46.528,0.9,0.1,-0.9,11.3
2026-02-24T01:45:00+00:00,46.804,0.9,0.1,-0.9,11.3
2026-02-24T01:50:00+00:00,46.16,0.9,0.1,-0.9,11.3
2026-02-24T01:55:00+00:00,44.638,0.883,0.1,-0.888,11.3
2026-02-24T02:00:00+00:00,43.646,0.852,0.1,-0.855,11.3
2026-02-24T02:05:00+00:00,44.526,0.889,0.1,-0.893,11.3
2026-02-24T02:10:00+00:00,44.628,0.897,0.1,-0.893,11.3
2026-02-24T02:15:00+00:00,44.427,0.888,0.1,-0.884,11.3
2026-02-24T02:20:00+00:00,43.39,0.832,0.116,-0.819,11.3
2026-02-24T02:25:00+00:00,43.608,0.849,0.1,-0.84,11.308
2026-02-24T02:30:00+00:00,43.202,0.836,0.1,-0.831,11.396
2026-02-24T02:35:00+00:00,41.77,0.8,0.1,-0.8,11.3
2026-02-24T02:40:00+00:00,42.909,0.814,0.1,-0.832,11.3
2026-02-24T02:45:00+00:00,42.242,0.806,0.1,-0.806,11.339
2026-02-24T02:50:00+00:00,41.125,0.8,0.1,-0.8,11.398
2026-02-24T02:55:00+00:00,41.797,0.8,0.1,-0.8,11.4
2026-02-24T03:00:00+00:00,40.757,0.8,0.1,-0.8,11.4
2026-02-24T03:05:00+00:00,41.28,0.8,0.1,-0.8,11.369
2026-02-24T03:10:00+00:00,41.555,0.8,0.1,-0.8,11.346
2026-02-24T03:15:00+00:00,41.568,0.8,0.1,-0.8,11.392
2026-02-24T03:20:00+00:00,41.116,0.8,0.1,-0.8,11.4
2026-02-24T03:25:00+00:00,41.208,0.8,0.1,-0.8,11.4
2026-02-24T03:30:00+00:00,41.512,0.8,0.1,-0.8,11.4
2026-02-24T03:35:00+00:00,41.311,0.8,0.1,-0.8,11.4
2026-02-24T03:40:00+00:00,41.988,0.8,0.1,-0.8,11.4
2026-02-24T03:45:00+00:00,41.734,0.8,0.1,-0.8,11.4
2026-02-24T03:50:00+00:00,40.573,0.8,0.1,-0.8,11.4
2026-02-24T03:55:00+00:00,40.02,0.8,0.1,-0.8,11.4
2026-02-24T04:00:00+00:00,39.796,0.8,0.1,-0.8,11.4
2026-02-24T04:05:00+00:00,40.903,0.8,0.1,-0.8,11.32
2026-02-24T04:10:00+00:00,41.636,0.8,0.1,-0.8,11.294
2026-02-24T04:15:00+00:00,41.224,0.8,0.1,-0.8,11.284
2026-02-24T04:20:00+00:00,39.985,0.8,0.1,-0.8,11.3
2026-02-24T04:25:00+00:00,40.573,0.8,0.1,-0.8,11.3
2026-02-24T04:30:00+00:00,40.016,0.798,0.1,-0.796,11.3
2026-02-24T04:35:00+00:00,39.35,0.798,0.1,-0.8,11.3
2026-02-24T04:40:00+00:00,39.57,0.798,0.1,-0.797,11.3
2026-02-24T04:45:00+00:00,39.182,0.78,0.1,-0.778,11.302
2026-02-24T04:50:00+00:00,39.55,0.8,0.1,-0.8,11.386
2026-02-24T04:55:00+00:00,39.266,0.8,0.1,-0.794,11.4
2026-02-24T05:00:00+00:00,39.206,0.8,0.1,-0.787,11.364
2026-02-24T05:05:00+00:00,39.466,0.796,0.1,-0.788,11.285
2026-02-24T05:10:00+00:00,38.518,0.748,0.1,-0.724,11.258
2026-02-24T05:15:00+00:00,36.924,0.702,0.1,-0.7,11.3
2026-02-24T05:20:00+00:00,38.64,0.746,0.1,-0.736,11.3
2026-02-24T05:25:00+00:00,38.053,0.724,0.1,-0.718,11.3
2026-02-24T05:30:00+00:00,38.302,0.734,0.1,-0.718,11.3
2026-02-24T05:35:00+00:00,37.226,0.705,0.1,-0.702,11.3
2026-02-24T05:40:00+00:00,37.966,0.728,0.1,-0.726,11.3
2026-02-24T05:45:00+00:00,38.68,0.758,0.1,-0.75,11.3
2026-02-24T05:50:00+00:00,39.207,0.791,0.1,-0.785,11.3
2026-02-24T05:55:00+00:00,40.3,0.8,0.088,-0.8,11.258
2026-02-24T06:00:00+00:00,40.22,0.8,0.098,-0.8,11.204
2026-02-24T06:05:00+00:00,41.326,0.8,0.1,-0.8,11.2
2026-02-24T06:10:00+00:00,47.897,0.919,0.104,-0.83,11.274
2026-02-24T06:15:00+00:00,52.771,1.02,0.055,-0.85,11.382
2026-02-24T06:20:00+00:00,53.814,1.05,0.029,-0.868,11.3
2026-02-24T06:25:00+00:00,53.968,1.051,0.009,-0.858,11.378
2026-02-24T06:30:00+00:00,53.608,1.047,0.029,-0.851,11.372
2026-02-24T06:35:00+00:00,55.376,1.08,0.0,-0.918,11.3
2026-02-24T06:40:00+00:00,55.846,1.093,0.0,-0.93,11.3
2026-02-24T06:45:00+00:00,58.789,1.156,-0.014,-0.98,11.296
2026-02-24T06:50:00+00:00,58.6,1.153,-0.015,-0.962,11.3
2026-02-24T06:55:00+00:00,57.235,1.138,0.0,-0.95,11.3
2026-02-24T07:00:00+00:00,56.816,1.128,0.0,-0.95,11.298
2026-02-24T07:05:00+00:00,58.092,1.15,0.0,-0.952,11.269
2026-02-24T07:10:00+00:00,53.85,1.072,-0.003,-0.981,11.335
2026-02-24T07:15:00+00:00,50.94,1.0,0.0,-1.0,11.32
2026-02-24T07:20:00+00:00,51.538,1.0,0.0,-1.0,11.3
2026-02-24T07:25:00+00:00,51.404,1.0,0.002,-1.0,11.3
2026-02-24T07:30:00+00:00,51.602,1.0,0.052,-1.0,11.3
2026-02-24T07:35:00+00:00,52.301,1.012,0.056,-1.008,11.3
2026-02-24T07:40:00+00:00,51.761,1.0,0.066,-1.0,11.3
2026-02-24T07:45:00+00:00,50.95,1.0,0.001,-1.0,11.3
2026-02-24T07:50:00+00:00,51.328,1.0,0.013,-1.0,11.3
2026-02-24T07:55:00+00:00,50.566,1.0,0.02,-1.0,11.3
2026-02-24T08:00:00+00:00,50.655,0.997,0.018,-0.994,11.3
2026-02-24T08:05:00+00:00,48.933,0.966,0.038,-0.96,11.3
2026-02-24T08:10:00+00:00,49.549,1.0,0.082,-0.989,11.3
2026-02-24T08:15:00+00:00,50.842,1.0,0.01,-0.994,11.3
2026-02-24T08:20:00+00:00,50.562,1.0,0.0,-0.996,11.3
2026-02-24T08:25:00+00:00,51.124,1.0,0.0,-1.0,11.3
2026-02-24T08:30:00+00:00,50.454,1.0,0.0,-1.0,11.336
2026-02-24T08:35:00+00:00,49.408,0.986,0.008,-0.982,11.334
2026-02-24T08:40:00+00:00,48.8,0.96,0.006,-0.953,11.3
2026-02-24T08:45:00+00:00,49.402,0.982,0.0,-0.965,11.3
2026-02-24T08:50:00+00:00,49.069,0.974,0.0,-0.97,11.3
2026-02-24T08:55:00+00:00,48.729,0.959,0.0,-0.958,11.303
2026-02-24T09:00:00+00:00,47.23,0.914,0.008,-0.913,11.374
2026-02-24T09:05:00+00:00,48.22,0.944,0.008,-0.924,11.24
2026-02-24T09:10:00+00:00,50.546,0.99,0.004,-0.982,11.223
2026-02-24T09:15:00+00:00,50.35,1.0,0.007,-1.0,11.221
2026-02-24T09:20:00+00:00,48.045,0.929,0.056,-0.915,11.3
2026-02-24T09:25:00+00:00,47.875,0.927,0.092,-0.911,11.282
2026-02-24T09:30:00+00:00,49.202,0.981,0.005,-0.964,11.3
2026-02-24T09:35:00+00:00,48.198,0.938,0.0,-0.925,11.284
2026-02-24T09:40:00+00:00,47.141,0.912,0.0,-0.902,11.264
2026-02-24T09:45:00+00:00,46.812,0.9,0.0,-0.904,11.3
2026-02-24T09:50:00+00:00,48.002,0.935,0.0,-0.925,11.3
2026-02-24T09:55:00+00:00,46.588,0.902,0.006,-0.9,11.3
2026-02-24T10:00:00+00:00,46.276,0.9,0.0,-0.9,11.238
2026-02-24T10:05:00+00:00,46.403,0.903,0.0,-0.902,11.3
2026-02-24T10:10:00+00:00,45.729,0.9,-0.014,-0.9,11.3
2026-02-24T10:15:00+00:00,45.674,0.898,0.0,-0.897,11.3
2026-02-24T10:20:00+00:00,44.225,0.874,-0.014,-0.881,11.3
2026-02-24T10:25:00+00:00,44.123,0.875,0.0,-0.884,11.3
2026-02-24T10:30:00+00:00,44.82,0.889,0.03,-0.893,11.3
2026-02-24T10:35:00+00:00,44.431,0.882,0.05,-0.888,11.3
2026-02-24T10:40:00+00:00,43.787,0.86,0.034,-0.865,11.276
2026-02-24T10:45:00+00:00,43.784,0.86,0.032,-0.863,11.225
2026-02-24T10:50:00+00:00,42.926,0.828,0.068,-0.828,11.256
2026-02-24T10:55:00+00:00,43.251,0.842,0.032,-0.845,11.296
2026-02-24T11:00:00+00:00,44.324,0.879,0.024,-0.886,11.3
2026-02-24T11:05:00+00:00,45.546,0.9,0.048,-0.9,11.294
2026-02-24T11:10:00+00:00,44.244,0.864,0.052,-0.861,11.229
2026-02-24T11:15:00+00:00,41.725,0.801,0.074,-0.8,11.246
2026-02-24T11:20:00+00:00,41.581,0.8,0.014,-0.8,11.281
2026-02-24T11:25:00+00:00,40.646,0.798,0.044,-0.796,11.292
2026-02-24T11:30:00+00:00,41.285,0.8,0.01,-0.8,11.3
2026-02-24T11:35:00+00:00,41.193,0.8,0.048,-0.8,11.3
2026-02-24T11:40:00+00:00,40.394,0.794,0.0,-0.79,11.3
2026-02-24T11:45:00+00:00,41.255,0.801,0.0,-0.8,11.298
2026-02-24T11:50:00+00:00,42.273,0.814,-0.035,-0.812,11.296
2026-02-24T11:55:00+00:00,43.926,0.859,-0.052,-0.861,11.3
2026-02-24T12:00:00+00:00,44.076,0.865,-0.013,-0.868,11.3
2026-02-24T12:05:00+00:00,42.028,0.8,0.0,-0.804,11.257
2026-02-24T12:10:00+00:00,42.846,0.822,0.0,-0.825,11.292
2026-02-24T12:15:00+00:00,43.873,0.858,0.0,-0.869,11.3
2026-02-24T12:20:00+00:00,44.972,0.894,0.0,-0.896,11.3
2026-02-24T12:25:00+00:00,43.537,0.848,0.0,-0.857,11.3
2026-02-24T12:30:00+00:00,43.079,0.833,0.008,-0.837,11.3
2026-02-24T12:35:00+00:00,40.079,0.79,0.075,-0.793,11.3
2026-02-24T12:40:00+00:00,38.787,0.766,0.022,-0.766,11.3
2026-02-24T12:45:00+00:00,39.347,0.754,0.041,-0.757,11.302
2026-02-24T12:50:00+00:00,37.918,0.73,0.053,-0.73,11.3
2026-02-24T12:55:00+00:00,36.703,0.7,0.036,-0.7,11.3
2026-02-24T13:00:00+00:00,35.714,0.7,0.008,-0.7,11.304
2026-02-24T13:05:00+00:00,35.222,0.683,0.006,-0.687,11.302
2026-02-24T13:10:00+00:00,36.554,0.704,0.0,-0.704,11.3
2026-02-24T13:15:00+00:00,36.206,0.695,0.002,-0.697,11.3
2026-02-24T13:20:00+00:00,35.934,0.71,0.0,-0.719,11.3
2026-02-24T13:25:00+00:00,35.767,0.7,0.016,-0.7,11.3
2026-02-24T13:30:00+00:00,31.39,0.613,0.045,-0.613,11.3
2026-02-24T13:35:00+00:00,34.143,0.66,0.0,-0.667,11.3
2026-02-24T13:40:00+00:00,35.496,0.7,0.0,-0.7,11.3
2026-02-24T13:45:00+00:00,36.046,0.7,0.0,-0.7,11.3
2026-02-24T13:50:00+00:00,35.759,0.698,0.0,-0.7,11.3
