ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,101.844,2.013,0.6,-1.862,11.398
2026-02-24T00:10:00+00:00,103.564,2.048,0.6,-1.873,11.398
2026-02-24T00:15:00+00:00,103.309,2.045,0.6,-1.896,11.4
2026-02-24T00:20:00+00:00,102.411,2.04,0.6,-1.876,11.4
2026-02-24T00:25:00+00:00,102.104,2.022,0.6,-1.856,11.4
2026-02-24T00:30:00+00:00,101.39,1.998,0.6,-1.85,11.4
2026-02-24T00:35:00+00:00,104.222,2.055,0.6,-1.929,11.382
2026-02-24T00:40:00+00:00,107.399,2.104,0.6,-1.992,11.307
2026-02-24T00:45:00+00:00,106.539,2.079,0.6,-1.974,11.3
2026-02-24T00:50:00+00:00,106.825,2.085,0.6,-1.982,11.3
2026-02-24T00:55:00+00:00,107.234,2.1,0.6,-1.99,11.3
2026-02-24T01:00:00+00:00,106.49,2.095,0.6,-1.964,11.3
2026-02-24T01:05:00+00:00,107.372,2.1,0.6,-1.982,11.3
2026-02-24T01:10:00+00:00,108.014,2.108,0.6,-2.0,11.3
2026-02-24T01:15:00+00:00,107.483,2.093,0.6,-1.976,11.3
2026-02-24T01:20:00+00:00,104.203,2.038,0.6,-1.902,11.32
2026-02-24T01:25:00+00:00,105.011,2.051,0.6,-1.908,11.357
2026-02-24T01:30:00+00:00,104.058,2.05,0.618,-1.9,11.389
2026-02-24T01:35:00+00:00,105.236,2.05,0.6,-1.906,11.35
2026-02-24T01:40:00+00:00,105.526,2.05,0.6,-1.926,11.349
2026-02-24T01:45:00+00:00,102.858,2.018,0.606,-1.879,11.34
2026-02-24T01:50:00+00:00,103.492,2.048,0.635,-1.87,11.35
2026-02-24T01:55:00+00:00,103.524,2.042,0.622,-1.869,11.376
2026-02-24T02:00:00+00:00,102.148,2.003,0.619,-1.834,11.36
2026-02-24T02:05:00+00:00,102.572,2.012,0.6,-1.854,11.325
2026-02-24T02:10:00+00:00,102.034,1.978,0.6,-1.865,11.314
2026-02-24T02:15:00+00:00,102.334,2.027,0.608,-1.858,11.358
2026-02-24T02:20:00+00:00,101.889,2.033,0.624,-1.819,11.394
2026-02-24T02:25:00+00:00,102.56,2.046,0.64,-1.847,11.4
2026-02-24T02:30:00+00:00,101.815,2.013,0.63,-1.826,11.4
