ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,121.778,2.411,0.203,-2.235,11.4
2026-02-24T00:10:00+00:00,126.086,2.493,0.254,-2.305,11.4
2026-02-24T00:15:00+00:00,130.763,2.573,0.237,-2.403,11.4
2026-02-24T00:20:00+00:00,134.707,2.666,0.248,-2.485,11.4
2026-02-24T00:25:00+00:00,133.287,2.622,0.259,-2.456,11.4
2026-02-24T00:30:00+00:00,137.399,2.699,0.249,-2.535,11.4
2026-02-24T00:35:00+00:00,143.911,2.83,0.3,-2.644,11.372
2026-02-24T00:40:00+00:00,149.771,2.94,0.258,-2.75,11.341
2026-02-24T00:45:00+00:00,155.44,3.075,0.241,-2.853,11.384
2026-02-24T00:50:00+00:00,152.778,3.018,0.254,-2.804,11.4
2026-02-24T00:55:00+00:00,151.926,3.005,0.287,-2.8,11.4
2026-02-24T01:00:00+00:00,151.892,3.001,0.248,-2.8,11.4
2026-02-24T01:05:00+00:00,156.516,3.098,0.226,-2.884,11.4
2026-02-24T01:10:00+00:00,155.475,3.084,0.2,-2.876,11.4
2026-02-24T01:15:00+00:00,152.524,3.014,0.2,-2.805,11.413
2026-02-24T01:20:00+00:00,152.42,3.007,0.225,-2.808,11.47
2026-02-24T01:25:00+00:00,151.547,3.003,0.208,-2.804,11.5
2026-02-24T01:30:00+00:00,151.05,3.0,0.25,-2.811,11.5
2026-02-24T01:35:00+00:00,154.311,3.052,0.249,-2.861,11.434
2026-02-24T01:40:00+00:00,155.439,3.087,0.255,-2.869,11.443
2026-02-24T01:45:00+00:00,153.428,3.032,0.267,-2.836,11.455
2026-02-24T01:50:00+00:00,150.302,2.985,0.271,-2.785,11.5
2026-02-24T01:55:00+00:00,150.105,3.0,0.251,-2.798,11.5
2026-02-24T02:00:00+00:00,151.713,3.0,0.254,-2.804,11.5
2026-02-24T02:05:00+00:00,149.649,2.973,0.219,-2.774,11.5
2026-02-24T02:10:00+00:00,146.276,2.9,0.223,-2.704,11.5
2026-02-24T02:15:00+00:00,148.343,2.94,0.262,-2.749,11.5
