ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,53.154,1.036,0.525,-0.864,11.272
2026-02-24T00:10:00+00:00,55.795,1.1,0.5,-0.923,11.256
2026-02-24T00:15:00+00:00,55.435,1.096,0.502,-0.935,11.25
2026-02-24T00:20:00+00:00,55.408,1.097,0.506,-0.923,11.258
2026-02-24T00:25:00+00:00,54.563,1.088,0.5,-0.919,11.272
2026-02-24T00:30:00+00:00,54.73,1.068,0.51,-0.908,11.292
2026-02-24T00:35:00+00:00,56.827,1.102,0.52,-0.954,11.212
2026-02-24T00:40:00+00:00,59.195,1.162,0.512,-1.019,11.27
2026-02-24T00:45:00+00:00,59.86,1.2,0.506,-1.03,11.359
2026-02-24T00:50:00+00:00,59.178,1.18,0.502,-1.021,11.355
2026-02-24T00:55:00+00:00,59.234,1.185,0.528,-1.009,11.362
2026-02-24T01:00:00+00:00,58.07,1.13,0.5,-0.988,11.375
2026-02-24T01:05:00+00:00,59.165,1.146,0.511,-1.022,11.315
2026-02-24T01:10:00+00:00,58.234,1.124,0.506,-0.99,11.346
2026-02-24T01:15:00+00:00,58.408,1.137,0.506,-0.994,11.35
2026-02-24T01:20:00+00:00,58.564,1.14,0.51,-1.007,11.35
2026-02-24T01:25:00+00:00,56.899,1.11,0.51,-0.989,11.35
2026-02-24T01:30:00+00:00,56.641,1.108,0.537,-0.946,11.35
2026-02-24T01:35:00+00:00,56.857,1.104,0.5,-0.97,11.35
2026-02-24T01:40:00+00:00,57.452,1.106,0.511,-0.98,11.35
2026-02-24T01:45:00+00:00,56.526,1.101,0.519,-0.96,11.35
2026-02-24T01:50:00+00:00,55.978,1.1,0.51,-0.954,11.35
2026-02-24T01:55:00+00:00,55.691,1.094,0.53,-0.935,11.35
2026-02-24T02:00:00+00:00,54.183,1.068,0.506,-0.9,11.35
2026-02-24T02:05:00+00:00,54.9,1.054,0.512,-0.902,11.35
2026-02-24T02:10:00+00:00,55.658,1.088,0.504,-0.937,11.336
2026-02-24T02:15:00+00:00,55.195,1.056,0.5,-0.911,11.35
2026-02-24T02:20:00+00:00,55.29,1.084,0.513,-0.927,11.35
2026-02-24T02:25:00+00:00,53.25,1.04,0.5,-0.888,11.35
2026-02-24T02:30:00+00:00,53.39,1.046,0.522,-0.881,11.35
2026-02-24T02:35:00+00:00,53.494,1.045,0.508,-0.893,11.35
2026-02-24T02:40:00+00:00,52.914,1.036,0.508,-0.878,11.35
2026-02-24T02:45:00+00:00,52.933,1.01,0.526,-0.857,11.35
2026-02-24T02:50:00+00:00,53.035,1.038,0.528,-0.87,11.334
2026-02-24T02:55:00+00:00,52.998,1.026,0.534,-0.856,11.3
2026-02-24T03:00:00+00:00,51.593,1.004,0.5,-0.85,11.301
2026-02-24T03:05:00+00:00,52.158,1.009,0.5,-0.854,11.286
2026-02-24T03:10:00+00:00,52.632,1.015,0.507,-0.861,11.292
2026-02-24T03:15:00+00:00,52.412,1.023,0.5,-0.883,11.3
2026-02-24T03:20:00+00:00,52.97,1.028,0.514,-0.862,11.3
2026-02-24T03:25:00+00:00,53.25,1.038,0.5,-0.881,11.3
2026-02-24T03:30:00+00:00,51.186,1.017,0.507,-0.841,11.3
2026-02-24T03:35:00+00:00,50.702,1.0,0.509,-0.805,11.28
2026-02-24T03:40:00+00:00,49.492,0.986,0.5,-0.78,11.285
2026-02-24T03:45:00+00:00,49.994,0.999,0.52,-0.781,11.298
2026-02-24T03:50:00+00:00,49.982,0.993,0.5,-0.796,11.3
2026-02-24T03:55:00+00:00,50.416,0.998,0.512,-0.792,11.3
2026-02-24T04:00:00+00:00,50.119,1.0,0.506,-0.802,11.294
2026-02-24T04:05:00+00:00,50.778,0.992,0.514,-0.798,11.202
2026-02-24T04:10:00+00:00,51.034,0.998,0.508,-0.806,11.199
2026-02-24T04:15:00+00:00,50.628,0.996,0.509,-0.808,11.198
2026-02-24T04:20:00+00:00,50.504,0.992,0.51,-0.803,11.2
2026-02-24T04:25:00+00:00,50.118,0.968,0.501,-0.792,11.2
2026-02-24T04:30:00+00:00,50.268,0.96,0.531,-0.785,11.2
2026-02-24T04:35:00+00:00,49.308,0.974,0.514,-0.772,11.2
2026-02-24T04:40:00+00:00,50.116,0.994,0.506,-0.8,11.2
2026-02-24T04:45:00+00:00,49.58,0.986,0.516,-0.778,11.2
2026-02-24T04:50:00+00:00,49.793,0.958,0.514,-0.778,11.233
2026-02-24T04:55:00+00:00,49.055,0.96,0.542,-0.758,11.231
2026-02-24T05:00:00+00:00,48.402,0.944,0.517,-0.736,11.233
2026-02-24T05:05:00+00:00,48.674,0.947,0.512,-0.744,11.164
2026-02-24T05:10:00+00:00,48.685,0.946,0.524,-0.744,11.15
2026-02-24T05:15:00+00:00,48.154,0.928,0.516,-0.742,11.195
2026-02-24T05:20:00+00:00,48.244,0.934,0.526,-0.74,11.2
2026-02-24T05:25:00+00:00,47.893,0.939,0.516,-0.744,11.2
2026-02-24T05:30:00+00:00,48.246,0.934,0.534,-0.73,11.2
2026-02-24T05:35:00+00:00,48.287,0.932,0.523,-0.736,11.2
2026-02-24T05:40:00+00:00,48.276,0.916,0.5,-0.75,11.2
2026-02-24T05:45:00+00:00,49.516,0.956,0.528,-0.748,11.222
2026-02-24T05:50:00+00:00,50.445,0.99,0.517,-0.79,11.222
2026-02-24T05:55:00+00:00,50.882,0.995,0.52,-0.806,11.2
2026-02-24T06:00:00+00:00,51.082,0.994,0.514,-0.803,11.2
2026-02-24T06:05:00+00:00,54.72,1.044,0.513,-0.861,11.151
2026-02-24T06:10:00+00:00,56.141,1.086,0.506,-0.915,11.2
2026-02-24T06:15:00+00:00,56.256,1.074,0.502,-0.933,11.3
2026-02-24T06:20:00+00:00,57.294,1.123,0.516,-0.95,11.3
2026-02-24T06:25:00+00:00,59.044,1.162,0.508,-1.004,11.353
2026-02-24T06:30:00+00:00,58.502,1.154,0.526,-0.996,11.34
2026-02-24T06:35:00+00:00,59.632,1.146,0.525,-1.014,11.3
2026-02-24T06:40:00+00:00,61.572,1.203,0.506,-1.055,11.3
2026-02-24T06:45:00+00:00,63.38,1.236,0.508,-1.108,11.307
