ValueDate,Amps,MVA,Volts
2026-02-24T00:05:00+00:00,129.626,2.553,11.396
2026-02-24T00:10:00+00:00,131.866,2.592,11.383
2026-02-24T00:15:00+00:00,132.573,2.607,11.375
2026-02-24T00:20:00+00:00,133.69,2.632,11.4
2026-02-24T00:25:00+00:00,133.174,2.621,11.4
2026-02-24T00:30:00+00:00,130.719,2.57,11.4
2026-02-24T00:35:00+00:00,137.376,2.678,11.323
2026-02-24T00:40:00+00:00,146.317,2.863,11.29
2026-02-24T00:45:00+00:00,145.778,2.85,11.267
2026-02-24T00:50:00+00:00,145.293,2.853,11.296
2026-02-24T00:55:00+00:00,147.143,2.875,11.293
2026-02-24T01:00:00+00:00,145.715,2.854,11.3
2026-02-24T01:05:00+00:00,145.244,2.841,11.298
2026-02-24T01:10:00+00:00,142.965,2.793,11.3
2026-02-24T01:15:00+00:00,147.39,2.887,11.3
2026-02-24T01:20:00+00:00,145.387,2.851,11.3
2026-02-24T01:25:00+00:00,143.994,2.82,11.3
2026-02-24T01:30:00+00:00,143.117,2.804,11.309
2026-02-24T01:35:00+00:00,145.157,2.848,11.3
2026-02-24T01:40:00+00:00,145.473,2.857,11.3
2026-02-24T01:45:00+00:00,144.459,2.837,11.3
2026-02-24T01:50:00+00:00,143.038,2.805,11.3
2026-02-24T01:55:00+00:00,143.444,2.816,11.302
2026-02-24T02:00:00+00:00,142.785,2.796,11.3
2026-02-24T02:05:00+00:00,146.556,2.877,11.3
2026-02-24T02:10:00+00:00,143.26,2.794,11.3
2026-02-24T02:15:00+00:00,144.413,2.83,11.3
2026-02-24T02:20:00+00:00,144.194,2.818,11.302
2026-02-24T02:25:00+00:00,141.514,2.773,11.312
2026-02-24T02:30:00+00:00,141.038,2.775,11.393
2026-02-24T02:35:00+00:00,141.027,2.763,11.324
2026-02-24T02:40:00+00:00,142.78,2.795,11.313
2026-02-24T02:45:00+00:00,139.833,2.742,11.344
2026-02-24T02:50:00+00:00,140.411,2.773,11.393
2026-02-24T02:55:00+00:00,138.163,2.733,11.4
2026-02-24T03:00:00+00:00,133.658,2.629,11.4
2026-02-24T03:05:00+00:00,133.807,2.636,11.396
2026-02-24T03:10:00+00:00,134.685,2.644,11.353
2026-02-24T03:15:00+00:00,133.049,2.615,11.4
