ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,67.51,1.312,-0.001,1.309,11.226
2026-02-24T00:10:00+00:00,69.712,1.365,-0.006,1.341,11.2
2026-02-24T00:15:00+00:00,74.924,1.455,0.044,1.42,11.2
2026-02-24T00:20:00+00:00,70.585,1.392,-0.147,1.365,11.272
2026-02-24T00:25:00+00:00,73.717,1.431,-0.045,1.416,11.261
2026-02-24T00:30:00+00:00,71.323,1.398,-0.043,1.379,11.291
2026-02-24T00:35:00+00:00,78.862,1.524,-0.066,1.552,11.201
2026-02-24T00:40:00+00:00,85.814,1.667,-0.07,1.659,11.151
2026-02-24T00:45:00+00:00,91.888,1.801,-0.092,1.785,11.295
2026-02-24T00:50:00+00:00,90.317,1.786,-0.1,1.753,11.3
2026-02-24T00:55:00+00:00,90.018,1.768,-0.011,1.763,11.3
2026-02-24T01:00:00+00:00,91.669,1.806,0.051,1.793,11.3
2026-02-24T01:05:00+00:00,95.291,1.869,0.042,1.867,11.3
2026-02-24T01:10:00+00:00,95.892,1.879,0.068,1.89,11.3
2026-02-24T01:15:00+00:00,90.642,1.783,-0.019,1.773,11.3
2026-02-24T01:20:00+00:00,88.925,1.746,-0.019,1.75,11.3
2026-02-24T01:25:00+00:00,89.429,1.762,0.096,1.758,11.339
2026-02-24T01:30:00+00:00,89.233,1.755,0.016,1.757,11.36
2026-02-24T01:35:00+00:00,91.197,1.795,-0.046,1.789,11.309
2026-02-24T01:40:00+00:00,93.005,1.829,0.028,1.824,11.3
2026-02-24T01:45:00+00:00,90.396,1.781,0.018,1.759,11.3
2026-02-24T01:50:00+00:00,87.743,1.719,-0.1,1.722,11.351
2026-02-24T01:55:00+00:00,90.097,1.778,-0.071,1.784,11.38
2026-02-24T02:00:00+00:00,92.472,1.817,-0.076,1.81,11.366
2026-02-24T02:05:00+00:00,98.097,1.931,0.074,1.946,11.3
2026-02-24T02:10:00+00:00,92.856,1.832,-0.083,1.812,11.3
2026-02-24T02:15:00+00:00,92.994,1.835,-0.087,1.819,11.33
2026-02-24T02:20:00+00:00,91.763,1.818,-0.133,1.825,11.395
2026-02-24T02:25:00+00:00,91.602,1.806,-0.032,1.802,11.382
2026-02-24T02:30:00+00:00,89.761,1.772,-0.03,1.763,11.4
2026-02-24T02:35:00+00:00,88.935,1.749,-0.004,1.744,11.33
2026-02-24T02:40:00+00:00,86.64,1.682,-0.046,1.698,11.3
2026-02-24T02:45:00+00:00,84.908,1.674,-0.076,1.668,11.38
2026-02-24T02:50:00+00:00,85.076,1.691,-0.1,1.694,11.4
2026-02-24T02:55:00+00:00,86.432,1.691,-0.072,1.714,11.4
2026-02-24T03:00:00+00:00,85.02,1.683,0.054,1.684,11.4
2026-02-24T03:05:00+00:00,87.07,1.71,-0.02,1.717,11.4
2026-02-24T03:10:00+00:00,86.42,1.702,-0.099,1.706,11.4
2026-02-24T03:15:00+00:00,84.395,1.681,0.03,1.679,11.4
2026-02-24T03:20:00+00:00,85.926,1.695,0.058,1.696,11.4
2026-02-24T03:25:00+00:00,83.78,1.648,0.038,1.668,11.4
2026-02-24T03:30:00+00:00,83.726,1.656,0.084,1.653,11.407
2026-02-24T03:35:00+00:00,80.402,1.558,-0.042,1.576,11.281
2026-02-24T03:40:00+00:00,77.137,1.5,-0.07,1.513,11.299
2026-02-24T03:45:00+00:00,77.273,1.489,0.039,1.516,11.3
2026-02-24T03:50:00+00:00,72.75,1.417,-0.086,1.415,11.3
2026-02-24T03:55:00+00:00,73.749,1.426,-0.045,1.437,11.3
2026-02-24T04:00:00+00:00,77.382,1.504,-0.013,1.509,11.3
2026-02-24T04:05:00+00:00,78.004,1.503,0.01,1.547,11.223
2026-02-24T04:10:00+00:00,76.377,1.49,-0.055,1.454,11.2
2026-02-24T04:15:00+00:00,76.998,1.49,-0.091,1.493,11.2
2026-02-24T04:20:00+00:00,76.051,1.481,-0.1,1.451,11.217
2026-02-24T04:25:00+00:00,75.621,1.473,-0.044,1.446,11.245
2026-02-24T04:30:00+00:00,74.338,1.431,-0.042,1.429,11.286
2026-02-24T04:35:00+00:00,70.452,1.379,0.016,1.349,11.236
2026-02-24T04:40:00+00:00,68.686,1.333,0.015,1.324,11.204
2026-02-24T04:45:00+00:00,67.524,1.304,-0.085,1.306,11.2
2026-02-24T04:50:00+00:00,69.937,1.363,-0.092,1.353,11.241
2026-02-24T04:55:00+00:00,68.507,1.366,-0.1,1.317,11.295
2026-02-24T05:00:00+00:00,68.961,1.357,-0.002,1.336,11.234
2026-02-24T05:05:00+00:00,67.273,1.307,0.004,1.294,11.199
2026-02-24T05:10:00+00:00,70.151,1.391,0.061,1.348,11.29
2026-02-24T05:15:00+00:00,69.648,1.393,0.064,1.346,11.3
2026-02-24T05:20:00+00:00,69.495,1.386,-0.1,1.354,11.3
2026-02-24T05:25:00+00:00,70.378,1.394,0.068,1.375,11.3
2026-02-24T05:30:00+00:00,70.138,1.397,0.104,1.369,11.3
2026-02-24T05:35:00+00:00,72.083,1.407,0.118,1.379,11.3
2026-02-24T05:40:00+00:00,72.67,1.413,0.023,1.394,11.3
2026-02-24T05:45:00+00:00,72.542,1.406,0.005,1.395,11.3
2026-02-24T05:50:00+00:00,71.82,1.4,-0.057,1.387,11.3
2026-02-24T05:55:00+00:00,75.511,1.468,-0.038,1.49,11.295
2026-02-24T06:00:00+00:00,77.507,1.509,-0.002,1.496,11.235
2026-02-24T06:05:00+00:00,86.555,1.686,0.147,1.694,11.3
2026-02-24T06:10:00+00:00,87.934,1.703,0.123,1.719,11.248
2026-02-24T06:15:00+00:00,88.631,1.745,0.1,1.742,11.363
2026-02-24T06:20:00+00:00,87.366,1.723,0.071,1.719,11.4
2026-02-24T06:25:00+00:00,88.797,1.743,0.045,1.747,11.4
2026-02-24T06:30:00+00:00,92.742,1.829,0.147,1.812,11.396
