ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,55.456,1.088,-0.45,-0.085,11.224
2026-02-24T00:10:00+00:00,58.592,1.148,-0.474,-0.089,11.2
2026-02-24T00:15:00+00:00,59.412,1.15,-0.457,-0.087,11.201
2026-02-24T00:20:00+00:00,59.82,1.15,-0.45,-0.095,11.23
2026-02-24T00:25:00+00:00,57.719,1.14,-0.474,-0.098,11.253
2026-02-24T00:30:00+00:00,59.949,1.168,-0.47,-0.092,11.262
2026-02-24T00:35:00+00:00,65.073,1.259,-0.466,-0.1,11.2
2026-02-24T00:40:00+00:00,69.687,1.353,-0.448,-0.105,11.197
2026-02-24T00:45:00+00:00,70.681,1.38,-0.451,-0.11,11.138
2026-02-24T00:50:00+00:00,66.81,1.28,0.014,-0.06,11.198
2026-02-24T00:55:00+00:00,66.96,1.3,0.25,-0.057,11.246
2026-02-24T01:00:00+00:00,64.866,1.256,0.24,-0.057,11.236
2026-02-24T01:05:00+00:00,67.322,1.31,0.25,-0.058,11.235
2026-02-24T01:10:00+00:00,66.017,1.276,0.248,-0.062,11.242
2026-02-24T01:15:00+00:00,64.008,1.253,0.244,-0.068,11.261
2026-02-24T01:20:00+00:00,63.704,1.243,0.249,-0.049,11.287
2026-02-24T01:25:00+00:00,62.898,1.236,0.242,-0.048,11.3
2026-02-24T01:30:00+00:00,63.438,1.248,0.24,-0.06,11.3
2026-02-24T01:35:00+00:00,65.21,1.266,0.248,-0.053,11.3
2026-02-24T01:40:00+00:00,62.748,1.234,0.244,-0.062,11.3
2026-02-24T01:45:00+00:00,63.784,1.244,0.25,-0.051,11.3
2026-02-24T01:50:00+00:00,61.454,1.21,0.246,-0.05,11.3
2026-02-24T01:55:00+00:00,62.841,1.227,0.249,-0.059,11.3
2026-02-24T02:00:00+00:00,62.067,1.21,0.249,-0.05,11.3
2026-02-24T02:05:00+00:00,61.412,1.21,0.245,-0.05,11.3
2026-02-24T02:10:00+00:00,61.968,1.218,0.249,-0.049,11.3
2026-02-24T02:15:00+00:00,59.996,1.19,0.247,-0.049,11.3
2026-02-24T02:20:00+00:00,60.392,1.195,0.249,-0.051,11.3
2026-02-24T02:25:00+00:00,60.19,1.19,0.25,-0.049,11.3
2026-02-24T02:30:00+00:00,59.84,1.182,0.246,-0.052,11.3
2026-02-24T02:35:00+00:00,61.436,1.212,0.25,-0.05,11.3
2026-02-24T02:40:00+00:00,59.331,1.178,0.242,-0.056,11.3
2026-02-24T02:45:00+00:00,59.478,1.184,0.25,-0.042,11.3
2026-02-24T02:50:00+00:00,57.078,1.122,0.25,-0.048,11.3
2026-02-24T02:55:00+00:00,57.36,1.112,0.25,-0.046,11.331
2026-02-24T03:00:00+00:00,56.346,1.1,0.25,-0.046,11.31
2026-02-24T03:05:00+00:00,55.934,1.091,0.25,-0.043,11.3
2026-02-24T03:10:00+00:00,56.397,1.102,0.253,-0.036,11.3
2026-02-24T03:15:00+00:00,55.508,1.082,0.251,-0.05,11.314
2026-02-24T03:20:00+00:00,55.378,1.077,0.251,-0.046,11.384
2026-02-24T03:25:00+00:00,54.546,1.065,0.263,-0.043,11.39
2026-02-24T03:30:00+00:00,50.852,0.995,0.236,-0.029,11.377
2026-02-24T03:35:00+00:00,51.95,1.024,0.25,-0.032,11.364
2026-02-24T03:40:00+00:00,47.433,0.938,0.253,-0.031,11.364
2026-02-24T03:45:00+00:00,48.908,0.962,0.252,-0.026,11.394
2026-02-24T03:50:00+00:00,47.487,0.94,0.251,-0.026,11.4
2026-02-24T03:55:00+00:00,45.142,0.889,0.25,-0.034,11.4
2026-02-24T04:00:00+00:00,48.196,0.947,0.255,-0.037,11.4
2026-02-24T04:05:00+00:00,48.537,0.954,0.249,-0.04,11.317
2026-02-24T04:10:00+00:00,49.182,0.967,0.248,-0.035,11.3
2026-02-24T04:15:00+00:00,50.996,1.006,0.25,-0.049,11.3
2026-02-24T04:20:00+00:00,47.848,0.946,0.252,-0.031,11.3
2026-02-24T04:25:00+00:00,48.99,0.962,0.25,-0.015,11.348
2026-02-24T04:30:00+00:00,47.972,0.95,0.25,-0.029,11.338
2026-02-24T04:35:00+00:00,46.929,0.93,0.25,-0.03,11.321
2026-02-24T04:40:00+00:00,46.836,0.92,0.25,-0.045,11.318
2026-02-24T04:45:00+00:00,46.382,0.919,0.25,-0.033,11.332
2026-02-24T04:50:00+00:00,46.87,0.923,0.249,-0.024,11.38
2026-02-24T04:55:00+00:00,46.012,0.912,0.251,-0.027,11.346
2026-02-24T05:00:00+00:00,45.339,0.894,0.243,-0.021,11.302
