ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.06,11.224
2026-02-25T00:10:00+00:00,3.046,11.2
2026-02-25T00:15:00+00:00,3.035,11.2
2026-02-25T00:20:00+00:00,3.016,11.2
2026-02-25T00:25:00+00:00,2.978,11.202
2026-02-25T00:30:00+00:00,2.978,11.274
2026-02-25T00:35:00+00:00,3.092,11.204
2026-02-25T00:40:00+00:00,3.174,11.2
2026-02-25T00:45:00+00:00,3.193,11.2
2026-02-25T00:50:00+00:00,3.171,11.2
2026-02-25T00:55:00+00:00,3.088,11.232
2026-02-25T01:00:00+00:00,3.059,11.268
2026-02-25T01:05:00+00:00,3.076,11.228
2026-02-25T01:10:00+00:00,3.068,11.221
2026-02-25T01:15:00+00:00,3.049,11.292
2026-02-25T01:20:00+00:00,3.029,11.3
2026-02-25T01:25:00+00:00,3.012,11.3
2026-02-25T01:30:00+00:00,3.016,11.276
2026-02-25T01:35:00+00:00,2.978,11.2
2026-02-25T01:40:00+00:00,2.979,11.2
2026-02-25T01:45:00+00:00,2.956,11.2
2026-02-25T01:50:00+00:00,2.926,11.212
2026-02-25T01:55:00+00:00,2.88,11.255
2026-02-25T02:00:00+00:00,2.87,11.24
2026-02-25T02:05:00+00:00,2.825,11.291
2026-02-25T02:10:00+00:00,2.833,11.277
2026-02-25T02:15:00+00:00,2.831,11.3
2026-02-25T02:20:00+00:00,2.798,11.292
2026-02-25T02:25:00+00:00,2.778,11.298
2026-02-25T02:30:00+00:00,2.77,11.3
2026-02-25T02:35:00+00:00,2.726,11.3
2026-02-25T02:40:00+00:00,2.722,11.3
2026-02-25T02:45:00+00:00,2.696,11.298
2026-02-25T02:50:00+00:00,2.657,11.232
2026-02-25T02:55:00+00:00,2.67,11.24
2026-02-25T03:00:00+00:00,2.657,11.26
2026-02-25T03:05:00+00:00,2.666,11.2
2026-02-25T03:10:00+00:00,2.652,11.2
2026-02-25T03:15:00+00:00,2.667,11.2
2026-02-25T03:20:00+00:00,2.672,11.2
2026-02-25T03:25:00+00:00,2.67,11.2
2026-02-25T03:30:00+00:00,2.62,11.2
2026-02-25T03:35:00+00:00,2.59,11.2
2026-02-25T03:40:00+00:00,2.611,11.2
2026-02-25T03:45:00+00:00,2.578,11.2
2026-02-25T03:50:00+00:00,2.594,11.2
2026-02-25T03:55:00+00:00,2.58,11.2
2026-02-25T04:00:00+00:00,2.592,11.2
2026-02-25T04:05:00+00:00,2.618,11.2
2026-02-25T04:10:00+00:00,2.628,11.2
2026-02-25T04:15:00+00:00,2.654,11.2
2026-02-25T04:20:00+00:00,2.641,11.2
2026-02-25T04:25:00+00:00,2.643,11.2
2026-02-25T04:30:00+00:00,2.653,11.2
2026-02-25T04:35:00+00:00,2.714,11.2
2026-02-25T04:40:00+00:00,2.716,11.2
2026-02-25T04:45:00+00:00,2.74,11.2
2026-02-25T04:50:00+00:00,2.763,11.2
2026-02-25T04:55:00+00:00,2.854,11.2
2026-02-25T05:00:00+00:00,2.812,11.2
2026-02-25T05:05:00+00:00,2.84,11.2
2026-02-25T05:10:00+00:00,2.843,11.2
2026-02-25T05:15:00+00:00,2.812,11.2
2026-02-25T05:20:00+00:00,2.813,11.2
2026-02-25T05:25:00+00:00,2.857,11.174
2026-02-25T05:30:00+00:00,2.96,11.196
2026-02-25T05:35:00+00:00,2.972,11.2
2026-02-25T05:40:00+00:00,2.955,11.2
2026-02-25T05:45:00+00:00,2.978,11.2
2026-02-25T05:50:00+00:00,2.997,11.2
2026-02-25T05:55:00+00:00,3.032,11.2
2026-02-25T06:00:00+00:00,3.096,11.2
2026-02-25T06:05:00+00:00,3.205,11.154
2026-02-25T06:10:00+00:00,3.33,11.176
2026-02-25T06:15:00+00:00,3.282,11.2
2026-02-25T06:20:00+00:00,3.286,11.176
2026-02-25T06:25:00+00:00,3.34,11.141
2026-02-25T06:30:00+00:00,3.362,11.187
2026-02-25T06:35:00+00:00,3.44,11.189
2026-02-25T06:40:00+00:00,3.524,11.134
2026-02-25T06:45:00+00:00,3.514,11.135
2026-02-25T06:50:00+00:00,3.593,11.1
2026-02-25T06:55:00+00:00,3.766,11.146
2026-02-25T07:00:00+00:00,3.936,11.2
2026-02-25T07:05:00+00:00,3.974,11.2
2026-02-25T07:10:00+00:00,3.952,11.171
2026-02-25T07:15:00+00:00,3.916,11.203
2026-02-25T07:20:00+00:00,4.021,11.2
2026-02-25T07:25:00+00:00,4.094,11.2
2026-02-25T07:30:00+00:00,4.112,11.2
2026-02-25T07:35:00+00:00,4.18,11.2
2026-02-25T07:40:00+00:00,4.242,11.2
2026-02-25T07:45:00+00:00,4.265,11.189
2026-02-25T07:50:00+00:00,4.224,11.182
2026-02-25T07:55:00+00:00,4.296,11.133
2026-02-25T08:00:00+00:00,4.242,11.171
2026-02-25T08:05:00+00:00,4.306,11.178
2026-02-25T08:10:00+00:00,4.392,11.142
2026-02-25T08:15:00+00:00,4.394,11.134
2026-02-25T08:20:00+00:00,4.414,11.147
2026-02-25T08:25:00+00:00,4.408,11.144
2026-02-25T08:30:00+00:00,4.426,11.156
2026-02-25T08:35:00+00:00,4.354,11.134
2026-02-25T08:40:00+00:00,4.316,11.148
2026-02-25T08:45:00+00:00,4.393,11.154
2026-02-25T08:50:00+00:00,4.378,11.124
2026-02-25T08:55:00+00:00,4.29,11.1
2026-02-25T09:00:00+00:00,4.479,11.172
2026-02-25T09:05:00+00:00,4.538,11.2
2026-02-25T09:10:00+00:00,4.493,11.238
2026-02-25T09:15:00+00:00,4.516,11.209
2026-02-25T09:20:00+00:00,4.544,11.228
2026-02-25T09:25:00+00:00,4.519,11.265
2026-02-25T09:30:00+00:00,4.61,11.261
2026-02-25T09:35:00+00:00,4.635,11.274
2026-02-25T09:40:00+00:00,4.573,11.245
2026-02-25T09:45:00+00:00,4.387,11.2
2026-02-25T09:50:00+00:00,4.334,11.2
2026-02-25T09:55:00+00:00,4.406,11.2
2026-02-25T10:00:00+00:00,4.374,11.236
2026-02-25T10:05:00+00:00,4.454,11.257
2026-02-25T10:10:00+00:00,4.433,11.3
2026-02-25T10:15:00+00:00,4.488,11.296
2026-02-25T10:20:00+00:00,4.421,11.3
2026-02-25T10:25:00+00:00,4.415,11.3
2026-02-25T10:30:00+00:00,4.432,11.3
2026-02-25T10:35:00+00:00,4.458,11.3
2026-02-25T10:40:00+00:00,4.365,11.3
2026-02-25T10:45:00+00:00,4.376,11.3
2026-02-25T10:50:00+00:00,4.365,11.247
2026-02-25T10:55:00+00:00,4.286,11.278
2026-02-25T11:00:00+00:00,4.306,11.296
2026-02-25T11:05:00+00:00,4.324,11.269
2026-02-25T11:10:00+00:00,4.36,11.239
2026-02-25T11:15:00+00:00,4.397,11.238
2026-02-25T11:20:00+00:00,4.428,11.284
2026-02-25T11:25:00+00:00,4.431,11.3
2026-02-25T11:30:00+00:00,4.447,11.261
2026-02-25T11:35:00+00:00,4.379,11.284
2026-02-25T11:40:00+00:00,4.368,11.272
2026-02-25T11:45:00+00:00,4.345,11.234
2026-02-25T11:50:00+00:00,4.281,11.244
2026-02-25T11:55:00+00:00,4.27,11.252
2026-02-25T12:00:00+00:00,4.236,11.3
2026-02-25T12:05:00+00:00,4.177,11.272
2026-02-25T12:10:00+00:00,4.197,11.289
2026-02-25T12:15:00+00:00,4.248,11.298
2026-02-25T12:20:00+00:00,4.233,11.298
2026-02-25T12:25:00+00:00,4.223,11.3
2026-02-25T12:30:00+00:00,4.309,11.211
2026-02-25T12:35:00+00:00,4.28,11.2
2026-02-25T12:40:00+00:00,4.214,11.2
2026-02-25T12:45:00+00:00,4.219,11.2
2026-02-25T12:50:00+00:00,4.22,11.2
2026-02-25T12:55:00+00:00,4.262,11.2
2026-02-25T13:00:00+00:00,4.186,11.204
2026-02-25T13:05:00+00:00,4.224,11.2
2026-02-25T13:10:00+00:00,4.326,11.2
2026-02-25T13:15:00+00:00,4.31,11.2
2026-02-25T13:20:00+00:00,4.277,11.228
2026-02-25T13:25:00+00:00,4.228,11.225
2026-02-25T13:30:00+00:00,4.16,11.28
2026-02-25T13:35:00+00:00,4.139,11.274
2026-02-25T13:40:00+00:00,4.178,11.28
2026-02-25T13:45:00+00:00,4.198,11.3
2026-02-25T13:50:00+00:00,4.143,11.3
2026-02-25T13:55:00+00:00,4.132,11.3
2026-02-25T14:00:00+00:00,4.122,11.3
2026-02-25T14:05:00+00:00,4.13,11.3
2026-02-25T14:10:00+00:00,4.248,11.3
2026-02-25T14:15:00+00:00,4.206,11.3
2026-02-25T14:20:00+00:00,4.178,11.289
2026-02-25T14:25:00+00:00,4.216,11.296
2026-02-25T14:30:00+00:00,4.246,11.3
2026-02-25T14:35:00+00:00,4.17,11.282
2026-02-25T14:40:00+00:00,4.15,11.248
2026-02-25T14:45:00+00:00,4.174,11.22
2026-02-25T14:50:00+00:00,4.163,11.295
2026-02-25T14:55:00+00:00,4.164,11.3
2026-02-25T15:00:00+00:00,4.166,11.3
2026-02-25T15:05:00+00:00,4.114,11.219
2026-02-25T15:10:00+00:00,4.09,11.2
2026-02-25T15:15:00+00:00,4.081,11.2
2026-02-25T15:20:00+00:00,4.085,11.2
2026-02-25T15:25:00+00:00,4.136,11.2
2026-02-25T15:30:00+00:00,4.204,11.2
2026-02-25T15:35:00+00:00,4.25,11.2
2026-02-25T15:40:00+00:00,4.29,11.2
2026-02-25T15:45:00+00:00,4.357,11.205
2026-02-25T15:50:00+00:00,4.442,11.252
2026-02-25T15:55:00+00:00,4.46,11.2
2026-02-25T16:00:00+00:00,4.526,11.2
2026-02-25T16:05:00+00:00,4.624,11.13
2026-02-25T16:10:00+00:00,4.858,11.191
2026-02-25T16:15:00+00:00,4.941,11.202
2026-02-25T16:20:00+00:00,4.857,11.2
2026-02-25T16:25:00+00:00,4.868,11.2
2026-02-25T16:30:00+00:00,5.12,11.2
2026-02-25T16:35:00+00:00,5.058,11.164
2026-02-25T16:40:00+00:00,5.01,11.1
2026-02-25T16:45:00+00:00,4.962,11.112
2026-02-25T16:50:00+00:00,5.065,11.2
2026-02-25T16:55:00+00:00,5.105,11.2
2026-02-25T17:00:00+00:00,5.114,11.2
2026-02-25T17:05:00+00:00,5.078,11.192
2026-02-25T17:10:00+00:00,5.232,11.204
2026-02-25T17:15:00+00:00,5.185,11.204
2026-02-25T17:20:00+00:00,5.276,11.198
2026-02-25T17:25:00+00:00,5.374,11.134
2026-02-25T17:30:00+00:00,5.413,11.1
2026-02-25T17:35:00+00:00,5.46,11.102
2026-02-25T17:40:00+00:00,5.502,11.1
2026-02-25T17:45:00+00:00,5.481,11.1
2026-02-25T17:50:00+00:00,5.481,11.1
2026-02-25T17:55:00+00:00,5.596,11.1
2026-02-25T18:00:00+00:00,5.748,11.165
2026-02-25T18:05:00+00:00,5.848,11.2
2026-02-25T18:10:00+00:00,5.929,11.2
2026-02-25T18:15:00+00:00,5.926,11.2
2026-02-25T18:20:00+00:00,5.918,11.2
2026-02-25T18:25:00+00:00,5.882,11.204
2026-02-25T18:30:00+00:00,5.923,11.212
2026-02-25T18:35:00+00:00,5.846,11.224
2026-02-25T18:40:00+00:00,5.698,11.2
2026-02-25T18:45:00+00:00,5.7,11.2
2026-02-25T18:50:00+00:00,5.684,11.2
2026-02-25T18:55:00+00:00,5.536,11.164
2026-02-25T19:00:00+00:00,5.47,11.198
