ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,2.615,10.911
2026-02-25T00:10:00+00:00,2.687,10.9
2026-02-25T00:15:00+00:00,2.688,10.986
2026-02-25T00:20:00+00:00,2.732,11.0
2026-02-25T00:25:00+00:00,2.684,11.0
2026-02-25T00:30:00+00:00,2.666,11.0
2026-02-25T00:35:00+00:00,2.778,11.0
2026-02-25T00:40:00+00:00,2.867,11.0
2026-02-25T00:45:00+00:00,2.881,11.0
2026-02-25T00:50:00+00:00,2.875,11.0
2026-02-25T00:55:00+00:00,2.9,11.0
2026-02-25T01:00:00+00:00,2.922,11.0
2026-02-25T01:05:00+00:00,2.953,10.956
2026-02-25T01:10:00+00:00,2.986,10.971
2026-02-25T01:15:00+00:00,2.942,11.0
2026-02-25T01:20:00+00:00,2.914,11.0
2026-02-25T01:25:00+00:00,2.883,11.0
2026-02-25T01:30:00+00:00,2.871,11.0
2026-02-25T01:35:00+00:00,2.922,11.0
2026-02-25T01:40:00+00:00,2.95,10.979
2026-02-25T01:45:00+00:00,2.867,10.942
2026-02-25T01:50:00+00:00,2.782,11.0
2026-02-25T01:55:00+00:00,2.795,11.0
2026-02-25T02:00:00+00:00,2.777,11.0
2026-02-25T02:05:00+00:00,2.765,11.0
2026-02-25T02:10:00+00:00,2.762,11.0
2026-02-25T02:15:00+00:00,2.77,11.0
2026-02-25T02:20:00+00:00,2.755,11.0
2026-02-25T02:25:00+00:00,2.721,11.031
2026-02-25T02:30:00+00:00,2.726,11.024
2026-02-25T02:35:00+00:00,2.737,11.0
2026-02-25T02:40:00+00:00,2.77,11.0
2026-02-25T02:45:00+00:00,2.789,11.0
2026-02-25T02:50:00+00:00,2.774,10.968
2026-02-25T02:55:00+00:00,2.756,10.948
2026-02-25T03:00:00+00:00,2.746,10.934
2026-02-25T03:05:00+00:00,2.82,10.9
2026-02-25T03:10:00+00:00,2.81,10.9
2026-02-25T03:15:00+00:00,2.796,10.9
2026-02-25T03:20:00+00:00,2.736,10.9
2026-02-25T03:25:00+00:00,2.772,10.9
2026-02-25T03:30:00+00:00,2.728,10.9
2026-02-25T03:35:00+00:00,2.73,10.9
2026-02-25T03:40:00+00:00,2.703,10.9
2026-02-25T03:45:00+00:00,2.67,10.9
2026-02-25T03:50:00+00:00,2.658,10.947
2026-02-25T03:55:00+00:00,2.609,11.0
2026-02-25T04:00:00+00:00,2.643,11.0
2026-02-25T04:05:00+00:00,2.63,11.0
2026-02-25T04:10:00+00:00,2.663,10.996
2026-02-25T04:15:00+00:00,2.635,10.942
2026-02-25T04:20:00+00:00,2.604,10.9
2026-02-25T04:25:00+00:00,2.569,10.911
2026-02-25T04:30:00+00:00,2.533,10.9
2026-02-25T04:35:00+00:00,2.477,10.992
2026-02-25T04:40:00+00:00,2.494,11.0
2026-02-25T04:45:00+00:00,2.485,11.0
2026-02-25T04:50:00+00:00,2.481,11.0
2026-02-25T04:55:00+00:00,2.463,11.0
2026-02-25T05:00:00+00:00,2.453,11.0
2026-02-25T05:05:00+00:00,2.39,10.927
2026-02-25T05:10:00+00:00,2.439,10.9
2026-02-25T05:15:00+00:00,2.473,10.9
2026-02-25T05:20:00+00:00,2.467,10.9
2026-02-25T05:25:00+00:00,2.513,10.9
2026-02-25T05:30:00+00:00,2.47,10.9
2026-02-25T05:35:00+00:00,2.424,10.9
2026-02-25T05:40:00+00:00,2.445,10.9
2026-02-25T05:45:00+00:00,2.583,10.9
2026-02-25T05:50:00+00:00,2.585,10.947
2026-02-25T05:55:00+00:00,2.671,10.9
2026-02-25T06:00:00+00:00,2.691,10.9
2026-02-25T06:05:00+00:00,2.688,10.929
2026-02-25T06:10:00+00:00,2.72,10.882
2026-02-25T06:15:00+00:00,2.772,10.933
2026-02-25T06:20:00+00:00,2.808,10.941
2026-02-25T06:25:00+00:00,2.84,10.975
2026-02-25T06:30:00+00:00,2.853,10.9
2026-02-25T06:35:00+00:00,2.88,10.9
2026-02-25T06:40:00+00:00,2.942,10.9
2026-02-25T06:45:00+00:00,2.984,10.9
2026-02-25T06:50:00+00:00,2.942,10.892
2026-02-25T06:55:00+00:00,2.96,10.879
2026-02-25T07:00:00+00:00,2.948,10.906
2026-02-25T07:05:00+00:00,2.971,10.9
2026-02-25T07:10:00+00:00,3.016,10.9
2026-02-25T07:15:00+00:00,2.985,10.9
2026-02-25T07:20:00+00:00,3.063,10.887
2026-02-25T07:25:00+00:00,3.129,10.9
2026-02-25T07:30:00+00:00,3.096,10.9
2026-02-25T07:35:00+00:00,3.001,10.921
2026-02-25T07:40:00+00:00,3.045,10.9
2026-02-25T07:45:00+00:00,2.994,10.9
2026-02-25T07:50:00+00:00,2.983,10.9
2026-02-25T07:55:00+00:00,3.067,10.9
2026-02-25T08:00:00+00:00,3.096,10.9
2026-02-25T08:05:00+00:00,3.166,10.9
2026-02-25T08:10:00+00:00,3.095,10.9
2026-02-25T08:15:00+00:00,3.045,10.9
2026-02-25T08:20:00+00:00,2.988,10.9
2026-02-25T08:25:00+00:00,2.854,10.9
2026-02-25T08:30:00+00:00,2.884,10.916
2026-02-25T08:35:00+00:00,2.93,10.969
2026-02-25T08:40:00+00:00,2.94,10.965
2026-02-25T08:45:00+00:00,2.914,11.0
2026-02-25T08:50:00+00:00,2.912,10.987
2026-02-25T08:55:00+00:00,2.924,10.9
2026-02-25T09:00:00+00:00,2.886,10.9
2026-02-25T09:05:00+00:00,2.956,10.9
2026-02-25T09:10:00+00:00,2.976,10.91
2026-02-25T09:15:00+00:00,2.904,10.9
2026-02-25T09:20:00+00:00,2.886,10.9
2026-02-25T09:25:00+00:00,2.906,10.9
2026-02-25T09:30:00+00:00,2.874,10.916
2026-02-25T09:35:00+00:00,2.941,10.919
2026-02-25T09:40:00+00:00,2.959,10.9
2026-02-25T09:45:00+00:00,2.969,10.9
2026-02-25T09:50:00+00:00,2.919,10.9
2026-02-25T09:55:00+00:00,2.863,10.9
2026-02-25T10:00:00+00:00,2.864,10.946
2026-02-25T10:05:00+00:00,2.843,10.994
2026-02-25T10:10:00+00:00,2.762,11.0
2026-02-25T10:15:00+00:00,2.739,11.0
2026-02-25T10:20:00+00:00,2.764,11.0
2026-02-25T10:25:00+00:00,2.709,11.0
2026-02-25T10:30:00+00:00,2.674,10.987
2026-02-25T10:35:00+00:00,2.754,10.9
2026-02-25T10:40:00+00:00,2.776,10.9
2026-02-25T10:45:00+00:00,2.637,10.9
2026-02-25T10:50:00+00:00,2.584,10.901
2026-02-25T10:55:00+00:00,2.563,10.961
2026-02-25T11:00:00+00:00,2.554,10.962
2026-02-25T11:05:00+00:00,2.573,10.912
2026-02-25T11:10:00+00:00,2.627,10.9
2026-02-25T11:15:00+00:00,2.573,10.9
2026-02-25T11:20:00+00:00,2.573,10.9
2026-02-25T11:25:00+00:00,2.583,10.962
2026-02-25T11:30:00+00:00,2.607,10.961
2026-02-25T11:35:00+00:00,2.54,10.978
2026-02-25T11:40:00+00:00,2.551,10.984
2026-02-25T11:45:00+00:00,2.515,11.0
2026-02-25T11:50:00+00:00,2.431,11.0
2026-02-25T11:55:00+00:00,2.457,11.0
2026-02-25T12:00:00+00:00,2.385,11.0
2026-02-25T12:05:00+00:00,2.388,11.0
2026-02-25T12:10:00+00:00,2.393,10.998
2026-02-25T12:15:00+00:00,2.377,10.88
2026-02-25T12:20:00+00:00,2.339,10.9
2026-02-25T12:25:00+00:00,2.402,10.9
2026-02-25T12:30:00+00:00,2.427,10.9
2026-02-25T12:35:00+00:00,2.327,10.9
2026-02-25T12:40:00+00:00,2.396,10.9
2026-02-25T12:45:00+00:00,2.391,10.914
2026-02-25T12:50:00+00:00,2.416,10.9
2026-02-25T12:55:00+00:00,2.417,10.945
2026-02-25T13:00:00+00:00,2.401,10.999
2026-02-25T13:05:00+00:00,2.466,10.934
2026-02-25T13:10:00+00:00,2.436,11.0
2026-02-25T13:15:00+00:00,2.348,11.0
2026-02-25T13:20:00+00:00,2.362,11.0
2026-02-25T13:25:00+00:00,2.405,10.947
2026-02-25T13:30:00+00:00,2.402,10.946
2026-02-25T13:35:00+00:00,2.423,10.971
2026-02-25T13:40:00+00:00,2.453,10.931
2026-02-25T13:45:00+00:00,2.54,10.986
2026-02-25T13:50:00+00:00,2.439,10.935
2026-02-25T13:55:00+00:00,2.41,10.983
2026-02-25T14:00:00+00:00,2.391,11.0
2026-02-25T14:05:00+00:00,2.401,11.0
2026-02-25T14:10:00+00:00,2.385,10.998
2026-02-25T14:15:00+00:00,2.402,10.904
2026-02-25T14:20:00+00:00,2.47,10.9
2026-02-25T14:25:00+00:00,2.451,10.908
2026-02-25T14:30:00+00:00,2.453,10.908
2026-02-25T14:35:00+00:00,2.48,10.9
2026-02-25T14:40:00+00:00,2.563,10.9
2026-02-25T14:45:00+00:00,2.543,10.9
2026-02-25T14:50:00+00:00,2.494,10.9
2026-02-25T14:55:00+00:00,2.468,10.939
2026-02-25T15:00:00+00:00,2.455,11.0
2026-02-25T15:05:00+00:00,2.392,11.0
2026-02-25T15:10:00+00:00,2.367,11.0
2026-02-25T15:15:00+00:00,2.411,11.0
2026-02-25T15:20:00+00:00,2.468,10.947
2026-02-25T15:25:00+00:00,2.543,10.973
2026-02-25T15:30:00+00:00,2.536,10.9
2026-02-25T15:35:00+00:00,2.565,10.9
2026-02-25T15:40:00+00:00,2.629,10.9
