ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.588,11.195
2026-02-25T00:10:00+00:00,3.571,11.22
2026-02-25T00:15:00+00:00,3.533,11.242
2026-02-25T00:20:00+00:00,3.544,11.289
2026-02-25T00:25:00+00:00,3.582,11.2
2026-02-25T00:30:00+00:00,3.584,11.163
2026-02-25T00:35:00+00:00,3.625,11.084
2026-02-25T00:40:00+00:00,3.63,11.162
2026-02-25T00:45:00+00:00,3.613,11.207
2026-02-25T00:50:00+00:00,3.583,11.147
2026-02-25T00:55:00+00:00,3.621,11.105
2026-02-25T01:00:00+00:00,3.616,11.142
2026-02-25T01:05:00+00:00,3.606,11.2
2026-02-25T01:10:00+00:00,3.584,11.202
2026-02-25T01:15:00+00:00,3.595,11.2
2026-02-25T01:20:00+00:00,3.596,11.112
2026-02-25T01:25:00+00:00,3.594,11.133
2026-02-25T01:30:00+00:00,3.57,11.161
2026-02-25T01:35:00+00:00,3.576,11.1
2026-02-25T01:40:00+00:00,3.548,11.1
2026-02-25T01:45:00+00:00,3.562,11.11
2026-02-25T01:50:00+00:00,3.544,11.197
2026-02-25T01:55:00+00:00,3.571,11.2
2026-02-25T02:00:00+00:00,3.561,11.2
2026-02-25T02:05:00+00:00,3.585,11.158
2026-02-25T02:10:00+00:00,3.589,11.175
2026-02-25T02:15:00+00:00,3.573,11.2
2026-02-25T02:20:00+00:00,3.578,11.2
2026-02-25T02:25:00+00:00,3.571,11.2
2026-02-25T02:30:00+00:00,3.567,11.2
2026-02-25T02:35:00+00:00,3.571,11.2
2026-02-25T02:40:00+00:00,3.516,11.232
2026-02-25T02:45:00+00:00,3.556,11.238
2026-02-25T02:50:00+00:00,3.61,11.112
2026-02-25T02:55:00+00:00,3.488,11.2
2026-02-25T03:00:00+00:00,3.458,11.2
2026-02-25T03:05:00+00:00,3.46,11.279
2026-02-25T03:10:00+00:00,3.458,11.223
2026-02-25T03:15:00+00:00,3.492,11.172
2026-02-25T03:20:00+00:00,3.476,11.187
2026-02-25T03:25:00+00:00,3.48,11.2
2026-02-25T03:30:00+00:00,3.491,11.2
2026-02-25T03:35:00+00:00,3.459,11.2
2026-02-25T03:40:00+00:00,3.482,11.137
2026-02-25T03:45:00+00:00,3.46,11.185
2026-02-25T03:50:00+00:00,3.467,11.192
2026-02-25T03:55:00+00:00,3.496,11.227
2026-02-25T04:00:00+00:00,3.475,11.259
2026-02-25T04:05:00+00:00,3.485,11.3
2026-02-25T04:10:00+00:00,3.496,11.3
2026-02-25T04:15:00+00:00,3.492,11.3
2026-02-25T04:20:00+00:00,3.49,11.3
2026-02-25T04:25:00+00:00,3.489,11.293
2026-02-25T04:30:00+00:00,3.496,11.208
2026-02-25T04:35:00+00:00,3.479,11.2
2026-02-25T04:40:00+00:00,3.484,11.2
2026-02-25T04:45:00+00:00,3.461,11.2
2026-02-25T04:50:00+00:00,3.454,11.2
2026-02-25T04:55:00+00:00,3.534,11.2
2026-02-25T05:00:00+00:00,3.548,11.2
2026-02-25T05:05:00+00:00,3.535,11.166
2026-02-25T05:10:00+00:00,3.595,11.1
2026-02-25T05:15:00+00:00,3.593,11.1
2026-02-25T05:20:00+00:00,3.603,11.1
2026-02-25T05:25:00+00:00,3.626,11.1
2026-02-25T05:30:00+00:00,3.63,11.1
2026-02-25T05:35:00+00:00,3.613,11.1
2026-02-25T05:40:00+00:00,3.607,11.124
2026-02-25T05:45:00+00:00,3.636,11.179
2026-02-25T05:50:00+00:00,3.669,11.161
2026-02-25T05:55:00+00:00,3.698,11.1
2026-02-25T06:00:00+00:00,3.723,11.1
2026-02-25T06:05:00+00:00,3.806,11.09
2026-02-25T06:10:00+00:00,3.884,11.116
2026-02-25T06:15:00+00:00,3.96,11.2
2026-02-25T06:20:00+00:00,4.014,11.206
2026-02-25T06:25:00+00:00,4.056,11.21
2026-02-25T06:30:00+00:00,4.052,11.2
2026-02-25T06:35:00+00:00,4.096,11.2
2026-02-25T06:40:00+00:00,4.126,11.2
2026-02-25T06:45:00+00:00,4.152,11.2
2026-02-25T06:50:00+00:00,4.198,11.158
2026-02-25T06:55:00+00:00,4.228,11.114
2026-02-25T07:00:00+00:00,4.272,11.136
2026-02-25T07:05:00+00:00,4.305,11.105
2026-02-25T07:10:00+00:00,4.4,11.153
2026-02-25T07:15:00+00:00,4.382,11.218
2026-02-25T07:20:00+00:00,4.425,11.264
2026-02-25T07:25:00+00:00,4.494,11.204
2026-02-25T07:30:00+00:00,4.533,11.22
2026-02-25T07:35:00+00:00,4.544,11.131
2026-02-25T07:40:00+00:00,4.577,11.1
2026-02-25T07:45:00+00:00,4.598,11.1
2026-02-25T07:50:00+00:00,4.595,11.1
2026-02-25T07:55:00+00:00,4.644,11.1
2026-02-25T08:00:00+00:00,4.682,11.1
2026-02-25T08:05:00+00:00,4.827,11.1
2026-02-25T08:10:00+00:00,4.85,11.164
2026-02-25T08:15:00+00:00,4.856,11.2
2026-02-25T08:20:00+00:00,4.896,11.278
2026-02-25T08:25:00+00:00,4.918,11.26
2026-02-25T08:30:00+00:00,4.938,11.2
2026-02-25T08:35:00+00:00,4.894,11.24
2026-02-25T08:40:00+00:00,4.977,11.258
2026-02-25T08:45:00+00:00,5.056,11.141
2026-02-25T08:50:00+00:00,5.118,11.1
2026-02-25T08:55:00+00:00,5.104,11.1
2026-02-25T09:00:00+00:00,5.092,11.115
2026-02-25T09:05:00+00:00,5.124,11.136
2026-02-25T09:10:00+00:00,5.1,11.188
2026-02-25T09:15:00+00:00,5.14,11.177
2026-02-25T09:20:00+00:00,5.166,11.2
2026-02-25T09:25:00+00:00,5.198,11.2
2026-02-25T09:30:00+00:00,5.174,11.2
2026-02-25T09:35:00+00:00,5.162,11.2
2026-02-25T09:40:00+00:00,5.166,11.201
2026-02-25T09:45:00+00:00,5.282,11.278
2026-02-25T09:50:00+00:00,5.312,11.2
2026-02-25T09:55:00+00:00,5.396,11.2
2026-02-25T10:00:00+00:00,5.402,11.2
2026-02-25T10:05:00+00:00,5.41,11.2
2026-02-25T10:10:00+00:00,5.379,11.2
2026-02-25T10:15:00+00:00,5.352,11.2
2026-02-25T10:20:00+00:00,5.314,11.2
2026-02-25T10:25:00+00:00,5.295,11.2
2026-02-25T10:30:00+00:00,5.304,11.2
2026-02-25T10:35:00+00:00,5.342,11.2
2026-02-25T10:40:00+00:00,5.328,11.194
2026-02-25T10:45:00+00:00,5.318,11.103
2026-02-25T10:50:00+00:00,5.369,11.094
2026-02-25T10:55:00+00:00,5.402,11.092
2026-02-25T11:00:00+00:00,5.46,11.221
2026-02-25T11:05:00+00:00,5.45,11.266
2026-02-25T11:10:00+00:00,5.418,11.2
2026-02-25T11:15:00+00:00,5.43,11.184
2026-02-25T11:20:00+00:00,5.418,11.2
2026-02-25T11:25:00+00:00,5.403,11.238
2026-02-25T11:30:00+00:00,5.506,11.131
2026-02-25T11:35:00+00:00,5.52,11.1
2026-02-25T11:40:00+00:00,5.508,11.1
2026-02-25T11:45:00+00:00,5.514,11.1
2026-02-25T11:50:00+00:00,5.502,11.1
2026-02-25T11:55:00+00:00,5.488,11.1
2026-02-25T12:00:00+00:00,5.511,11.1
2026-02-25T12:05:00+00:00,5.528,11.1
2026-02-25T12:10:00+00:00,5.52,11.1
2026-02-25T12:15:00+00:00,5.476,11.151
2026-02-25T12:20:00+00:00,5.424,11.171
2026-02-25T12:25:00+00:00,5.336,11.196
2026-02-25T12:30:00+00:00,5.37,11.297
2026-02-25T12:35:00+00:00,5.349,11.22
2026-02-25T12:40:00+00:00,5.398,11.22
2026-02-25T12:45:00+00:00,5.392,11.2
2026-02-25T12:50:00+00:00,5.453,11.092
2026-02-25T12:55:00+00:00,5.353,11.1
2026-02-25T13:00:00+00:00,5.364,11.1
2026-02-25T13:05:00+00:00,5.411,11.1
2026-02-25T13:10:00+00:00,5.406,11.1
2026-02-25T13:15:00+00:00,5.38,11.1
2026-02-25T13:20:00+00:00,5.322,11.1
2026-02-25T13:25:00+00:00,5.319,11.1
2026-02-25T13:30:00+00:00,5.303,11.1
2026-02-25T13:35:00+00:00,5.321,11.118
2026-02-25T13:40:00+00:00,5.304,11.2
2026-02-25T13:45:00+00:00,5.288,11.21
2026-02-25T13:50:00+00:00,5.377,11.144
2026-02-25T13:55:00+00:00,5.386,11.1
2026-02-25T14:00:00+00:00,5.449,11.1
2026-02-25T14:05:00+00:00,5.472,11.1
2026-02-25T14:10:00+00:00,5.451,11.1
2026-02-25T14:15:00+00:00,5.454,11.1
2026-02-25T14:20:00+00:00,5.434,11.1
2026-02-25T14:25:00+00:00,5.448,11.1
2026-02-25T14:30:00+00:00,5.374,11.1
2026-02-25T14:35:00+00:00,5.406,11.1
2026-02-25T14:40:00+00:00,5.411,11.1
2026-02-25T14:45:00+00:00,5.406,11.1
2026-02-25T14:50:00+00:00,5.378,11.072
2026-02-25T14:55:00+00:00,5.42,11.189
2026-02-25T15:00:00+00:00,5.452,11.19
2026-02-25T15:05:00+00:00,5.462,11.194
2026-02-25T15:10:00+00:00,5.434,11.259
2026-02-25T15:15:00+00:00,5.427,11.232
2026-02-25T15:20:00+00:00,5.485,11.111
2026-02-25T15:25:00+00:00,5.529,11.054
2026-02-25T15:30:00+00:00,5.48,11.1
2026-02-25T15:35:00+00:00,5.429,11.152
2026-02-25T15:40:00+00:00,5.344,11.181
2026-02-25T15:45:00+00:00,5.318,11.108
2026-02-25T15:50:00+00:00,5.33,11.1
2026-02-25T15:55:00+00:00,5.356,11.169
2026-02-25T16:00:00+00:00,5.352,11.2
2026-02-25T16:05:00+00:00,5.377,11.234
2026-02-25T16:10:00+00:00,5.323,11.219
2026-02-25T16:15:00+00:00,5.278,11.1
2026-02-25T16:20:00+00:00,5.22,11.1
2026-02-25T16:25:00+00:00,5.156,11.1
2026-02-25T16:30:00+00:00,5.112,11.098
2026-02-25T16:35:00+00:00,5.139,11.1
2026-02-25T16:40:00+00:00,5.079,11.152
2026-02-25T16:45:00+00:00,5.069,11.222
2026-02-25T16:50:00+00:00,5.082,11.2
2026-02-25T16:55:00+00:00,5.045,11.2
2026-02-25T17:00:00+00:00,5.024,11.2
2026-02-25T17:05:00+00:00,4.872,11.196
2026-02-25T17:10:00+00:00,4.83,11.2
