ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,4.703,11.198
2026-02-25T00:10:00+00:00,4.794,11.195
2026-02-25T00:15:00+00:00,4.78,11.194
2026-02-25T00:20:00+00:00,4.762,11.192
2026-02-25T00:25:00+00:00,4.68,11.2
2026-02-25T00:30:00+00:00,4.57,11.2
2026-02-25T00:35:00+00:00,4.679,11.2
2026-02-25T00:40:00+00:00,4.788,11.2
2026-02-25T00:45:00+00:00,4.768,11.2
2026-02-25T00:50:00+00:00,4.744,11.2
2026-02-25T00:55:00+00:00,4.726,11.2
2026-02-25T01:00:00+00:00,4.675,11.221
2026-02-25T01:05:00+00:00,4.729,11.2
2026-02-25T01:10:00+00:00,4.692,11.211
2026-02-25T01:15:00+00:00,4.678,11.215
2026-02-25T01:20:00+00:00,4.681,11.202
2026-02-25T01:25:00+00:00,4.678,11.242
2026-02-25T01:30:00+00:00,4.669,11.25
2026-02-25T01:35:00+00:00,4.706,11.24
2026-02-25T01:40:00+00:00,4.74,11.244
2026-02-25T01:45:00+00:00,4.77,11.252
2026-02-25T01:50:00+00:00,4.732,11.3
2026-02-25T01:55:00+00:00,4.698,11.3
2026-02-25T02:00:00+00:00,4.576,11.3
2026-02-25T02:05:00+00:00,4.592,11.3
2026-02-25T02:10:00+00:00,4.654,11.3
2026-02-25T02:15:00+00:00,4.657,11.284
2026-02-25T02:20:00+00:00,4.672,11.221
2026-02-25T02:25:00+00:00,4.671,11.218
2026-02-25T02:30:00+00:00,4.768,11.165
2026-02-25T02:35:00+00:00,4.778,11.182
2026-02-25T02:40:00+00:00,4.63,11.198
2026-02-25T02:45:00+00:00,4.698,11.2
2026-02-25T02:50:00+00:00,4.716,11.208
2026-02-25T02:55:00+00:00,4.642,11.239
2026-02-25T03:00:00+00:00,4.569,11.246
2026-02-25T03:05:00+00:00,4.572,11.2
2026-02-25T03:10:00+00:00,4.544,11.2
2026-02-25T03:15:00+00:00,4.546,11.201
2026-02-25T03:20:00+00:00,4.492,11.202
2026-02-25T03:25:00+00:00,4.495,11.2
2026-02-25T03:30:00+00:00,4.424,11.2
2026-02-25T03:35:00+00:00,4.404,11.2
2026-02-25T03:40:00+00:00,4.422,11.2
2026-02-25T03:45:00+00:00,4.449,11.225
2026-02-25T03:50:00+00:00,4.447,11.244
2026-02-25T03:55:00+00:00,4.333,11.25
2026-02-25T04:00:00+00:00,4.296,11.25
2026-02-25T04:05:00+00:00,4.288,11.25
2026-02-25T04:10:00+00:00,4.212,11.25
2026-02-25T04:15:00+00:00,4.221,11.248
2026-02-25T04:20:00+00:00,4.252,11.225
2026-02-25T04:25:00+00:00,4.26,11.242
2026-02-25T04:30:00+00:00,4.188,11.212
2026-02-25T04:35:00+00:00,4.196,11.206
2026-02-25T04:40:00+00:00,4.221,11.215
2026-02-25T04:45:00+00:00,4.203,11.25
2026-02-25T04:50:00+00:00,4.192,11.235
2026-02-25T04:55:00+00:00,4.23,11.222
2026-02-25T05:00:00+00:00,4.294,11.2
2026-02-25T05:05:00+00:00,4.307,11.2
2026-02-25T05:10:00+00:00,4.3,11.2
2026-02-25T05:15:00+00:00,4.281,11.2
2026-02-25T05:20:00+00:00,4.29,11.2
2026-02-25T05:25:00+00:00,4.339,11.166
2026-02-25T05:30:00+00:00,4.336,11.156
2026-02-25T05:35:00+00:00,4.359,11.186
2026-02-25T05:40:00+00:00,4.36,11.198
2026-02-25T05:45:00+00:00,4.361,11.155
2026-02-25T05:50:00+00:00,4.354,11.152
2026-02-25T05:55:00+00:00,4.396,11.138
2026-02-25T06:00:00+00:00,4.395,11.131
