ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,2.718,5.6
2026-02-25T00:10:00+00:00,2.817,5.598
2026-02-25T00:15:00+00:00,2.768,5.6
2026-02-25T00:20:00+00:00,2.783,5.6
2026-02-25T00:25:00+00:00,2.767,5.6
2026-02-25T00:30:00+00:00,2.746,5.6
2026-02-25T00:35:00+00:00,2.665,5.6
2026-02-25T00:40:00+00:00,2.673,5.6
2026-02-25T00:45:00+00:00,2.664,5.6
2026-02-25T00:50:00+00:00,2.739,5.6
2026-02-25T00:55:00+00:00,2.673,5.6
2026-02-25T01:00:00+00:00,2.653,5.6
2026-02-25T01:05:00+00:00,2.666,5.6
2026-02-25T01:10:00+00:00,2.682,5.6
2026-02-25T01:15:00+00:00,2.668,5.6
2026-02-25T01:20:00+00:00,2.653,5.6
2026-02-25T01:25:00+00:00,2.656,5.6
2026-02-25T01:30:00+00:00,2.652,5.6
2026-02-25T01:35:00+00:00,2.748,5.6
2026-02-25T01:40:00+00:00,2.744,5.6
2026-02-25T01:45:00+00:00,2.746,5.6
2026-02-25T01:50:00+00:00,2.708,5.644
2026-02-25T01:55:00+00:00,2.665,5.638
2026-02-25T02:00:00+00:00,2.661,5.612
2026-02-25T02:05:00+00:00,2.7,5.644
2026-02-25T02:10:00+00:00,2.68,5.65
2026-02-25T02:15:00+00:00,2.65,5.648
2026-02-25T02:20:00+00:00,2.685,5.648
2026-02-25T02:25:00+00:00,2.66,5.65
2026-02-25T02:30:00+00:00,2.666,5.65
2026-02-25T02:35:00+00:00,2.633,5.648
2026-02-25T02:40:00+00:00,2.626,5.648
2026-02-25T02:45:00+00:00,2.602,5.65
2026-02-25T02:50:00+00:00,2.563,5.65
2026-02-25T02:55:00+00:00,2.537,5.65
2026-02-25T03:00:00+00:00,2.594,5.65
2026-02-25T03:05:00+00:00,2.602,5.63
2026-02-25T03:10:00+00:00,2.631,5.643
2026-02-25T03:15:00+00:00,2.584,5.65
2026-02-25T03:20:00+00:00,2.605,5.65
2026-02-25T03:25:00+00:00,2.578,5.65
2026-02-25T03:30:00+00:00,2.587,5.65
2026-02-25T03:35:00+00:00,2.562,5.65
2026-02-25T03:40:00+00:00,2.536,5.65
2026-02-25T03:45:00+00:00,2.521,5.618
2026-02-25T03:50:00+00:00,2.512,5.552
2026-02-25T03:55:00+00:00,2.529,5.5
2026-02-25T04:00:00+00:00,2.52,5.5
