ValueDate,MVA,MVAr,MW
2026-02-25T00:05:00+00:00,6.838,0.248,-7.097
2026-02-25T00:10:00+00:00,6.971,0.366,-7.235
2026-02-25T00:15:00+00:00,7.03,0.364,-7.267
2026-02-25T00:20:00+00:00,6.998,0.318,-7.232
2026-02-25T00:25:00+00:00,7.083,0.356,-7.316
2026-02-25T00:30:00+00:00,7.126,0.332,-7.386
2026-02-25T00:35:00+00:00,7.138,0.204,-7.39
2026-02-25T00:40:00+00:00,7.129,0.371,-7.367
2026-02-25T00:45:00+00:00,7.126,0.343,-7.35
2026-02-25T00:50:00+00:00,6.983,0.296,-7.214
2026-02-25T00:55:00+00:00,7.052,0.248,-7.308
2026-02-25T01:00:00+00:00,7.024,0.35,-7.268
2026-02-25T01:05:00+00:00,7.253,0.323,-7.524
2026-02-25T01:10:00+00:00,7.297,0.282,-7.558
2026-02-25T01:15:00+00:00,7.342,0.124,-7.614
2026-02-25T01:20:00+00:00,7.293,0.246,-7.55
2026-02-25T01:25:00+00:00,7.311,0.17,-7.6
2026-02-25T01:30:00+00:00,7.153,0.085,-7.429
2026-02-25T01:35:00+00:00,7.266,0.244,-7.564
2026-02-25T01:40:00+00:00,7.213,0.284,-7.502
2026-02-25T01:45:00+00:00,7.157,0.286,-7.45
2026-02-25T01:50:00+00:00,7.028,0.182,-7.357
2026-02-25T01:55:00+00:00,7.191,0.211,-7.519
2026-02-25T02:00:00+00:00,7.063,0.339,-7.352
2026-02-25T02:05:00+00:00,7.13,0.413,-7.453
2026-02-25T02:10:00+00:00,7.14,0.649,-7.464
2026-02-25T02:15:00+00:00,7.102,0.527,-7.413
2026-02-25T02:20:00+00:00,7.068,0.458,-7.381
2026-02-25T02:25:00+00:00,7.043,0.31,-7.354
2026-02-25T02:30:00+00:00,7.078,0.434,-7.384
2026-02-25T02:35:00+00:00,6.984,0.523,-7.291
2026-02-25T02:40:00+00:00,6.987,0.292,-7.291
2026-02-25T02:45:00+00:00,7.057,0.404,-7.36
2026-02-25T02:50:00+00:00,7.006,0.388,-7.332
2026-02-25T02:55:00+00:00,6.97,0.291,-7.286
2026-02-25T03:00:00+00:00,7.109,0.381,-7.437
2026-02-25T03:05:00+00:00,7.137,0.416,-7.446
2026-02-25T03:10:00+00:00,7.051,0.351,-7.343
2026-02-25T03:15:00+00:00,7.053,0.316,-7.365
2026-02-25T03:20:00+00:00,7.055,0.256,-7.354
2026-02-25T03:25:00+00:00,7.016,0.2,-7.332
2026-02-25T03:30:00+00:00,6.95,0.153,-7.235
2026-02-25T03:35:00+00:00,6.896,0.096,-7.206
2026-02-25T03:40:00+00:00,6.873,-0.004,-7.183
2026-02-25T03:45:00+00:00,6.872,0.5,-7.182
2026-02-25T03:50:00+00:00,6.712,0.522,-7.03
2026-02-25T03:55:00+00:00,6.721,0.351,-7.048
2026-02-25T04:00:00+00:00,6.669,0.432,-6.991
2026-02-25T04:05:00+00:00,6.729,0.342,-7.055
2026-02-25T04:10:00+00:00,6.792,0.248,-7.11
2026-02-25T04:15:00+00:00,6.787,0.492,-7.112
