ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.589,11.214
2026-02-25T00:10:00+00:00,1.612,11.2
2026-02-25T00:15:00+00:00,1.616,11.2
2026-02-25T00:20:00+00:00,1.56,11.205
2026-02-25T00:25:00+00:00,1.558,11.293
2026-02-25T00:30:00+00:00,1.542,11.3
2026-02-25T00:35:00+00:00,1.5,11.3
2026-02-25T00:40:00+00:00,1.527,11.3
2026-02-25T00:45:00+00:00,1.532,11.3
2026-02-25T00:50:00+00:00,1.501,11.3
2026-02-25T00:55:00+00:00,1.52,11.3
2026-02-25T01:00:00+00:00,1.546,11.292
2026-02-25T01:05:00+00:00,1.58,11.274
2026-02-25T01:10:00+00:00,1.531,11.299
2026-02-25T01:15:00+00:00,1.508,11.3
2026-02-25T01:20:00+00:00,1.534,11.3
2026-02-25T01:25:00+00:00,1.527,11.3
2026-02-25T01:30:00+00:00,1.483,11.3
2026-02-25T01:35:00+00:00,1.521,11.3
2026-02-25T01:40:00+00:00,1.516,11.3
2026-02-25T01:45:00+00:00,1.524,11.3
2026-02-25T01:50:00+00:00,1.555,11.3
2026-02-25T01:55:00+00:00,1.501,11.3
2026-02-25T02:00:00+00:00,1.512,11.3
2026-02-25T02:05:00+00:00,1.511,11.3
2026-02-25T02:10:00+00:00,1.514,11.3
2026-02-25T02:15:00+00:00,1.455,11.302
2026-02-25T02:20:00+00:00,1.45,11.318
2026-02-25T02:25:00+00:00,1.459,11.3
2026-02-25T02:30:00+00:00,1.433,11.3
2026-02-25T02:35:00+00:00,1.415,11.3
2026-02-25T02:40:00+00:00,1.423,11.3
2026-02-25T02:45:00+00:00,1.412,11.306
2026-02-25T02:50:00+00:00,1.412,11.398
2026-02-25T02:55:00+00:00,1.383,11.394
2026-02-25T03:00:00+00:00,1.42,11.3
2026-02-25T03:05:00+00:00,1.429,11.3
2026-02-25T03:10:00+00:00,1.425,11.3
2026-02-25T03:15:00+00:00,1.421,11.3
2026-02-25T03:20:00+00:00,1.41,11.3
2026-02-25T03:25:00+00:00,1.474,11.307
2026-02-25T03:30:00+00:00,1.475,11.316
2026-02-25T03:35:00+00:00,1.438,11.397
2026-02-25T03:40:00+00:00,1.411,11.4
2026-02-25T03:45:00+00:00,1.345,11.4
2026-02-25T03:50:00+00:00,1.401,11.4
2026-02-25T03:55:00+00:00,1.398,11.269
2026-02-25T04:00:00+00:00,1.403,11.225
2026-02-25T04:05:00+00:00,1.38,11.25
2026-02-25T04:10:00+00:00,1.343,11.2
2026-02-25T04:15:00+00:00,1.359,11.2
2026-02-25T04:20:00+00:00,1.359,11.2
2026-02-25T04:25:00+00:00,1.347,11.2
2026-02-25T04:30:00+00:00,1.319,11.2
2026-02-25T04:35:00+00:00,1.317,11.2
2026-02-25T04:40:00+00:00,1.358,11.2
2026-02-25T04:45:00+00:00,1.381,11.2
2026-02-25T04:50:00+00:00,1.398,11.2
2026-02-25T04:55:00+00:00,1.369,11.2
2026-02-25T05:00:00+00:00,1.376,11.2
2026-02-25T05:05:00+00:00,1.365,11.2
2026-02-25T05:10:00+00:00,1.386,11.18
2026-02-25T05:15:00+00:00,1.388,11.194
2026-02-25T05:20:00+00:00,1.392,11.2
2026-02-25T05:25:00+00:00,1.369,11.2
2026-02-25T05:30:00+00:00,1.405,11.2
2026-02-25T05:35:00+00:00,1.388,11.2
2026-02-25T05:40:00+00:00,1.368,11.2
2026-02-25T05:45:00+00:00,1.407,11.186
2026-02-25T05:50:00+00:00,1.403,11.1
2026-02-25T05:55:00+00:00,1.486,11.1
2026-02-25T06:00:00+00:00,1.515,11.248
2026-02-25T06:05:00+00:00,1.642,11.2
2026-02-25T06:10:00+00:00,1.695,11.211
2026-02-25T06:15:00+00:00,1.704,11.3
2026-02-25T06:20:00+00:00,1.733,11.3
2026-02-25T06:25:00+00:00,1.773,11.3
2026-02-25T06:30:00+00:00,1.784,11.3
2026-02-25T06:35:00+00:00,1.86,11.3
2026-02-25T06:40:00+00:00,1.929,11.3
2026-02-25T06:45:00+00:00,1.925,11.3
2026-02-25T06:50:00+00:00,1.998,11.29
2026-02-25T06:55:00+00:00,2.058,11.295
2026-02-25T07:00:00+00:00,2.078,11.285
2026-02-25T07:05:00+00:00,2.116,11.204
2026-02-25T07:10:00+00:00,2.173,11.2
2026-02-25T07:15:00+00:00,2.218,11.2
2026-02-25T07:20:00+00:00,2.196,11.2
2026-02-25T07:25:00+00:00,2.272,11.194
2026-02-25T07:30:00+00:00,2.294,11.2
2026-02-25T07:35:00+00:00,2.247,11.146
2026-02-25T07:40:00+00:00,2.34,11.1
2026-02-25T07:45:00+00:00,2.315,11.1
