ValueDate,5 Min Ave,MVA,Volts
2026-02-25T00:05:00+00:00,1.254,1.3,11.007
2026-02-25T00:10:00+00:00,1.308,1.338,11.0
2026-02-25T00:15:00+00:00,1.342,1.349,11.0
2026-02-25T00:20:00+00:00,1.351,1.347,11.0
2026-02-25T00:25:00+00:00,1.343,1.334,11.014
2026-02-25T00:30:00+00:00,1.322,1.299,11.034
2026-02-25T00:35:00+00:00,1.292,1.274,11.029
2026-02-25T00:40:00+00:00,1.279,1.286,11.029
2026-02-25T00:45:00+00:00,1.282,1.285,11.05
2026-02-25T00:50:00+00:00,1.283,1.284,11.05
2026-02-25T00:55:00+00:00,1.272,1.266,11.05
2026-02-25T01:00:00+00:00,1.258,1.256,11.05
2026-02-25T01:05:00+00:00,1.264,1.286,11.046
2026-02-25T01:10:00+00:00,1.29,1.32,11.05
2026-02-25T01:15:00+00:00,1.307,1.324,11.05
2026-02-25T01:20:00+00:00,1.3,1.286,11.05
2026-02-25T01:25:00+00:00,1.292,1.288,11.05
2026-02-25T01:30:00+00:00,1.295,1.286,11.05
2026-02-25T01:35:00+00:00,1.3,1.306,11.05
2026-02-25T01:40:00+00:00,1.311,1.321,11.05
2026-02-25T01:45:00+00:00,1.316,1.304,11.077
2026-02-25T01:50:00+00:00,1.306,1.302,11.1
2026-02-25T01:55:00+00:00,1.295,1.286,11.1
2026-02-25T02:00:00+00:00,1.276,1.272,11.1
2026-02-25T02:05:00+00:00,1.266,1.282,11.1
2026-02-25T02:10:00+00:00,1.272,1.288,11.1
2026-02-25T02:15:00+00:00,1.276,1.278,11.098
2026-02-25T02:20:00+00:00,1.264,1.248,11.0
2026-02-25T02:25:00+00:00,1.237,1.218,11.0
2026-02-25T02:30:00+00:00,1.22,1.201,11.0
2026-02-25T02:35:00+00:00,1.184,1.144,11.0
2026-02-25T02:40:00+00:00,1.13,1.107,11.0
2026-02-25T02:45:00+00:00,1.112,1.12,11.03
2026-02-25T02:50:00+00:00,1.112,1.106,11.1
2026-02-25T02:55:00+00:00,1.103,1.086,11.1
2026-02-25T03:00:00+00:00,1.086,1.07,11.098
2026-02-25T03:05:00+00:00,1.093,1.122,11.006
2026-02-25T03:10:00+00:00,1.148,1.194,11.0
2026-02-25T03:15:00+00:00,1.2,1.225,11.01
2026-02-25T03:20:00+00:00,1.217,1.204,11.008
2026-02-25T03:25:00+00:00,1.208,1.186,11.031
2026-02-25T03:30:00+00:00,1.187,1.17,11.018
2026-02-25T03:35:00+00:00,1.175,1.167,11.1
2026-02-25T03:40:00+00:00,1.168,1.148,11.1
2026-02-25T03:45:00+00:00,1.151,1.13,11.1
2026-02-25T03:50:00+00:00,1.14,1.134,11.1
2026-02-25T03:55:00+00:00,1.149,1.157,11.1
2026-02-25T04:00:00+00:00,1.148,1.138,11.1
2026-02-25T04:05:00+00:00,1.144,1.16,11.1
2026-02-25T04:10:00+00:00,1.149,1.161,11.1
2026-02-25T04:15:00+00:00,1.146,1.141,11.1
2026-02-25T04:20:00+00:00,1.138,1.134,11.1
2026-02-25T04:25:00+00:00,1.134,1.144,11.094
2026-02-25T04:30:00+00:00,1.13,1.132,11.05
2026-02-25T04:35:00+00:00,1.122,1.134,11.061
2026-02-25T04:40:00+00:00,1.116,1.121,11.078
2026-02-25T04:45:00+00:00,1.122,1.132,11.08
2026-02-25T04:50:00+00:00,1.136,1.138,11.062
2026-02-25T04:55:00+00:00,1.134,1.119,11.04
2026-02-25T05:00:00+00:00,1.108,1.08,11.014
2026-02-25T05:05:00+00:00,1.096,1.101,11.006
2026-02-25T05:10:00+00:00,1.11,1.103,11.0
