ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,171.06,3.274,0.174,-3.244,11.046
2026-02-25T00:10:00+00:00,167.428,3.219,0.204,-3.199,11.1
2026-02-25T00:15:00+00:00,166.93,3.208,0.174,-3.19,11.1
2026-02-25T00:20:00+00:00,169.848,3.262,0.18,-3.246,11.1
2026-02-25T00:25:00+00:00,169.06,3.254,0.174,-3.237,11.1
2026-02-25T00:30:00+00:00,173.308,3.33,0.154,-3.314,11.1
2026-02-25T00:35:00+00:00,182.992,3.514,0.192,-3.486,11.082
2026-02-25T00:40:00+00:00,186.156,3.568,0.196,-3.542,11.058
2026-02-25T00:45:00+00:00,191.113,3.666,0.201,-3.644,11.073
2026-02-25T00:50:00+00:00,189.725,3.648,0.222,-3.618,11.096
2026-02-25T00:55:00+00:00,189.797,3.649,0.232,-3.622,11.1
2026-02-25T01:00:00+00:00,190.124,3.656,0.202,-3.634,11.095
2026-02-25T01:05:00+00:00,193.621,3.722,0.206,-3.7,11.095
2026-02-25T01:10:00+00:00,192.461,3.7,0.18,-3.673,11.1
2026-02-25T01:15:00+00:00,189.856,3.652,0.186,-3.63,11.1
2026-02-25T01:20:00+00:00,186.323,3.581,0.173,-3.564,11.1
2026-02-25T01:25:00+00:00,188.092,3.617,0.165,-3.596,11.1
2026-02-25T01:30:00+00:00,187.33,3.602,0.164,-3.584,11.099
2026-02-25T01:35:00+00:00,187.31,3.601,0.146,-3.579,11.098
2026-02-25T01:40:00+00:00,187.222,3.599,0.152,-3.587,11.1
2026-02-25T01:45:00+00:00,183.906,3.537,0.186,-3.52,11.1
2026-02-25T01:50:00+00:00,182.151,3.5,0.198,-3.492,11.1
2026-02-25T01:55:00+00:00,181.363,3.486,0.184,-3.474,11.1
2026-02-25T02:00:00+00:00,181.568,3.49,0.167,-3.472,11.098
2026-02-25T02:05:00+00:00,184.692,3.55,0.172,-3.534,11.096
2026-02-25T02:10:00+00:00,184.444,3.544,0.17,-3.535,11.1
2026-02-25T02:15:00+00:00,186.036,3.574,0.182,-3.569,11.1
2026-02-25T02:20:00+00:00,188.923,3.631,0.154,-3.623,11.1
2026-02-25T02:25:00+00:00,189.342,3.641,0.184,-3.634,11.1
2026-02-25T02:30:00+00:00,186.712,3.59,0.159,-3.581,11.1
2026-02-25T02:35:00+00:00,185.46,3.564,0.15,-3.556,11.1
2026-02-25T02:40:00+00:00,187.424,3.604,0.124,-3.586,11.1
2026-02-25T02:45:00+00:00,187.244,3.597,0.15,-3.59,11.1
2026-02-25T02:50:00+00:00,185.976,3.575,0.167,-3.57,11.1
2026-02-25T02:55:00+00:00,185.672,3.569,0.088,-3.566,11.1
2026-02-25T03:00:00+00:00,183.952,3.538,0.106,-3.532,11.1
2026-02-25T03:05:00+00:00,179.444,3.45,0.107,-3.44,11.1
2026-02-25T03:10:00+00:00,181.132,3.484,0.086,-3.472,11.1
2026-02-25T03:15:00+00:00,179.088,3.444,0.1,-3.43,11.1
2026-02-25T03:20:00+00:00,175.611,3.378,0.128,-3.367,11.1
2026-02-25T03:25:00+00:00,171.588,3.298,0.128,-3.294,11.1
2026-02-25T03:30:00+00:00,174.956,3.367,0.12,-3.359,11.1
2026-02-25T03:35:00+00:00,174.757,3.359,0.105,-3.352,11.1
2026-02-25T03:40:00+00:00,174.715,3.358,0.122,-3.358,11.1
2026-02-25T03:45:00+00:00,171.378,3.31,0.161,-3.296,11.133
2026-02-25T03:50:00+00:00,171.076,3.293,0.15,-3.284,11.108
2026-02-25T03:55:00+00:00,171.962,3.308,0.122,-3.305,11.111
2026-02-25T04:00:00+00:00,169.254,3.254,0.147,-3.254,11.1
2026-02-25T04:05:00+00:00,171.298,3.294,0.136,-3.29,11.1
2026-02-25T04:10:00+00:00,167.628,3.224,0.177,-3.218,11.11
2026-02-25T04:15:00+00:00,165.796,3.19,0.116,-3.185,11.106
2026-02-25T04:20:00+00:00,167.17,3.213,0.093,-3.21,11.1
2026-02-25T04:25:00+00:00,169.454,3.258,0.102,-3.253,11.1
2026-02-25T04:30:00+00:00,170.922,3.287,0.134,-3.28,11.1
2026-02-25T04:35:00+00:00,169.902,3.266,0.184,-3.261,11.1
2026-02-25T04:40:00+00:00,167.132,3.214,0.146,-3.208,11.1
2026-02-25T04:45:00+00:00,166.451,3.199,0.136,-3.192,11.1
2026-02-25T04:50:00+00:00,167.761,3.224,0.127,-3.214,11.1
2026-02-25T04:55:00+00:00,165.285,3.177,0.179,-3.162,11.1
2026-02-25T05:00:00+00:00,165.189,3.176,0.173,-3.164,11.099
2026-02-25T05:05:00+00:00,168.042,3.222,0.178,-3.214,11.081
2026-02-25T05:10:00+00:00,166.927,3.209,0.176,-3.19,11.1
2026-02-25T05:15:00+00:00,167.836,3.226,0.188,-3.21,11.1
2026-02-25T05:20:00+00:00,162.998,3.134,0.214,-3.119,11.1
2026-02-25T05:25:00+00:00,163.798,3.146,0.21,-3.127,11.1
2026-02-25T05:30:00+00:00,167.116,3.214,0.196,-3.206,11.099
2026-02-25T05:35:00+00:00,168.0,3.227,0.211,-3.215,11.086
2026-02-25T05:40:00+00:00,167.178,3.211,0.186,-3.202,11.1
2026-02-25T05:45:00+00:00,168.995,3.249,0.18,-3.234,11.1
2026-02-25T05:50:00+00:00,165.182,3.176,0.173,-3.157,11.1
2026-02-25T05:55:00+00:00,170.212,3.27,0.196,-3.255,11.1
2026-02-25T06:00:00+00:00,174.21,3.346,0.189,-3.328,11.1
2026-02-25T06:05:00+00:00,175.1,3.367,0.23,-3.342,11.098
2026-02-25T06:10:00+00:00,179.072,3.415,0.164,-3.404,11.014
2026-02-25T06:15:00+00:00,185.302,3.553,0.082,-3.526,11.072
2026-02-25T06:20:00+00:00,192.325,3.698,0.06,-3.664,11.1
2026-02-25T06:25:00+00:00,192.953,3.708,0.07,-3.675,11.1
2026-02-25T06:30:00+00:00,193.232,3.714,0.095,-3.684,11.1
2026-02-25T06:35:00+00:00,190.848,3.666,0.112,-3.642,11.097
2026-02-25T06:40:00+00:00,195.347,3.754,0.133,-3.73,11.1
2026-02-25T06:45:00+00:00,195.786,3.764,0.083,-3.738,11.1
2026-02-25T06:50:00+00:00,200.296,3.851,0.088,-3.818,11.098
2026-02-25T06:55:00+00:00,200.844,3.85,0.054,-3.832,11.061
2026-02-25T07:00:00+00:00,205.163,3.944,0.019,-3.929,11.094
2026-02-25T07:05:00+00:00,202.661,3.884,0.033,-3.886,11.08
2026-02-25T07:10:00+00:00,205.126,3.946,0.03,-3.932,11.1
2026-02-25T07:15:00+00:00,205.389,3.948,0.053,-3.93,11.1
2026-02-25T07:20:00+00:00,205.327,3.935,0.081,-3.923,11.066
2026-02-25T07:25:00+00:00,207.3,3.985,-0.051,-3.978,11.1
2026-02-25T07:30:00+00:00,205.798,3.956,-0.003,-3.954,11.1
2026-02-25T07:35:00+00:00,200.961,3.865,0.016,-3.864,11.1
2026-02-25T07:40:00+00:00,203.272,3.908,-0.064,-3.892,11.1
2026-02-25T07:45:00+00:00,202.212,3.904,-0.092,-3.888,11.137
2026-02-25T07:50:00+00:00,200.744,3.876,-0.088,-3.871,11.14
2026-02-25T07:55:00+00:00,201.445,3.882,-0.092,-3.88,11.114
2026-02-25T08:00:00+00:00,200.944,3.862,-0.11,-3.864,11.099
2026-02-25T08:05:00+00:00,204.87,3.938,-0.116,-3.935,11.093
2026-02-25T08:10:00+00:00,202.32,3.891,0.003,-3.892,11.1
2026-02-25T08:15:00+00:00,201.493,3.877,0.045,-3.884,11.108
2026-02-25T08:20:00+00:00,204.569,3.931,0.005,-3.937,11.102
2026-02-25T08:25:00+00:00,207.172,3.999,0.019,-3.994,11.146
2026-02-25T08:30:00+00:00,206.479,4.003,0.017,-3.982,11.182
2026-02-25T08:35:00+00:00,203.901,3.935,-0.057,-3.93,11.146
2026-02-25T08:40:00+00:00,203.862,3.934,-0.09,-3.926,11.146
2026-02-25T08:45:00+00:00,198.766,3.854,-0.07,-3.831,11.193
2026-02-25T08:50:00+00:00,197.678,3.832,-0.032,-3.812,11.191
2026-02-25T08:55:00+00:00,193.524,3.75,0.01,-3.734,11.182
2026-02-25T09:00:00+00:00,192.953,3.74,0.029,-3.722,11.186
2026-02-25T09:05:00+00:00,194.314,3.758,0.076,-3.746,11.17
2026-02-25T09:10:00+00:00,192.654,3.716,0.074,-3.713,11.128
2026-02-25T09:15:00+00:00,185.13,3.58,0.049,-3.568,11.155
2026-02-25T09:20:00+00:00,183.877,3.564,0.062,-3.55,11.199
2026-02-25T09:25:00+00:00,181.735,3.525,0.016,-3.517,11.2
2026-02-25T09:30:00+00:00,174.891,3.39,0.055,-3.387,11.194
2026-02-25T09:35:00+00:00,167.429,3.248,0.021,-3.236,11.192
2026-02-25T09:40:00+00:00,166.824,3.235,0.003,-3.226,11.2
2026-02-25T09:45:00+00:00,166.696,3.247,-0.013,-3.228,11.244
2026-02-25T09:50:00+00:00,163.03,3.174,0.026,-3.155,11.244
2026-02-25T09:55:00+00:00,170.889,3.322,0.003,-3.304,11.225
2026-02-25T10:00:00+00:00,175.168,3.422,-0.046,-3.393,11.269
2026-02-25T10:05:00+00:00,173.986,3.407,0.003,-3.38,11.298
2026-02-25T10:10:00+00:00,169.626,3.314,0.032,-3.298,11.28
2026-02-25T10:15:00+00:00,166.394,3.232,-0.008,-3.22,11.212
2026-02-25T10:20:00+00:00,162.095,3.164,0.017,-3.148,11.261
2026-02-25T10:25:00+00:00,155.166,3.014,-0.02,-3.009,11.218
2026-02-25T10:30:00+00:00,152.284,2.951,-0.019,-2.952,11.196
2026-02-25T10:35:00+00:00,147.527,2.875,0.016,-2.866,11.24
2026-02-25T10:40:00+00:00,148.034,2.876,-0.048,-2.872,11.218
2026-02-25T10:45:00+00:00,146.208,2.852,-0.055,-2.838,11.257
2026-02-25T10:50:00+00:00,142.608,2.787,-0.022,-2.77,11.279
2026-02-25T10:55:00+00:00,135.615,2.653,-0.03,-2.646,11.3
2026-02-25T11:00:00+00:00,140.61,2.751,-0.032,-2.736,11.299
2026-02-25T11:05:00+00:00,133.027,2.601,-0.028,-2.596,11.296
