ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,95.628,1.842,0.391,-1.826,11.134
2026-02-25T00:10:00+00:00,96.204,1.846,0.392,-1.846,11.1
2026-02-25T00:15:00+00:00,96.411,1.85,0.398,-1.864,11.1
2026-02-25T00:20:00+00:00,97.245,1.864,0.39,-1.883,11.1
2026-02-25T00:25:00+00:00,99.884,1.92,0.368,-1.94,11.152
2026-02-25T00:30:00+00:00,100.316,1.938,0.356,-1.939,11.17
2026-02-25T00:35:00+00:00,99.852,1.937,0.364,-1.938,11.16
2026-02-25T00:40:00+00:00,99.413,1.924,0.395,-1.937,11.17
2026-02-25T00:45:00+00:00,98.417,1.912,0.396,-1.928,11.2
2026-02-25T00:50:00+00:00,99.392,1.926,0.392,-1.916,11.2
2026-02-25T00:55:00+00:00,98.863,1.918,0.394,-1.908,11.2
2026-02-25T01:00:00+00:00,97.165,1.89,0.394,-1.872,11.2
2026-02-25T01:05:00+00:00,99.794,1.938,0.391,-1.922,11.19
2026-02-25T01:10:00+00:00,99.206,1.919,0.4,-1.904,11.198
2026-02-25T01:15:00+00:00,98.562,1.914,0.405,-1.904,11.2
2026-02-25T01:20:00+00:00,97.322,1.894,0.395,-1.896,11.2
2026-02-25T01:25:00+00:00,96.58,1.874,0.389,-1.88,11.2
2026-02-25T01:30:00+00:00,96.838,1.878,0.393,-1.87,11.2
2026-02-25T01:35:00+00:00,96.763,1.877,0.395,-1.872,11.2
2026-02-25T01:40:00+00:00,96.663,1.877,0.39,-1.878,11.2
2026-02-25T01:45:00+00:00,96.116,1.869,0.387,-1.883,11.2
2026-02-25T01:50:00+00:00,96.446,1.87,0.394,-1.872,11.2
2026-02-25T01:55:00+00:00,95.274,1.852,0.394,-1.863,11.2
2026-02-25T02:00:00+00:00,96.842,1.876,0.396,-1.872,11.2
2026-02-25T02:05:00+00:00,98.538,1.912,0.399,-1.908,11.2
2026-02-25T02:10:00+00:00,98.311,1.908,0.406,-1.914,11.2
