ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,0.786,10.984
2026-02-25T00:10:00+00:00,0.842,10.988
2026-02-25T00:15:00+00:00,0.843,11.006
2026-02-25T00:20:00+00:00,0.838,11.026
2026-02-25T00:25:00+00:00,0.834,11.038
2026-02-25T00:30:00+00:00,0.808,11.081
2026-02-25T00:35:00+00:00,0.874,11.008
2026-02-25T00:40:00+00:00,0.914,11.0
2026-02-25T00:45:00+00:00,0.913,11.0
2026-02-25T00:50:00+00:00,0.901,11.0
2026-02-25T00:55:00+00:00,0.921,11.0
2026-02-25T01:00:00+00:00,0.934,11.002
2026-02-25T01:05:00+00:00,0.969,11.0
2026-02-25T01:10:00+00:00,0.974,11.002
2026-02-25T01:15:00+00:00,0.99,11.024
2026-02-25T01:20:00+00:00,0.97,11.05
2026-02-25T01:25:00+00:00,0.958,11.05
2026-02-25T01:30:00+00:00,0.948,11.05
2026-02-25T01:35:00+00:00,0.967,11.05
2026-02-25T01:40:00+00:00,0.976,11.05
2026-02-25T01:45:00+00:00,0.984,11.05
2026-02-25T01:50:00+00:00,0.978,11.05
2026-02-25T01:55:00+00:00,0.993,11.05
2026-02-25T02:00:00+00:00,0.962,11.05
2026-02-25T02:05:00+00:00,0.952,11.05
2026-02-25T02:10:00+00:00,0.928,11.05
2026-02-25T02:15:00+00:00,0.938,11.076
2026-02-25T02:20:00+00:00,0.954,11.074
2026-02-25T02:25:00+00:00,0.968,11.07
2026-02-25T02:30:00+00:00,0.93,11.095
2026-02-25T02:35:00+00:00,0.922,11.1
2026-02-25T02:40:00+00:00,0.912,11.1
2026-02-25T02:45:00+00:00,0.9,11.119
2026-02-25T02:50:00+00:00,0.872,11.116
2026-02-25T02:55:00+00:00,0.879,11.069
2026-02-25T03:00:00+00:00,0.876,11.073
2026-02-25T03:05:00+00:00,0.846,11.008
2026-02-25T03:10:00+00:00,0.844,11.0
2026-02-25T03:15:00+00:00,0.826,11.0
2026-02-25T03:20:00+00:00,0.817,11.0
2026-02-25T03:25:00+00:00,0.818,11.0
2026-02-25T03:30:00+00:00,0.807,11.014
2026-02-25T03:35:00+00:00,0.793,11.022
2026-02-25T03:40:00+00:00,0.8,11.042
2026-02-25T03:45:00+00:00,0.794,11.074
2026-02-25T03:50:00+00:00,0.796,11.062
2026-02-25T03:55:00+00:00,0.799,11.058
2026-02-25T04:00:00+00:00,0.782,11.066
2026-02-25T04:05:00+00:00,0.798,11.058
2026-02-25T04:10:00+00:00,0.79,11.061
2026-02-25T04:15:00+00:00,0.77,11.073
2026-02-25T04:20:00+00:00,0.76,11.061
2026-02-25T04:25:00+00:00,0.778,11.061
2026-02-25T04:30:00+00:00,0.766,11.036
2026-02-25T04:35:00+00:00,0.778,11.037
2026-02-25T04:40:00+00:00,0.775,11.05
2026-02-25T04:45:00+00:00,0.767,11.05
2026-02-25T04:50:00+00:00,0.758,11.052
2026-02-25T04:55:00+00:00,0.768,11.05
2026-02-25T05:00:00+00:00,0.779,11.05
2026-02-25T05:05:00+00:00,0.77,11.05
2026-02-25T05:10:00+00:00,0.753,11.05
2026-02-25T05:15:00+00:00,0.768,11.05
2026-02-25T05:20:00+00:00,0.785,11.045
2026-02-25T05:25:00+00:00,0.778,11.02
2026-02-25T05:30:00+00:00,0.774,11.026
2026-02-25T05:35:00+00:00,0.79,11.014
2026-02-25T05:40:00+00:00,0.806,11.034
2026-02-25T05:45:00+00:00,0.812,11.001
2026-02-25T05:50:00+00:00,0.807,11.0
2026-02-25T05:55:00+00:00,0.808,11.014
2026-02-25T06:00:00+00:00,0.803,11.05
2026-02-25T06:05:00+00:00,0.826,11.016
2026-02-25T06:10:00+00:00,0.851,11.07
2026-02-25T06:15:00+00:00,0.859,11.056
2026-02-25T06:20:00+00:00,0.89,11.078
2026-02-25T06:25:00+00:00,0.884,11.128
2026-02-25T06:30:00+00:00,0.918,11.13
2026-02-25T06:35:00+00:00,0.954,11.1
2026-02-25T06:40:00+00:00,0.956,11.092
2026-02-25T06:45:00+00:00,0.936,11.067
2026-02-25T06:50:00+00:00,0.949,11.055
2026-02-25T06:55:00+00:00,0.998,11.008
2026-02-25T07:00:00+00:00,0.979,11.064
2026-02-25T07:05:00+00:00,0.982,11.028
2026-02-25T07:10:00+00:00,1.01,11.0
2026-02-25T07:15:00+00:00,1.021,11.0
2026-02-25T07:20:00+00:00,0.999,11.0
2026-02-25T07:25:00+00:00,1.024,11.0
2026-02-25T07:30:00+00:00,1.073,11.0
2026-02-25T07:35:00+00:00,1.06,11.0
2026-02-25T07:40:00+00:00,1.062,11.0
2026-02-25T07:45:00+00:00,1.134,10.996
2026-02-25T07:50:00+00:00,1.168,10.959
2026-02-25T07:55:00+00:00,1.171,10.978
2026-02-25T08:00:00+00:00,1.174,10.97
2026-02-25T08:05:00+00:00,1.153,10.96
2026-02-25T08:10:00+00:00,1.162,10.928
2026-02-25T08:15:00+00:00,1.154,10.98
2026-02-25T08:20:00+00:00,1.164,11.038
2026-02-25T08:25:00+00:00,1.158,11.047
2026-02-25T08:30:00+00:00,1.152,11.05
2026-02-25T08:35:00+00:00,1.15,11.048
2026-02-25T08:40:00+00:00,1.162,11.05
2026-02-25T08:45:00+00:00,1.202,11.05
2026-02-25T08:50:00+00:00,1.178,11.048
2026-02-25T08:55:00+00:00,1.16,11.043
2026-02-25T09:00:00+00:00,1.166,11.014
2026-02-25T09:05:00+00:00,1.149,11.05
2026-02-25T09:10:00+00:00,1.135,11.05
2026-02-25T09:15:00+00:00,1.136,11.05
2026-02-25T09:20:00+00:00,1.156,11.05
2026-02-25T09:25:00+00:00,1.16,11.05
2026-02-25T09:30:00+00:00,1.139,11.05
2026-02-25T09:35:00+00:00,1.102,11.05
2026-02-25T09:40:00+00:00,1.116,11.05
2026-02-25T09:45:00+00:00,1.092,11.054
2026-02-25T09:50:00+00:00,1.092,11.057
2026-02-25T09:55:00+00:00,1.116,11.084
2026-02-25T10:00:00+00:00,1.08,11.11
2026-02-25T10:05:00+00:00,1.044,11.128
2026-02-25T10:10:00+00:00,1.034,11.124
2026-02-25T10:15:00+00:00,1.03,11.125
2026-02-25T10:20:00+00:00,1.014,11.1
2026-02-25T10:25:00+00:00,1.0,11.1
2026-02-25T10:30:00+00:00,1.038,11.1
2026-02-25T10:35:00+00:00,1.002,11.075
2026-02-25T10:40:00+00:00,0.942,11.058
2026-02-25T10:45:00+00:00,0.923,11.05
2026-02-25T10:50:00+00:00,0.888,11.05
2026-02-25T10:55:00+00:00,0.929,11.081
2026-02-25T11:00:00+00:00,0.964,11.086
2026-02-25T11:05:00+00:00,1.018,11.096
2026-02-25T11:10:00+00:00,1.002,11.1
2026-02-25T11:15:00+00:00,1.032,11.102
2026-02-25T11:20:00+00:00,1.026,11.126
2026-02-25T11:25:00+00:00,0.982,11.148
2026-02-25T11:30:00+00:00,0.948,11.14
2026-02-25T11:35:00+00:00,0.97,11.15
2026-02-25T11:40:00+00:00,0.942,11.15
2026-02-25T11:45:00+00:00,0.901,11.15
2026-02-25T11:50:00+00:00,0.879,11.13
2026-02-25T11:55:00+00:00,0.89,11.106
2026-02-25T12:00:00+00:00,0.964,11.108
2026-02-25T12:05:00+00:00,0.896,11.13
2026-02-25T12:10:00+00:00,0.779,11.123
2026-02-25T12:15:00+00:00,0.756,11.125
2026-02-25T12:20:00+00:00,0.734,11.142
2026-02-25T12:25:00+00:00,0.751,11.15
2026-02-25T12:30:00+00:00,0.746,11.15
2026-02-25T12:35:00+00:00,0.739,11.15
2026-02-25T12:40:00+00:00,0.742,11.15
2026-02-25T12:45:00+00:00,0.736,11.15
2026-02-25T12:50:00+00:00,0.736,11.132
2026-02-25T12:55:00+00:00,0.719,11.088
2026-02-25T13:00:00+00:00,0.786,11.05
2026-02-25T13:05:00+00:00,0.747,11.026
2026-02-25T13:10:00+00:00,0.76,11.056
2026-02-25T13:15:00+00:00,0.784,11.074
2026-02-25T13:20:00+00:00,0.78,11.074
2026-02-25T13:25:00+00:00,0.764,11.097
2026-02-25T13:30:00+00:00,0.752,11.1
2026-02-25T13:35:00+00:00,0.796,11.1
2026-02-25T13:40:00+00:00,0.814,11.1
2026-02-25T13:45:00+00:00,0.804,11.1
2026-02-25T13:50:00+00:00,0.81,11.1
2026-02-25T13:55:00+00:00,0.786,11.1
2026-02-25T14:00:00+00:00,0.806,11.1
2026-02-25T14:05:00+00:00,0.828,11.1
2026-02-25T14:10:00+00:00,0.809,11.1
2026-02-25T14:15:00+00:00,0.816,11.1
2026-02-25T14:20:00+00:00,0.849,11.1
2026-02-25T14:25:00+00:00,0.886,11.1
2026-02-25T14:30:00+00:00,0.994,11.1
2026-02-25T14:35:00+00:00,0.988,11.1
2026-02-25T14:40:00+00:00,0.989,11.1
2026-02-25T14:45:00+00:00,0.988,11.098
2026-02-25T14:50:00+00:00,0.977,11.064
2026-02-25T14:55:00+00:00,0.995,11.05
2026-02-25T15:00:00+00:00,0.952,11.072
2026-02-25T15:05:00+00:00,0.914,11.096
2026-02-25T15:10:00+00:00,0.905,11.094
2026-02-25T15:15:00+00:00,0.935,11.073
2026-02-25T15:20:00+00:00,0.956,11.06
2026-02-25T15:25:00+00:00,0.94,11.062
2026-02-25T15:30:00+00:00,0.893,11.051
2026-02-25T15:35:00+00:00,0.932,11.05
2026-02-25T15:40:00+00:00,0.952,11.05
2026-02-25T15:45:00+00:00,0.957,11.05
2026-02-25T15:50:00+00:00,0.964,11.04
2026-02-25T15:55:00+00:00,1.012,11.012
2026-02-25T16:00:00+00:00,0.985,11.0
2026-02-25T16:05:00+00:00,0.995,10.989
2026-02-25T16:10:00+00:00,1.02,10.984
2026-02-25T16:15:00+00:00,1.033,11.051
2026-02-25T16:20:00+00:00,1.09,11.05
2026-02-25T16:25:00+00:00,1.126,11.052
2026-02-25T16:30:00+00:00,1.136,11.059
2026-02-25T16:35:00+00:00,1.226,11.037
2026-02-25T16:40:00+00:00,1.247,11.002
2026-02-25T16:45:00+00:00,1.232,11.043
2026-02-25T16:50:00+00:00,1.229,11.05
2026-02-25T16:55:00+00:00,1.24,11.05
2026-02-25T17:00:00+00:00,1.218,11.05
2026-02-25T17:05:00+00:00,1.191,11.046
2026-02-25T17:10:00+00:00,1.183,11.042
2026-02-25T17:15:00+00:00,1.196,11.046
2026-02-25T17:20:00+00:00,1.206,11.052
2026-02-25T17:25:00+00:00,1.196,11.076
2026-02-25T17:30:00+00:00,1.218,11.1
2026-02-25T17:35:00+00:00,1.281,11.1
