ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,3.334,-0.71,2.993,11.032
2026-02-25T00:10:00+00:00,3.454,-0.718,3.096,11.0
2026-02-25T00:15:00+00:00,3.516,-0.732,3.149,11.0
2026-02-25T00:20:00+00:00,3.538,-0.746,3.146,11.0
2026-02-25T00:25:00+00:00,3.494,-0.718,3.11,11.0
2026-02-25T00:30:00+00:00,3.45,-0.697,3.07,11.037
2026-02-25T00:35:00+00:00,3.616,-0.678,3.23,11.006
2026-02-25T00:40:00+00:00,3.763,-0.718,3.336,11.0
2026-02-25T00:45:00+00:00,3.825,-0.725,3.394,11.0
2026-02-25T00:50:00+00:00,3.786,-0.745,3.36,11.002
2026-02-25T00:55:00+00:00,3.754,-0.728,3.322,11.044
2026-02-25T01:00:00+00:00,3.674,-0.729,3.264,11.046
2026-02-25T01:05:00+00:00,3.754,-0.682,3.311,11.0
2026-02-25T01:10:00+00:00,3.768,-0.726,3.314,11.0
2026-02-25T01:15:00+00:00,3.723,-0.729,3.288,11.0
2026-02-25T01:20:00+00:00,3.715,-0.704,3.292,11.0
2026-02-25T01:25:00+00:00,3.69,-0.733,3.282,11.046
2026-02-25T01:30:00+00:00,3.626,-0.727,3.217,11.098
2026-02-25T01:35:00+00:00,3.646,-0.721,3.242,11.072
2026-02-25T01:40:00+00:00,3.639,-0.722,3.22,11.084
2026-02-25T01:45:00+00:00,3.624,-0.721,3.237,11.1
2026-02-25T01:50:00+00:00,3.582,-0.734,3.196,11.1
2026-02-25T01:55:00+00:00,3.5,-0.726,3.133,11.1
2026-02-25T02:00:00+00:00,3.477,-0.724,3.098,11.1
2026-02-25T02:05:00+00:00,3.49,-0.726,3.113,11.1
2026-02-25T02:10:00+00:00,3.396,-0.744,3.028,11.112
2026-02-25T02:15:00+00:00,3.35,-0.777,2.997,11.191
2026-02-25T02:20:00+00:00,3.308,-0.795,2.952,11.2
2026-02-25T02:25:00+00:00,3.196,-0.798,2.843,11.2
2026-02-25T02:30:00+00:00,3.157,-0.78,2.806,11.2
2026-02-25T02:35:00+00:00,3.11,-0.778,2.772,11.2
2026-02-25T02:40:00+00:00,3.074,-0.778,2.735,11.2
2026-02-25T02:45:00+00:00,3.028,-0.816,2.706,11.206
2026-02-25T02:50:00+00:00,3.032,-0.846,2.657,11.211
2026-02-25T02:55:00+00:00,2.988,-0.84,2.578,11.0
2026-02-25T03:00:00+00:00,2.929,-0.836,2.521,10.998
2026-02-25T03:05:00+00:00,3.004,-0.805,2.61,10.969
2026-02-25T03:10:00+00:00,2.99,-0.811,2.63,11.06
2026-02-25T03:15:00+00:00,2.946,-0.821,2.595,11.098
2026-02-25T03:20:00+00:00,2.93,-0.81,2.576,11.1
2026-02-25T03:25:00+00:00,2.932,-0.801,2.556,11.1
2026-02-25T03:30:00+00:00,2.868,-0.83,2.47,11.1
2026-02-25T03:35:00+00:00,2.821,-0.83,2.432,11.1
2026-02-25T03:40:00+00:00,2.78,-0.839,2.407,11.1
2026-02-25T03:45:00+00:00,2.728,-0.845,2.382,11.1
2026-02-25T03:50:00+00:00,2.756,-0.848,2.395,11.122
2026-02-25T03:55:00+00:00,2.736,-0.832,2.35,11.166
2026-02-25T04:00:00+00:00,2.728,-0.82,2.339,11.183
2026-02-25T04:05:00+00:00,2.73,-0.814,2.361,11.181
2026-02-25T04:10:00+00:00,2.697,-0.832,2.294,11.16
2026-02-25T04:15:00+00:00,2.652,-0.798,2.27,11.132
2026-02-25T04:20:00+00:00,2.623,-0.814,2.254,11.1
2026-02-25T04:25:00+00:00,2.612,-0.804,2.255,11.1
2026-02-25T04:30:00+00:00,2.593,-0.812,2.239,11.1
2026-02-25T04:35:00+00:00,2.636,-0.808,2.28,11.136
2026-02-25T04:40:00+00:00,2.644,-0.816,2.278,11.127
2026-02-25T04:45:00+00:00,2.623,-0.81,2.26,11.182
2026-02-25T04:50:00+00:00,2.87,-0.798,2.517,11.15
2026-02-25T04:55:00+00:00,2.843,-0.815,2.496,11.134
2026-02-25T05:00:00+00:00,2.682,-0.82,2.328,11.168
2026-02-25T05:05:00+00:00,2.542,-0.804,2.152,11.105
2026-02-25T05:10:00+00:00,2.592,-0.814,2.204,11.1
2026-02-25T05:15:00+00:00,2.552,-0.824,2.18,11.1
2026-02-25T05:20:00+00:00,2.546,-0.817,2.156,11.1
2026-02-25T05:25:00+00:00,2.593,-0.797,2.222,11.1
2026-02-25T05:30:00+00:00,2.601,-0.806,2.22,11.1
2026-02-25T05:35:00+00:00,2.61,-0.811,2.256,11.1
2026-02-25T05:40:00+00:00,2.66,-0.806,2.314,11.1
2026-02-25T05:45:00+00:00,2.653,-0.812,2.303,11.1
2026-02-25T05:50:00+00:00,2.752,-0.813,2.351,11.099
