ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,0.883,-0.148,0.853,11.082
2026-02-25T00:10:00+00:00,0.891,-0.15,0.883,11.1
2026-02-25T00:15:00+00:00,0.9,-0.148,0.896,11.1
2026-02-25T00:20:00+00:00,0.897,-0.144,0.886,11.1
2026-02-25T00:25:00+00:00,0.885,-0.145,0.886,11.1
2026-02-25T00:30:00+00:00,0.873,-0.142,0.858,11.1
2026-02-25T00:35:00+00:00,0.852,-0.146,0.845,11.1
2026-02-25T00:40:00+00:00,0.855,-0.146,0.82,11.08
2026-02-25T00:45:00+00:00,0.842,-0.15,0.816,11.038
2026-02-25T00:50:00+00:00,0.847,-0.146,0.821,11.092
2026-02-25T00:55:00+00:00,0.82,-0.144,0.822,11.1
2026-02-25T01:00:00+00:00,0.815,-0.143,0.803,11.1
2026-02-25T01:05:00+00:00,0.814,-0.156,0.784,11.018
2026-02-25T01:10:00+00:00,0.783,-0.164,0.776,11.024
2026-02-25T01:15:00+00:00,0.786,-0.16,0.772,11.1
2026-02-25T01:20:00+00:00,0.782,-0.156,0.768,11.1
2026-02-25T01:25:00+00:00,0.792,-0.154,0.777,11.1
2026-02-25T01:30:00+00:00,0.798,-0.146,0.788,11.1
2026-02-25T01:35:00+00:00,0.845,-0.15,0.826,11.1
2026-02-25T01:40:00+00:00,0.823,-0.14,0.818,11.1
2026-02-25T01:45:00+00:00,0.806,-0.146,0.802,11.121
2026-02-25T01:50:00+00:00,0.786,-0.153,0.784,11.189
2026-02-25T01:55:00+00:00,0.786,-0.162,0.78,11.2
2026-02-25T02:00:00+00:00,0.79,-0.155,0.782,11.2
2026-02-25T02:05:00+00:00,0.792,-0.158,0.788,11.2
2026-02-25T02:10:00+00:00,0.79,-0.162,0.791,11.198
2026-02-25T02:15:00+00:00,0.78,-0.156,0.778,11.2
2026-02-25T02:20:00+00:00,0.78,-0.147,0.768,11.2
2026-02-25T02:25:00+00:00,0.763,-0.157,0.742,11.2
2026-02-25T02:30:00+00:00,0.871,-0.148,0.735,11.164
2026-02-25T02:35:00+00:00,0.873,-0.114,0.74,11.122
2026-02-25T02:40:00+00:00,0.895,-0.128,0.752,11.166
2026-02-25T02:45:00+00:00,0.896,-0.117,0.776,11.135
2026-02-25T02:50:00+00:00,0.891,-0.124,0.751,11.166
2026-02-25T02:55:00+00:00,0.865,-0.151,0.728,11.188
2026-02-25T03:00:00+00:00,0.876,-0.15,0.742,11.1
2026-02-25T03:05:00+00:00,0.881,-0.135,0.742,11.056
2026-02-25T03:10:00+00:00,0.894,-0.137,0.744,11.056
2026-02-25T03:15:00+00:00,0.884,-0.138,0.732,11.096
2026-02-25T03:20:00+00:00,0.889,-0.151,0.738,11.1
2026-02-25T03:25:00+00:00,0.871,-0.124,0.736,11.1
2026-02-25T03:30:00+00:00,0.856,-0.127,0.714,11.1
2026-02-25T03:35:00+00:00,0.847,-0.13,0.696,11.1
2026-02-25T03:40:00+00:00,0.854,-0.133,0.708,11.1
2026-02-25T03:45:00+00:00,0.862,-0.134,0.718,11.1
2026-02-25T03:50:00+00:00,0.856,-0.134,0.733,11.098
2026-02-25T03:55:00+00:00,0.849,-0.139,0.719,11.08
2026-02-25T04:00:00+00:00,0.856,-0.15,0.698,11.072
2026-02-25T04:05:00+00:00,0.861,-0.136,0.712,11.063
2026-02-25T04:10:00+00:00,0.853,-0.134,0.701,11.022
2026-02-25T04:15:00+00:00,0.826,-0.144,0.673,11.019
2026-02-25T04:20:00+00:00,0.73,-0.158,0.683,11.08
2026-02-25T04:25:00+00:00,0.736,-0.144,0.716,11.1
2026-02-25T04:30:00+00:00,0.718,-0.144,0.702,11.1
2026-02-25T04:35:00+00:00,0.719,-0.142,0.702,11.1
2026-02-25T04:40:00+00:00,0.706,-0.152,0.677,11.1
2026-02-25T04:45:00+00:00,0.685,-0.164,0.657,11.1
2026-02-25T04:50:00+00:00,0.687,-0.16,0.645,11.1
2026-02-25T04:55:00+00:00,0.692,-0.161,0.671,11.1
2026-02-25T05:00:00+00:00,0.69,-0.162,0.667,11.1
2026-02-25T05:05:00+00:00,0.68,-0.16,0.646,11.1
2026-02-25T05:10:00+00:00,0.691,-0.157,0.667,11.1
2026-02-25T05:15:00+00:00,0.694,-0.154,0.683,11.093
2026-02-25T05:20:00+00:00,0.722,-0.152,0.693,11.096
2026-02-25T05:25:00+00:00,0.726,-0.16,0.692,11.075
2026-02-25T05:30:00+00:00,0.72,-0.152,0.686,11.086
2026-02-25T05:35:00+00:00,0.729,-0.162,0.688,11.1
2026-02-25T05:40:00+00:00,0.744,-0.156,0.714,11.092
2026-02-25T05:45:00+00:00,0.753,-0.148,0.724,11.034
2026-02-25T05:50:00+00:00,0.759,-0.146,0.732,11.065
2026-02-25T05:55:00+00:00,0.76,-0.142,0.746,11.1
2026-02-25T06:00:00+00:00,0.749,-0.144,0.74,11.1
2026-02-25T06:05:00+00:00,0.788,-0.15,0.764,11.076
2026-02-25T06:10:00+00:00,0.788,-0.153,0.785,11.032
2026-02-25T06:15:00+00:00,0.79,-0.154,0.781,11.086
2026-02-25T06:20:00+00:00,0.836,-0.162,0.791,11.113
2026-02-25T06:25:00+00:00,0.855,-0.158,0.832,11.073
2026-02-25T06:30:00+00:00,0.857,-0.149,0.852,11.1
2026-02-25T06:35:00+00:00,0.906,-0.146,0.897,11.1
2026-02-25T06:40:00+00:00,0.92,-0.15,0.893,11.05
2026-02-25T06:45:00+00:00,0.925,-0.164,0.886,11.01
2026-02-25T06:50:00+00:00,0.924,-0.172,0.886,11.0
2026-02-25T06:55:00+00:00,0.906,-0.182,0.859,11.008
