ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,2.088,11.15
2026-02-25T00:10:00+00:00,2.083,11.15
2026-02-25T00:15:00+00:00,2.104,11.15
2026-02-25T00:20:00+00:00,2.152,11.15
2026-02-25T00:25:00+00:00,2.226,11.142
2026-02-25T00:30:00+00:00,2.207,11.146
2026-02-25T00:35:00+00:00,2.237,11.134
2026-02-25T00:40:00+00:00,2.154,11.138
2026-02-25T00:45:00+00:00,2.172,11.128
2026-02-25T00:50:00+00:00,2.185,11.15
2026-02-25T00:55:00+00:00,2.186,11.128
2026-02-25T01:00:00+00:00,2.241,11.119
2026-02-25T01:05:00+00:00,2.29,11.108
2026-02-25T01:10:00+00:00,2.295,11.114
2026-02-25T01:15:00+00:00,2.348,11.123
2026-02-25T01:20:00+00:00,2.316,11.136
2026-02-25T01:25:00+00:00,2.322,11.131
2026-02-25T01:30:00+00:00,2.258,11.15
2026-02-25T01:35:00+00:00,2.248,11.118
2026-02-25T01:40:00+00:00,2.254,11.143
2026-02-25T01:45:00+00:00,2.232,11.15
2026-02-25T01:50:00+00:00,2.186,11.15
2026-02-25T01:55:00+00:00,2.19,11.15
2026-02-25T02:00:00+00:00,2.14,11.15
2026-02-25T02:05:00+00:00,2.134,11.15
2026-02-25T02:10:00+00:00,2.128,11.15
2026-02-25T02:15:00+00:00,2.18,11.15
2026-02-25T02:20:00+00:00,2.222,11.15
2026-02-25T02:25:00+00:00,2.177,11.15
2026-02-25T02:30:00+00:00,2.122,11.15
2026-02-25T02:35:00+00:00,2.206,11.15
2026-02-25T02:40:00+00:00,2.304,11.15
2026-02-25T02:45:00+00:00,2.272,11.15
2026-02-25T02:50:00+00:00,2.39,11.15
2026-02-25T02:55:00+00:00,2.43,11.142
2026-02-25T03:00:00+00:00,2.664,11.098
2026-02-25T03:05:00+00:00,2.52,11.084
2026-02-25T03:10:00+00:00,2.51,11.082
2026-02-25T03:15:00+00:00,2.71,11.05
2026-02-25T03:20:00+00:00,2.931,11.05
2026-02-25T03:25:00+00:00,2.857,11.05
2026-02-25T03:30:00+00:00,2.967,11.05
2026-02-25T03:35:00+00:00,3.022,11.05
2026-02-25T03:40:00+00:00,2.94,11.05
2026-02-25T03:45:00+00:00,2.939,11.05
2026-02-25T03:50:00+00:00,3.086,11.05
2026-02-25T03:55:00+00:00,3.104,11.047
2026-02-25T04:00:00+00:00,3.204,11.05
2026-02-25T04:05:00+00:00,3.246,11.05
2026-02-25T04:10:00+00:00,3.243,11.05
2026-02-25T04:15:00+00:00,3.233,11.05
2026-02-25T04:20:00+00:00,3.268,11.05
2026-02-25T04:25:00+00:00,3.23,11.05
2026-02-25T04:30:00+00:00,3.212,11.05
2026-02-25T04:35:00+00:00,3.202,11.05
2026-02-25T04:40:00+00:00,3.159,11.05
2026-02-25T04:45:00+00:00,3.222,11.05
2026-02-25T04:50:00+00:00,3.317,11.05
2026-02-25T04:55:00+00:00,3.302,11.042
2026-02-25T05:00:00+00:00,3.388,11.035
2026-02-25T05:05:00+00:00,3.318,11.048
2026-02-25T05:10:00+00:00,3.308,11.049
2026-02-25T05:15:00+00:00,3.298,11.05
2026-02-25T05:20:00+00:00,3.286,11.05
2026-02-25T05:25:00+00:00,3.314,11.05
2026-02-25T05:30:00+00:00,3.345,11.047
2026-02-25T05:35:00+00:00,3.324,11.037
2026-02-25T05:40:00+00:00,3.395,11.04
2026-02-25T05:45:00+00:00,3.515,11.0
2026-02-25T05:50:00+00:00,3.61,10.997
2026-02-25T05:55:00+00:00,3.672,11.012
2026-02-25T06:00:00+00:00,3.62,11.05
2026-02-25T06:05:00+00:00,3.6,11.049
2026-02-25T06:10:00+00:00,3.679,11.029
2026-02-25T06:15:00+00:00,3.675,11.05
2026-02-25T06:20:00+00:00,3.714,11.05
2026-02-25T06:25:00+00:00,3.766,11.05
2026-02-25T06:30:00+00:00,3.779,11.07
2026-02-25T06:35:00+00:00,3.827,11.124
2026-02-25T06:40:00+00:00,3.883,11.088
2026-02-25T06:45:00+00:00,3.877,11.098
2026-02-25T06:50:00+00:00,3.954,11.064
2026-02-25T06:55:00+00:00,3.921,11.05
