ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,2.603,-0.746,2.564,5.65
2026-02-25T00:10:00+00:00,2.709,-0.739,2.682,5.648
2026-02-25T00:15:00+00:00,2.791,-0.724,2.752,5.646
2026-02-25T00:20:00+00:00,2.77,-0.765,2.722,5.65
2026-02-25T00:25:00+00:00,2.732,-0.767,2.698,5.65
2026-02-25T00:30:00+00:00,2.714,-0.75,2.678,5.65
2026-02-25T00:35:00+00:00,2.887,-0.74,2.847,5.605
2026-02-25T00:40:00+00:00,2.984,-0.752,2.922,5.606
2026-02-25T00:45:00+00:00,3.027,-0.739,2.972,5.6
2026-02-25T00:50:00+00:00,3.033,-0.752,2.976,5.603
2026-02-25T00:55:00+00:00,3.01,-0.761,2.947,5.628
2026-02-25T01:00:00+00:00,3.025,-0.748,2.964,5.627
2026-02-25T01:05:00+00:00,3.008,-0.77,2.946,5.646
2026-02-25T01:10:00+00:00,3.057,-0.744,3.002,5.602
2026-02-25T01:15:00+00:00,3.046,-0.766,2.999,5.603
2026-02-25T01:20:00+00:00,3.016,-0.74,3.012,5.604
2026-02-25T01:25:00+00:00,2.986,-0.738,2.985,5.625
2026-02-25T01:30:00+00:00,2.976,-0.732,2.974,5.626
2026-02-25T01:35:00+00:00,2.984,-0.739,2.99,5.62
2026-02-25T01:40:00+00:00,2.956,-0.764,2.946,5.644
2026-02-25T01:45:00+00:00,2.968,-0.748,2.958,5.648
2026-02-25T01:50:00+00:00,2.96,-0.788,2.934,5.65
2026-02-25T01:55:00+00:00,2.958,-0.769,2.926,5.65
2026-02-25T02:00:00+00:00,2.92,-0.764,2.898,5.65
2026-02-25T02:05:00+00:00,2.915,-0.744,2.914,5.65
2026-02-25T02:10:00+00:00,2.939,-0.738,2.931,5.65
2026-02-25T02:15:00+00:00,2.924,-0.752,2.905,5.65
2026-02-25T02:20:00+00:00,2.95,-0.738,2.935,5.648
2026-02-25T02:25:00+00:00,2.915,-0.72,2.894,5.65
2026-02-25T02:30:00+00:00,2.904,-0.738,2.876,5.65
2026-02-25T02:35:00+00:00,2.915,-0.729,2.901,5.65
2026-02-25T02:40:00+00:00,2.881,-0.738,2.874,5.65
2026-02-25T02:45:00+00:00,2.872,-0.735,2.87,5.65
2026-02-25T02:50:00+00:00,2.821,-0.768,2.806,5.664
2026-02-25T02:55:00+00:00,2.809,-0.766,2.784,5.65
2026-02-25T03:00:00+00:00,2.754,-0.758,2.732,5.65
2026-02-25T03:05:00+00:00,2.786,-0.755,2.755,5.65
2026-02-25T03:10:00+00:00,2.812,-0.708,2.802,5.624
2026-02-25T03:15:00+00:00,2.79,-0.726,2.76,5.65
2026-02-25T03:20:00+00:00,2.736,-0.74,2.731,5.65
2026-02-25T03:25:00+00:00,2.708,-0.742,2.704,5.65
2026-02-25T03:30:00+00:00,2.696,-0.771,2.683,5.65
2026-02-25T03:35:00+00:00,2.708,-0.758,2.688,5.65
2026-02-25T03:40:00+00:00,2.709,-0.739,2.675,5.65
2026-02-25T03:45:00+00:00,2.692,-0.738,2.648,5.65
2026-02-25T03:50:00+00:00,2.641,-0.743,2.607,5.65
2026-02-25T03:55:00+00:00,2.662,-0.733,2.62,5.65
2026-02-25T04:00:00+00:00,2.61,-0.758,2.554,5.65
2026-02-25T04:05:00+00:00,2.626,-0.748,2.568,5.65
2026-02-25T04:10:00+00:00,2.619,-0.76,2.566,5.65
2026-02-25T04:15:00+00:00,2.608,-0.74,2.568,5.65
2026-02-25T04:20:00+00:00,2.605,-0.72,2.564,5.65
2026-02-25T04:25:00+00:00,2.59,-0.762,2.524,5.652
2026-02-25T04:30:00+00:00,2.58,-0.729,2.533,5.65
2026-02-25T04:35:00+00:00,2.604,-0.712,2.558,5.65
2026-02-25T04:40:00+00:00,2.579,-0.712,2.544,5.65
2026-02-25T04:45:00+00:00,2.572,-0.742,2.523,5.65
2026-02-25T04:50:00+00:00,2.543,-0.732,2.5,5.65
2026-02-25T04:55:00+00:00,2.59,-0.742,2.549,5.65
2026-02-25T05:00:00+00:00,2.579,-0.738,2.529,5.65
2026-02-25T05:05:00+00:00,2.59,-0.716,2.542,5.65
2026-02-25T05:10:00+00:00,2.621,-0.712,2.582,5.65
2026-02-25T05:15:00+00:00,2.592,-0.714,2.566,5.65
2026-02-25T05:20:00+00:00,2.596,-0.72,2.592,5.647
2026-02-25T05:25:00+00:00,2.548,-0.717,2.53,5.65
2026-02-25T05:30:00+00:00,2.581,-0.73,2.562,5.65
2026-02-25T05:35:00+00:00,2.598,-0.69,2.584,5.648
2026-02-25T05:40:00+00:00,2.632,-0.68,2.612,5.622
2026-02-25T05:45:00+00:00,2.612,-0.706,2.59,5.62
2026-02-25T05:50:00+00:00,2.599,-0.726,2.564,5.644
2026-02-25T05:55:00+00:00,2.643,-0.713,2.624,5.624
2026-02-25T06:00:00+00:00,2.646,-0.713,2.605,5.644
2026-02-25T06:05:00+00:00,2.73,-0.698,2.71,5.626
2026-02-25T06:10:00+00:00,2.87,-0.674,2.84,5.6
2026-02-25T06:15:00+00:00,2.935,-0.66,2.885,5.564
2026-02-25T06:20:00+00:00,2.966,-0.678,2.906,5.576
2026-02-25T06:25:00+00:00,2.982,-0.657,2.964,5.602
2026-02-25T06:30:00+00:00,3.054,-0.647,3.042,5.6
2026-02-25T06:35:00+00:00,3.176,-0.626,3.152,5.592
2026-02-25T06:40:00+00:00,3.312,-0.628,3.294,5.559
2026-02-25T06:45:00+00:00,3.346,-0.641,3.299,5.575
2026-02-25T06:50:00+00:00,3.42,-0.6,3.404,5.596
2026-02-25T06:55:00+00:00,3.433,-0.607,3.471,5.624
2026-02-25T07:00:00+00:00,3.549,-0.606,3.56,5.642
2026-02-25T07:05:00+00:00,3.624,-0.602,3.665,5.608
2026-02-25T07:10:00+00:00,3.608,-0.603,3.64,5.598
