ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,5.55,11.159
2026-02-25T00:10:00+00:00,5.409,11.15
2026-02-25T00:15:00+00:00,5.236,11.15
2026-02-25T00:20:00+00:00,5.263,11.15
2026-02-25T00:25:00+00:00,5.434,11.15
2026-02-25T00:30:00+00:00,5.405,11.171
2026-02-25T00:35:00+00:00,5.364,11.154
2026-02-25T00:40:00+00:00,5.48,11.15
2026-02-25T00:45:00+00:00,5.556,11.15
2026-02-25T00:50:00+00:00,5.772,11.148
2026-02-25T00:55:00+00:00,5.977,11.129
2026-02-25T01:00:00+00:00,5.836,11.152
2026-02-25T01:05:00+00:00,5.792,11.15
2026-02-25T01:10:00+00:00,5.716,11.15
2026-02-25T01:15:00+00:00,5.724,11.15
2026-02-25T01:20:00+00:00,5.66,11.182
2026-02-25T01:25:00+00:00,5.571,11.2
2026-02-25T01:30:00+00:00,5.58,11.2
2026-02-25T01:35:00+00:00,5.563,11.198
2026-02-25T01:40:00+00:00,5.497,11.2
2026-02-25T01:45:00+00:00,5.389,11.224
2026-02-25T01:50:00+00:00,5.394,11.224
2026-02-25T01:55:00+00:00,5.414,11.248
2026-02-25T02:00:00+00:00,5.367,11.25
2026-02-25T02:05:00+00:00,5.501,11.23
2026-02-25T02:10:00+00:00,5.616,11.2
2026-02-25T02:15:00+00:00,5.713,11.213
2026-02-25T02:20:00+00:00,5.71,11.221
2026-02-25T02:25:00+00:00,5.843,11.204
2026-02-25T02:30:00+00:00,5.703,11.25
2026-02-25T02:35:00+00:00,5.602,11.25
2026-02-25T02:40:00+00:00,5.49,11.25
2026-02-25T02:45:00+00:00,5.396,11.25
2026-02-25T02:50:00+00:00,5.374,11.259
2026-02-25T02:55:00+00:00,5.285,11.269
2026-02-25T03:00:00+00:00,5.281,11.282
2026-02-25T03:05:00+00:00,5.259,11.25
2026-02-25T03:10:00+00:00,5.124,11.25
2026-02-25T03:15:00+00:00,5.274,11.25
2026-02-25T03:20:00+00:00,5.254,11.25
2026-02-25T03:25:00+00:00,5.348,11.238
