ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,5.46,1.399,-5.442,11.049
2026-02-25T00:10:00+00:00,5.703,1.389,-5.724,11.074
2026-02-25T00:15:00+00:00,5.824,1.404,-5.838,11.107
2026-02-25T00:20:00+00:00,5.78,1.369,-5.824,11.126
2026-02-25T00:25:00+00:00,5.683,1.4,-5.736,11.167
2026-02-25T00:30:00+00:00,5.585,1.406,-5.612,11.115
2026-02-25T00:35:00+00:00,5.783,1.352,-5.762,11.012
2026-02-25T00:40:00+00:00,5.926,1.338,-5.956,11.061
2026-02-25T00:45:00+00:00,5.916,1.305,-5.97,11.102
2026-02-25T00:50:00+00:00,5.891,1.318,-5.916,11.039
2026-02-25T00:55:00+00:00,5.934,1.308,-5.948,11.038
2026-02-25T01:00:00+00:00,5.932,1.28,-5.967,11.069
2026-02-25T01:05:00+00:00,6.042,1.232,-6.117,11.128
2026-02-25T01:10:00+00:00,5.996,1.232,-6.081,11.124
2026-02-25T01:15:00+00:00,5.992,1.218,-6.07,11.099
2026-02-25T01:20:00+00:00,5.922,1.216,-5.95,11.053
2026-02-25T01:25:00+00:00,5.866,1.242,-5.897,11.05
2026-02-25T01:30:00+00:00,5.834,1.232,-5.854,11.044
2026-02-25T01:35:00+00:00,5.861,1.229,-5.851,10.971
2026-02-25T01:40:00+00:00,5.871,1.258,-5.864,11.0
2026-02-25T01:45:00+00:00,5.807,1.28,-5.793,11.02
2026-02-25T01:50:00+00:00,5.715,1.292,-5.74,11.05
2026-02-25T01:55:00+00:00,5.651,1.27,-5.68,11.063
2026-02-25T02:00:00+00:00,5.577,1.289,-5.606,11.125
2026-02-25T02:05:00+00:00,5.651,1.283,-5.656,11.054
2026-02-25T02:10:00+00:00,5.668,1.291,-5.694,11.053
2026-02-25T02:15:00+00:00,5.641,1.294,-5.659,11.087
2026-02-25T02:20:00+00:00,5.551,1.322,-5.582,11.1
2026-02-25T02:25:00+00:00,5.525,1.342,-5.541,11.1
2026-02-25T02:30:00+00:00,5.469,1.348,-5.492,11.1
2026-02-25T02:35:00+00:00,5.47,1.318,-5.476,11.116
2026-02-25T02:40:00+00:00,5.401,1.309,-5.44,11.148
2026-02-25T02:45:00+00:00,5.329,1.354,-5.39,11.184
2026-02-25T02:50:00+00:00,5.327,1.343,-5.296,11.026
2026-02-25T02:55:00+00:00,5.245,1.345,-5.296,11.2
2026-02-25T03:00:00+00:00,5.194,1.344,-5.245,11.197
2026-02-25T03:05:00+00:00,5.218,1.252,-5.276,11.204
2026-02-25T03:10:00+00:00,5.18,1.33,-5.238,11.171
2026-02-25T03:15:00+00:00,5.18,1.348,-5.212,11.153
2026-02-25T03:20:00+00:00,5.095,1.356,-5.105,11.172
2026-02-25T03:25:00+00:00,5.032,1.341,-5.058,11.179
2026-02-25T03:30:00+00:00,4.952,1.373,-4.989,11.198
2026-02-25T03:35:00+00:00,4.971,1.39,-4.982,11.178
2026-02-25T03:40:00+00:00,4.928,1.372,-4.879,11.075
2026-02-25T03:45:00+00:00,4.929,1.37,-4.864,11.016
2026-02-25T03:50:00+00:00,4.802,1.406,-4.772,11.152
2026-02-25T03:55:00+00:00,4.692,1.4,-4.692,11.179
2026-02-25T04:00:00+00:00,4.719,1.4,-4.694,11.15
2026-02-25T04:05:00+00:00,4.779,1.402,-4.741,11.15
2026-02-25T04:10:00+00:00,4.755,1.43,-4.73,11.15
2026-02-25T04:15:00+00:00,4.713,1.396,-4.671,11.15
2026-02-25T04:20:00+00:00,4.704,1.404,-4.663,11.15
2026-02-25T04:25:00+00:00,4.698,1.403,-4.654,11.124
2026-02-25T04:30:00+00:00,4.638,1.404,-4.544,11.054
2026-02-25T04:35:00+00:00,4.726,1.372,-4.639,11.05
2026-02-25T04:40:00+00:00,4.741,1.389,-4.656,11.05
2026-02-25T04:45:00+00:00,4.686,1.398,-4.608,11.05
2026-02-25T04:50:00+00:00,4.684,1.403,-4.608,11.05
2026-02-25T04:55:00+00:00,4.698,1.397,-4.608,11.044
2026-02-25T05:00:00+00:00,4.663,1.367,-4.576,11.015
2026-02-25T05:05:00+00:00,4.546,1.378,-4.459,11.003
2026-02-25T05:10:00+00:00,4.493,1.381,-4.377,10.976
2026-02-25T05:15:00+00:00,4.512,1.402,-4.414,10.977
2026-02-25T05:20:00+00:00,4.568,1.388,-4.466,10.967
2026-02-25T05:25:00+00:00,4.496,1.408,-4.38,10.976
2026-02-25T05:30:00+00:00,4.504,1.481,-4.432,11.096
2026-02-25T05:35:00+00:00,4.485,1.436,-4.414,11.116
2026-02-25T05:40:00+00:00,4.605,1.426,-4.54,11.139
2026-02-25T05:45:00+00:00,4.59,1.396,-4.55,11.15
2026-02-25T05:50:00+00:00,4.613,1.397,-4.584,11.128
2026-02-25T05:55:00+00:00,4.648,1.366,-4.591,11.083
2026-02-25T06:00:00+00:00,4.752,1.352,-4.706,11.062
2026-02-25T06:05:00+00:00,4.902,1.354,-4.844,11.032
2026-02-25T06:10:00+00:00,5.132,1.344,-5.114,11.07
2026-02-25T06:15:00+00:00,5.144,1.314,-5.146,11.09
2026-02-25T06:20:00+00:00,5.229,1.344,-5.252,11.098
2026-02-25T06:25:00+00:00,5.312,1.342,-5.327,11.119
2026-02-25T06:30:00+00:00,5.299,1.324,-5.314,11.1
2026-02-25T06:35:00+00:00,5.428,1.329,-5.444,11.084
2026-02-25T06:40:00+00:00,5.497,1.338,-5.514,11.057
2026-02-25T06:45:00+00:00,5.585,1.285,-5.588,11.05
2026-02-25T06:50:00+00:00,5.72,1.239,-5.752,11.048
2026-02-25T06:55:00+00:00,5.816,1.25,-5.838,11.021
2026-02-25T07:00:00+00:00,6.042,1.268,-6.063,11.035
2026-02-25T07:05:00+00:00,6.158,1.232,-6.191,11.002
2026-02-25T07:10:00+00:00,6.29,1.26,-6.353,11.036
2026-02-25T07:15:00+00:00,6.332,1.211,-6.442,11.128
2026-02-25T07:20:00+00:00,6.285,1.168,-6.431,11.18
