ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,258.391,4.96,-0.507,-4.907,11.096
2026-02-25T00:10:00+00:00,254.542,4.89,-0.403,-4.834,11.098
2026-02-25T00:15:00+00:00,253.442,4.873,-0.336,-4.834,11.1
2026-02-25T00:20:00+00:00,249.838,4.804,-0.338,-4.765,11.1
2026-02-25T00:25:00+00:00,260.437,5.008,-0.49,-4.937,11.1
2026-02-25T00:30:00+00:00,257.957,4.962,-0.509,-4.888,11.1
2026-02-25T00:35:00+00:00,259.837,4.992,-0.532,-4.927,11.1
2026-02-25T00:40:00+00:00,259.412,4.99,-0.456,-4.918,11.1
2026-02-25T00:45:00+00:00,245.618,4.728,-0.282,-4.707,11.105
2026-02-25T00:50:00+00:00,243.839,4.708,-0.31,-4.671,11.151
2026-02-25T00:55:00+00:00,253.428,4.872,-0.442,-4.835,11.102
2026-02-25T01:00:00+00:00,256.935,4.938,-0.466,-4.896,11.1
2026-02-25T01:05:00+00:00,252.68,4.868,-0.46,-4.813,11.1
2026-02-25T01:10:00+00:00,249.711,4.802,-0.388,-4.765,11.1
2026-02-25T01:15:00+00:00,245.044,4.716,-0.319,-4.693,11.114
2026-02-25T01:20:00+00:00,247.304,4.762,-0.362,-4.726,11.115
2026-02-25T01:25:00+00:00,247.934,4.764,-0.437,-4.744,11.104
2026-02-25T01:30:00+00:00,247.598,4.758,-0.472,-4.716,11.1
2026-02-25T01:35:00+00:00,247.406,4.76,-0.478,-4.723,11.1
2026-02-25T01:40:00+00:00,252.148,4.846,-0.494,-4.806,11.1
2026-02-25T01:45:00+00:00,240.31,4.655,-0.302,-4.621,11.184
2026-02-25T01:50:00+00:00,239.513,4.644,-0.267,-4.609,11.2
2026-02-25T01:55:00+00:00,241.76,4.688,-0.398,-4.631,11.191
2026-02-25T02:00:00+00:00,244.861,4.732,-0.473,-4.685,11.162
2026-02-25T02:05:00+00:00,248.407,4.796,-0.484,-4.746,11.152
2026-02-25T02:10:00+00:00,252.106,4.86,-0.512,-4.818,11.136
2026-02-25T02:15:00+00:00,244.742,4.744,-0.396,-4.696,11.194
2026-02-25T02:20:00+00:00,236.317,4.588,-0.308,-4.554,11.2
2026-02-25T02:25:00+00:00,237.058,4.596,-0.34,-4.56,11.2
2026-02-25T02:30:00+00:00,242.965,4.71,-0.44,-4.646,11.2
2026-02-25T02:35:00+00:00,246.826,4.785,-0.504,-4.725,11.2
2026-02-25T02:40:00+00:00,245.358,4.76,-0.488,-4.694,11.2
2026-02-25T02:45:00+00:00,238.298,4.621,-0.418,-4.579,11.2
2026-02-25T02:50:00+00:00,229.117,4.453,-0.256,-4.426,11.22
2026-02-25T02:55:00+00:00,228.569,4.446,-0.287,-4.407,11.226
2026-02-25T03:00:00+00:00,235.86,4.572,-0.411,-4.531,11.2
2026-02-25T03:05:00+00:00,241.767,4.693,-0.475,-4.632,11.2
2026-02-25T03:10:00+00:00,244.037,4.736,-0.48,-4.68,11.2
2026-02-25T03:15:00+00:00,238.37,4.62,-0.438,-4.558,11.2
2026-02-25T03:20:00+00:00,228.805,4.439,-0.304,-4.414,11.2
2026-02-25T03:25:00+00:00,226.234,4.388,-0.293,-4.355,11.2
2026-02-25T03:30:00+00:00,235.259,4.564,-0.438,-4.516,11.2
2026-02-25T03:35:00+00:00,235.048,4.56,-0.461,-4.511,11.2
2026-02-25T03:40:00+00:00,238.726,4.632,-0.49,-4.57,11.2
2026-02-25T03:45:00+00:00,237.183,4.6,-0.464,-4.556,11.2
2026-02-25T03:50:00+00:00,231.575,4.51,-0.304,-4.462,11.257
2026-02-25T03:55:00+00:00,225.724,4.361,-0.27,-4.324,11.153
2026-02-25T04:00:00+00:00,233.609,4.488,-0.37,-4.453,11.1
2026-02-25T04:05:00+00:00,235.422,4.526,-0.418,-4.482,11.1
2026-02-25T04:10:00+00:00,236.888,4.553,-0.414,-4.504,11.1
2026-02-25T04:15:00+00:00,234.558,4.504,-0.351,-4.458,11.1
2026-02-25T04:20:00+00:00,228.461,4.39,-0.271,-4.364,11.1
2026-02-25T04:25:00+00:00,226.604,4.355,-0.306,-4.312,11.1
2026-02-25T04:30:00+00:00,230.924,4.442,-0.405,-4.38,11.1
2026-02-25T04:35:00+00:00,235.036,4.52,-0.428,-4.46,11.1
2026-02-25T04:40:00+00:00,240.409,4.621,-0.421,-4.549,11.1
2026-02-25T04:45:00+00:00,233.866,4.5,-0.292,-4.449,11.1
2026-02-25T04:50:00+00:00,229.618,4.42,-0.264,-4.37,11.1
2026-02-25T04:55:00+00:00,232.602,4.471,-0.316,-4.422,11.1
2026-02-25T05:00:00+00:00,241.826,4.632,-0.45,-4.564,11.075
2026-02-25T05:05:00+00:00,247.04,4.717,-0.438,-4.674,11.016
2026-02-25T05:10:00+00:00,247.18,4.705,-0.42,-4.666,11.0
2026-02-25T05:15:00+00:00,245.916,4.698,-0.372,-4.648,11.034
2026-02-25T05:20:00+00:00,233.742,4.5,-0.233,-4.449,11.1
2026-02-25T05:25:00+00:00,228.084,4.386,-0.258,-4.336,11.096
2026-02-25T05:30:00+00:00,237.627,4.536,-0.477,-4.489,11.016
2026-02-25T05:35:00+00:00,254.634,4.848,-0.504,-4.794,11.0
2026-02-25T05:40:00+00:00,256.177,4.88,-0.49,-4.832,11.0
2026-02-25T05:45:00+00:00,261.206,4.974,-0.522,-4.922,11.0
2026-02-25T05:50:00+00:00,251.131,4.778,-0.364,-4.73,11.0
2026-02-25T05:55:00+00:00,255.4,4.87,-0.376,-4.816,11.0
2026-02-25T06:00:00+00:00,267.682,5.108,-0.473,-5.029,11.016
2026-02-25T06:05:00+00:00,275.114,5.261,-0.625,-5.196,11.046
2026-02-25T06:10:00+00:00,289.203,5.499,-0.71,-5.419,10.986
2026-02-25T06:15:00+00:00,295.823,5.68,-0.712,-5.58,11.087
2026-02-25T06:20:00+00:00,291.382,5.611,-0.604,-5.55,11.13
2026-02-25T06:25:00+00:00,286.496,5.57,-0.604,-5.512,11.222
2026-02-25T06:30:00+00:00,294.232,5.73,-0.718,-5.658,11.243
2026-02-25T06:35:00+00:00,302.326,5.874,-0.811,-5.792,11.221
2026-02-25T06:40:00+00:00,307.915,5.971,-0.837,-5.896,11.2
2026-02-25T06:45:00+00:00,311.294,6.038,-0.869,-5.948,11.2
2026-02-25T06:50:00+00:00,306.093,5.94,-0.763,-5.875,11.2
2026-02-25T06:55:00+00:00,304.452,5.9,-0.706,-5.838,11.2
