ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,3.51,-0.272,3.252,11.076
2026-02-25T00:10:00+00:00,3.508,-0.334,3.221,11.012
2026-02-25T00:15:00+00:00,3.532,-0.314,3.235,11.015
2026-02-25T00:20:00+00:00,3.537,-0.295,3.25,11.012
2026-02-25T00:25:00+00:00,3.474,-0.304,3.19,11.094
2026-02-25T00:30:00+00:00,3.556,-0.27,3.288,11.1
2026-02-25T00:35:00+00:00,3.475,-0.293,3.172,11.092
2026-02-25T00:40:00+00:00,3.467,-0.295,3.173,11.052
2026-02-25T00:45:00+00:00,3.482,-0.332,3.17,11.08
2026-02-25T00:50:00+00:00,3.45,-0.347,3.156,11.092
2026-02-25T00:55:00+00:00,3.406,-0.33,3.108,11.1
2026-02-25T01:00:00+00:00,3.406,-0.316,3.116,11.1
2026-02-25T01:05:00+00:00,3.434,-0.306,3.152,11.1
2026-02-25T01:10:00+00:00,3.436,-0.316,3.161,11.1
2026-02-25T01:15:00+00:00,3.41,-0.312,3.108,11.1
2026-02-25T01:20:00+00:00,3.401,-0.312,3.107,11.1
2026-02-25T01:25:00+00:00,3.34,-0.365,3.048,11.1
2026-02-25T01:30:00+00:00,3.322,-0.355,3.014,11.1
2026-02-25T01:35:00+00:00,3.344,-0.322,3.05,11.1
2026-02-25T01:40:00+00:00,3.366,-0.306,3.068,11.1
2026-02-25T01:45:00+00:00,3.314,-0.332,3.077,11.137
2026-02-25T01:50:00+00:00,3.206,-0.331,3.043,11.1
2026-02-25T01:55:00+00:00,3.2,-0.318,3.014,11.1
2026-02-25T02:00:00+00:00,3.144,-0.341,2.964,11.1
2026-02-25T02:05:00+00:00,3.156,-0.37,2.993,11.1
2026-02-25T02:10:00+00:00,3.158,-0.355,2.99,11.1
2026-02-25T02:15:00+00:00,3.168,-0.305,3.013,11.101
2026-02-25T02:20:00+00:00,3.169,-0.3,3.01,11.118
2026-02-25T02:25:00+00:00,3.172,-0.308,2.991,11.128
2026-02-25T02:30:00+00:00,3.29,-0.322,2.997,11.066
2026-02-25T02:35:00+00:00,3.278,-0.335,2.952,11.023
2026-02-25T02:40:00+00:00,3.266,-0.324,2.94,11.061
2026-02-25T02:45:00+00:00,3.264,-0.342,2.926,11.1
2026-02-25T02:50:00+00:00,3.274,-0.34,2.944,11.1
2026-02-25T02:55:00+00:00,3.246,-0.33,2.931,11.1
2026-02-25T03:00:00+00:00,3.274,-0.306,2.96,11.1
2026-02-25T03:05:00+00:00,3.315,-0.285,2.997,11.021
