ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,0.686,0.13,-0.012,5.5
2026-02-25T00:10:00+00:00,0.714,0.131,-0.012,5.5
2026-02-25T00:15:00+00:00,0.718,0.132,-0.012,5.5
2026-02-25T00:20:00+00:00,0.693,0.133,-0.012,5.5
2026-02-25T00:25:00+00:00,0.682,0.134,-0.012,5.5
2026-02-25T00:30:00+00:00,0.686,0.135,-0.012,5.5
2026-02-25T00:35:00+00:00,0.696,0.136,-0.012,5.5
2026-02-25T00:40:00+00:00,0.746,0.138,-0.012,5.5
2026-02-25T00:45:00+00:00,0.746,0.138,-0.012,5.5
2026-02-25T00:50:00+00:00,0.728,0.14,-0.013,5.5
2026-02-25T00:55:00+00:00,0.683,0.14,-0.013,5.5
2026-02-25T01:00:00+00:00,0.656,0.142,-0.013,5.5
2026-02-25T01:05:00+00:00,0.666,0.143,-0.013,5.5
2026-02-25T01:10:00+00:00,0.662,0.144,-0.013,5.5
2026-02-25T01:15:00+00:00,0.654,0.145,-0.014,5.5
2026-02-25T01:20:00+00:00,0.654,0.146,-0.014,5.5
2026-02-25T01:25:00+00:00,0.656,0.147,-0.014,5.5
2026-02-25T01:30:00+00:00,0.659,0.148,-0.014,5.5
2026-02-25T01:35:00+00:00,0.666,0.15,-0.014,5.5
2026-02-25T01:40:00+00:00,0.658,0.15,-0.014,5.506
2026-02-25T01:45:00+00:00,0.65,0.152,-0.014,5.538
2026-02-25T01:50:00+00:00,0.648,0.152,-0.014,5.55
2026-02-25T01:55:00+00:00,0.661,0.154,-0.014,5.55
2026-02-25T02:00:00+00:00,0.655,0.154,-0.014,5.55
2026-02-25T02:05:00+00:00,0.662,0.156,-0.014,5.55
2026-02-25T02:10:00+00:00,0.676,0.157,-0.014,5.55
2026-02-25T02:15:00+00:00,0.656,0.158,-0.014,5.55
2026-02-25T02:20:00+00:00,0.652,0.159,-0.014,5.55
2026-02-25T02:25:00+00:00,0.655,0.16,-0.014,5.55
2026-02-25T02:30:00+00:00,0.654,0.161,-0.014,5.55
2026-02-25T02:35:00+00:00,0.637,0.162,-0.015,5.55
2026-02-25T02:40:00+00:00,0.63,0.164,-0.015,5.55
2026-02-25T02:45:00+00:00,0.622,0.164,-0.015,5.55
2026-02-25T02:50:00+00:00,0.617,0.166,-0.015,5.55
2026-02-25T02:55:00+00:00,0.628,0.166,-0.015,5.55
2026-02-25T03:00:00+00:00,0.624,0.168,-0.016,5.55
2026-02-25T03:05:00+00:00,0.644,0.168,-0.016,5.55
2026-02-25T03:10:00+00:00,0.654,0.17,-0.016,5.55
2026-02-25T03:15:00+00:00,0.66,0.171,-0.016,5.55
2026-02-25T03:20:00+00:00,0.626,0.172,-0.016,5.55
2026-02-25T03:25:00+00:00,0.624,0.173,-0.016,5.55
2026-02-25T03:30:00+00:00,0.604,0.174,-0.016,5.55
2026-02-25T03:35:00+00:00,0.595,0.175,-0.016,5.55
2026-02-25T03:40:00+00:00,0.59,0.176,-0.016,5.55
2026-02-25T03:45:00+00:00,0.566,0.178,-0.016,5.55
2026-02-25T03:50:00+00:00,0.572,0.178,-0.016,5.55
2026-02-25T03:55:00+00:00,0.562,0.18,-0.016,5.55
