ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,3.513,0.282,-3.514,11.1
2026-02-25T00:10:00+00:00,3.5,0.318,-3.497,11.1
2026-02-25T00:15:00+00:00,3.508,0.306,-3.505,11.1
2026-02-25T00:20:00+00:00,3.553,0.292,-3.541,11.093
2026-02-25T00:25:00+00:00,3.516,0.297,-3.51,11.096
2026-02-25T00:30:00+00:00,3.526,0.261,-3.52,11.093
2026-02-25T00:35:00+00:00,3.61,0.279,-3.606,11.004
2026-02-25T00:40:00+00:00,3.635,0.258,-3.618,11.0
2026-02-25T00:45:00+00:00,3.628,0.283,-3.618,11.0
2026-02-25T00:50:00+00:00,3.61,0.293,-3.596,11.005
2026-02-25T00:55:00+00:00,3.66,0.283,-3.647,11.043
2026-02-25T01:00:00+00:00,3.634,0.285,-3.633,11.078
2026-02-25T01:05:00+00:00,3.656,0.311,-3.652,11.024
2026-02-25T01:10:00+00:00,3.68,0.314,-3.67,11.063
2026-02-25T01:15:00+00:00,3.678,0.29,-3.676,11.072
2026-02-25T01:20:00+00:00,3.72,0.29,-3.716,11.086
2026-02-25T01:25:00+00:00,3.694,0.275,-3.69,11.093
2026-02-25T01:30:00+00:00,3.732,0.242,-3.732,11.08
2026-02-25T01:35:00+00:00,3.735,0.25,-3.734,11.1
2026-02-25T01:40:00+00:00,3.694,0.249,-3.699,11.1
2026-02-25T01:45:00+00:00,3.62,0.301,-3.624,11.1
2026-02-25T01:50:00+00:00,3.56,0.34,-3.562,11.1
2026-02-25T01:55:00+00:00,3.634,0.272,-3.645,11.1
2026-02-25T02:00:00+00:00,3.556,0.286,-3.559,11.1
2026-02-25T02:05:00+00:00,3.535,0.312,-3.54,11.1
2026-02-25T02:10:00+00:00,3.578,0.316,-3.588,11.1
2026-02-25T02:15:00+00:00,3.524,0.308,-3.538,11.1
2026-02-25T02:20:00+00:00,3.485,0.32,-3.495,11.1
2026-02-25T02:25:00+00:00,3.456,0.318,-3.46,11.1
2026-02-25T02:30:00+00:00,3.436,0.328,-3.442,11.1
2026-02-25T02:35:00+00:00,3.434,0.33,-3.438,11.1
2026-02-25T02:40:00+00:00,3.44,0.315,-3.448,11.1
2026-02-25T02:45:00+00:00,3.444,0.31,-3.463,11.1
2026-02-25T02:50:00+00:00,3.423,0.288,-3.444,11.102
2026-02-25T02:55:00+00:00,3.392,0.311,-3.413,11.118
2026-02-25T03:00:00+00:00,3.375,0.316,-3.38,11.116
2026-02-25T03:05:00+00:00,3.404,0.318,-3.414,11.1
2026-02-25T03:10:00+00:00,3.41,0.315,-3.421,11.1
