ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.318,11.2
2026-02-25T00:10:00+00:00,1.364,11.2
2026-02-25T00:15:00+00:00,1.402,11.2
2026-02-25T00:20:00+00:00,1.356,11.2
2026-02-25T00:25:00+00:00,1.374,11.2
2026-02-25T00:30:00+00:00,1.366,11.2
2026-02-25T00:35:00+00:00,1.381,11.2
2026-02-25T00:40:00+00:00,1.391,11.2
2026-02-25T00:45:00+00:00,1.396,11.2
2026-02-25T00:50:00+00:00,1.368,11.2
2026-02-25T00:55:00+00:00,1.391,11.194
2026-02-25T01:00:00+00:00,1.383,11.2
2026-02-25T01:05:00+00:00,1.4,11.2
2026-02-25T01:10:00+00:00,1.398,11.2
2026-02-25T01:15:00+00:00,1.37,11.2
2026-02-25T01:20:00+00:00,1.372,11.2
2026-02-25T01:25:00+00:00,1.393,11.2
2026-02-25T01:30:00+00:00,1.41,11.2
2026-02-25T01:35:00+00:00,1.385,11.2
2026-02-25T01:40:00+00:00,1.353,11.2
2026-02-25T01:45:00+00:00,1.352,11.216
2026-02-25T01:50:00+00:00,1.369,11.21
2026-02-25T01:55:00+00:00,1.362,11.157
2026-02-25T02:00:00+00:00,1.331,11.2
2026-02-25T02:05:00+00:00,1.354,11.2
2026-02-25T02:10:00+00:00,1.37,11.2
2026-02-25T02:15:00+00:00,1.36,11.2
2026-02-25T02:20:00+00:00,1.331,11.2
2026-02-25T02:25:00+00:00,1.32,11.2
2026-02-25T02:30:00+00:00,1.3,11.17
2026-02-25T02:35:00+00:00,1.288,11.15
2026-02-25T02:40:00+00:00,1.269,11.151
2026-02-25T02:45:00+00:00,1.269,11.194
2026-02-25T02:50:00+00:00,1.283,11.2
2026-02-25T02:55:00+00:00,1.296,11.2
2026-02-25T03:00:00+00:00,1.253,11.2
2026-02-25T03:05:00+00:00,1.279,11.164
2026-02-25T03:10:00+00:00,1.284,11.157
2026-02-25T03:15:00+00:00,1.286,11.178
2026-02-25T03:20:00+00:00,1.24,11.2
2026-02-25T03:25:00+00:00,1.261,11.2
2026-02-25T03:30:00+00:00,1.26,11.2
2026-02-25T03:35:00+00:00,1.264,11.2
2026-02-25T03:40:00+00:00,1.236,11.2
2026-02-25T03:45:00+00:00,1.228,11.2
2026-02-25T03:50:00+00:00,1.24,11.2
2026-02-25T03:55:00+00:00,1.248,11.2
2026-02-25T04:00:00+00:00,1.234,11.2
2026-02-25T04:05:00+00:00,1.308,11.2
2026-02-25T04:10:00+00:00,1.32,11.2
2026-02-25T04:15:00+00:00,1.314,11.2
2026-02-25T04:20:00+00:00,1.292,11.2
2026-02-25T04:25:00+00:00,1.278,11.2
2026-02-25T04:30:00+00:00,1.234,11.2
2026-02-25T04:35:00+00:00,1.259,11.2
2026-02-25T04:40:00+00:00,1.289,11.2
2026-02-25T04:45:00+00:00,1.273,11.2
2026-02-25T04:50:00+00:00,1.27,11.2
2026-02-25T04:55:00+00:00,1.249,11.2
2026-02-25T05:00:00+00:00,1.274,11.2
2026-02-25T05:05:00+00:00,1.264,11.178
2026-02-25T05:10:00+00:00,1.236,11.15
2026-02-25T05:15:00+00:00,1.264,11.15
2026-02-25T05:20:00+00:00,1.33,11.15
2026-02-25T05:25:00+00:00,1.25,11.15
