ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.964,11.1
2026-02-25T00:10:00+00:00,2.056,11.1
2026-02-25T00:15:00+00:00,2.063,11.1
2026-02-25T00:20:00+00:00,2.076,11.1
2026-02-25T00:25:00+00:00,2.041,11.1
2026-02-25T00:30:00+00:00,1.984,11.1
2026-02-25T00:35:00+00:00,1.979,11.1
2026-02-25T00:40:00+00:00,2.035,11.1
2026-02-25T00:45:00+00:00,2.07,11.1
2026-02-25T00:50:00+00:00,2.084,11.1
2026-02-25T00:55:00+00:00,2.067,11.076
2026-02-25T01:00:00+00:00,2.049,11.098
2026-02-25T01:05:00+00:00,2.157,11.1
2026-02-25T01:10:00+00:00,2.18,11.1
2026-02-25T01:15:00+00:00,2.144,11.1
2026-02-25T01:20:00+00:00,2.109,11.1
2026-02-25T01:25:00+00:00,2.078,11.1
2026-02-25T01:30:00+00:00,2.04,11.1
2026-02-25T01:35:00+00:00,2.119,11.1
2026-02-25T01:40:00+00:00,2.165,11.1
2026-02-25T01:45:00+00:00,2.11,11.1
2026-02-25T01:50:00+00:00,2.089,11.145
2026-02-25T01:55:00+00:00,2.073,11.175
2026-02-25T02:00:00+00:00,2.061,11.144
2026-02-25T02:05:00+00:00,2.119,11.121
2026-02-25T02:10:00+00:00,2.106,11.114
2026-02-25T02:15:00+00:00,2.096,11.157
2026-02-25T02:20:00+00:00,2.094,11.152
2026-02-25T02:25:00+00:00,2.041,11.19
2026-02-25T02:30:00+00:00,1.974,11.2
2026-02-25T02:35:00+00:00,1.915,11.2
2026-02-25T02:40:00+00:00,1.903,11.2
2026-02-25T02:45:00+00:00,1.889,11.2
2026-02-25T02:50:00+00:00,1.855,11.2
2026-02-25T02:55:00+00:00,1.886,11.2
2026-02-25T03:00:00+00:00,1.86,11.2
2026-02-25T03:05:00+00:00,1.917,11.2
2026-02-25T03:10:00+00:00,1.891,11.2
2026-02-25T03:15:00+00:00,1.854,11.2
2026-02-25T03:20:00+00:00,1.878,11.2
