ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.812,11.229
2026-02-25T00:10:00+00:00,1.943,11.2
2026-02-25T00:15:00+00:00,1.929,11.2
2026-02-25T00:20:00+00:00,1.898,11.2
2026-02-25T00:25:00+00:00,1.889,11.2
2026-02-25T00:30:00+00:00,1.822,11.215
2026-02-25T00:35:00+00:00,1.866,11.219
2026-02-25T00:40:00+00:00,1.874,11.206
2026-02-25T00:45:00+00:00,1.924,11.2
2026-02-25T00:50:00+00:00,1.986,11.296
2026-02-25T00:55:00+00:00,1.947,11.3
2026-02-25T01:00:00+00:00,1.954,11.3
2026-02-25T01:05:00+00:00,1.997,11.207
2026-02-25T01:10:00+00:00,1.951,11.226
2026-02-25T01:15:00+00:00,1.908,11.274
2026-02-25T01:20:00+00:00,1.84,11.3
2026-02-25T01:25:00+00:00,1.711,11.3
2026-02-25T01:30:00+00:00,1.643,11.3
2026-02-25T01:35:00+00:00,1.613,11.3
2026-02-25T01:40:00+00:00,1.602,11.3
2026-02-25T01:45:00+00:00,1.529,11.307
2026-02-25T01:50:00+00:00,1.468,11.387
2026-02-25T01:55:00+00:00,1.463,11.383
2026-02-25T02:00:00+00:00,1.475,11.4
2026-02-25T02:05:00+00:00,1.545,11.394
2026-02-25T02:10:00+00:00,1.487,11.4
2026-02-25T02:15:00+00:00,1.555,11.4
2026-02-25T02:20:00+00:00,1.624,11.4
2026-02-25T02:25:00+00:00,1.616,11.384
2026-02-25T02:30:00+00:00,1.535,11.2
2026-02-25T02:35:00+00:00,1.562,11.2
2026-02-25T02:40:00+00:00,1.645,11.2
2026-02-25T02:45:00+00:00,1.541,11.221
2026-02-25T02:50:00+00:00,1.518,11.167
2026-02-25T02:55:00+00:00,1.477,11.2
2026-02-25T03:00:00+00:00,1.53,11.2
2026-02-25T03:05:00+00:00,1.482,11.103
2026-02-25T03:10:00+00:00,1.507,11.1
2026-02-25T03:15:00+00:00,1.591,11.1
2026-02-25T03:20:00+00:00,1.62,11.1
2026-02-25T03:25:00+00:00,1.663,11.1
2026-02-25T03:30:00+00:00,1.6,11.1
2026-02-25T03:35:00+00:00,1.684,11.1
2026-02-25T03:40:00+00:00,1.652,11.187
2026-02-25T03:45:00+00:00,1.59,11.2
2026-02-25T03:50:00+00:00,1.63,11.2
2026-02-25T03:55:00+00:00,1.675,11.2
2026-02-25T04:00:00+00:00,1.716,11.2
2026-02-25T04:05:00+00:00,1.785,11.2
2026-02-25T04:10:00+00:00,1.775,11.2
2026-02-25T04:15:00+00:00,1.788,11.196
2026-02-25T04:20:00+00:00,1.789,11.172
2026-02-25T04:25:00+00:00,1.733,11.174
2026-02-25T04:30:00+00:00,1.677,11.126
2026-02-25T04:35:00+00:00,1.636,11.188
2026-02-25T04:40:00+00:00,1.649,11.2
2026-02-25T04:45:00+00:00,1.665,11.2
2026-02-25T04:50:00+00:00,1.642,11.188
2026-02-25T04:55:00+00:00,1.615,11.166
2026-02-25T05:00:00+00:00,1.637,11.144
2026-02-25T05:05:00+00:00,1.484,11.136
2026-02-25T05:10:00+00:00,1.529,11.1
2026-02-25T05:15:00+00:00,1.54,11.133
2026-02-25T05:20:00+00:00,1.556,11.165
2026-02-25T05:25:00+00:00,1.526,11.126
2026-02-25T05:30:00+00:00,1.519,11.106
2026-02-25T05:35:00+00:00,1.417,11.113
2026-02-25T05:40:00+00:00,1.382,11.106
2026-02-25T05:45:00+00:00,1.408,11.1
2026-02-25T05:50:00+00:00,1.339,11.1
2026-02-25T05:55:00+00:00,1.381,11.185
2026-02-25T06:00:00+00:00,1.383,11.2
2026-02-25T06:05:00+00:00,1.414,11.228
2026-02-25T06:10:00+00:00,1.341,11.279
2026-02-25T06:15:00+00:00,1.454,11.2
2026-02-25T06:20:00+00:00,1.542,11.152
2026-02-25T06:25:00+00:00,1.508,11.167
2026-02-25T06:30:00+00:00,1.54,11.2
2026-02-25T06:35:00+00:00,1.714,11.2
2026-02-25T06:40:00+00:00,1.724,11.2
2026-02-25T06:45:00+00:00,1.63,11.162
2026-02-25T06:50:00+00:00,1.682,11.1
2026-02-25T06:55:00+00:00,1.724,11.1
2026-02-25T07:00:00+00:00,1.648,11.104
2026-02-25T07:05:00+00:00,1.786,11.1
2026-02-25T07:10:00+00:00,1.86,11.1
2026-02-25T07:15:00+00:00,1.844,11.1
2026-02-25T07:20:00+00:00,1.849,11.1
2026-02-25T07:25:00+00:00,1.835,11.1
2026-02-25T07:30:00+00:00,1.853,11.1
2026-02-25T07:35:00+00:00,1.864,11.1
2026-02-25T07:40:00+00:00,1.899,11.189
2026-02-25T07:45:00+00:00,1.934,11.2
2026-02-25T07:50:00+00:00,1.959,11.2
