ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,1.769,11.0
2026-02-25T00:10:00+00:00,1.78,11.0
2026-02-25T00:15:00+00:00,1.855,11.0
2026-02-25T00:20:00+00:00,1.9,11.0
2026-02-25T00:25:00+00:00,2.019,11.0
2026-02-25T00:30:00+00:00,1.959,11.0
2026-02-25T00:35:00+00:00,2.047,11.033
2026-02-25T00:40:00+00:00,2.155,11.1
2026-02-25T00:45:00+00:00,2.128,11.1
2026-02-25T00:50:00+00:00,2.181,11.1
2026-02-25T00:55:00+00:00,2.161,11.1
2026-02-25T01:00:00+00:00,2.108,11.1
2026-02-25T01:05:00+00:00,2.12,11.1
2026-02-25T01:10:00+00:00,2.11,11.1
2026-02-25T01:15:00+00:00,2.159,11.1
2026-02-25T01:20:00+00:00,2.098,11.1
2026-02-25T01:25:00+00:00,2.102,11.1
2026-02-25T01:30:00+00:00,2.08,11.1
2026-02-25T01:35:00+00:00,2.037,11.1
2026-02-25T01:40:00+00:00,2.115,11.1
2026-02-25T01:45:00+00:00,2.052,11.1
2026-02-25T01:50:00+00:00,2.09,11.1
2026-02-25T01:55:00+00:00,2.08,11.1
2026-02-25T02:00:00+00:00,2.087,11.1
2026-02-25T02:05:00+00:00,2.114,11.1
2026-02-25T02:10:00+00:00,2.085,11.1
2026-02-25T02:15:00+00:00,2.043,11.1
2026-02-25T02:20:00+00:00,2.033,11.1
2026-02-25T02:25:00+00:00,2.028,11.1
2026-02-25T02:30:00+00:00,2.06,11.1
2026-02-25T02:35:00+00:00,2.018,11.1
2026-02-25T02:40:00+00:00,2.003,11.1
2026-02-25T02:45:00+00:00,1.99,11.102
2026-02-25T02:50:00+00:00,1.991,11.141
2026-02-25T02:55:00+00:00,1.961,11.14
2026-02-25T03:00:00+00:00,1.94,11.119
2026-02-25T03:05:00+00:00,1.903,11.1
2026-02-25T03:10:00+00:00,1.832,11.1
2026-02-25T03:15:00+00:00,1.938,11.1
2026-02-25T03:20:00+00:00,1.872,11.1
2026-02-25T03:25:00+00:00,1.875,11.1
2026-02-25T03:30:00+00:00,1.838,11.1
2026-02-25T03:35:00+00:00,1.873,11.1
2026-02-25T03:40:00+00:00,1.911,11.1
2026-02-25T03:45:00+00:00,1.843,11.1
2026-02-25T03:50:00+00:00,1.911,11.1
2026-02-25T03:55:00+00:00,1.868,11.1
2026-02-25T04:00:00+00:00,1.815,11.101
2026-02-25T04:05:00+00:00,1.795,11.1
2026-02-25T04:10:00+00:00,1.781,11.1
2026-02-25T04:15:00+00:00,1.854,11.1
2026-02-25T04:20:00+00:00,1.821,11.1
2026-02-25T04:25:00+00:00,1.896,11.1
2026-02-25T04:30:00+00:00,1.845,11.1
2026-02-25T04:35:00+00:00,1.804,11.1
2026-02-25T04:40:00+00:00,1.866,11.1
2026-02-25T04:45:00+00:00,1.822,11.118
2026-02-25T04:50:00+00:00,1.887,11.114
2026-02-25T04:55:00+00:00,1.765,11.1
2026-02-25T05:00:00+00:00,1.717,11.114
2026-02-25T05:05:00+00:00,1.715,11.109
2026-02-25T05:10:00+00:00,1.728,11.1
2026-02-25T05:15:00+00:00,1.797,11.101
2026-02-25T05:20:00+00:00,1.753,11.141
2026-02-25T05:25:00+00:00,1.79,11.1
2026-02-25T05:30:00+00:00,1.746,11.1
2026-02-25T05:35:00+00:00,1.775,11.1
2026-02-25T05:40:00+00:00,1.882,11.1
2026-02-25T05:45:00+00:00,1.827,11.1
2026-02-25T05:50:00+00:00,1.873,11.1
2026-02-25T05:55:00+00:00,1.813,11.129
2026-02-25T06:00:00+00:00,1.798,11.068
2026-02-25T06:05:00+00:00,1.839,11.002
2026-02-25T06:10:00+00:00,1.826,11.01
2026-02-25T06:15:00+00:00,1.88,11.1
2026-02-25T06:20:00+00:00,1.819,11.1
2026-02-25T06:25:00+00:00,1.88,11.1
2026-02-25T06:30:00+00:00,1.869,11.127
