ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,1.822,-0.304,1.787,11.118
2026-02-25T00:10:00+00:00,1.89,-0.256,1.862,11.1
2026-02-25T00:15:00+00:00,1.864,-0.339,1.846,11.1
2026-02-25T00:20:00+00:00,1.843,-0.312,1.822,11.1
2026-02-25T00:25:00+00:00,1.837,-0.302,1.818,11.1
2026-02-25T00:30:00+00:00,1.858,-0.31,1.832,11.104
2026-02-25T00:35:00+00:00,1.894,-0.315,1.844,11.088
2026-02-25T00:40:00+00:00,1.887,-0.327,1.843,11.07
2026-02-25T00:45:00+00:00,1.898,-0.313,1.859,11.058
2026-02-25T00:50:00+00:00,1.904,-0.304,1.874,11.082
2026-02-25T00:55:00+00:00,1.904,-0.296,1.88,11.1
2026-02-25T01:00:00+00:00,1.926,-0.306,1.902,11.1
2026-02-25T01:05:00+00:00,1.905,-0.322,1.903,11.1
2026-02-25T01:10:00+00:00,1.93,-0.261,1.916,11.1
2026-02-25T01:15:00+00:00,1.923,-0.31,1.904,11.1
2026-02-25T01:20:00+00:00,1.937,-0.258,1.934,11.1
2026-02-25T01:25:00+00:00,1.92,-0.246,1.926,11.146
2026-02-25T01:30:00+00:00,1.907,-0.25,1.903,11.15
2026-02-25T01:35:00+00:00,1.917,-0.269,1.918,11.15
2026-02-25T01:40:00+00:00,1.882,-0.298,1.876,11.15
2026-02-25T01:45:00+00:00,1.867,-0.3,1.87,11.15
2026-02-25T01:50:00+00:00,1.876,-0.298,1.866,11.15
2026-02-25T01:55:00+00:00,1.886,-0.246,1.874,11.166
2026-02-25T02:00:00+00:00,1.89,-0.257,1.862,11.178
2026-02-25T02:05:00+00:00,1.894,-0.308,1.864,11.193
2026-02-25T02:10:00+00:00,1.898,-0.254,1.883,11.191
2026-02-25T02:15:00+00:00,1.884,-0.282,1.888,11.2
2026-02-25T02:20:00+00:00,1.842,-0.314,1.84,11.213
2026-02-25T02:25:00+00:00,1.815,-0.307,1.811,11.232
2026-02-25T02:30:00+00:00,1.858,-0.266,1.854,11.205
2026-02-25T02:35:00+00:00,1.835,-0.305,1.832,11.2
2026-02-25T02:40:00+00:00,1.827,-0.26,1.82,11.202
2026-02-25T02:45:00+00:00,1.844,-0.266,1.842,11.228
2026-02-25T02:50:00+00:00,1.832,-0.31,1.854,11.25
2026-02-25T02:55:00+00:00,1.822,-0.314,1.83,11.25
2026-02-25T03:00:00+00:00,1.828,-0.276,1.83,11.25
2026-02-25T03:05:00+00:00,1.814,-0.261,1.822,11.214
2026-02-25T03:10:00+00:00,1.896,-0.248,1.883,11.2
2026-02-25T03:15:00+00:00,1.875,-0.254,1.867,11.2
2026-02-25T03:20:00+00:00,1.826,-0.266,1.838,11.2
2026-02-25T03:25:00+00:00,1.794,-0.304,1.802,11.2
2026-02-25T03:30:00+00:00,1.802,-0.278,1.808,11.2
2026-02-25T03:35:00+00:00,1.806,-0.268,1.81,11.2
2026-02-25T03:40:00+00:00,1.814,-0.268,1.816,11.224
2026-02-25T03:45:00+00:00,1.806,-0.273,1.802,11.25
2026-02-25T03:50:00+00:00,1.806,-0.252,1.8,11.25
2026-02-25T03:55:00+00:00,1.796,-0.279,1.797,11.25
2026-02-25T04:00:00+00:00,1.777,-0.274,1.772,11.25
2026-02-25T04:05:00+00:00,1.781,-0.246,1.792,11.25
2026-02-25T04:10:00+00:00,1.766,-0.324,1.782,11.25
2026-02-25T04:15:00+00:00,1.742,-0.292,1.748,11.25
2026-02-25T04:20:00+00:00,1.764,-0.244,1.764,11.25
2026-02-25T04:25:00+00:00,1.744,-0.256,1.749,11.25
2026-02-25T04:30:00+00:00,1.752,-0.26,1.744,11.25
2026-02-25T04:35:00+00:00,1.752,-0.234,1.762,11.234
2026-02-25T04:40:00+00:00,1.733,-0.302,1.746,11.25
2026-02-25T04:45:00+00:00,1.76,-0.256,1.77,11.25
2026-02-25T04:50:00+00:00,1.755,-0.262,1.756,11.25
2026-02-25T04:55:00+00:00,1.763,-0.298,1.754,11.25
2026-02-25T05:00:00+00:00,1.733,-0.248,1.746,11.25
2026-02-25T05:05:00+00:00,1.772,-0.205,1.772,11.211
2026-02-25T05:10:00+00:00,1.792,-0.2,1.788,11.2
2026-02-25T05:15:00+00:00,1.788,-0.196,1.788,11.2
2026-02-25T05:20:00+00:00,1.787,-0.187,1.776,11.2
2026-02-25T05:25:00+00:00,1.817,-0.218,1.804,11.2
2026-02-25T05:30:00+00:00,1.802,-0.232,1.777,11.176
2026-02-25T05:35:00+00:00,1.79,-0.21,1.792,11.153
2026-02-25T05:40:00+00:00,1.788,-0.206,1.792,11.186
2026-02-25T05:45:00+00:00,1.818,-0.188,1.812,11.17
2026-02-25T05:50:00+00:00,1.792,-0.233,1.784,11.156
2026-02-25T05:55:00+00:00,1.792,-0.203,1.808,11.142
2026-02-25T06:00:00+00:00,1.822,-0.261,1.812,11.148
2026-02-25T06:05:00+00:00,1.88,-0.203,1.862,11.107
2026-02-25T06:10:00+00:00,1.89,-0.254,1.876,11.049
2026-02-25T06:15:00+00:00,1.948,-0.224,1.93,11.0
2026-02-25T06:20:00+00:00,1.945,-0.251,1.928,11.031
2026-02-25T06:25:00+00:00,1.966,-0.192,1.932,11.05
2026-02-25T06:30:00+00:00,1.934,-0.252,1.892,11.05
2026-02-25T06:35:00+00:00,1.944,-0.24,1.918,11.05
2026-02-25T06:40:00+00:00,1.982,-0.191,1.942,11.05
2026-02-25T06:45:00+00:00,2.017,-0.24,1.954,11.05
2026-02-25T06:50:00+00:00,2.026,-0.226,1.982,11.044
2026-02-25T06:55:00+00:00,2.104,-0.144,2.056,11.084
2026-02-25T07:00:00+00:00,2.108,-0.139,2.088,11.1
2026-02-25T07:05:00+00:00,2.11,-0.2,2.087,11.087
2026-02-25T07:10:00+00:00,2.102,-0.196,2.061,11.035
2026-02-25T07:15:00+00:00,2.138,-0.146,2.12,11.04
2026-02-25T07:20:00+00:00,2.138,-0.206,2.118,11.036
2026-02-25T07:25:00+00:00,2.152,-0.125,2.126,11.028
2026-02-25T07:30:00+00:00,2.208,-0.089,2.189,11.016
