ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,168.691,3.269,0.474,-3.12,11.205
2026-02-25T00:10:00+00:00,177.879,3.451,0.455,-3.267,11.2
2026-02-25T00:15:00+00:00,179.005,3.472,0.451,-3.279,11.2
2026-02-25T00:20:00+00:00,176.217,3.418,0.453,-3.231,11.2
2026-02-25T00:25:00+00:00,171.158,3.333,0.467,-3.165,11.2
2026-02-25T00:30:00+00:00,169.106,3.285,0.462,-3.121,11.209
2026-02-25T00:35:00+00:00,170.112,3.298,0.449,-3.129,11.201
2026-02-25T00:40:00+00:00,174.38,3.383,0.492,-3.216,11.201
2026-02-25T00:45:00+00:00,176.577,3.432,0.483,-3.265,11.254
2026-02-25T00:50:00+00:00,177.139,3.469,0.485,-3.264,11.3
2026-02-25T00:55:00+00:00,176.487,3.454,0.491,-3.264,11.3
2026-02-25T01:00:00+00:00,173.558,3.394,0.469,-3.211,11.299
2026-02-25T01:05:00+00:00,177.871,3.451,0.447,-3.285,11.203
2026-02-25T01:10:00+00:00,176.864,3.444,0.454,-3.277,11.226
2026-02-25T01:15:00+00:00,177.07,3.466,0.46,-3.244,11.3
2026-02-25T01:20:00+00:00,176.904,3.461,0.447,-3.245,11.3
2026-02-25T01:25:00+00:00,177.968,3.478,0.453,-3.277,11.3
2026-02-25T01:30:00+00:00,178.244,3.488,0.45,-3.272,11.3
2026-02-25T01:35:00+00:00,178.541,3.498,0.456,-3.288,11.3
2026-02-25T01:40:00+00:00,178.14,3.487,0.451,-3.299,11.3
2026-02-25T01:45:00+00:00,176.272,3.451,0.417,-3.282,11.3
2026-02-25T01:50:00+00:00,173.725,3.396,0.453,-3.221,11.3
2026-02-25T01:55:00+00:00,175.344,3.434,0.45,-3.227,11.3
2026-02-25T02:00:00+00:00,173.724,3.4,0.457,-3.205,11.3
2026-02-25T02:05:00+00:00,176.413,3.44,0.478,-3.227,11.3
2026-02-25T02:10:00+00:00,176.537,3.453,0.489,-3.229,11.3
2026-02-25T02:15:00+00:00,174.435,3.411,0.488,-3.203,11.3
2026-02-25T02:20:00+00:00,171.091,3.351,0.481,-3.149,11.3
2026-02-25T02:25:00+00:00,168.759,3.303,0.493,-3.095,11.3
2026-02-25T02:30:00+00:00,166.48,3.268,0.488,-3.065,11.3
2026-02-25T02:35:00+00:00,168.669,3.302,0.473,-3.095,11.3
2026-02-25T02:40:00+00:00,170.393,3.336,0.481,-3.13,11.3
2026-02-25T02:45:00+00:00,167.855,3.288,0.469,-3.132,11.3
2026-02-25T02:50:00+00:00,164.681,3.238,0.461,-3.066,11.361
2026-02-25T02:55:00+00:00,159.76,3.157,0.515,-2.954,11.396
2026-02-25T03:00:00+00:00,159.653,3.126,0.496,-2.964,11.317
