ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,78.583,1.514,0.469,-1.434,11.2
2026-02-25T00:10:00+00:00,81.188,1.564,0.48,-1.496,11.2
2026-02-25T00:15:00+00:00,82.726,1.599,0.482,-1.51,11.2
2026-02-25T00:20:00+00:00,81.58,1.579,0.495,-1.492,11.2
2026-02-25T00:25:00+00:00,82.527,1.592,0.496,-1.516,11.2
2026-02-25T00:30:00+00:00,83.375,1.609,0.502,-1.53,11.2
2026-02-25T00:35:00+00:00,83.332,1.62,0.496,-1.527,11.2
2026-02-25T00:40:00+00:00,83.505,1.62,0.492,-1.53,11.2
2026-02-25T00:45:00+00:00,82.125,1.598,0.5,-1.491,11.2
2026-02-25T00:50:00+00:00,82.651,1.594,0.488,-1.52,11.2
2026-02-25T00:55:00+00:00,82.358,1.606,0.497,-1.505,11.2
2026-02-25T01:00:00+00:00,81.236,1.574,0.491,-1.478,11.2
2026-02-25T01:05:00+00:00,85.124,1.651,0.49,-1.565,11.2
2026-02-25T01:10:00+00:00,84.597,1.649,0.494,-1.562,11.2
2026-02-25T01:15:00+00:00,84.379,1.643,0.5,-1.565,11.2
2026-02-25T01:20:00+00:00,82.892,1.612,0.483,-1.531,11.2
2026-02-25T01:25:00+00:00,82.404,1.596,0.478,-1.524,11.2
2026-02-25T01:30:00+00:00,81.596,1.594,0.471,-1.51,11.229
2026-02-25T01:35:00+00:00,82.43,1.594,0.478,-1.526,11.212
2026-02-25T01:40:00+00:00,83.199,1.626,0.486,-1.537,11.28
2026-02-25T01:45:00+00:00,83.176,1.632,0.494,-1.531,11.3
2026-02-25T01:50:00+00:00,81.561,1.596,0.492,-1.494,11.3
2026-02-25T01:55:00+00:00,81.77,1.596,0.48,-1.495,11.3
2026-02-25T02:00:00+00:00,80.202,1.568,0.468,-1.493,11.3
2026-02-25T02:05:00+00:00,81.067,1.582,0.454,-1.506,11.3
2026-02-25T02:10:00+00:00,81.302,1.586,0.459,-1.523,11.3
2026-02-25T02:15:00+00:00,80.991,1.592,0.46,-1.501,11.3
2026-02-25T02:20:00+00:00,82.664,1.622,0.413,-1.458,11.3
2026-02-25T02:25:00+00:00,81.408,1.602,0.426,-1.426,11.3
2026-02-25T02:30:00+00:00,79.931,1.558,0.332,-1.4,11.176
2026-02-25T02:35:00+00:00,74.778,1.462,0.457,-1.378,11.279
2026-02-25T02:40:00+00:00,74.667,1.458,0.458,-1.349,11.3
2026-02-25T02:45:00+00:00,73.772,1.449,0.542,-1.352,11.3
2026-02-25T02:50:00+00:00,74.456,1.461,0.466,-1.355,11.3
2026-02-25T02:55:00+00:00,78.258,1.518,0.404,-1.353,11.3
2026-02-25T03:00:00+00:00,78.325,1.522,0.411,-1.352,11.298
2026-02-25T03:05:00+00:00,78.79,1.526,0.406,-1.38,11.2
2026-02-25T03:10:00+00:00,80.502,1.549,0.388,-1.412,11.2
2026-02-25T03:15:00+00:00,80.25,1.555,0.402,-1.403,11.2
2026-02-25T03:20:00+00:00,76.423,1.484,0.405,-1.32,11.2
2026-02-25T03:25:00+00:00,76.616,1.474,0.4,-1.321,11.2
2026-02-25T03:30:00+00:00,76.297,1.482,0.383,-1.332,11.21
2026-02-25T03:35:00+00:00,75.195,1.464,0.403,-1.314,11.204
2026-02-25T03:40:00+00:00,73.958,1.445,0.409,-1.283,11.26
2026-02-25T03:45:00+00:00,74.942,1.465,0.45,-1.284,11.3
2026-02-25T03:50:00+00:00,74.744,1.464,0.404,-1.292,11.3
2026-02-25T03:55:00+00:00,73.897,1.455,0.428,-1.283,11.3
2026-02-25T04:00:00+00:00,74.206,1.453,0.394,-1.283,11.3
2026-02-25T04:05:00+00:00,74.792,1.457,0.391,-1.306,11.3
2026-02-25T04:10:00+00:00,75.864,1.486,0.429,-1.32,11.3
2026-02-25T04:15:00+00:00,73.182,1.44,0.443,-1.262,11.3
2026-02-25T04:20:00+00:00,72.646,1.419,0.43,-1.245,11.283
2026-02-25T04:25:00+00:00,73.632,1.436,0.427,-1.272,11.292
2026-02-25T04:30:00+00:00,73.095,1.423,0.437,-1.252,11.25
2026-02-25T04:35:00+00:00,73.952,1.442,0.437,-1.275,11.292
2026-02-25T04:40:00+00:00,73.931,1.447,0.408,-1.284,11.279
2026-02-25T04:45:00+00:00,73.28,1.442,0.406,-1.262,11.3
2026-02-25T04:50:00+00:00,74.575,1.457,0.403,-1.284,11.294
2026-02-25T04:55:00+00:00,73.256,1.435,0.396,-1.265,11.258
2026-02-25T05:00:00+00:00,73.177,1.412,0.414,-1.25,11.215
2026-02-25T05:05:00+00:00,73.288,1.426,0.473,-1.248,11.2
2026-02-25T05:10:00+00:00,72.994,1.41,0.456,-1.238,11.2
2026-02-25T05:15:00+00:00,73.854,1.419,0.466,-1.247,11.2
2026-02-25T05:20:00+00:00,74.113,1.428,0.452,-1.255,11.2
2026-02-25T05:25:00+00:00,72.968,1.421,0.431,-1.246,11.2
2026-02-25T05:30:00+00:00,72.037,1.4,0.454,-1.226,11.2
2026-02-25T05:35:00+00:00,72.084,1.395,0.483,-1.219,11.2
2026-02-25T05:40:00+00:00,73.438,1.424,0.531,-1.248,11.2
2026-02-25T05:45:00+00:00,73.94,1.432,0.517,-1.252,11.2
2026-02-25T05:50:00+00:00,73.904,1.424,0.496,-1.249,11.194
2026-02-25T05:55:00+00:00,74.136,1.438,0.427,-1.274,11.184
2026-02-25T06:00:00+00:00,74.784,1.44,0.459,-1.28,11.149
2026-02-25T06:05:00+00:00,75.989,1.47,0.434,-1.367,11.125
2026-02-25T06:10:00+00:00,78.303,1.515,0.428,-1.446,11.189
2026-02-25T06:15:00+00:00,82.206,1.576,0.401,-1.458,11.1
2026-02-25T06:20:00+00:00,82.783,1.598,0.452,-1.513,11.174
2026-02-25T06:25:00+00:00,82.663,1.613,0.408,-1.552,11.26
2026-02-25T06:30:00+00:00,85.412,1.674,0.423,-1.556,11.308
2026-02-25T06:35:00+00:00,87.566,1.71,0.408,-1.574,11.3
2026-02-25T06:40:00+00:00,88.962,1.737,0.378,-1.604,11.3
2026-02-25T06:45:00+00:00,90.224,1.77,0.395,-1.632,11.298
2026-02-25T06:50:00+00:00,90.22,1.752,0.411,-1.628,11.226
2026-02-25T06:55:00+00:00,91.061,1.769,0.392,-1.646,11.2
2026-02-25T07:00:00+00:00,92.037,1.784,0.381,-1.674,11.221
