ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.526,11.072
2026-02-25T00:10:00+00:00,3.574,11.038
2026-02-25T00:15:00+00:00,3.57,11.049
2026-02-25T00:20:00+00:00,3.554,11.052
2026-02-25T00:25:00+00:00,3.576,11.05
2026-02-25T00:30:00+00:00,3.536,11.078
2026-02-25T00:35:00+00:00,3.564,11.051
2026-02-25T00:40:00+00:00,3.648,11.031
2026-02-25T00:45:00+00:00,3.702,11.042
2026-02-25T00:50:00+00:00,3.722,11.05
2026-02-25T00:55:00+00:00,3.722,11.088
2026-02-25T01:00:00+00:00,3.741,11.091
2026-02-25T01:05:00+00:00,3.767,11.016
2026-02-25T01:10:00+00:00,3.776,11.012
2026-02-25T01:15:00+00:00,3.736,11.05
2026-02-25T01:20:00+00:00,3.699,11.05
2026-02-25T01:25:00+00:00,3.664,11.082
2026-02-25T01:30:00+00:00,3.641,11.1
2026-02-25T01:35:00+00:00,3.655,11.088
2026-02-25T01:40:00+00:00,3.686,11.099
2026-02-25T01:45:00+00:00,3.626,11.1
2026-02-25T01:50:00+00:00,3.589,11.143
2026-02-25T01:55:00+00:00,3.594,11.15
2026-02-25T02:00:00+00:00,3.549,11.15
2026-02-25T02:05:00+00:00,3.587,11.15
2026-02-25T02:10:00+00:00,3.596,11.156
2026-02-25T02:15:00+00:00,3.574,11.2
2026-02-25T02:20:00+00:00,3.548,11.2
2026-02-25T02:25:00+00:00,3.516,11.192
2026-02-25T02:30:00+00:00,3.471,11.15
2026-02-25T02:35:00+00:00,3.472,11.15
2026-02-25T02:40:00+00:00,3.474,11.146
2026-02-25T02:45:00+00:00,3.423,11.188
2026-02-25T02:50:00+00:00,3.322,11.074
2026-02-25T02:55:00+00:00,3.364,11.024
2026-02-25T03:00:00+00:00,3.362,10.993
2026-02-25T03:05:00+00:00,3.455,10.973
2026-02-25T03:10:00+00:00,3.46,11.0
2026-02-25T03:15:00+00:00,3.424,11.0
2026-02-25T03:20:00+00:00,3.442,11.0
2026-02-25T03:25:00+00:00,3.392,11.0
2026-02-25T03:30:00+00:00,3.382,11.016
2026-02-25T03:35:00+00:00,3.358,11.0
2026-02-25T03:40:00+00:00,3.375,11.006
2026-02-25T03:45:00+00:00,3.354,11.032
2026-02-25T03:50:00+00:00,3.351,11.05
2026-02-25T03:55:00+00:00,3.327,11.052
2026-02-25T04:00:00+00:00,3.311,11.061
2026-02-25T04:05:00+00:00,3.35,11.064
2026-02-25T04:10:00+00:00,3.353,11.05
2026-02-25T04:15:00+00:00,3.328,11.05
2026-02-25T04:20:00+00:00,3.285,11.05
2026-02-25T04:25:00+00:00,3.281,11.05
2026-02-25T04:30:00+00:00,3.253,11.051
2026-02-25T04:35:00+00:00,3.244,11.058
2026-02-25T04:40:00+00:00,3.274,11.055
2026-02-25T04:45:00+00:00,3.226,11.1
2026-02-25T04:50:00+00:00,3.213,11.087
2026-02-25T04:55:00+00:00,3.245,11.06
2026-02-25T05:00:00+00:00,3.244,11.08
2026-02-25T05:05:00+00:00,3.204,11.03
2026-02-25T05:10:00+00:00,3.222,11.0
2026-02-25T05:15:00+00:00,3.262,11.0
2026-02-25T05:20:00+00:00,3.299,11.0
2026-02-25T05:25:00+00:00,3.304,11.0
2026-02-25T05:30:00+00:00,3.306,11.0
2026-02-25T05:35:00+00:00,3.342,11.0
2026-02-25T05:40:00+00:00,3.399,11.0
2026-02-25T05:45:00+00:00,3.335,11.0
2026-02-25T05:50:00+00:00,3.372,10.994
2026-02-25T05:55:00+00:00,3.432,10.97
2026-02-25T06:00:00+00:00,3.436,10.951
2026-02-25T06:05:00+00:00,3.576,11.038
2026-02-25T06:10:00+00:00,3.663,11.008
2026-02-25T06:15:00+00:00,3.64,11.02
