ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,213.028,4.128,0.055,-4.972,11.182
2026-02-25T00:10:00+00:00,215.89,4.154,0.075,-4.998,11.114
2026-02-25T00:15:00+00:00,222.455,4.278,0.088,-4.991,11.1
2026-02-25T00:20:00+00:00,222.034,4.27,0.116,-4.952,11.102
2026-02-25T00:25:00+00:00,221.211,4.27,0.143,-4.995,11.156
2026-02-25T00:30:00+00:00,224.31,4.333,0.107,-5.023,11.142
2026-02-25T00:35:00+00:00,230.486,4.431,0.096,-5.08,11.102
2026-02-25T00:40:00+00:00,233.743,4.488,0.097,-5.135,11.1
2026-02-25T00:45:00+00:00,236.305,4.541,0.079,-5.221,11.1
2026-02-25T00:50:00+00:00,239.028,4.594,0.09,-5.259,11.1
2026-02-25T00:55:00+00:00,238.594,4.584,0.082,-5.214,11.1
2026-02-25T01:00:00+00:00,239.802,4.614,0.09,-5.265,11.1
2026-02-25T01:05:00+00:00,239.916,4.612,0.099,-5.281,11.1
2026-02-25T01:10:00+00:00,243.488,4.674,0.085,-5.357,11.1
2026-02-25T01:15:00+00:00,242.91,4.672,0.081,-5.337,11.1
2026-02-25T01:20:00+00:00,243.084,4.677,0.086,-5.355,11.1
2026-02-25T01:25:00+00:00,238.416,4.59,0.086,-5.305,11.1
2026-02-25T01:30:00+00:00,235.986,4.544,0.092,-5.256,11.12
2026-02-25T01:35:00+00:00,239.297,4.598,0.075,-5.319,11.1
2026-02-25T01:40:00+00:00,239.906,4.622,0.092,-5.354,11.112
2026-02-25T01:45:00+00:00,234.372,4.546,0.078,-5.259,11.183
2026-02-25T01:50:00+00:00,236.12,4.578,0.08,-5.26,11.198
2026-02-25T01:55:00+00:00,233.519,4.52,0.096,-5.206,11.2
2026-02-25T02:00:00+00:00,232.872,4.518,0.081,-5.202,11.194
2026-02-25T02:05:00+00:00,229.672,4.451,0.085,-5.19,11.2
2026-02-25T02:10:00+00:00,229.066,4.446,0.089,-5.178,11.2
2026-02-25T02:15:00+00:00,225.07,4.371,0.088,-5.122,11.2
2026-02-25T02:20:00+00:00,224.862,4.355,0.102,-5.076,11.2
2026-02-25T02:25:00+00:00,223.64,4.339,0.092,-5.053,11.2
2026-02-25T02:30:00+00:00,221.063,4.29,0.136,-5.103,11.2
2026-02-25T02:35:00+00:00,220.67,4.276,0.098,-5.082,11.2
2026-02-25T02:40:00+00:00,218.362,4.234,0.082,-5.037,11.2
2026-02-25T02:45:00+00:00,215.115,4.187,0.162,-4.994,11.23
2026-02-25T02:50:00+00:00,215.721,4.211,0.149,-4.984,11.27
2026-02-25T02:55:00+00:00,211.378,4.131,0.158,-4.813,11.297
2026-02-25T03:00:00+00:00,215.068,4.186,0.104,-4.872,11.248
