ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.604,11.205
2026-02-25T00:10:00+00:00,3.74,11.2
2026-02-25T00:15:00+00:00,3.775,11.2
2026-02-25T00:20:00+00:00,3.776,11.2
2026-02-25T00:25:00+00:00,3.766,11.2
2026-02-25T00:30:00+00:00,3.772,11.2
2026-02-25T00:35:00+00:00,3.71,11.2
2026-02-25T00:40:00+00:00,3.738,11.2
2026-02-25T00:45:00+00:00,3.75,11.2
2026-02-25T00:50:00+00:00,3.67,11.2
2026-02-25T00:55:00+00:00,3.68,11.2
2026-02-25T01:00:00+00:00,3.697,11.2
2026-02-25T01:05:00+00:00,3.749,11.2
2026-02-25T01:10:00+00:00,3.742,11.2
2026-02-25T01:15:00+00:00,3.745,11.2
2026-02-25T01:20:00+00:00,3.72,11.2
2026-02-25T01:25:00+00:00,3.654,11.241
2026-02-25T01:30:00+00:00,3.644,11.198
2026-02-25T01:35:00+00:00,3.762,11.1
2026-02-25T01:40:00+00:00,3.773,11.1
2026-02-25T01:45:00+00:00,3.811,11.1
2026-02-25T01:50:00+00:00,3.714,11.1
2026-02-25T01:55:00+00:00,3.672,11.138
2026-02-25T02:00:00+00:00,3.668,11.126
2026-02-25T02:05:00+00:00,3.716,11.172
2026-02-25T02:10:00+00:00,3.694,11.16
2026-02-25T02:15:00+00:00,3.648,11.2
2026-02-25T02:20:00+00:00,3.617,11.197
2026-02-25T02:25:00+00:00,3.55,11.2
2026-02-25T02:30:00+00:00,3.562,11.2
2026-02-25T02:35:00+00:00,3.479,11.2
2026-02-25T02:40:00+00:00,3.488,11.2
2026-02-25T02:45:00+00:00,3.45,11.2
2026-02-25T02:50:00+00:00,3.436,11.2
2026-02-25T02:55:00+00:00,3.418,11.2
2026-02-25T03:00:00+00:00,3.402,11.2
2026-02-25T03:05:00+00:00,3.452,11.2
2026-02-25T03:10:00+00:00,3.47,11.2
2026-02-25T03:15:00+00:00,3.463,11.2
2026-02-25T03:20:00+00:00,3.43,11.2
2026-02-25T03:25:00+00:00,3.4,11.2
2026-02-25T03:30:00+00:00,3.421,11.2
2026-02-25T03:35:00+00:00,3.352,11.2
2026-02-25T03:40:00+00:00,3.318,11.2
2026-02-25T03:45:00+00:00,3.286,11.2
2026-02-25T03:50:00+00:00,3.238,11.2
2026-02-25T03:55:00+00:00,3.209,11.2
2026-02-25T04:00:00+00:00,3.194,11.2
2026-02-25T04:05:00+00:00,3.206,11.2
2026-02-25T04:10:00+00:00,3.184,11.2
2026-02-25T04:15:00+00:00,3.154,11.2
2026-02-25T04:20:00+00:00,3.12,11.2
2026-02-25T04:25:00+00:00,3.09,11.2
2026-02-25T04:30:00+00:00,3.118,11.2
2026-02-25T04:35:00+00:00,3.138,11.188
2026-02-25T04:40:00+00:00,3.14,11.173
2026-02-25T04:45:00+00:00,3.134,11.196
2026-02-25T04:50:00+00:00,3.128,11.181
2026-02-25T04:55:00+00:00,3.128,11.184
2026-02-25T05:00:00+00:00,3.08,11.199
2026-02-25T05:05:00+00:00,3.053,11.176
2026-02-25T05:10:00+00:00,3.082,11.108
2026-02-25T05:15:00+00:00,3.106,11.1
2026-02-25T05:20:00+00:00,3.114,11.107
2026-02-25T05:25:00+00:00,3.114,11.1
2026-02-25T05:30:00+00:00,3.092,11.1
2026-02-25T05:35:00+00:00,3.088,11.1
2026-02-25T05:40:00+00:00,3.093,11.1
2026-02-25T05:45:00+00:00,3.148,11.1
2026-02-25T05:50:00+00:00,3.22,11.1
2026-02-25T05:55:00+00:00,3.234,11.1
2026-02-25T06:00:00+00:00,3.212,11.1
2026-02-25T06:05:00+00:00,3.372,11.067
2026-02-25T06:10:00+00:00,3.37,11.1
2026-02-25T06:15:00+00:00,3.452,11.1
2026-02-25T06:20:00+00:00,3.492,11.092
2026-02-25T06:25:00+00:00,3.566,11.082
2026-02-25T06:30:00+00:00,3.615,11.152
2026-02-25T06:35:00+00:00,3.736,11.112
2026-02-25T06:40:00+00:00,3.752,11.102
2026-02-25T06:45:00+00:00,3.858,11.1
2026-02-25T06:50:00+00:00,3.925,11.1
2026-02-25T06:55:00+00:00,3.936,11.166
2026-02-25T07:00:00+00:00,4.008,11.27
2026-02-25T07:05:00+00:00,4.096,11.229
2026-02-25T07:10:00+00:00,4.123,11.2
2026-02-25T07:15:00+00:00,4.232,11.2
2026-02-25T07:20:00+00:00,4.26,11.2
2026-02-25T07:25:00+00:00,4.29,11.2
2026-02-25T07:30:00+00:00,4.327,11.2
2026-02-25T07:35:00+00:00,4.396,11.2
2026-02-25T07:40:00+00:00,4.362,11.2
2026-02-25T07:45:00+00:00,4.36,11.2
2026-02-25T07:50:00+00:00,4.423,11.19
2026-02-25T07:55:00+00:00,4.436,11.179
2026-02-25T08:00:00+00:00,4.453,11.196
2026-02-25T08:05:00+00:00,4.435,11.2
2026-02-25T08:10:00+00:00,4.347,11.2
2026-02-25T08:15:00+00:00,4.31,11.183
2026-02-25T08:20:00+00:00,4.36,11.182
2026-02-25T08:25:00+00:00,4.316,11.2
2026-02-25T08:30:00+00:00,4.328,11.2
2026-02-25T08:35:00+00:00,4.358,11.183
2026-02-25T08:40:00+00:00,4.312,11.186
2026-02-25T08:45:00+00:00,4.301,11.198
2026-02-25T08:50:00+00:00,4.398,11.185
2026-02-25T08:55:00+00:00,4.396,11.134
2026-02-25T09:00:00+00:00,4.451,11.11
2026-02-25T09:05:00+00:00,4.435,11.185
2026-02-25T09:10:00+00:00,4.369,11.2
2026-02-25T09:15:00+00:00,4.39,11.177
2026-02-25T09:20:00+00:00,4.37,11.2
2026-02-25T09:25:00+00:00,4.38,11.2
2026-02-25T09:30:00+00:00,4.322,11.2
2026-02-25T09:35:00+00:00,4.3,11.2
2026-02-25T09:40:00+00:00,4.268,11.2
2026-02-25T09:45:00+00:00,4.224,11.2
2026-02-25T09:50:00+00:00,4.162,11.228
2026-02-25T09:55:00+00:00,4.108,11.272
2026-02-25T10:00:00+00:00,4.044,11.3
2026-02-25T10:05:00+00:00,4.044,11.3
2026-02-25T10:10:00+00:00,3.857,11.251
2026-02-25T10:15:00+00:00,3.827,11.2
2026-02-25T10:20:00+00:00,3.877,11.2
