ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,4.543,11.14
2026-02-25T00:10:00+00:00,4.496,11.205
2026-02-25T00:15:00+00:00,4.472,11.214
2026-02-25T00:20:00+00:00,4.426,11.288
2026-02-25T00:25:00+00:00,4.422,11.3
2026-02-25T00:30:00+00:00,4.427,11.26
2026-02-25T00:35:00+00:00,4.4,11.144
2026-02-25T00:40:00+00:00,4.448,11.178
2026-02-25T00:45:00+00:00,4.434,11.231
2026-02-25T00:50:00+00:00,4.462,11.2
2026-02-25T00:55:00+00:00,4.45,11.196
2026-02-25T01:00:00+00:00,4.435,11.207
2026-02-25T01:05:00+00:00,4.376,11.267
2026-02-25T01:10:00+00:00,4.35,11.253
2026-02-25T01:15:00+00:00,4.354,11.24
2026-02-25T01:20:00+00:00,4.308,11.2
2026-02-25T01:25:00+00:00,4.304,11.2
2026-02-25T01:30:00+00:00,4.315,11.2
2026-02-25T01:35:00+00:00,4.32,11.15
2026-02-25T01:40:00+00:00,4.318,11.194
2026-02-25T01:45:00+00:00,4.288,11.2
2026-02-25T01:50:00+00:00,4.253,11.2
2026-02-25T01:55:00+00:00,4.224,11.216
2026-02-25T02:00:00+00:00,4.228,11.266
2026-02-25T02:05:00+00:00,4.246,11.201
2026-02-25T02:10:00+00:00,4.206,11.1
2026-02-25T02:15:00+00:00,4.178,11.1
2026-02-25T02:20:00+00:00,4.2,11.1
2026-02-25T02:25:00+00:00,4.232,11.1
2026-02-25T02:30:00+00:00,4.187,11.1
2026-02-25T02:35:00+00:00,4.162,11.1
2026-02-25T02:40:00+00:00,4.174,11.146
2026-02-25T02:45:00+00:00,4.121,11.3
2026-02-25T02:50:00+00:00,4.108,11.168
2026-02-25T02:55:00+00:00,4.106,11.099
2026-02-25T03:00:00+00:00,4.149,11.1
2026-02-25T03:05:00+00:00,4.185,11.084
2026-02-25T03:10:00+00:00,4.164,11.3
2026-02-25T03:15:00+00:00,4.126,11.266
2026-02-25T03:20:00+00:00,4.134,11.273
2026-02-25T03:25:00+00:00,4.123,11.3
2026-02-25T03:30:00+00:00,4.116,11.3
2026-02-25T03:35:00+00:00,4.089,11.3
2026-02-25T03:40:00+00:00,4.112,11.205
2026-02-25T03:45:00+00:00,4.05,11.148
2026-02-25T03:50:00+00:00,4.032,11.106
2026-02-25T03:55:00+00:00,4.055,11.19
2026-02-25T04:00:00+00:00,4.065,11.242
2026-02-25T04:05:00+00:00,4.044,11.3
2026-02-25T04:10:00+00:00,4.072,11.3
2026-02-25T04:15:00+00:00,4.135,11.268
2026-02-25T04:20:00+00:00,4.079,11.272
2026-02-25T04:25:00+00:00,4.015,11.272
2026-02-25T04:30:00+00:00,4.024,11.224
2026-02-25T04:35:00+00:00,4.084,11.191
2026-02-25T04:40:00+00:00,4.13,11.2
2026-02-25T04:45:00+00:00,4.08,11.2
2026-02-25T04:50:00+00:00,4.082,11.194
2026-02-25T04:55:00+00:00,4.11,11.174
2026-02-25T05:00:00+00:00,4.168,11.162
2026-02-25T05:05:00+00:00,4.278,11.101
2026-02-25T05:10:00+00:00,4.338,11.1
2026-02-25T05:15:00+00:00,4.409,11.1
2026-02-25T05:20:00+00:00,4.346,11.1
2026-02-25T05:25:00+00:00,4.302,11.1
2026-02-25T05:30:00+00:00,4.323,11.1
2026-02-25T05:35:00+00:00,4.418,11.1
2026-02-25T05:40:00+00:00,4.409,11.118
2026-02-25T05:45:00+00:00,4.411,11.13
2026-02-25T05:50:00+00:00,4.462,11.16
2026-02-25T05:55:00+00:00,4.478,11.1
2026-02-25T06:00:00+00:00,4.486,11.1
2026-02-25T06:05:00+00:00,4.633,11.055
2026-02-25T06:10:00+00:00,4.778,11.039
2026-02-25T06:15:00+00:00,4.893,11.1
2026-02-25T06:20:00+00:00,4.879,11.125
2026-02-25T06:25:00+00:00,4.852,11.13
2026-02-25T06:30:00+00:00,4.901,11.104
2026-02-25T06:35:00+00:00,4.953,11.1
2026-02-25T06:40:00+00:00,4.98,11.1
2026-02-25T06:45:00+00:00,4.988,11.1
2026-02-25T06:50:00+00:00,4.986,11.1
2026-02-25T06:55:00+00:00,5.136,11.073
2026-02-25T07:00:00+00:00,5.164,11.091
2026-02-25T07:05:00+00:00,5.264,11.052
2026-02-25T07:10:00+00:00,5.339,11.066
2026-02-25T07:15:00+00:00,5.404,11.124
2026-02-25T07:20:00+00:00,5.405,11.27
2026-02-25T07:25:00+00:00,5.337,11.3
2026-02-25T07:30:00+00:00,5.364,11.3
2026-02-25T07:35:00+00:00,5.465,11.218
2026-02-25T07:40:00+00:00,5.562,11.11
2026-02-25T07:45:00+00:00,5.456,11.1
2026-02-25T07:50:00+00:00,5.522,11.1
2026-02-25T07:55:00+00:00,5.65,11.1
2026-02-25T08:00:00+00:00,5.581,11.1
2026-02-25T08:05:00+00:00,5.64,11.1
2026-02-25T08:10:00+00:00,5.705,11.167
2026-02-25T08:15:00+00:00,5.823,11.2
2026-02-25T08:20:00+00:00,5.78,11.278
2026-02-25T08:25:00+00:00,5.81,11.272
2026-02-25T08:30:00+00:00,5.864,11.2
2026-02-25T08:35:00+00:00,5.884,11.246
2026-02-25T08:40:00+00:00,5.865,11.298
2026-02-25T08:45:00+00:00,5.888,11.142
2026-02-25T08:50:00+00:00,6.035,11.096
2026-02-25T08:55:00+00:00,6.152,11.018
2026-02-25T09:00:00+00:00,6.182,11.0
2026-02-25T09:05:00+00:00,6.172,11.0
2026-02-25T09:10:00+00:00,6.152,11.0
2026-02-25T09:15:00+00:00,6.227,11.0
2026-02-25T09:20:00+00:00,6.12,11.006
2026-02-25T09:25:00+00:00,6.192,11.0
2026-02-25T09:30:00+00:00,6.298,11.007
2026-02-25T09:35:00+00:00,6.264,11.072
2026-02-25T09:40:00+00:00,6.243,11.047
2026-02-25T09:45:00+00:00,6.188,11.254
2026-02-25T09:50:00+00:00,6.202,11.3
2026-02-25T09:55:00+00:00,6.311,11.294
2026-02-25T10:00:00+00:00,6.444,11.3
2026-02-25T10:05:00+00:00,6.44,11.3
2026-02-25T10:10:00+00:00,6.512,11.3
