ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,2.673,-0.198,2.373,11.152
2026-02-25T00:10:00+00:00,2.738,-0.181,2.429,11.102
2026-02-25T00:15:00+00:00,2.753,-0.224,2.452,11.109
2026-02-25T00:20:00+00:00,2.669,-0.23,2.352,11.132
2026-02-25T00:25:00+00:00,2.642,-0.236,2.33,11.152
2026-02-25T00:30:00+00:00,2.628,-0.221,2.327,11.177
2026-02-25T00:35:00+00:00,2.63,-0.247,2.326,11.161
2026-02-25T00:40:00+00:00,2.683,-0.228,2.37,11.141
2026-02-25T00:45:00+00:00,2.752,-0.234,2.451,11.12
2026-02-25T00:50:00+00:00,2.731,-0.23,2.424,11.15
2026-02-25T00:55:00+00:00,2.702,-0.235,2.401,11.154
2026-02-25T01:00:00+00:00,2.733,-0.235,2.432,11.161
2026-02-25T01:05:00+00:00,2.759,-0.219,2.468,11.143
2026-02-25T01:10:00+00:00,2.758,-0.235,2.45,11.157
2026-02-25T01:15:00+00:00,2.754,-0.229,2.435,11.163
2026-02-25T01:20:00+00:00,2.708,-0.232,2.402,11.167
2026-02-25T01:25:00+00:00,2.683,-0.243,2.36,11.192
2026-02-25T01:30:00+00:00,2.657,-0.213,2.37,11.2
2026-02-25T01:35:00+00:00,2.721,-0.208,2.43,11.198
2026-02-25T01:40:00+00:00,2.72,-0.186,2.438,11.197
2026-02-25T01:45:00+00:00,2.59,-0.232,2.278,11.2
2026-02-25T01:50:00+00:00,2.641,-0.232,2.346,11.215
2026-02-25T01:55:00+00:00,2.653,-0.229,2.37,11.232
2026-02-25T02:00:00+00:00,2.644,-0.23,2.377,11.228
2026-02-25T02:05:00+00:00,2.656,-0.24,2.368,11.235
2026-02-25T02:10:00+00:00,2.59,-0.226,2.3,11.237
2026-02-25T02:15:00+00:00,2.592,-0.232,2.29,11.259
2026-02-25T02:20:00+00:00,2.591,-0.203,2.286,11.267
2026-02-25T02:25:00+00:00,2.599,-0.185,2.307,11.277
2026-02-25T02:30:00+00:00,2.611,-0.225,2.31,11.288
2026-02-25T02:35:00+00:00,2.556,-0.231,2.249,11.285
2026-02-25T02:40:00+00:00,2.551,-0.242,2.248,11.29
2026-02-25T02:45:00+00:00,2.51,-0.252,2.212,11.3
2026-02-25T02:50:00+00:00,2.525,-0.268,2.215,11.265
2026-02-25T02:55:00+00:00,2.486,-0.25,2.15,11.178
2026-02-25T03:00:00+00:00,2.48,-0.235,2.15,11.163
2026-02-25T03:05:00+00:00,2.516,-0.234,2.2,11.123
2026-02-25T03:10:00+00:00,2.508,-0.198,2.213,11.2
2026-02-25T03:15:00+00:00,2.523,-0.208,2.225,11.2
2026-02-25T03:20:00+00:00,2.507,-0.223,2.208,11.2
2026-02-25T03:25:00+00:00,2.508,-0.233,2.21,11.2
2026-02-25T03:30:00+00:00,2.476,-0.225,2.204,11.202
2026-02-25T03:35:00+00:00,2.501,-0.182,2.232,11.202
2026-02-25T03:40:00+00:00,2.487,-0.209,2.201,11.221
2026-02-25T03:45:00+00:00,2.469,-0.196,2.204,11.254
2026-02-25T03:50:00+00:00,2.403,-0.228,2.112,11.261
2026-02-25T03:55:00+00:00,2.385,-0.214,2.088,11.284
2026-02-25T04:00:00+00:00,2.387,-0.212,2.094,11.267
2026-02-25T04:05:00+00:00,2.421,-0.205,2.123,11.253
2026-02-25T04:10:00+00:00,2.429,-0.204,2.145,11.239
2026-02-25T04:15:00+00:00,2.474,-0.236,2.194,11.233
2026-02-25T04:20:00+00:00,2.442,-0.242,2.142,11.249
2026-02-25T04:25:00+00:00,2.448,-0.218,2.168,11.26
2026-02-25T04:30:00+00:00,2.423,-0.253,2.127,11.241
2026-02-25T04:35:00+00:00,2.428,-0.203,2.133,11.204
2026-02-25T04:40:00+00:00,2.424,-0.182,2.129,11.205
2026-02-25T04:45:00+00:00,2.416,-0.173,2.14,11.222
2026-02-25T04:50:00+00:00,2.428,-0.14,2.18,11.227
2026-02-25T04:55:00+00:00,2.5,-0.17,2.266,11.202
2026-02-25T05:00:00+00:00,2.416,-0.207,2.149,11.214
2026-02-25T05:05:00+00:00,2.455,-0.213,2.202,11.202
2026-02-25T05:10:00+00:00,2.478,-0.208,2.211,11.2
2026-02-25T05:15:00+00:00,2.467,-0.178,2.21,11.2
2026-02-25T05:20:00+00:00,2.453,-0.164,2.18,11.2
2026-02-25T05:25:00+00:00,2.463,-0.207,2.205,11.2
2026-02-25T05:30:00+00:00,2.45,-0.164,2.202,11.2
2026-02-25T05:35:00+00:00,2.535,-0.14,2.286,11.2
2026-02-25T05:40:00+00:00,2.566,-0.143,2.294,11.199
2026-02-25T05:45:00+00:00,2.638,-0.134,2.409,11.194
2026-02-25T05:50:00+00:00,2.69,-0.19,2.458,11.177
2026-02-25T05:55:00+00:00,2.716,-0.19,2.472,11.162
2026-02-25T06:00:00+00:00,2.812,-0.08,2.578,11.131
2026-02-25T06:05:00+00:00,3.048,-0.012,2.818,11.104
2026-02-25T06:10:00+00:00,3.227,-0.296,2.973,11.224
2026-02-25T06:15:00+00:00,3.244,-0.297,2.998,11.272
2026-02-25T06:20:00+00:00,3.342,-0.249,3.096,11.261
2026-02-25T06:25:00+00:00,3.36,-0.093,3.205,11.29
2026-02-25T06:30:00+00:00,3.327,-0.035,3.166,11.229
2026-02-25T06:35:00+00:00,3.37,-0.045,3.222,11.213
2026-02-25T06:40:00+00:00,3.38,-0.042,3.223,11.2
2026-02-25T06:45:00+00:00,3.457,-0.021,3.299,11.2
2026-02-25T06:50:00+00:00,3.498,-0.025,3.322,11.199
2026-02-25T06:55:00+00:00,3.612,0.118,3.447,11.163
2026-02-25T07:00:00+00:00,3.657,-0.009,3.477,11.19
2026-02-25T07:05:00+00:00,3.765,-0.02,3.586,11.159
2026-02-25T07:10:00+00:00,3.826,0.113,3.628,11.101
2026-02-25T07:15:00+00:00,3.968,0.176,3.742,11.1
2026-02-25T07:20:00+00:00,4.022,0.204,3.796,11.1
2026-02-25T07:25:00+00:00,4.041,0.176,3.824,11.102
2026-02-25T07:30:00+00:00,4.074,0.198,3.88,11.103
2026-02-25T07:35:00+00:00,4.048,0.214,3.848,11.1
2026-02-25T07:40:00+00:00,4.122,0.338,3.9,11.1
2026-02-25T07:45:00+00:00,4.169,0.381,3.948,11.1
2026-02-25T07:50:00+00:00,4.382,0.334,4.114,11.153
2026-02-25T07:55:00+00:00,4.454,0.273,4.189,11.152
2026-02-25T08:00:00+00:00,4.403,0.32,4.156,11.149
2026-02-25T08:05:00+00:00,4.43,0.263,4.212,11.195
2026-02-25T08:10:00+00:00,4.371,0.231,4.188,11.2
2026-02-25T08:15:00+00:00,4.368,0.241,4.212,11.2
2026-02-25T08:20:00+00:00,4.46,0.265,4.311,11.2
2026-02-25T08:25:00+00:00,4.454,0.26,4.312,11.2
2026-02-25T08:30:00+00:00,4.438,0.304,4.364,11.201
2026-02-25T08:35:00+00:00,4.411,0.333,4.398,11.221
2026-02-25T08:40:00+00:00,4.378,0.278,4.333,11.252
2026-02-25T08:45:00+00:00,4.331,0.265,4.225,11.247
2026-02-25T08:50:00+00:00,4.331,0.273,4.21,11.207
2026-02-25T08:55:00+00:00,4.34,0.286,4.227,11.2
2026-02-25T09:00:00+00:00,4.326,0.338,4.216,11.2
2026-02-25T09:05:00+00:00,4.386,0.3,4.329,11.2
2026-02-25T09:10:00+00:00,4.419,0.278,4.472,11.2
2026-02-25T09:15:00+00:00,4.288,0.284,4.297,11.206
2026-02-25T09:20:00+00:00,4.299,0.297,4.334,11.201
2026-02-25T09:25:00+00:00,4.322,0.261,4.364,11.212
2026-02-25T09:30:00+00:00,4.267,0.301,4.404,11.258
2026-02-25T09:35:00+00:00,4.336,0.3,4.526,11.273
2026-02-25T09:40:00+00:00,4.266,0.322,4.494,11.293
2026-02-25T09:45:00+00:00,4.227,0.231,4.6,11.3
2026-02-25T09:50:00+00:00,4.174,0.205,4.626,11.272
2026-02-25T09:55:00+00:00,4.093,0.176,4.586,11.282
2026-02-25T10:00:00+00:00,4.047,0.16,4.398,11.285
2026-02-25T10:05:00+00:00,4.016,0.131,4.085,11.214
2026-02-25T10:10:00+00:00,4.081,0.099,3.974,11.202
2026-02-25T10:15:00+00:00,4.123,0.106,4.018,11.201
2026-02-25T10:20:00+00:00,4.201,0.145,4.069,11.199
2026-02-25T10:25:00+00:00,4.146,0.111,3.992,11.2
2026-02-25T10:30:00+00:00,4.061,0.17,3.918,11.2
2026-02-25T10:35:00+00:00,4.046,0.174,3.98,11.205
2026-02-25T10:40:00+00:00,3.984,0.153,3.919,11.213
2026-02-25T10:45:00+00:00,3.96,0.196,3.958,11.242
2026-02-25T10:50:00+00:00,3.988,0.186,4.005,11.254
2026-02-25T10:55:00+00:00,3.986,0.184,4.023,11.298
2026-02-25T11:00:00+00:00,3.942,0.198,4.083,11.3
2026-02-25T11:05:00+00:00,3.846,0.104,4.013,11.282
2026-02-25T11:10:00+00:00,3.873,0.065,4.03,11.241
2026-02-25T11:15:00+00:00,3.844,0.068,4.004,11.246
2026-02-25T11:20:00+00:00,3.916,0.08,4.137,11.25
2026-02-25T11:25:00+00:00,4.018,0.07,4.256,11.287
2026-02-25T11:30:00+00:00,4.077,0.044,4.336,11.261
2026-02-25T11:35:00+00:00,4.092,0.015,4.262,11.229
2026-02-25T11:40:00+00:00,3.948,0.014,4.159,11.253
2026-02-25T11:45:00+00:00,3.891,0.036,4.122,11.273
2026-02-25T11:50:00+00:00,3.837,0.013,4.102,11.259
2026-02-25T11:55:00+00:00,3.815,0.051,4.165,11.28
2026-02-25T12:00:00+00:00,3.78,0.059,4.137,11.296
2026-02-25T12:05:00+00:00,3.706,0.028,3.96,11.269
2026-02-25T12:10:00+00:00,3.745,0.064,3.914,11.237
2026-02-25T12:15:00+00:00,3.946,0.094,4.147,11.216
2026-02-25T12:20:00+00:00,3.917,0.076,4.156,11.218
2026-02-25T12:25:00+00:00,3.776,0.047,3.916,11.236
2026-02-25T12:30:00+00:00,3.788,0.071,3.975,11.29
2026-02-25T12:35:00+00:00,3.776,0.089,3.889,11.283
2026-02-25T12:40:00+00:00,3.79,0.032,3.976,11.287
2026-02-25T12:45:00+00:00,3.72,0.039,4.0,11.3
2026-02-25T12:50:00+00:00,3.602,0.023,3.934,11.24
2026-02-25T12:55:00+00:00,3.61,0.057,3.851,11.212
2026-02-25T13:00:00+00:00,3.641,0.056,3.926,11.242
2026-02-25T13:05:00+00:00,3.648,0.077,4.176,11.254
2026-02-25T13:10:00+00:00,3.689,0.067,4.291,11.258
2026-02-25T13:15:00+00:00,3.689,0.12,4.282,11.254
2026-02-25T13:20:00+00:00,3.739,0.13,4.304,11.265
2026-02-25T13:25:00+00:00,3.768,0.096,4.191,11.222
2026-02-25T13:30:00+00:00,3.748,0.09,4.285,11.287
2026-02-25T13:35:00+00:00,3.694,0.083,4.366,11.3
2026-02-25T13:40:00+00:00,3.627,0.085,4.266,11.292
2026-02-25T13:45:00+00:00,3.481,-0.13,4.303,11.292
2026-02-25T13:50:00+00:00,3.455,-0.17,4.23,11.283
2026-02-25T13:55:00+00:00,3.449,-0.183,4.152,11.284
2026-02-25T14:00:00+00:00,3.52,-0.185,4.048,11.244
2026-02-25T14:05:00+00:00,3.418,-0.211,3.912,11.269
2026-02-25T14:10:00+00:00,3.406,-0.178,3.88,11.258
2026-02-25T14:15:00+00:00,3.437,-0.111,4.056,11.252
2026-02-25T14:20:00+00:00,3.434,-0.128,3.988,11.238
2026-02-25T14:25:00+00:00,3.544,-0.1,4.135,11.222
2026-02-25T14:30:00+00:00,3.489,-0.134,4.081,11.25
