ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,4.36,11.161
2026-02-25T00:10:00+00:00,4.37,11.155
2026-02-25T00:15:00+00:00,4.381,11.182
2026-02-25T00:20:00+00:00,4.391,11.179
2026-02-25T00:25:00+00:00,4.402,11.167
2026-02-25T00:30:00+00:00,4.413,11.155
2026-02-25T00:35:00+00:00,4.416,11.114
2026-02-25T00:40:00+00:00,4.454,11.11
2026-02-25T00:45:00+00:00,4.467,11.141
2026-02-25T00:50:00+00:00,4.453,11.133
2026-02-25T00:55:00+00:00,4.432,11.133
2026-02-25T01:00:00+00:00,4.426,11.133
2026-02-25T01:05:00+00:00,4.421,11.154
2026-02-25T01:10:00+00:00,4.417,11.16
2026-02-25T01:15:00+00:00,4.412,11.16
2026-02-25T01:20:00+00:00,4.407,11.133
2026-02-25T01:25:00+00:00,4.395,11.157
2026-02-25T01:30:00+00:00,4.382,11.167
2026-02-25T01:35:00+00:00,4.375,11.167
2026-02-25T01:40:00+00:00,4.368,11.167
2026-02-25T01:45:00+00:00,4.359,11.167
2026-02-25T01:50:00+00:00,4.343,11.197
2026-02-25T01:55:00+00:00,4.325,11.212
2026-02-25T02:00:00+00:00,4.308,11.218
2026-02-25T02:05:00+00:00,4.287,11.202
2026-02-25T02:10:00+00:00,4.259,11.198
2026-02-25T02:15:00+00:00,4.248,11.2
2026-02-25T02:20:00+00:00,4.241,11.201
2026-02-25T02:25:00+00:00,4.234,11.222
2026-02-25T02:30:00+00:00,4.229,11.203
2026-02-25T02:35:00+00:00,4.223,11.205
2026-02-25T02:40:00+00:00,4.217,11.265
2026-02-25T02:45:00+00:00,4.211,11.305
2026-02-25T02:50:00+00:00,4.204,11.228
2026-02-25T02:55:00+00:00,4.196,11.233
2026-02-25T03:00:00+00:00,4.175,11.233
2026-02-25T03:05:00+00:00,4.157,11.224
2026-02-25T03:10:00+00:00,4.14,11.267
2026-02-25T03:15:00+00:00,4.113,11.276
2026-02-25T03:20:00+00:00,4.097,11.255
2026-02-25T03:25:00+00:00,4.084,11.233
2026-02-25T03:30:00+00:00,4.076,11.246
2026-02-25T03:35:00+00:00,4.072,11.24
2026-02-25T03:40:00+00:00,4.071,11.236
2026-02-25T03:45:00+00:00,4.071,11.233
2026-02-25T03:50:00+00:00,4.071,11.233
2026-02-25T03:55:00+00:00,4.07,11.233
2026-02-25T04:00:00+00:00,4.07,11.247
2026-02-25T04:05:00+00:00,4.069,11.267
2026-02-25T04:10:00+00:00,4.069,11.267
2026-02-25T04:15:00+00:00,4.069,11.267
2026-02-25T04:20:00+00:00,4.068,11.267
2026-02-25T04:25:00+00:00,4.068,11.267
2026-02-25T04:30:00+00:00,4.067,11.241
2026-02-25T04:35:00+00:00,4.067,11.233
2026-02-25T04:40:00+00:00,4.067,11.233
2026-02-25T04:45:00+00:00,4.073,11.233
2026-02-25T04:50:00+00:00,4.08,11.233
2026-02-25T04:55:00+00:00,4.087,11.233
2026-02-25T05:00:00+00:00,4.093,11.224
2026-02-25T05:05:00+00:00,4.1,11.182
2026-02-25T05:10:00+00:00,4.107,11.167
2026-02-25T05:15:00+00:00,4.114,11.167
2026-02-25T05:20:00+00:00,4.121,11.167
2026-02-25T05:25:00+00:00,4.128,11.168
2026-02-25T05:30:00+00:00,4.137,11.198
2026-02-25T05:35:00+00:00,4.147,11.203
2026-02-25T05:40:00+00:00,4.156,11.223
2026-02-25T05:45:00+00:00,4.168,11.218
2026-02-25T05:50:00+00:00,4.181,11.228
2026-02-25T05:55:00+00:00,4.194,11.202
2026-02-25T06:00:00+00:00,4.207,11.199
2026-02-25T06:05:00+00:00,4.22,11.156
2026-02-25T06:10:00+00:00,4.233,11.135
2026-02-25T06:15:00+00:00,4.246,11.115
2026-02-25T06:20:00+00:00,4.259,11.11
2026-02-25T06:25:00+00:00,4.274,11.142
2026-02-25T06:30:00+00:00,4.29,11.199
2026-02-25T06:35:00+00:00,4.305,11.182
2026-02-25T06:40:00+00:00,4.321,11.164
2026-02-25T06:45:00+00:00,4.336,11.166
2026-02-25T06:50:00+00:00,4.348,11.128
2026-02-25T06:55:00+00:00,4.362,11.107
2026-02-25T07:00:00+00:00,4.404,11.1
2026-02-25T07:05:00+00:00,4.448,11.107
2026-02-25T07:10:00+00:00,4.374,11.098
2026-02-25T07:15:00+00:00,4.292,11.133
2026-02-25T07:20:00+00:00,4.284,11.16
2026-02-25T07:25:00+00:00,4.313,11.154
2026-02-25T07:30:00+00:00,4.354,11.171
2026-02-25T07:35:00+00:00,4.401,11.114
2026-02-25T07:40:00+00:00,4.493,11.1
2026-02-25T07:45:00+00:00,4.539,11.137
2026-02-25T07:50:00+00:00,4.578,11.19
2026-02-25T07:55:00+00:00,4.599,11.17
2026-02-25T08:00:00+00:00,4.62,11.18
2026-02-25T08:05:00+00:00,4.641,11.2
2026-02-25T08:10:00+00:00,4.663,11.202
2026-02-25T08:15:00+00:00,4.684,11.22
2026-02-25T08:20:00+00:00,4.671,11.263
2026-02-25T08:25:00+00:00,4.653,11.267
2026-02-25T08:30:00+00:00,4.694,11.267
2026-02-25T08:35:00+00:00,4.727,11.267
2026-02-25T08:40:00+00:00,4.719,11.267
2026-02-25T08:45:00+00:00,4.707,11.233
2026-02-25T08:50:00+00:00,4.698,11.231
2026-02-25T08:55:00+00:00,4.726,11.2
2026-02-25T09:00:00+00:00,4.751,11.194
2026-02-25T09:05:00+00:00,4.766,11.2
2026-02-25T09:10:00+00:00,4.833,11.2
2026-02-25T09:15:00+00:00,4.858,11.2
2026-02-25T09:20:00+00:00,4.844,11.2
2026-02-25T09:25:00+00:00,4.834,11.2
2026-02-25T09:30:00+00:00,4.808,11.21
2026-02-25T09:35:00+00:00,4.858,11.22
2026-02-25T09:40:00+00:00,4.916,11.237
2026-02-25T09:45:00+00:00,4.952,11.303
2026-02-25T09:50:00+00:00,4.978,11.291
2026-02-25T09:55:00+00:00,5.011,11.269
2026-02-25T10:00:00+00:00,5.06,11.287
2026-02-25T10:05:00+00:00,5.047,11.3
2026-02-25T10:10:00+00:00,4.978,11.3
2026-02-25T10:15:00+00:00,5.009,11.284
2026-02-25T10:20:00+00:00,5.085,11.296
2026-02-25T10:25:00+00:00,5.123,11.284
2026-02-25T10:30:00+00:00,5.138,11.3
2026-02-25T10:35:00+00:00,5.114,11.294
2026-02-25T10:40:00+00:00,5.048,11.279
2026-02-25T10:45:00+00:00,4.989,11.265
2026-02-25T10:50:00+00:00,4.969,11.279
2026-02-25T10:55:00+00:00,5.009,11.299
2026-02-25T11:00:00+00:00,5.053,11.3
2026-02-25T11:05:00+00:00,5.079,11.297
2026-02-25T11:10:00+00:00,5.081,11.267
2026-02-25T11:15:00+00:00,5.068,11.267
2026-02-25T11:20:00+00:00,5.049,11.292
2026-02-25T11:25:00+00:00,5.049,11.307
2026-02-25T11:30:00+00:00,5.117,11.275
2026-02-25T11:35:00+00:00,5.157,11.235
2026-02-25T11:40:00+00:00,5.136,11.259
2026-02-25T11:45:00+00:00,5.154,11.255
2026-02-25T11:50:00+00:00,5.169,11.233
2026-02-25T11:55:00+00:00,5.136,11.236
2026-02-25T12:00:00+00:00,5.118,11.242
2026-02-25T12:05:00+00:00,5.137,11.234
2026-02-25T12:10:00+00:00,5.14,11.233
2026-02-25T12:15:00+00:00,5.2,11.233
2026-02-25T12:20:00+00:00,5.238,11.233
2026-02-25T12:25:00+00:00,5.244,11.233
2026-02-25T12:30:00+00:00,5.222,11.301
2026-02-25T12:35:00+00:00,5.198,11.267
2026-02-25T12:40:00+00:00,5.19,11.267
2026-02-25T12:45:00+00:00,5.186,11.293
2026-02-25T12:50:00+00:00,5.182,11.258
2026-02-25T12:55:00+00:00,5.204,11.205
2026-02-25T13:00:00+00:00,5.19,11.171
2026-02-25T13:05:00+00:00,5.175,11.164
2026-02-25T13:10:00+00:00,5.153,11.151
2026-02-25T13:15:00+00:00,5.14,11.158
2026-02-25T13:20:00+00:00,5.142,11.179
2026-02-25T13:25:00+00:00,5.121,11.183
2026-02-25T13:30:00+00:00,5.131,11.2
2026-02-25T13:35:00+00:00,5.183,11.202
2026-02-25T13:40:00+00:00,5.202,11.225
2026-02-25T13:45:00+00:00,5.23,11.225
2026-02-25T13:50:00+00:00,5.18,11.198
2026-02-25T13:55:00+00:00,5.128,11.207
2026-02-25T14:00:00+00:00,5.131,11.226
2026-02-25T14:05:00+00:00,5.142,11.233
2026-02-25T14:10:00+00:00,5.174,11.233
2026-02-25T14:15:00+00:00,5.21,11.211
2026-02-25T14:20:00+00:00,5.242,11.201
2026-02-25T14:25:00+00:00,5.262,11.2
2026-02-25T14:30:00+00:00,5.267,11.225
2026-02-25T14:35:00+00:00,5.263,11.217
2026-02-25T14:40:00+00:00,5.242,11.209
2026-02-25T14:45:00+00:00,5.214,11.206
2026-02-25T14:50:00+00:00,5.192,11.212
2026-02-25T14:55:00+00:00,5.176,11.202
2026-02-25T15:00:00+00:00,5.168,11.205
2026-02-25T15:05:00+00:00,5.161,11.201
2026-02-25T15:10:00+00:00,5.153,11.261
2026-02-25T15:15:00+00:00,5.146,11.276
2026-02-25T15:20:00+00:00,5.149,11.269
2026-02-25T15:25:00+00:00,5.223,11.235
2026-02-25T15:30:00+00:00,5.278,11.227
2026-02-25T15:35:00+00:00,5.288,11.233
2026-02-25T15:40:00+00:00,5.281,11.233
2026-02-25T15:45:00+00:00,5.302,11.211
2026-02-25T15:50:00+00:00,5.356,11.197
2026-02-25T15:55:00+00:00,5.353,11.193
2026-02-25T16:00:00+00:00,5.342,11.204
2026-02-25T16:05:00+00:00,5.359,11.202
2026-02-25T16:10:00+00:00,5.409,11.19
2026-02-25T16:15:00+00:00,5.433,11.19
2026-02-25T16:20:00+00:00,5.359,11.2
2026-02-25T16:25:00+00:00,5.332,11.158
2026-02-25T16:30:00+00:00,5.328,11.133
2026-02-25T16:35:00+00:00,5.325,11.123
2026-02-25T16:40:00+00:00,5.321,11.124
2026-02-25T16:45:00+00:00,5.318,11.134
2026-02-25T16:50:00+00:00,5.328,11.128
2026-02-25T16:55:00+00:00,5.375,11.207
2026-02-25T17:00:00+00:00,5.396,11.209
2026-02-25T17:05:00+00:00,5.417,11.209
2026-02-25T17:10:00+00:00,5.437,11.238
2026-02-25T17:15:00+00:00,5.46,11.251
2026-02-25T17:20:00+00:00,5.492,11.219
2026-02-25T17:25:00+00:00,5.45,11.262
2026-02-25T17:30:00+00:00,5.389,11.253
2026-02-25T17:35:00+00:00,5.336,11.233
2026-02-25T17:40:00+00:00,5.324,11.2
2026-02-25T17:45:00+00:00,5.305,11.2
2026-02-25T17:50:00+00:00,5.29,11.2
2026-02-25T17:55:00+00:00,5.291,11.2
2026-02-25T18:00:00+00:00,5.293,11.2
2026-02-25T18:05:00+00:00,5.295,11.2
2026-02-25T18:10:00+00:00,5.296,11.193
2026-02-25T18:15:00+00:00,5.298,11.198
2026-02-25T18:20:00+00:00,5.298,11.193
2026-02-25T18:25:00+00:00,5.252,11.219
2026-02-25T18:30:00+00:00,5.235,11.233
2026-02-25T18:35:00+00:00,5.206,11.233
2026-02-25T18:40:00+00:00,5.238,11.236
2026-02-25T18:45:00+00:00,5.195,11.259
2026-02-25T18:50:00+00:00,5.105,11.267
2026-02-25T18:55:00+00:00,5.114,11.283
2026-02-25T19:00:00+00:00,5.248,11.319
2026-02-25T19:05:00+00:00,5.314,11.277
2026-02-25T19:10:00+00:00,5.314,11.259
2026-02-25T19:15:00+00:00,5.32,11.217
2026-02-25T19:20:00+00:00,5.327,11.2
2026-02-25T19:25:00+00:00,5.288,11.205
2026-02-25T19:30:00+00:00,5.239,11.238
2026-02-25T19:35:00+00:00,5.189,11.237
2026-02-25T19:40:00+00:00,5.152,11.243
2026-02-25T19:45:00+00:00,5.117,11.209
2026-02-25T19:50:00+00:00,5.08,11.16
2026-02-25T19:55:00+00:00,5.043,11.179
2026-02-25T20:00:00+00:00,5.014,11.197
2026-02-25T20:05:00+00:00,4.997,11.189
2026-02-25T20:10:00+00:00,4.984,11.207
2026-02-25T20:15:00+00:00,4.972,11.232
2026-02-25T20:20:00+00:00,4.96,11.267
2026-02-25T20:25:00+00:00,4.948,11.233
2026-02-25T20:30:00+00:00,4.936,11.233
2026-02-25T20:35:00+00:00,4.923,11.169
2026-02-25T20:40:00+00:00,4.903,11.204
2026-02-25T20:45:00+00:00,4.881,11.233
2026-02-25T20:50:00+00:00,4.852,11.233
2026-02-25T20:55:00+00:00,4.862,11.233
2026-02-25T21:00:00+00:00,4.885,11.24
2026-02-25T21:05:00+00:00,4.866,11.252
2026-02-25T21:10:00+00:00,4.846,11.267
2026-02-25T21:15:00+00:00,4.821,11.316
2026-02-25T21:20:00+00:00,4.781,11.334
2026-02-25T21:25:00+00:00,4.698,11.317
2026-02-25T21:30:00+00:00,4.713,11.271
2026-02-25T21:35:00+00:00,4.69,11.234
2026-02-25T21:40:00+00:00,4.655,11.207
2026-02-25T21:45:00+00:00,4.628,11.246
2026-02-25T21:50:00+00:00,4.607,11.284
2026-02-25T21:55:00+00:00,4.58,11.251
2026-02-25T22:00:00+00:00,4.553,11.267
2026-02-25T22:05:00+00:00,4.539,11.304
2026-02-25T22:10:00+00:00,4.544,11.33
2026-02-25T22:15:00+00:00,4.577,11.301
2026-02-25T22:20:00+00:00,4.632,11.3
2026-02-25T22:25:00+00:00,4.665,11.283
2026-02-25T22:30:00+00:00,4.64,11.267
2026-02-25T22:35:00+00:00,4.605,11.267
2026-02-25T22:40:00+00:00,4.588,11.267
2026-02-25T22:45:00+00:00,4.575,11.268
2026-02-25T22:50:00+00:00,4.562,11.284
2026-02-25T22:55:00+00:00,4.548,11.267
2026-02-25T23:00:00+00:00,4.535,11.216
2026-02-25T23:05:00+00:00,4.521,11.135
2026-02-25T23:10:00+00:00,4.491,11.146
2026-02-25T23:15:00+00:00,4.461,11.168
2026-02-25T23:20:00+00:00,4.44,11.197
2026-02-25T23:25:00+00:00,4.419,11.2
2026-02-25T23:30:00+00:00,4.399,11.203
2026-02-25T23:35:00+00:00,4.467,11.212
2026-02-25T23:40:00+00:00,4.47,11.195
2026-02-25T23:45:00+00:00,4.393,11.204
2026-02-25T23:50:00+00:00,4.389,11.231
2026-02-25T23:55:00+00:00,4.387,11.233
2026-02-26T00:00:00+00:00,4.356,11.204
2026-02-26T00:05:00+00:00,4.313,11.197
2026-02-26T00:10:00+00:00,4.302,11.17
2026-02-26T00:15:00+00:00,4.31,11.184
2026-02-26T00:20:00+00:00,4.337,11.191
2026-02-26T00:25:00+00:00,4.366,11.205
2026-02-26T00:30:00+00:00,4.395,11.221
2026-02-26T00:35:00+00:00,4.422,11.155
2026-02-26T00:40:00+00:00,4.425,11.1
2026-02-26T00:45:00+00:00,4.415,11.1
2026-02-26T00:50:00+00:00,4.404,11.099
2026-02-26T00:55:00+00:00,4.393,11.1
2026-02-26T01:00:00+00:00,4.382,11.101
2026-02-26T01:05:00+00:00,4.371,11.128
2026-02-26T01:10:00+00:00,4.359,11.202
2026-02-26T01:15:00+00:00,4.348,11.222
2026-02-26T01:20:00+00:00,4.337,11.226
2026-02-26T01:25:00+00:00,4.323,11.202
2026-02-26T01:30:00+00:00,4.306,11.2
2026-02-26T01:35:00+00:00,4.282,11.2
2026-02-26T01:40:00+00:00,4.257,11.2
2026-02-26T01:45:00+00:00,4.242,11.207
2026-02-26T01:50:00+00:00,4.234,11.229
2026-02-26T01:55:00+00:00,4.226,11.233
2026-02-26T02:00:00+00:00,4.218,11.233
2026-02-26T02:05:00+00:00,4.209,11.233
2026-02-26T02:10:00+00:00,4.2,11.209
2026-02-26T02:15:00+00:00,4.191,11.194
2026-02-26T02:20:00+00:00,4.174,11.2
2026-02-26T02:25:00+00:00,4.155,11.2
2026-02-26T02:30:00+00:00,4.135,11.2
2026-02-26T02:35:00+00:00,4.117,11.207
2026-02-26T02:40:00+00:00,4.097,11.261
2026-02-26T02:45:00+00:00,4.076,11.282
2026-02-26T02:50:00+00:00,4.055,11.263
2026-02-26T02:55:00+00:00,4.034,11.267
2026-02-26T03:00:00+00:00,4.009,11.254
2026-02-26T03:05:00+00:00,3.975,11.244
2026-02-26T03:10:00+00:00,3.94,11.216
2026-02-26T03:15:00+00:00,3.906,11.195
2026-02-26T03:20:00+00:00,3.872,11.233
2026-02-26T03:25:00+00:00,3.815,11.301
2026-02-26T03:30:00+00:00,3.794,11.297
2026-02-26T03:35:00+00:00,3.761,11.277
2026-02-26T03:40:00+00:00,3.718,11.296
2026-02-26T03:45:00+00:00,3.679,11.3
2026-02-26T03:50:00+00:00,3.647,11.264
2026-02-26T03:55:00+00:00,3.62,11.158
2026-02-26T04:00:00+00:00,3.613,11.149
2026-02-26T04:05:00+00:00,3.608,11.133
2026-02-26T04:10:00+00:00,3.602,11.133
2026-02-26T04:15:00+00:00,3.604,11.133
2026-02-26T04:20:00+00:00,3.609,11.139
2026-02-26T04:25:00+00:00,3.613,11.146
2026-02-26T04:30:00+00:00,3.617,11.165
2026-02-26T04:35:00+00:00,3.621,11.167
2026-02-26T04:40:00+00:00,3.626,11.167
2026-02-26T04:45:00+00:00,3.63,11.167
2026-02-26T04:50:00+00:00,3.634,11.167
2026-02-26T04:55:00+00:00,3.638,11.211
2026-02-26T05:00:00+00:00,3.655,11.191
2026-02-26T05:05:00+00:00,3.698,11.106
2026-02-26T05:10:00+00:00,3.73,11.121
2026-02-26T05:15:00+00:00,3.742,11.124
2026-02-26T05:20:00+00:00,3.753,11.121
2026-02-26T05:25:00+00:00,3.764,11.079
2026-02-26T05:30:00+00:00,3.775,11.087
2026-02-26T05:35:00+00:00,3.787,11.101
2026-02-26T05:40:00+00:00,3.799,11.119
2026-02-26T05:45:00+00:00,3.814,11.107
2026-02-26T05:50:00+00:00,3.833,11.1
2026-02-26T05:55:00+00:00,3.864,11.1
2026-02-26T06:00:00+00:00,3.965,11.088
2026-02-26T06:05:00+00:00,4.132,11.079
2026-02-26T06:10:00+00:00,4.271,11.117
2026-02-26T06:15:00+00:00,4.242,11.146
2026-02-26T06:20:00+00:00,4.233,11.155
2026-02-26T06:25:00+00:00,4.245,11.119
2026-02-26T06:30:00+00:00,4.255,11.128
2026-02-26T06:35:00+00:00,4.246,11.118
2026-02-26T06:40:00+00:00,4.236,11.121
2026-02-26T06:45:00+00:00,4.226,11.167
2026-02-26T06:50:00+00:00,4.216,11.167
2026-02-26T06:55:00+00:00,4.206,11.163
2026-02-26T07:00:00+00:00,4.199,11.101
2026-02-26T07:05:00+00:00,4.194,11.112
2026-02-26T07:10:00+00:00,4.192,11.08
2026-02-26T07:15:00+00:00,4.31,11.208
2026-02-26T07:20:00+00:00,4.504,11.288
2026-02-26T07:25:00+00:00,4.558,11.267
2026-02-26T07:30:00+00:00,4.59,11.224
2026-02-26T07:35:00+00:00,4.622,11.166
2026-02-26T07:40:00+00:00,4.643,11.183
2026-02-26T07:45:00+00:00,4.671,11.194
2026-02-26T07:50:00+00:00,4.735,11.185
2026-02-26T07:55:00+00:00,4.787,11.23
2026-02-26T08:00:00+00:00,4.833,11.215
2026-02-26T08:05:00+00:00,4.867,11.171
2026-02-26T08:10:00+00:00,4.827,11.166
2026-02-26T08:15:00+00:00,4.82,11.225
