ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,4.77,-3.155,4.395,11.113
2026-02-25T00:10:00+00:00,4.9,-3.13,4.531,11.1
2026-02-25T00:15:00+00:00,4.93,-3.131,4.558,11.1
2026-02-25T00:20:00+00:00,4.957,-3.154,4.596,11.1
2026-02-25T00:25:00+00:00,4.932,-3.163,4.576,11.1
2026-02-25T00:30:00+00:00,4.906,-3.166,4.544,11.108
2026-02-25T00:35:00+00:00,4.914,-3.135,4.58,11.1
2026-02-25T00:40:00+00:00,4.959,-3.158,4.62,11.1
2026-02-25T00:45:00+00:00,4.972,-3.168,4.61,11.1
2026-02-25T00:50:00+00:00,4.934,-3.178,4.57,11.1
2026-02-25T00:55:00+00:00,4.928,-3.16,4.582,11.1
2026-02-25T01:00:00+00:00,4.877,-3.164,4.529,11.1
2026-02-25T01:05:00+00:00,4.943,-3.162,4.595,11.1
2026-02-25T01:10:00+00:00,4.949,-3.176,4.617,11.1
2026-02-25T01:15:00+00:00,4.949,-3.163,4.616,11.1
2026-02-25T01:20:00+00:00,4.97,-3.166,4.612,11.1
2026-02-25T01:25:00+00:00,4.91,-3.168,4.56,11.161
2026-02-25T01:30:00+00:00,4.871,-3.164,4.508,11.2
2026-02-25T01:35:00+00:00,4.889,-3.168,4.556,11.186
2026-02-25T01:40:00+00:00,4.901,-3.162,4.556,11.2
2026-02-25T01:45:00+00:00,4.898,-3.173,4.568,11.2
2026-02-25T01:50:00+00:00,4.828,-3.203,4.504,11.2
2026-02-25T01:55:00+00:00,4.801,-3.171,4.472,11.2
2026-02-25T02:00:00+00:00,4.826,-3.154,4.464,11.2
2026-02-25T02:05:00+00:00,4.927,-3.164,4.584,11.2
2026-02-25T02:10:00+00:00,4.892,-3.172,4.556,11.2
2026-02-25T02:15:00+00:00,4.866,-3.192,4.52,11.2
2026-02-25T02:20:00+00:00,4.866,-3.204,4.553,11.2
2026-02-25T02:25:00+00:00,4.825,-3.202,4.49,11.2
2026-02-25T02:30:00+00:00,4.79,-3.15,4.41,11.139
2026-02-25T02:35:00+00:00,4.743,-3.13,4.363,11.1
2026-02-25T02:40:00+00:00,4.764,-3.136,4.375,11.1
2026-02-25T02:45:00+00:00,4.704,-3.15,4.302,11.1
2026-02-25T02:50:00+00:00,4.704,-3.172,4.306,11.1
