ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,2.816,11.165
2026-02-25T00:10:00+00:00,2.878,11.143
2026-02-25T00:15:00+00:00,2.946,11.133
2026-02-25T00:20:00+00:00,2.87,11.138
2026-02-25T00:25:00+00:00,2.847,11.162
2026-02-25T00:30:00+00:00,2.856,11.167
2026-02-25T00:35:00+00:00,2.859,11.167
2026-02-25T00:40:00+00:00,2.916,11.167
2026-02-25T00:45:00+00:00,2.881,11.167
2026-02-25T00:50:00+00:00,2.833,11.162
2026-02-25T00:55:00+00:00,2.906,11.135
2026-02-25T01:00:00+00:00,2.858,11.149
2026-02-25T01:05:00+00:00,2.86,11.135
2026-02-25T01:10:00+00:00,2.833,11.133
2026-02-25T01:15:00+00:00,2.809,11.133
2026-02-25T01:20:00+00:00,2.816,11.139
2026-02-25T01:25:00+00:00,2.795,11.161
2026-02-25T01:30:00+00:00,2.747,11.167
2026-02-25T01:35:00+00:00,2.784,11.167
2026-02-25T01:40:00+00:00,2.806,11.167
2026-02-25T01:45:00+00:00,2.766,11.148
2026-02-25T01:50:00+00:00,2.757,11.124
2026-02-25T01:55:00+00:00,2.735,11.133
2026-02-25T02:00:00+00:00,2.766,11.133
2026-02-25T02:05:00+00:00,2.772,11.133
2026-02-25T02:10:00+00:00,2.774,11.133
2026-02-25T02:15:00+00:00,2.769,11.161
2026-02-25T02:20:00+00:00,2.75,11.166
2026-02-25T02:25:00+00:00,2.714,11.164
2026-02-25T02:30:00+00:00,2.692,11.164
2026-02-25T02:35:00+00:00,2.694,11.154
2026-02-25T02:40:00+00:00,2.729,11.16
2026-02-25T02:45:00+00:00,2.754,11.165
2026-02-25T02:50:00+00:00,2.825,11.152
2026-02-25T02:55:00+00:00,2.786,11.16
2026-02-25T03:00:00+00:00,2.764,11.123
2026-02-25T03:05:00+00:00,2.81,11.1
2026-02-25T03:10:00+00:00,2.767,11.1
2026-02-25T03:15:00+00:00,2.786,11.1
2026-02-25T03:20:00+00:00,2.786,11.1
2026-02-25T03:25:00+00:00,2.739,11.1
2026-02-25T03:30:00+00:00,2.707,11.1
2026-02-25T03:35:00+00:00,2.675,11.1
2026-02-25T03:40:00+00:00,2.663,11.141
2026-02-25T03:45:00+00:00,2.696,11.167
2026-02-25T03:50:00+00:00,2.681,11.165
2026-02-25T03:55:00+00:00,2.694,11.167
2026-02-25T04:00:00+00:00,2.626,11.169
2026-02-25T04:05:00+00:00,2.64,11.169
2026-02-25T04:10:00+00:00,2.622,11.163
2026-02-25T04:15:00+00:00,2.647,11.142
2026-02-25T04:20:00+00:00,2.668,11.132
2026-02-25T04:25:00+00:00,2.689,11.115
2026-02-25T04:30:00+00:00,2.642,11.105
