ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,198.972,3.828,-0.365,-3.709,11.1
2026-02-25T00:10:00+00:00,203.67,3.913,-0.358,-3.778,11.1
2026-02-25T00:15:00+00:00,200.458,3.854,-0.368,-3.715,11.1
2026-02-25T00:20:00+00:00,202.89,3.904,-0.382,-3.772,11.1
2026-02-25T00:25:00+00:00,196.266,3.774,-0.359,-3.639,11.1
2026-02-25T00:30:00+00:00,199.418,3.826,-0.392,-3.706,11.1
2026-02-25T00:35:00+00:00,197.788,3.8,-0.4,-3.682,11.1
2026-02-25T00:40:00+00:00,199.041,3.826,-0.359,-3.691,11.1
2026-02-25T00:45:00+00:00,196.527,3.778,-0.352,-3.654,11.1
2026-02-25T00:50:00+00:00,197.228,3.8,-0.36,-3.684,11.126
2026-02-25T00:55:00+00:00,192.312,3.72,-0.362,-3.578,11.164
2026-02-25T01:00:00+00:00,193.243,3.72,-0.388,-3.59,11.141
2026-02-25T01:05:00+00:00,198.054,3.804,-0.394,-3.676,11.1
2026-02-25T01:10:00+00:00,200.056,3.842,-0.391,-3.722,11.1
2026-02-25T01:15:00+00:00,193.793,3.728,-0.354,-3.614,11.122
2026-02-25T01:20:00+00:00,194.294,3.756,-0.342,-3.633,11.127
2026-02-25T01:25:00+00:00,192.967,3.744,-0.336,-3.604,11.192
2026-02-25T01:30:00+00:00,194.514,3.77,-0.325,-3.628,11.192
2026-02-25T01:35:00+00:00,192.378,3.73,-0.325,-3.62,11.187
2026-02-25T01:40:00+00:00,192.41,3.73,-0.352,-3.601,11.2
2026-02-25T01:45:00+00:00,194.341,3.77,-0.33,-3.622,11.2
2026-02-25T01:50:00+00:00,194.834,3.78,-0.34,-3.638,11.2
2026-02-25T01:55:00+00:00,195.347,3.797,-0.328,-3.666,11.2
2026-02-25T02:00:00+00:00,191.254,3.712,-0.341,-3.582,11.2
2026-02-25T02:05:00+00:00,194.437,3.769,-0.331,-3.636,11.2
2026-02-25T02:10:00+00:00,195.741,3.794,-0.39,-3.644,11.196
2026-02-25T02:15:00+00:00,196.698,3.819,-0.393,-3.682,11.2
2026-02-25T02:20:00+00:00,193.2,3.726,-0.491,-3.65,11.127
2026-02-25T02:25:00+00:00,192.128,3.698,-0.472,-3.649,11.1
2026-02-25T02:30:00+00:00,189.81,3.645,-0.483,-3.593,11.1
2026-02-25T02:35:00+00:00,192.408,3.694,-0.471,-3.633,11.1
2026-02-25T02:40:00+00:00,186.109,3.576,-0.474,-3.53,11.1
2026-02-25T02:45:00+00:00,184.302,3.548,-0.428,-3.486,11.108
2026-02-25T02:50:00+00:00,182.567,3.542,-0.459,-3.468,11.2
2026-02-25T02:55:00+00:00,182.435,3.531,-0.478,-3.474,11.196
2026-02-25T03:00:00+00:00,186.074,3.585,-0.474,-3.53,11.125
2026-02-25T03:05:00+00:00,183.738,3.532,-0.474,-3.484,11.1
2026-02-25T03:10:00+00:00,186.298,3.582,-0.481,-3.514,11.1
2026-02-25T03:15:00+00:00,183.539,3.534,-0.474,-3.485,11.1
2026-02-25T03:20:00+00:00,185.123,3.559,-0.468,-3.504,11.1
2026-02-25T03:25:00+00:00,181.368,3.484,-0.486,-3.43,11.1
2026-02-25T03:30:00+00:00,183.0,3.518,-0.504,-3.465,11.1
2026-02-25T03:35:00+00:00,181.576,3.494,-0.528,-3.434,11.119
2026-02-25T03:40:00+00:00,180.848,3.504,-0.478,-3.418,11.194
2026-02-25T03:45:00+00:00,185.255,3.599,-0.504,-3.548,11.2
2026-02-25T03:50:00+00:00,183.332,3.553,-0.463,-3.487,11.2
2026-02-25T03:55:00+00:00,181.076,3.513,-0.494,-3.456,11.2
2026-02-25T04:00:00+00:00,185.401,3.602,-0.508,-3.541,11.2
2026-02-25T04:05:00+00:00,186.198,3.602,-0.483,-3.548,11.2
2026-02-25T04:10:00+00:00,184.742,3.581,-0.541,-3.512,11.198
2026-02-25T04:15:00+00:00,193.092,3.712,-0.599,-3.652,11.124
2026-02-25T04:20:00+00:00,194.278,3.735,-0.591,-3.673,11.114
2026-02-25T04:25:00+00:00,197.981,3.806,-0.609,-3.748,11.1
2026-02-25T04:30:00+00:00,194.383,3.742,-0.572,-3.668,11.1
2026-02-25T04:35:00+00:00,195.273,3.754,-0.606,-3.692,11.1
2026-02-25T04:40:00+00:00,195.498,3.758,-0.595,-3.682,11.1
2026-02-25T04:45:00+00:00,197.818,3.807,-0.59,-3.752,11.1
2026-02-25T04:50:00+00:00,197.346,3.796,-0.614,-3.748,11.1
2026-02-25T04:55:00+00:00,202.718,3.9,-0.582,-3.834,11.1
2026-02-25T05:00:00+00:00,201.068,3.87,-0.55,-3.806,11.1
2026-02-25T05:05:00+00:00,201.567,3.877,-0.552,-3.816,11.1
2026-02-25T05:10:00+00:00,203.531,3.91,-0.562,-3.831,11.1
2026-02-25T05:15:00+00:00,203.939,3.919,-0.575,-3.84,11.1
2026-02-25T05:20:00+00:00,207.055,3.975,-0.633,-3.912,11.1
2026-02-25T05:25:00+00:00,210.448,4.046,-0.641,-3.962,11.1
2026-02-25T05:30:00+00:00,215.802,4.147,-0.673,-4.055,11.1
2026-02-25T05:35:00+00:00,214.242,4.12,-0.643,-4.037,11.1
2026-02-25T05:40:00+00:00,211.67,4.072,-0.637,-3.982,11.1
2026-02-25T05:45:00+00:00,215.81,4.142,-0.647,-4.056,11.098
2026-02-25T05:50:00+00:00,215.985,4.148,-0.6,-4.065,11.086
2026-02-25T05:55:00+00:00,215.142,4.125,-0.563,-4.048,11.08
2026-02-25T06:00:00+00:00,219.379,4.187,-0.552,-4.128,11.009
2026-02-25T06:05:00+00:00,224.312,4.269,-0.557,-4.206,11.0
2026-02-25T06:10:00+00:00,228.668,4.342,-0.605,-4.272,10.971
2026-02-25T06:15:00+00:00,237.243,4.578,-0.72,-4.506,11.161
2026-02-25T06:20:00+00:00,242.714,4.711,-0.752,-4.61,11.2
2026-02-25T06:25:00+00:00,248.86,4.819,-0.812,-4.725,11.193
2026-02-25T06:30:00+00:00,253.41,4.918,-0.865,-4.806,11.2
2026-02-25T06:35:00+00:00,258.802,5.017,-0.866,-4.914,11.2
2026-02-25T06:40:00+00:00,255.654,4.958,-0.869,-4.858,11.2
2026-02-25T06:45:00+00:00,258.829,5.018,-0.896,-4.902,11.193
2026-02-25T06:50:00+00:00,260.974,5.048,-0.924,-4.922,11.151
2026-02-25T06:55:00+00:00,260.165,5.024,-0.877,-4.918,11.146
2026-02-25T07:00:00+00:00,267.376,5.156,-0.928,-5.052,11.154
2026-02-25T07:05:00+00:00,275.08,5.288,-0.933,-5.176,11.1
2026-02-25T07:10:00+00:00,283.836,5.458,-0.968,-5.328,11.1
2026-02-25T07:15:00+00:00,283.557,5.453,-0.96,-5.327,11.1
2026-02-25T07:20:00+00:00,294.278,5.634,-1.036,-5.507,11.054
2026-02-25T07:25:00+00:00,297.862,5.69,-1.062,-5.564,11.036
2026-02-25T07:30:00+00:00,300.182,5.769,-1.014,-5.62,11.093
2026-02-25T07:35:00+00:00,296.224,5.646,-1.012,-5.538,11.016
2026-02-25T07:40:00+00:00,309.912,5.901,-1.002,-5.78,11.0
2026-02-25T07:45:00+00:00,313.492,5.973,-1.037,-5.767,11.0
2026-02-25T07:50:00+00:00,309.794,5.904,-1.082,-5.784,11.004
2026-02-25T07:55:00+00:00,311.285,5.982,-1.143,-5.834,11.1
2026-02-25T08:00:00+00:00,315.334,6.064,-1.176,-5.902,11.1
2026-02-25T08:05:00+00:00,310.384,5.966,-1.078,-5.83,11.1
2026-02-25T08:10:00+00:00,312.174,6.003,-1.085,-5.857,11.1
2026-02-25T08:15:00+00:00,310.571,5.974,-1.101,-5.832,11.1
2026-02-25T08:20:00+00:00,307.737,5.96,-1.086,-5.818,11.179
2026-02-25T08:25:00+00:00,311.461,6.045,-1.16,-5.886,11.2
2026-02-25T08:30:00+00:00,310.256,6.019,-1.114,-5.861,11.2
2026-02-25T08:35:00+00:00,313.468,6.072,-1.118,-5.915,11.176
