ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,0.623,11.3
2026-02-25T00:10:00+00:00,0.65,11.3
2026-02-25T00:15:00+00:00,0.664,11.3
2026-02-25T00:20:00+00:00,0.653,11.3
2026-02-25T00:25:00+00:00,0.651,11.3
2026-02-25T00:30:00+00:00,0.648,11.3
2026-02-25T00:35:00+00:00,0.655,11.3
2026-02-25T00:40:00+00:00,0.659,11.3
2026-02-25T00:45:00+00:00,0.649,11.3
2026-02-25T00:50:00+00:00,0.655,11.3
2026-02-25T00:55:00+00:00,0.642,11.3
2026-02-25T01:00:00+00:00,0.645,11.3
2026-02-25T01:05:00+00:00,0.656,11.294
2026-02-25T01:10:00+00:00,0.677,11.3
2026-02-25T01:15:00+00:00,0.67,11.3
2026-02-25T01:20:00+00:00,0.669,11.3
2026-02-25T01:25:00+00:00,0.68,11.3
2026-02-25T01:30:00+00:00,0.666,11.304
2026-02-25T01:35:00+00:00,0.669,11.3
2026-02-25T01:40:00+00:00,0.656,11.307
2026-02-25T01:45:00+00:00,0.673,11.312
2026-02-25T01:50:00+00:00,0.676,11.349
2026-02-25T01:55:00+00:00,0.672,11.35
2026-02-25T02:00:00+00:00,0.672,11.35
2026-02-25T02:05:00+00:00,0.681,11.35
2026-02-25T02:10:00+00:00,0.683,11.35
2026-02-25T02:15:00+00:00,0.685,11.38
2026-02-25T02:20:00+00:00,0.671,11.399
2026-02-25T02:25:00+00:00,0.668,11.382
2026-02-25T02:30:00+00:00,0.665,11.4
2026-02-25T02:35:00+00:00,0.671,11.4
2026-02-25T02:40:00+00:00,0.67,11.4
2026-02-25T02:45:00+00:00,0.67,11.4
2026-02-25T02:50:00+00:00,0.672,11.4
2026-02-25T02:55:00+00:00,0.662,11.4
2026-02-25T03:00:00+00:00,0.656,11.4
2026-02-25T03:05:00+00:00,0.655,11.4
2026-02-25T03:10:00+00:00,0.657,11.4
2026-02-25T03:15:00+00:00,0.658,11.4
2026-02-25T03:20:00+00:00,0.655,11.4
2026-02-25T03:25:00+00:00,0.664,11.4
2026-02-25T03:30:00+00:00,0.665,11.4
2026-02-25T03:35:00+00:00,0.66,11.4
2026-02-25T03:40:00+00:00,0.658,11.4
2026-02-25T03:45:00+00:00,0.654,11.4
2026-02-25T03:50:00+00:00,0.645,11.4
2026-02-25T03:55:00+00:00,0.637,11.4
2026-02-25T04:00:00+00:00,0.643,11.4
2026-02-25T04:05:00+00:00,0.644,11.4
2026-02-25T04:10:00+00:00,0.64,11.4
2026-02-25T04:15:00+00:00,0.645,11.4
2026-02-25T04:20:00+00:00,0.644,11.4
2026-02-25T04:25:00+00:00,0.637,11.4
2026-02-25T04:30:00+00:00,0.632,11.4
2026-02-25T04:35:00+00:00,0.624,11.4
2026-02-25T04:40:00+00:00,0.618,11.4
2026-02-25T04:45:00+00:00,0.629,11.4
2026-02-25T04:50:00+00:00,0.621,11.4
2026-02-25T04:55:00+00:00,0.63,11.4
2026-02-25T05:00:00+00:00,0.639,11.4
2026-02-25T05:05:00+00:00,0.641,11.4
2026-02-25T05:10:00+00:00,0.637,11.4
2026-02-25T05:15:00+00:00,0.621,11.4
2026-02-25T05:20:00+00:00,0.623,11.399
2026-02-25T05:25:00+00:00,0.618,11.375
2026-02-25T05:30:00+00:00,0.617,11.387
2026-02-25T05:35:00+00:00,0.619,11.4
2026-02-25T05:40:00+00:00,0.63,11.4
2026-02-25T05:45:00+00:00,0.63,11.375
2026-02-25T05:50:00+00:00,0.646,11.396
2026-02-25T05:55:00+00:00,0.636,11.314
2026-02-25T06:00:00+00:00,0.645,11.347
2026-02-25T06:05:00+00:00,0.639,11.306
2026-02-25T06:10:00+00:00,0.649,11.296
2026-02-25T06:15:00+00:00,0.672,11.292
2026-02-25T06:20:00+00:00,0.675,11.25
2026-02-25T06:25:00+00:00,0.668,11.274
2026-02-25T06:30:00+00:00,0.671,11.288
2026-02-25T06:35:00+00:00,0.666,11.3
2026-02-25T06:40:00+00:00,0.664,11.3
2026-02-25T06:45:00+00:00,0.669,11.279
2026-02-25T06:50:00+00:00,0.669,11.274
2026-02-25T06:55:00+00:00,0.681,11.224
2026-02-25T07:00:00+00:00,0.689,11.235
2026-02-25T07:05:00+00:00,0.702,11.256
2026-02-25T07:10:00+00:00,0.696,11.285
2026-02-25T07:15:00+00:00,0.724,11.296
2026-02-25T07:20:00+00:00,0.723,11.298
2026-02-25T07:25:00+00:00,0.712,11.3
2026-02-25T07:30:00+00:00,0.72,11.298
2026-02-25T07:35:00+00:00,0.73,11.3
2026-02-25T07:40:00+00:00,0.697,11.244
2026-02-25T07:45:00+00:00,0.711,11.297
2026-02-25T07:50:00+00:00,0.708,11.294
2026-02-25T07:55:00+00:00,0.718,11.3
2026-02-25T08:00:00+00:00,0.727,11.294
2026-02-25T08:05:00+00:00,0.758,11.3
2026-02-25T08:10:00+00:00,0.759,11.299
