ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,182.808,2.291,0.409,-3.383,11.1
2026-02-25T00:10:00+00:00,188.304,2.358,0.392,-3.495,11.1
2026-02-25T00:15:00+00:00,188.28,2.362,0.417,-3.486,11.1
2026-02-25T00:20:00+00:00,184.597,2.31,0.404,-3.41,11.1
2026-02-25T00:25:00+00:00,181.138,2.282,0.424,-3.359,11.1
2026-02-25T00:30:00+00:00,179.082,2.259,0.428,-3.316,11.1
2026-02-25T00:35:00+00:00,183.047,2.312,0.404,-3.396,11.1
2026-02-25T00:40:00+00:00,188.484,2.39,0.408,-3.506,11.1
2026-02-25T00:45:00+00:00,189.181,2.405,0.456,-3.499,11.1
2026-02-25T00:50:00+00:00,190.246,2.405,0.436,-3.524,11.1
2026-02-25T00:55:00+00:00,190.888,2.411,0.42,-3.538,11.098
2026-02-25T01:00:00+00:00,189.708,2.393,0.405,-3.511,11.1
2026-02-25T01:05:00+00:00,190.94,2.401,0.401,-3.542,11.1
2026-02-25T01:10:00+00:00,189.204,2.39,0.446,-3.51,11.1
2026-02-25T01:15:00+00:00,189.528,2.382,0.41,-3.524,11.1
2026-02-25T01:20:00+00:00,187.622,2.36,0.441,-3.476,11.1
2026-02-25T01:25:00+00:00,183.791,2.323,0.462,-3.414,11.1
2026-02-25T01:30:00+00:00,185.082,2.334,0.432,-3.446,11.1
2026-02-25T01:35:00+00:00,187.826,2.346,0.401,-3.488,11.1
2026-02-25T01:40:00+00:00,188.704,2.361,0.372,-3.51,11.1
2026-02-25T01:45:00+00:00,186.24,2.333,0.388,-3.476,11.1
2026-02-25T01:50:00+00:00,185.094,2.319,0.397,-3.448,11.108
2026-02-25T01:55:00+00:00,181.512,2.282,0.45,-3.356,11.19
2026-02-25T02:00:00+00:00,179.683,2.277,0.417,-3.345,11.176
2026-02-25T02:05:00+00:00,181.108,2.285,0.397,-3.368,11.14
2026-02-25T02:10:00+00:00,182.389,2.288,0.389,-3.391,11.1
2026-02-25T02:15:00+00:00,179.879,2.272,0.44,-3.356,11.18
2026-02-25T02:20:00+00:00,182.053,2.286,0.444,-3.382,11.2
2026-02-25T02:25:00+00:00,181.761,2.281,0.452,-3.407,11.2
2026-02-25T02:30:00+00:00,179.416,2.263,0.442,-3.336,11.2
2026-02-25T02:35:00+00:00,179.128,2.246,0.406,-3.322,11.2
2026-02-25T02:40:00+00:00,178.416,2.235,0.41,-3.339,11.2
2026-02-25T02:45:00+00:00,177.71,2.23,0.383,-3.319,11.2
2026-02-25T02:50:00+00:00,175.053,2.201,0.404,-3.263,11.2
2026-02-25T02:55:00+00:00,174.056,2.188,0.397,-3.244,11.2
2026-02-25T03:00:00+00:00,171.866,2.162,0.42,-3.208,11.2
2026-02-25T03:05:00+00:00,170.1,2.137,0.416,-3.144,11.2
2026-02-25T03:10:00+00:00,171.615,2.154,0.416,-3.165,11.2
2026-02-25T03:15:00+00:00,174.44,2.184,0.369,-3.242,11.193
2026-02-25T03:20:00+00:00,174.354,2.172,0.355,-3.236,11.193
2026-02-25T03:25:00+00:00,176.188,2.185,0.335,-3.274,11.158
2026-02-25T03:30:00+00:00,172.554,2.157,0.35,-3.206,11.18
2026-02-25T03:35:00+00:00,172.122,2.15,0.318,-3.204,11.195
2026-02-25T03:40:00+00:00,169.936,2.133,0.358,-3.157,11.2
2026-02-25T03:45:00+00:00,170.467,2.136,0.381,-3.164,11.2
2026-02-25T03:50:00+00:00,168.858,2.11,0.389,-3.14,11.2
2026-02-25T03:55:00+00:00,170.422,2.12,0.364,-3.164,11.2
2026-02-25T04:00:00+00:00,168.099,2.101,0.396,-3.124,11.2
2026-02-25T04:05:00+00:00,169.857,2.124,0.375,-3.153,11.2
2026-02-25T04:10:00+00:00,167.011,2.093,0.368,-3.108,11.2
2026-02-25T04:15:00+00:00,169.607,2.117,0.36,-3.161,11.2
2026-02-25T04:20:00+00:00,168.577,2.108,0.35,-3.136,11.2
2026-02-25T04:25:00+00:00,169.602,2.112,0.337,-3.154,11.2
2026-02-25T04:30:00+00:00,168.664,2.112,0.352,-3.133,11.2
2026-02-25T04:35:00+00:00,171.009,2.132,0.342,-3.172,11.2
2026-02-25T04:40:00+00:00,171.182,2.128,0.337,-3.176,11.176
2026-02-25T04:45:00+00:00,170.59,2.134,0.353,-3.162,11.2
2026-02-25T04:50:00+00:00,170.324,2.129,0.368,-3.164,11.2
2026-02-25T04:55:00+00:00,170.226,2.128,0.362,-3.153,11.174
2026-02-25T05:00:00+00:00,170.282,2.133,0.368,-3.171,11.194
2026-02-25T05:05:00+00:00,169.469,2.11,0.355,-3.141,11.155
2026-02-25T05:10:00+00:00,170.492,2.117,0.336,-3.157,11.102
2026-02-25T05:15:00+00:00,173.142,2.144,0.341,-3.217,11.114
2026-02-25T05:20:00+00:00,170.712,2.126,0.347,-3.168,11.148
2026-02-25T05:25:00+00:00,172.468,2.138,0.334,-3.199,11.106
2026-02-25T05:30:00+00:00,176.946,2.179,0.327,-3.295,11.1
2026-02-25T05:35:00+00:00,179.167,2.202,0.306,-3.337,11.1
2026-02-25T05:40:00+00:00,180.424,2.216,0.342,-3.359,11.1
2026-02-25T05:45:00+00:00,180.016,2.222,0.339,-3.354,11.1
2026-02-25T05:50:00+00:00,181.64,2.254,0.313,-3.381,11.1
2026-02-25T05:55:00+00:00,184.91,2.299,0.279,-3.439,11.1
2026-02-25T06:00:00+00:00,187.929,2.338,0.299,-3.495,11.1
2026-02-25T06:05:00+00:00,190.003,2.367,0.365,-3.523,11.097
2026-02-25T06:10:00+00:00,197.254,2.469,0.32,-3.721,11.089
2026-02-25T06:15:00+00:00,196.785,2.484,0.334,-3.803,11.212
2026-02-25T06:20:00+00:00,198.008,2.506,0.316,-3.836,11.206
2026-02-25T06:25:00+00:00,202.402,2.543,0.278,-3.922,11.2
2026-02-25T06:30:00+00:00,201.794,2.565,0.273,-3.915,11.288
2026-02-25T06:35:00+00:00,209.416,2.647,0.258,-4.064,11.291
2026-02-25T06:40:00+00:00,215.37,2.72,0.24,-4.182,11.216
2026-02-25T06:45:00+00:00,217.496,2.747,0.148,-4.216,11.2
2026-02-25T06:50:00+00:00,224.079,2.82,0.13,-4.336,11.2
2026-02-25T06:55:00+00:00,231.164,2.886,0.159,-4.466,11.2
2026-02-25T07:00:00+00:00,233.245,2.93,0.197,-4.512,11.2
2026-02-25T07:05:00+00:00,239.864,2.997,0.148,-4.626,11.196
2026-02-25T07:10:00+00:00,243.883,3.047,0.136,-4.691,11.114
2026-02-25T07:15:00+00:00,254.135,3.158,0.101,-4.889,11.1
2026-02-25T07:20:00+00:00,257.806,3.207,0.064,-4.962,11.106
2026-02-25T07:25:00+00:00,256.458,3.21,0.112,-4.948,11.2
2026-02-25T07:30:00+00:00,256.918,3.211,0.106,-4.966,11.2
2026-02-25T07:35:00+00:00,256.405,3.204,0.058,-4.95,11.198
2026-02-25T07:40:00+00:00,253.372,3.174,0.008,-4.882,11.172
2026-02-25T07:45:00+00:00,255.372,3.191,-0.085,-4.909,11.105
2026-02-25T07:50:00+00:00,250.539,3.156,-0.138,-4.814,11.102
2026-02-25T07:55:00+00:00,248.36,3.132,-0.114,-4.776,11.121
2026-02-25T08:00:00+00:00,251.89,3.167,-0.132,-4.834,11.1
2026-02-25T08:05:00+00:00,246.54,3.117,-0.09,-4.755,11.179
2026-02-25T08:10:00+00:00,239.532,3.038,-0.095,-4.624,11.191
2026-02-25T08:15:00+00:00,242.854,3.081,-0.21,-4.682,11.176
2026-02-25T08:20:00+00:00,240.072,3.042,-0.2,-4.645,11.2
2026-02-25T08:25:00+00:00,236.506,2.977,-0.21,-4.577,11.2
2026-02-25T08:30:00+00:00,231.546,2.92,-0.188,-4.48,11.2
2026-02-25T08:35:00+00:00,226.847,2.862,-0.179,-4.396,11.2
2026-02-25T08:40:00+00:00,222.253,2.824,-0.206,-4.298,11.2
2026-02-25T08:45:00+00:00,218.19,2.788,-0.137,-4.224,11.2
2026-02-25T08:50:00+00:00,213.86,2.726,-0.154,-4.145,11.2
2026-02-25T08:55:00+00:00,210.39,2.692,-0.152,-4.073,11.2
2026-02-25T09:00:00+00:00,205.502,2.667,-0.122,-3.964,11.2
2026-02-25T09:05:00+00:00,205.476,2.653,-0.07,-3.979,11.2
2026-02-25T09:10:00+00:00,202.208,2.603,0.036,-3.92,11.2
2026-02-25T09:15:00+00:00,201.061,2.59,-0.042,-3.896,11.2
2026-02-25T09:20:00+00:00,191.13,2.493,-0.084,-3.707,11.2
2026-02-25T09:25:00+00:00,187.19,2.429,-0.005,-3.625,11.2
2026-02-25T09:30:00+00:00,188.724,2.46,0.088,-3.678,11.232
2026-02-25T09:35:00+00:00,188.546,2.458,0.096,-3.657,11.246
2026-02-25T09:40:00+00:00,182.696,2.382,0.066,-3.55,11.232
2026-02-25T09:45:00+00:00,183.382,2.383,-0.091,-3.565,11.248
2026-02-25T09:50:00+00:00,181.574,2.38,-0.07,-3.528,11.2
2026-02-25T09:55:00+00:00,172.676,2.285,0.024,-3.348,11.207
2026-02-25T10:00:00+00:00,169.48,2.26,0.108,-3.294,11.272
2026-02-25T10:05:00+00:00,168.0,2.256,0.087,-3.266,11.285
2026-02-25T10:10:00+00:00,165.368,2.219,0.035,-3.218,11.277
2026-02-25T10:15:00+00:00,167.605,2.245,0.013,-3.264,11.3
2026-02-25T10:20:00+00:00,160.907,2.16,-0.082,-3.129,11.274
2026-02-25T10:25:00+00:00,158.876,2.138,-0.012,-3.078,11.285
2026-02-25T10:30:00+00:00,176.075,2.306,0.079,-3.311,11.2
2026-02-25T10:35:00+00:00,200.591,2.542,0.075,-3.802,11.2
2026-02-25T10:40:00+00:00,207.574,2.643,-0.003,-3.927,11.195
2026-02-25T10:45:00+00:00,221.302,2.782,-0.025,-4.196,11.194
2026-02-25T10:50:00+00:00,222.113,2.786,-0.037,-4.216,11.2
2026-02-25T10:55:00+00:00,226.846,2.828,-0.049,-4.313,11.2
2026-02-25T11:00:00+00:00,226.447,2.84,0.063,-4.312,11.2
2026-02-25T11:05:00+00:00,220.04,2.756,0.038,-4.235,11.117
2026-02-25T11:10:00+00:00,216.742,2.72,0.012,-4.157,11.1
2026-02-25T11:15:00+00:00,189.129,2.454,-0.036,-3.641,11.108
2026-02-25T11:20:00+00:00,158.804,2.134,-0.082,-3.054,11.1
2026-02-25T11:25:00+00:00,140.348,1.902,-0.132,-2.698,11.106
2026-02-25T11:30:00+00:00,135.921,1.846,-0.132,-2.62,11.126
2026-02-25T11:35:00+00:00,130.732,1.797,-0.132,-2.512,11.142
2026-02-25T11:40:00+00:00,131.712,1.814,-0.176,-2.538,11.142
2026-02-25T11:45:00+00:00,130.692,1.8,-0.214,-2.517,11.164
2026-02-25T11:50:00+00:00,138.508,1.87,-0.21,-2.662,11.104
2026-02-25T11:55:00+00:00,139.716,1.9,-0.194,-2.694,11.136
2026-02-25T12:00:00+00:00,141.996,1.931,-0.159,-2.726,11.117
2026-02-25T12:05:00+00:00,141.942,1.916,-0.195,-2.726,11.134
2026-02-25T12:10:00+00:00,143.544,1.93,-0.15,-2.768,11.139
2026-02-25T12:15:00+00:00,152.38,2.021,-0.126,-2.942,11.194
2026-02-25T12:20:00+00:00,148.762,1.986,-0.093,-2.868,11.197
2026-02-25T12:25:00+00:00,174.236,2.212,-0.047,-3.367,11.2
2026-02-25T12:30:00+00:00,153.399,2.038,-0.039,-2.97,11.2
2026-02-25T12:35:00+00:00,175.604,2.265,0.134,-3.393,11.167
