ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,5.78,11.2
2026-02-25T00:10:00+00:00,5.944,11.144
2026-02-25T00:15:00+00:00,5.784,11.174
2026-02-25T00:20:00+00:00,5.843,11.144
2026-02-25T00:25:00+00:00,5.498,11.2
2026-02-25T00:30:00+00:00,5.464,11.2
2026-02-25T00:35:00+00:00,5.538,11.2
2026-02-25T00:40:00+00:00,5.575,11.2
2026-02-25T00:45:00+00:00,5.563,11.2
2026-02-25T00:50:00+00:00,5.534,11.2
2026-02-25T00:55:00+00:00,5.542,11.2
2026-02-25T01:00:00+00:00,5.471,11.2
2026-02-25T01:05:00+00:00,5.572,11.2
2026-02-25T01:10:00+00:00,5.595,11.2
2026-02-25T01:15:00+00:00,5.814,11.2
2026-02-25T01:20:00+00:00,5.678,11.2
2026-02-25T01:25:00+00:00,5.702,11.2
2026-02-25T01:30:00+00:00,5.572,11.208
2026-02-25T01:35:00+00:00,5.608,11.221
2026-02-25T01:40:00+00:00,5.57,11.243
2026-02-25T01:45:00+00:00,5.583,11.268
2026-02-25T01:50:00+00:00,5.59,11.294
2026-02-25T01:55:00+00:00,5.531,11.3
2026-02-25T02:00:00+00:00,5.568,11.286
2026-02-25T02:05:00+00:00,5.552,11.282
2026-02-25T02:10:00+00:00,5.541,11.288
2026-02-25T02:15:00+00:00,5.508,11.3
2026-02-25T02:20:00+00:00,5.473,11.228
2026-02-25T02:25:00+00:00,5.515,11.2
2026-02-25T02:30:00+00:00,5.446,11.125
2026-02-25T02:35:00+00:00,5.366,11.1
2026-02-25T02:40:00+00:00,5.43,11.1
2026-02-25T02:45:00+00:00,5.337,11.1
2026-02-25T02:50:00+00:00,5.345,11.119
2026-02-25T02:55:00+00:00,5.24,11.142
2026-02-25T03:00:00+00:00,5.326,11.11
2026-02-25T03:05:00+00:00,5.408,11.098
2026-02-25T03:10:00+00:00,5.364,11.099
2026-02-25T03:15:00+00:00,5.443,11.1
2026-02-25T03:20:00+00:00,5.395,11.1
2026-02-25T03:25:00+00:00,5.458,11.087
2026-02-25T03:30:00+00:00,5.451,11.094
2026-02-25T03:35:00+00:00,5.4,11.1
2026-02-25T03:40:00+00:00,5.432,11.1
2026-02-25T03:45:00+00:00,5.338,11.1
2026-02-25T03:50:00+00:00,5.335,11.1
2026-02-25T03:55:00+00:00,5.342,11.1
2026-02-25T04:00:00+00:00,5.21,11.104
2026-02-25T04:05:00+00:00,5.333,11.1
2026-02-25T04:10:00+00:00,5.347,11.1
2026-02-25T04:15:00+00:00,5.363,11.1
2026-02-25T04:20:00+00:00,5.419,11.1
2026-02-25T04:25:00+00:00,5.343,11.1
2026-02-25T04:30:00+00:00,5.384,11.1
2026-02-25T04:35:00+00:00,5.387,11.1
2026-02-25T04:40:00+00:00,5.472,11.1
2026-02-25T04:45:00+00:00,5.552,11.1
2026-02-25T04:50:00+00:00,5.499,11.1
2026-02-25T04:55:00+00:00,5.521,11.1
2026-02-25T05:00:00+00:00,5.576,11.1
2026-02-25T05:05:00+00:00,5.733,11.1
2026-02-25T05:10:00+00:00,5.84,11.046
2026-02-25T05:15:00+00:00,5.844,11.064
2026-02-25T05:20:00+00:00,5.802,11.068
2026-02-25T05:25:00+00:00,5.828,11.016
2026-02-25T05:30:00+00:00,5.782,11.042
2026-02-25T05:35:00+00:00,5.87,11.025
2026-02-25T05:40:00+00:00,5.948,11.014
2026-02-25T05:45:00+00:00,5.928,11.023
2026-02-25T05:50:00+00:00,5.973,11.1
2026-02-25T05:55:00+00:00,5.972,11.1
2026-02-25T06:00:00+00:00,5.893,11.099
2026-02-25T06:05:00+00:00,6.121,11.044
2026-02-25T06:10:00+00:00,6.215,11.196
2026-02-25T06:15:00+00:00,6.269,11.2
2026-02-25T06:20:00+00:00,6.432,11.146
2026-02-25T06:25:00+00:00,6.648,11.152
2026-02-25T06:30:00+00:00,6.556,11.192
2026-02-25T06:35:00+00:00,6.679,11.196
2026-02-25T06:40:00+00:00,7.003,11.131
2026-02-25T06:45:00+00:00,7.134,11.1
2026-02-25T06:50:00+00:00,7.176,11.1
2026-02-25T06:55:00+00:00,7.172,11.1
2026-02-25T07:00:00+00:00,7.226,11.1
2026-02-25T07:05:00+00:00,7.329,11.1
2026-02-25T07:10:00+00:00,7.547,11.104
2026-02-25T07:15:00+00:00,7.626,11.2
2026-02-25T07:20:00+00:00,7.692,11.2
2026-02-25T07:25:00+00:00,7.932,11.2
2026-02-25T07:30:00+00:00,8.026,11.2
2026-02-25T07:35:00+00:00,8.19,11.2
2026-02-25T07:40:00+00:00,8.046,11.196
2026-02-25T07:45:00+00:00,8.146,11.166
2026-02-25T07:50:00+00:00,8.261,11.162
2026-02-25T07:55:00+00:00,8.48,11.121
2026-02-25T08:00:00+00:00,8.58,11.106
2026-02-25T08:05:00+00:00,8.687,11.156
2026-02-25T08:10:00+00:00,8.689,11.119
2026-02-25T08:15:00+00:00,8.626,11.104
2026-02-25T08:20:00+00:00,8.758,11.142
2026-02-25T08:25:00+00:00,8.804,11.186
2026-02-25T08:30:00+00:00,8.637,11.2
2026-02-25T08:35:00+00:00,8.475,11.18
2026-02-25T08:40:00+00:00,8.516,11.188
2026-02-25T08:45:00+00:00,8.475,11.188
2026-02-25T08:50:00+00:00,8.435,11.169
2026-02-25T08:55:00+00:00,8.551,11.1
2026-02-25T09:00:00+00:00,8.492,11.102
2026-02-25T09:05:00+00:00,8.962,11.1
2026-02-25T09:10:00+00:00,8.98,11.1
2026-02-25T09:15:00+00:00,8.916,11.104
2026-02-25T09:20:00+00:00,9.12,11.106
2026-02-25T09:25:00+00:00,9.016,11.142
2026-02-25T09:30:00+00:00,9.006,11.2
2026-02-25T09:35:00+00:00,8.916,11.2
2026-02-25T09:40:00+00:00,8.945,11.2
2026-02-25T09:45:00+00:00,8.874,11.2
2026-02-25T09:50:00+00:00,8.79,11.2
2026-02-25T09:55:00+00:00,8.799,11.2
2026-02-25T10:00:00+00:00,8.43,11.2
2026-02-25T10:05:00+00:00,8.374,11.203
2026-02-25T10:10:00+00:00,8.565,11.208
2026-02-25T10:15:00+00:00,8.478,11.224
2026-02-25T10:20:00+00:00,8.29,11.238
2026-02-25T10:25:00+00:00,8.296,11.217
2026-02-25T10:30:00+00:00,8.364,11.226
2026-02-25T10:35:00+00:00,8.37,11.233
2026-02-25T10:40:00+00:00,8.244,11.204
2026-02-25T10:45:00+00:00,8.343,11.206
2026-02-25T10:50:00+00:00,8.18,11.282
2026-02-25T10:55:00+00:00,8.288,11.298
2026-02-25T11:00:00+00:00,8.289,11.299
2026-02-25T11:05:00+00:00,8.364,11.284
2026-02-25T11:10:00+00:00,8.251,11.25
2026-02-25T11:15:00+00:00,8.124,11.274
2026-02-25T11:20:00+00:00,8.113,11.294
2026-02-25T11:25:00+00:00,8.198,11.281
2026-02-25T11:30:00+00:00,8.082,11.266
2026-02-25T11:35:00+00:00,8.139,11.267
2026-02-25T11:40:00+00:00,8.226,11.234
2026-02-25T11:45:00+00:00,8.153,11.27
2026-02-25T11:50:00+00:00,8.153,11.212
2026-02-25T11:55:00+00:00,8.078,11.2
2026-02-25T12:00:00+00:00,8.063,11.227
2026-02-25T12:05:00+00:00,8.086,11.214
2026-02-25T12:10:00+00:00,8.26,11.252
2026-02-25T12:15:00+00:00,8.172,11.298
2026-02-25T12:20:00+00:00,7.988,11.244
2026-02-25T12:25:00+00:00,8.044,11.25
2026-02-25T12:30:00+00:00,8.044,11.285
2026-02-25T12:35:00+00:00,7.929,11.276
2026-02-25T12:40:00+00:00,7.658,11.3
2026-02-25T12:45:00+00:00,7.702,11.3
2026-02-25T12:50:00+00:00,7.886,11.3
2026-02-25T12:55:00+00:00,8.078,11.294
2026-02-25T13:00:00+00:00,8.021,11.3
2026-02-25T13:05:00+00:00,8.186,11.3
2026-02-25T13:10:00+00:00,8.154,11.3
2026-02-25T13:15:00+00:00,8.076,11.299
2026-02-25T13:20:00+00:00,7.911,11.3
2026-02-25T13:25:00+00:00,8.113,11.297
2026-02-25T13:30:00+00:00,8.168,11.176
2026-02-25T13:35:00+00:00,8.448,11.168
2026-02-25T13:40:00+00:00,8.418,11.14
2026-02-25T13:45:00+00:00,8.227,11.178
2026-02-25T13:50:00+00:00,8.114,11.178
2026-02-25T13:55:00+00:00,8.03,11.2
2026-02-25T14:00:00+00:00,7.982,11.2
2026-02-25T14:05:00+00:00,7.664,11.2
2026-02-25T14:10:00+00:00,7.52,11.2
2026-02-25T14:15:00+00:00,7.561,11.192
