ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,6.79,11.225
2026-02-25T00:10:00+00:00,6.788,11.264
2026-02-25T00:15:00+00:00,6.827,11.3
2026-02-25T00:20:00+00:00,6.692,11.31
2026-02-25T00:25:00+00:00,6.668,11.308
2026-02-25T00:30:00+00:00,6.61,11.179
2026-02-25T00:35:00+00:00,6.787,11.1
2026-02-25T00:40:00+00:00,6.91,11.134
2026-02-25T00:45:00+00:00,6.96,11.17
2026-02-25T00:50:00+00:00,6.907,11.1
2026-02-25T00:55:00+00:00,6.877,11.1
2026-02-25T01:00:00+00:00,6.8,11.111
2026-02-25T01:05:00+00:00,6.855,11.2
2026-02-25T01:10:00+00:00,6.82,11.2
2026-02-25T01:15:00+00:00,6.774,11.187
2026-02-25T01:20:00+00:00,6.736,11.1
2026-02-25T01:25:00+00:00,6.678,11.1
2026-02-25T01:30:00+00:00,6.674,11.1
2026-02-25T01:35:00+00:00,6.616,11.1
2026-02-25T01:40:00+00:00,6.551,11.1
2026-02-25T01:45:00+00:00,6.47,11.1
2026-02-25T01:50:00+00:00,6.428,11.1
2026-02-25T01:55:00+00:00,6.386,11.118
2026-02-25T02:00:00+00:00,6.317,11.2
2026-02-25T02:05:00+00:00,6.286,11.139
2026-02-25T02:10:00+00:00,6.306,11.0
2026-02-25T02:15:00+00:00,6.308,11.0
2026-02-25T02:20:00+00:00,6.24,11.0
2026-02-25T02:25:00+00:00,6.212,11.0
2026-02-25T02:30:00+00:00,6.171,11.0
2026-02-25T02:35:00+00:00,6.126,11.0
2026-02-25T02:40:00+00:00,6.089,11.084
2026-02-25T02:45:00+00:00,6.03,11.256
2026-02-25T02:50:00+00:00,6.017,11.076
2026-02-25T02:55:00+00:00,6.036,11.0
2026-02-25T03:00:00+00:00,5.976,11.0
2026-02-25T03:05:00+00:00,5.996,11.055
2026-02-25T03:10:00+00:00,5.915,11.2
2026-02-25T03:15:00+00:00,5.883,11.2
2026-02-25T03:20:00+00:00,5.834,11.247
2026-02-25T03:25:00+00:00,5.842,11.3
2026-02-25T03:30:00+00:00,5.738,11.3
2026-02-25T03:35:00+00:00,5.666,11.3
2026-02-25T03:40:00+00:00,5.597,11.134
2026-02-25T03:45:00+00:00,5.586,11.1
2026-02-25T03:50:00+00:00,5.581,11.1
2026-02-25T03:55:00+00:00,5.612,11.172
2026-02-25T04:00:00+00:00,5.579,11.2
2026-02-25T04:05:00+00:00,5.552,11.2
2026-02-25T04:10:00+00:00,5.598,11.2
2026-02-25T04:15:00+00:00,5.582,11.2
2026-02-25T04:20:00+00:00,5.6,11.2
2026-02-25T04:25:00+00:00,5.632,11.2
2026-02-25T04:30:00+00:00,5.674,11.132
2026-02-25T04:35:00+00:00,5.736,11.1
2026-02-25T04:40:00+00:00,5.754,11.1
2026-02-25T04:45:00+00:00,5.752,11.1
2026-02-25T04:50:00+00:00,5.726,11.1
2026-02-25T04:55:00+00:00,5.738,11.1
2026-02-25T05:00:00+00:00,5.754,11.1
2026-02-25T05:05:00+00:00,5.734,11.1
2026-02-25T05:10:00+00:00,5.713,11.07
2026-02-25T05:15:00+00:00,5.676,11.07
2026-02-25T05:20:00+00:00,5.604,11.046
2026-02-25T05:25:00+00:00,5.558,11.028
2026-02-25T05:30:00+00:00,5.583,11.051
2026-02-25T05:35:00+00:00,5.574,11.032
2026-02-25T05:40:00+00:00,5.562,11.065
2026-02-25T05:45:00+00:00,5.571,11.1
2026-02-25T05:50:00+00:00,5.616,11.1
2026-02-25T05:55:00+00:00,5.636,11.05
2026-02-25T06:00:00+00:00,5.706,11.018
2026-02-25T06:05:00+00:00,5.855,11.0
2026-02-25T06:10:00+00:00,5.908,11.054
2026-02-25T06:15:00+00:00,5.997,11.191
2026-02-25T06:20:00+00:00,5.991,11.157
2026-02-25T06:25:00+00:00,6.034,11.202
2026-02-25T06:30:00+00:00,6.134,11.2
2026-02-25T06:35:00+00:00,6.256,11.2
2026-02-25T06:40:00+00:00,6.416,11.196
2026-02-25T06:45:00+00:00,6.446,11.107
2026-02-25T06:50:00+00:00,6.47,11.1
2026-02-25T06:55:00+00:00,6.538,11.1
2026-02-25T07:00:00+00:00,6.592,11.1
2026-02-25T07:05:00+00:00,6.644,11.1
2026-02-25T07:10:00+00:00,6.777,11.135
2026-02-25T07:15:00+00:00,6.794,11.194
2026-02-25T07:20:00+00:00,6.951,11.279
2026-02-25T07:25:00+00:00,6.933,11.3
2026-02-25T07:30:00+00:00,7.056,11.3
2026-02-25T07:35:00+00:00,6.999,11.229
2026-02-25T07:40:00+00:00,7.086,11.2
2026-02-25T07:45:00+00:00,7.219,11.182
2026-02-25T07:50:00+00:00,7.159,11.102
2026-02-25T07:55:00+00:00,7.206,11.1
2026-02-25T08:00:00+00:00,7.221,11.114
2026-02-25T08:05:00+00:00,7.302,11.134
2026-02-25T08:10:00+00:00,7.304,11.18
2026-02-25T08:15:00+00:00,7.383,11.204
2026-02-25T08:20:00+00:00,7.334,11.294
2026-02-25T08:25:00+00:00,7.248,11.282
2026-02-25T08:30:00+00:00,7.232,11.2
2026-02-25T08:35:00+00:00,7.23,11.269
2026-02-25T08:40:00+00:00,7.19,11.3
2026-02-25T08:45:00+00:00,7.154,11.158
