ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,214.9,4.159,0.512,-4.03,11.198
2026-02-25T00:10:00+00:00,213.476,4.142,0.538,-4.019,11.2
2026-02-25T00:15:00+00:00,211.662,4.106,0.51,-4.01,11.178
2026-02-25T00:20:00+00:00,215.49,4.167,0.532,-4.039,11.188
2026-02-25T00:25:00+00:00,218.704,4.242,0.534,-4.114,11.2
2026-02-25T00:30:00+00:00,216.99,4.208,0.524,-4.097,11.2
2026-02-25T00:35:00+00:00,218.103,4.234,0.506,-4.116,11.183
2026-02-25T00:40:00+00:00,220.748,4.278,0.532,-4.145,11.188
2026-02-25T00:45:00+00:00,220.687,4.282,0.613,-4.109,11.193
2026-02-25T00:50:00+00:00,221.619,4.294,0.56,-4.134,11.2
2026-02-25T00:55:00+00:00,224.203,4.348,0.575,-4.196,11.2
2026-02-25T01:00:00+00:00,224.091,4.343,0.542,-4.224,11.2
2026-02-25T01:05:00+00:00,219.532,4.26,0.502,-4.149,11.2
2026-02-25T01:10:00+00:00,222.895,4.317,0.506,-4.213,11.2
2026-02-25T01:15:00+00:00,219.605,4.262,0.557,-4.148,11.2
2026-02-25T01:20:00+00:00,219.7,4.26,0.528,-4.166,11.2
2026-02-25T01:25:00+00:00,219.754,4.242,0.585,-4.152,11.14
2026-02-25T01:30:00+00:00,219.939,4.224,0.544,-4.136,11.1
2026-02-25T01:35:00+00:00,217.56,4.178,0.526,-4.093,11.1
2026-02-25T01:40:00+00:00,215.884,4.159,0.55,-4.056,11.128
2026-02-25T01:45:00+00:00,212.529,4.125,0.583,-4.002,11.176
2026-02-25T01:50:00+00:00,209.555,4.066,0.587,-3.948,11.2
2026-02-25T01:55:00+00:00,209.126,4.026,0.587,-3.922,11.134
2026-02-25T02:00:00+00:00,211.274,4.055,0.647,-3.963,11.1
2026-02-25T02:05:00+00:00,210.12,4.045,0.64,-3.934,11.1
2026-02-25T02:10:00+00:00,204.655,3.93,0.668,-3.806,11.1
2026-02-25T02:15:00+00:00,204.288,3.931,0.678,-3.811,11.1
2026-02-25T02:20:00+00:00,201.907,3.883,0.662,-3.762,11.1
2026-02-25T02:25:00+00:00,204.071,3.924,0.646,-3.8,11.1
2026-02-25T02:30:00+00:00,201.016,3.876,0.664,-3.75,11.125
2026-02-25T02:35:00+00:00,203.06,3.902,0.663,-3.766,11.1
2026-02-25T02:40:00+00:00,202.056,3.893,0.657,-3.752,11.102
2026-02-25T02:45:00+00:00,198.092,3.84,0.682,-3.68,11.183
2026-02-25T02:50:00+00:00,196.938,3.82,0.674,-3.666,11.2
2026-02-25T02:55:00+00:00,201.968,3.915,0.671,-3.77,11.2
2026-02-25T03:00:00+00:00,202.748,3.93,0.744,-3.762,11.2
2026-02-25T03:05:00+00:00,194.67,3.746,0.746,-3.603,11.143
2026-02-25T03:10:00+00:00,196.915,3.786,0.742,-3.64,11.1
2026-02-25T03:15:00+00:00,195.466,3.77,0.774,-3.634,11.128
2026-02-25T03:20:00+00:00,192.638,3.727,0.778,-3.598,11.152
