ValueDate,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,2.578,-0.59,2.569,11.098
2026-02-25T00:10:00+00:00,2.716,-0.574,2.733,11.046
2026-02-25T00:15:00+00:00,2.656,-0.584,2.651,11.032
2026-02-25T00:20:00+00:00,2.658,-0.604,2.667,11.038
2026-02-25T00:25:00+00:00,2.732,-0.604,2.72,11.088
2026-02-25T00:30:00+00:00,2.62,-0.586,2.608,11.1
2026-02-25T00:35:00+00:00,2.598,-0.588,2.626,11.1
2026-02-25T00:40:00+00:00,2.656,-0.588,2.672,11.074
2026-02-25T00:45:00+00:00,2.622,-0.578,2.642,11.072
2026-02-25T00:50:00+00:00,2.637,-0.584,2.66,11.093
2026-02-25T00:55:00+00:00,2.738,-0.58,2.752,11.099
2026-02-25T01:00:00+00:00,2.666,-0.596,2.713,11.1
2026-02-25T01:05:00+00:00,2.668,-0.578,2.712,11.066
2026-02-25T01:10:00+00:00,2.692,-0.598,2.726,11.077
2026-02-25T01:15:00+00:00,2.632,-0.58,2.687,11.1
2026-02-25T01:20:00+00:00,2.654,-0.588,2.668,11.097
2026-02-25T01:25:00+00:00,2.635,-0.601,2.677,11.1
2026-02-25T01:30:00+00:00,2.587,-0.579,2.637,11.1
2026-02-25T01:35:00+00:00,2.605,-0.572,2.664,11.1
2026-02-25T01:40:00+00:00,2.605,-0.589,2.688,11.1
2026-02-25T01:45:00+00:00,2.676,-0.597,2.74,11.1
2026-02-25T01:50:00+00:00,2.606,-0.598,2.654,11.186
2026-02-25T01:55:00+00:00,2.544,-0.576,2.608,11.2
2026-02-25T02:00:00+00:00,2.606,-0.581,2.656,11.189
2026-02-25T02:05:00+00:00,2.627,-0.605,2.674,11.164
2026-02-25T02:10:00+00:00,2.596,-0.622,2.618,11.176
2026-02-25T02:15:00+00:00,2.67,-0.633,2.684,11.2
2026-02-25T02:20:00+00:00,2.64,-0.602,2.625,11.2
2026-02-25T02:25:00+00:00,2.669,-0.617,2.688,11.2
2026-02-25T02:30:00+00:00,2.574,-0.624,2.592,11.186
2026-02-25T02:35:00+00:00,2.538,-0.607,2.556,11.2
2026-02-25T02:40:00+00:00,2.542,-0.612,2.555,11.2
2026-02-25T02:45:00+00:00,2.514,-0.624,2.554,11.2
2026-02-25T02:50:00+00:00,2.447,-0.624,2.464,11.152
2026-02-25T02:55:00+00:00,2.498,-0.63,2.505,11.103
2026-02-25T03:00:00+00:00,2.506,-0.604,2.502,11.1
2026-02-25T03:05:00+00:00,2.462,-0.605,2.456,11.099
2026-02-25T03:10:00+00:00,2.516,-0.614,2.536,11.1
2026-02-25T03:15:00+00:00,2.484,-0.615,2.503,11.1
2026-02-25T03:20:00+00:00,2.404,-0.617,2.438,11.1
2026-02-25T03:25:00+00:00,2.432,-0.625,2.412,11.1
2026-02-25T03:30:00+00:00,2.468,-0.633,2.466,11.1
2026-02-25T03:35:00+00:00,2.425,-0.606,2.441,11.1
2026-02-25T03:40:00+00:00,2.328,-0.623,2.342,11.1
2026-02-25T03:45:00+00:00,2.38,-0.618,2.372,11.1
2026-02-25T03:50:00+00:00,2.414,-0.616,2.39,11.1
2026-02-25T03:55:00+00:00,2.354,-0.624,2.332,11.1
2026-02-25T04:00:00+00:00,2.362,-0.612,2.348,11.103
2026-02-25T04:05:00+00:00,2.394,-0.613,2.368,11.107
2026-02-25T04:10:00+00:00,2.436,-0.614,2.392,11.1
2026-02-25T04:15:00+00:00,2.368,-0.621,2.354,11.1
2026-02-25T04:20:00+00:00,2.386,-0.607,2.365,11.1
2026-02-25T04:25:00+00:00,2.412,-0.622,2.375,11.1
2026-02-25T04:30:00+00:00,2.324,-0.611,2.294,11.1
2026-02-25T04:35:00+00:00,2.404,-0.624,2.364,11.1
2026-02-25T04:40:00+00:00,2.362,-0.612,2.34,11.1
2026-02-25T04:45:00+00:00,2.327,-0.604,2.332,11.1
2026-02-25T04:50:00+00:00,2.405,-0.616,2.382,11.1
2026-02-25T04:55:00+00:00,2.372,-0.628,2.332,11.1
2026-02-25T05:00:00+00:00,2.379,-0.605,2.335,11.099
2026-02-25T05:05:00+00:00,2.455,-0.588,2.399,11.068
2026-02-25T05:10:00+00:00,2.506,-0.58,2.429,11.045
2026-02-25T05:15:00+00:00,2.484,-0.589,2.382,11.048
2026-02-25T05:20:00+00:00,2.437,-0.592,2.352,11.04
2026-02-25T05:25:00+00:00,2.516,-0.59,2.423,11.006
2026-02-25T05:30:00+00:00,2.43,-0.584,2.341,11.003
2026-02-25T05:35:00+00:00,2.481,-0.618,2.391,11.004
2026-02-25T05:40:00+00:00,2.537,-0.58,2.471,11.0
2026-02-25T05:45:00+00:00,2.476,-0.547,2.415,11.0
2026-02-25T05:50:00+00:00,2.538,-0.525,2.478,11.0
2026-02-25T05:55:00+00:00,2.622,-0.572,2.56,10.982
2026-02-25T06:00:00+00:00,2.588,-0.59,2.524,10.954
2026-02-25T06:05:00+00:00,2.628,-0.578,2.559,10.963
2026-02-25T06:10:00+00:00,2.751,-0.546,2.67,10.998
2026-02-25T06:15:00+00:00,2.784,-0.56,2.742,11.124
2026-02-25T06:20:00+00:00,2.692,-0.568,2.66,11.1
2026-02-25T06:25:00+00:00,2.758,-0.562,2.758,11.163
2026-02-25T06:30:00+00:00,2.73,-0.538,2.75,11.099
2026-02-25T06:35:00+00:00,2.78,-0.524,2.796,11.1
2026-02-25T06:40:00+00:00,2.896,-0.524,2.888,11.097
2026-02-25T06:45:00+00:00,3.044,-0.508,3.02,11.064
2026-02-25T06:50:00+00:00,3.06,-0.498,3.014,11.003
2026-02-25T06:55:00+00:00,2.988,-0.522,2.958,11.0
2026-02-25T07:00:00+00:00,3.084,-0.531,3.052,11.0
2026-02-25T07:05:00+00:00,3.127,-0.516,3.089,11.0
2026-02-25T07:10:00+00:00,3.16,-0.505,3.105,10.948
2026-02-25T07:15:00+00:00,3.298,-0.501,3.26,10.946
2026-02-25T07:20:00+00:00,3.234,-0.473,3.221,11.0
2026-02-25T07:25:00+00:00,3.272,-0.47,3.248,11.0
2026-02-25T07:30:00+00:00,3.346,-0.481,3.336,11.0
2026-02-25T07:35:00+00:00,3.375,-0.473,3.366,11.0
2026-02-25T07:40:00+00:00,3.355,-0.45,3.408,11.101
2026-02-25T07:45:00+00:00,3.459,-0.473,3.488,11.1
2026-02-25T07:50:00+00:00,3.358,-0.473,3.408,11.1
2026-02-25T07:55:00+00:00,3.366,-0.477,3.43,11.1
2026-02-25T08:00:00+00:00,3.378,-0.488,3.466,11.1
2026-02-25T08:05:00+00:00,3.394,-0.477,3.519,11.104
2026-02-25T08:10:00+00:00,3.436,-0.481,3.503,11.1
2026-02-25T08:15:00+00:00,3.536,-0.462,3.609,11.1
2026-02-25T08:20:00+00:00,3.56,-0.473,3.656,11.108
2026-02-25T08:25:00+00:00,3.487,-0.486,3.586,11.124
2026-02-25T08:30:00+00:00,3.571,-0.474,3.667,11.105
2026-02-25T08:35:00+00:00,3.692,-0.479,3.768,11.1
2026-02-25T08:40:00+00:00,3.716,-0.461,3.786,11.1
2026-02-25T08:45:00+00:00,3.682,-0.437,3.768,11.1
2026-02-25T08:50:00+00:00,3.802,-0.419,3.88,11.096
2026-02-25T08:55:00+00:00,3.78,-0.416,3.88,11.08
2026-02-25T09:00:00+00:00,3.783,-0.394,3.874,11.061
2026-02-25T09:05:00+00:00,3.736,-0.426,3.822,11.076
2026-02-25T09:10:00+00:00,3.736,-0.436,3.807,11.098
2026-02-25T09:15:00+00:00,3.802,-0.426,3.886,11.087
2026-02-25T09:20:00+00:00,3.758,-0.414,3.852,11.1
2026-02-25T09:25:00+00:00,3.696,-0.466,3.78,11.1
2026-02-25T09:30:00+00:00,3.668,-0.428,3.782,11.102
2026-02-25T09:35:00+00:00,3.685,-0.416,3.794,11.1
2026-02-25T09:40:00+00:00,3.684,-0.485,3.809,11.102
2026-02-25T09:45:00+00:00,3.746,-0.468,3.844,11.104
2026-02-25T09:50:00+00:00,3.755,-0.442,3.85,11.1
2026-02-25T09:55:00+00:00,3.715,-0.414,3.835,11.1
2026-02-25T10:00:00+00:00,3.674,-0.416,3.814,11.174
2026-02-25T10:05:00+00:00,3.68,-0.414,3.804,11.199
2026-02-25T10:10:00+00:00,3.653,-0.45,3.786,11.199
2026-02-25T10:15:00+00:00,3.651,-0.479,3.761,11.2
2026-02-25T10:20:00+00:00,3.676,-0.424,3.807,11.199
2026-02-25T10:25:00+00:00,3.666,-0.414,3.794,11.189
2026-02-25T10:30:00+00:00,3.65,-0.42,3.784,11.2
2026-02-25T10:35:00+00:00,3.68,-0.419,3.844,11.196
2026-02-25T10:40:00+00:00,3.697,-0.42,3.808,11.189
2026-02-25T10:45:00+00:00,3.701,-0.417,3.806,11.2
2026-02-25T10:50:00+00:00,3.746,-0.422,3.85,11.2
2026-02-25T10:55:00+00:00,3.695,-0.427,3.82,11.202
2026-02-25T11:00:00+00:00,3.648,-0.464,3.76,11.135
2026-02-25T11:05:00+00:00,3.622,-0.47,3.699,11.1
2026-02-25T11:10:00+00:00,3.646,-0.482,3.714,11.1
2026-02-25T11:15:00+00:00,3.624,-0.451,3.72,11.1
2026-02-25T11:20:00+00:00,3.458,-0.423,3.548,11.094
2026-02-25T11:25:00+00:00,3.373,-0.419,3.458,11.1
2026-02-25T11:30:00+00:00,3.432,-0.432,3.518,11.1
2026-02-25T11:35:00+00:00,3.516,-0.427,3.59,11.1
2026-02-25T11:40:00+00:00,3.533,-0.416,3.638,11.1
2026-02-25T11:45:00+00:00,3.583,-0.415,3.662,11.1
2026-02-25T11:50:00+00:00,3.585,-0.42,3.654,11.1
2026-02-25T11:55:00+00:00,3.582,-0.426,3.652,11.1
2026-02-25T12:00:00+00:00,3.605,-0.418,3.672,11.098
2026-02-25T12:05:00+00:00,3.535,-0.418,3.596,11.099
2026-02-25T12:10:00+00:00,3.566,-0.421,3.62,11.1
2026-02-25T12:15:00+00:00,3.424,-0.422,3.482,11.068
2026-02-25T12:20:00+00:00,3.51,-0.435,3.536,10.974
2026-02-25T12:25:00+00:00,3.586,-0.43,3.61,10.942
2026-02-25T12:30:00+00:00,3.578,-0.45,3.622,10.965
2026-02-25T12:35:00+00:00,3.673,-0.432,3.73,11.02
2026-02-25T12:40:00+00:00,3.691,-0.427,3.762,11.084
2026-02-25T12:45:00+00:00,3.661,-0.452,3.739,11.1
2026-02-25T12:50:00+00:00,3.683,-0.415,3.75,11.1
2026-02-25T12:55:00+00:00,3.601,-0.424,3.692,11.104
2026-02-25T13:00:00+00:00,3.578,-0.419,3.652,11.1
2026-02-25T13:05:00+00:00,3.43,-0.425,3.489,11.1
2026-02-25T13:10:00+00:00,3.339,-0.464,3.408,11.1
2026-02-25T13:15:00+00:00,3.439,-0.49,3.482,11.1
2026-02-25T13:20:00+00:00,3.558,-0.433,3.592,11.1
2026-02-25T13:25:00+00:00,3.554,-0.414,3.577,11.1
2026-02-25T13:30:00+00:00,3.496,-0.428,3.586,11.136
2026-02-25T13:35:00+00:00,3.516,-0.453,3.611,11.163
2026-02-25T13:40:00+00:00,3.49,-0.462,3.57,11.136
2026-02-25T13:45:00+00:00,3.53,-0.434,3.547,11.1
2026-02-25T13:50:00+00:00,3.455,-0.426,3.476,11.1
