ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,5.59,11.151
2026-02-25T00:10:00+00:00,5.604,11.197
2026-02-25T00:15:00+00:00,5.684,11.204
2026-02-25T00:20:00+00:00,5.743,11.253
2026-02-25T00:25:00+00:00,5.722,11.296
2026-02-25T00:30:00+00:00,5.574,11.265
2026-02-25T00:35:00+00:00,5.61,11.15
2026-02-25T00:40:00+00:00,5.619,11.184
2026-02-25T00:45:00+00:00,5.592,11.232
2026-02-25T00:50:00+00:00,5.64,11.174
2026-02-25T00:55:00+00:00,5.685,11.154
2026-02-25T01:00:00+00:00,5.636,11.19
2026-02-25T01:05:00+00:00,5.676,11.244
2026-02-25T01:10:00+00:00,5.628,11.251
2026-02-25T01:15:00+00:00,5.666,11.24
2026-02-25T01:20:00+00:00,5.672,11.177
2026-02-25T01:25:00+00:00,5.61,11.2
2026-02-25T01:30:00+00:00,5.603,11.196
2026-02-25T01:35:00+00:00,5.623,11.138
2026-02-25T01:40:00+00:00,5.548,11.15
2026-02-25T01:45:00+00:00,5.594,11.179
2026-02-25T01:50:00+00:00,5.556,11.2
2026-02-25T01:55:00+00:00,5.582,11.222
2026-02-25T02:00:00+00:00,5.412,11.268
2026-02-25T02:05:00+00:00,5.397,11.192
2026-02-25T02:10:00+00:00,5.457,11.078
2026-02-25T02:15:00+00:00,5.47,11.1
2026-02-25T02:20:00+00:00,5.37,11.1
2026-02-25T02:25:00+00:00,5.39,11.1
2026-02-25T02:30:00+00:00,5.37,11.1
2026-02-25T02:35:00+00:00,5.36,11.1
2026-02-25T02:40:00+00:00,5.453,11.145
2026-02-25T02:45:00+00:00,5.452,11.286
2026-02-25T02:50:00+00:00,5.341,11.144
2026-02-25T02:55:00+00:00,5.297,11.072
2026-02-25T03:00:00+00:00,5.28,11.054
2026-02-25T03:05:00+00:00,5.291,11.115
2026-02-25T03:10:00+00:00,5.155,11.3
2026-02-25T03:15:00+00:00,5.121,11.26
2026-02-25T03:20:00+00:00,5.182,11.268
2026-02-25T03:25:00+00:00,5.063,11.234
2026-02-25T03:30:00+00:00,5.038,11.2
2026-02-25T03:35:00+00:00,5.171,11.15
2026-02-25T03:40:00+00:00,5.189,11.02
2026-02-25T03:45:00+00:00,5.169,10.994
2026-02-25T03:50:00+00:00,5.216,11.105
2026-02-25T03:55:00+00:00,5.088,11.183
2026-02-25T04:00:00+00:00,5.081,11.216
2026-02-25T04:05:00+00:00,5.111,11.25
2026-02-25T04:10:00+00:00,5.123,11.25
2026-02-25T04:15:00+00:00,5.242,11.25
2026-02-25T04:20:00+00:00,5.204,11.24
2026-02-25T04:25:00+00:00,5.198,11.25
2026-02-25T04:30:00+00:00,5.159,11.179
2026-02-25T04:35:00+00:00,5.162,11.15
2026-02-25T04:40:00+00:00,5.268,11.15
2026-02-25T04:45:00+00:00,5.308,11.15
2026-02-25T04:50:00+00:00,5.4,11.148
2026-02-25T04:55:00+00:00,5.392,11.136
2026-02-25T05:00:00+00:00,5.443,11.1
2026-02-25T05:05:00+00:00,5.389,11.1
2026-02-25T05:10:00+00:00,5.427,11.1
2026-02-25T05:15:00+00:00,5.476,11.1
2026-02-25T05:20:00+00:00,5.52,11.1
2026-02-25T05:25:00+00:00,5.59,11.1
2026-02-25T05:30:00+00:00,5.61,11.1
2026-02-25T05:35:00+00:00,5.642,11.1
2026-02-25T05:40:00+00:00,5.69,11.1
2026-02-25T05:45:00+00:00,5.754,11.109
2026-02-25T05:50:00+00:00,5.889,11.126
2026-02-25T05:55:00+00:00,5.968,11.1
2026-02-25T06:00:00+00:00,6.025,11.099
2026-02-25T06:05:00+00:00,6.35,11.024
2026-02-25T06:10:00+00:00,6.414,11.03
2026-02-25T06:15:00+00:00,6.344,11.091
2026-02-25T06:20:00+00:00,6.42,11.081
2026-02-25T06:25:00+00:00,6.638,11.103
2026-02-25T06:30:00+00:00,6.904,11.1
2026-02-25T06:35:00+00:00,7.065,11.1
2026-02-25T06:40:00+00:00,6.975,11.092
2026-02-25T06:45:00+00:00,7.036,11.064
2026-02-25T06:50:00+00:00,7.168,11.044
2026-02-25T06:55:00+00:00,7.28,11.015
2026-02-25T07:00:00+00:00,7.389,11.022
2026-02-25T07:05:00+00:00,7.54,11.012
2026-02-25T07:10:00+00:00,7.672,11.05
2026-02-25T07:15:00+00:00,7.678,11.101
2026-02-25T07:20:00+00:00,7.771,11.19
2026-02-25T07:25:00+00:00,7.808,11.23
2026-02-25T07:30:00+00:00,7.921,11.252
2026-02-25T07:35:00+00:00,7.986,11.143
2026-02-25T07:40:00+00:00,8.019,11.1
2026-02-25T07:45:00+00:00,8.26,11.093
2026-02-25T07:50:00+00:00,8.374,11.058
2026-02-25T07:55:00+00:00,8.43,11.05
2026-02-25T08:00:00+00:00,8.456,11.054
2026-02-25T08:05:00+00:00,8.409,11.1
2026-02-25T08:10:00+00:00,8.444,11.124
2026-02-25T08:15:00+00:00,8.413,11.16
2026-02-25T08:20:00+00:00,8.39,11.208
2026-02-25T08:25:00+00:00,8.433,11.202
2026-02-25T08:30:00+00:00,8.507,11.156
2026-02-25T08:35:00+00:00,8.582,11.184
2026-02-25T08:40:00+00:00,8.589,11.2
2026-02-25T08:45:00+00:00,8.731,11.084
2026-02-25T08:50:00+00:00,8.77,11.0
2026-02-25T08:55:00+00:00,8.816,11.03
2026-02-25T09:00:00+00:00,8.888,11.114
2026-02-25T09:05:00+00:00,8.898,11.104
2026-02-25T09:10:00+00:00,8.941,11.128
2026-02-25T09:15:00+00:00,8.914,11.134
2026-02-25T09:20:00+00:00,8.841,11.144
2026-02-25T09:25:00+00:00,8.806,11.15
2026-02-25T09:30:00+00:00,8.866,11.16
2026-02-25T09:35:00+00:00,8.731,11.182
2026-02-25T09:40:00+00:00,8.728,11.191
2026-02-25T09:45:00+00:00,8.618,11.312
2026-02-25T09:50:00+00:00,8.629,11.2
2026-02-25T09:55:00+00:00,8.604,11.2
2026-02-25T10:00:00+00:00,8.698,11.2
2026-02-25T10:05:00+00:00,8.778,11.2
2026-02-25T10:10:00+00:00,8.624,11.21
2026-02-25T10:15:00+00:00,8.642,11.2
2026-02-25T10:20:00+00:00,8.782,11.2
2026-02-25T10:25:00+00:00,8.847,11.2
2026-02-25T10:30:00+00:00,8.834,11.2
2026-02-25T10:35:00+00:00,8.6,11.188
2026-02-25T10:40:00+00:00,8.466,11.197
2026-02-25T10:45:00+00:00,8.54,11.109
2026-02-25T10:50:00+00:00,8.477,11.093
2026-02-25T10:55:00+00:00,8.5,11.072
2026-02-25T11:00:00+00:00,8.53,11.082
2026-02-25T11:05:00+00:00,8.497,11.244
2026-02-25T11:10:00+00:00,8.56,11.238
2026-02-25T11:15:00+00:00,8.612,11.202
2026-02-25T11:20:00+00:00,8.539,11.196
2026-02-25T11:25:00+00:00,8.518,11.264
2026-02-25T11:30:00+00:00,8.292,11.136
2026-02-25T11:35:00+00:00,8.341,11.0
2026-02-25T11:40:00+00:00,8.324,11.0
2026-02-25T11:45:00+00:00,8.24,11.0
2026-02-25T11:50:00+00:00,8.369,11.01
2026-02-25T11:55:00+00:00,8.24,11.113
2026-02-25T12:00:00+00:00,8.347,11.168
2026-02-25T12:05:00+00:00,8.722,11.169
2026-02-25T12:10:00+00:00,8.826,11.148
2026-02-25T12:15:00+00:00,8.853,11.15
2026-02-25T12:20:00+00:00,8.86,11.15
2026-02-25T12:25:00+00:00,8.906,11.152
2026-02-25T12:30:00+00:00,9.01,11.326
2026-02-25T12:35:00+00:00,8.811,11.284
2026-02-25T12:40:00+00:00,8.512,11.284
2026-02-25T12:45:00+00:00,8.357,11.247
2026-02-25T12:50:00+00:00,8.424,11.102
2026-02-25T12:55:00+00:00,8.353,11.05
2026-02-25T13:00:00+00:00,8.197,11.061
2026-02-25T13:05:00+00:00,8.297,11.047
2026-02-25T13:10:00+00:00,8.455,11.04
2026-02-25T13:15:00+00:00,8.416,11.044
2026-02-25T13:20:00+00:00,8.358,11.052
2026-02-25T13:25:00+00:00,8.24,11.062
2026-02-25T13:30:00+00:00,8.27,11.098
2026-02-25T13:35:00+00:00,8.324,11.093
2026-02-25T13:40:00+00:00,8.334,11.16
2026-02-25T13:45:00+00:00,8.198,11.184
2026-02-25T13:50:00+00:00,8.189,11.107
2026-02-25T13:55:00+00:00,8.236,11.054
2026-02-25T14:00:00+00:00,8.306,11.062
2026-02-25T14:05:00+00:00,8.198,11.083
2026-02-25T14:10:00+00:00,8.285,11.078
2026-02-25T14:15:00+00:00,8.48,11.05
2026-02-25T14:20:00+00:00,8.491,11.056
2026-02-25T14:25:00+00:00,8.422,11.062
2026-02-25T14:30:00+00:00,8.363,11.05
2026-02-25T14:35:00+00:00,8.384,11.05
2026-02-25T14:40:00+00:00,8.193,11.05
2026-02-25T14:45:00+00:00,8.148,11.056
2026-02-25T14:50:00+00:00,8.179,11.04
2026-02-25T14:55:00+00:00,8.182,11.035
2026-02-25T15:00:00+00:00,8.226,11.155
2026-02-25T15:05:00+00:00,8.141,11.183
2026-02-25T15:10:00+00:00,8.182,11.3
2026-02-25T15:15:00+00:00,8.206,11.312
2026-02-25T15:20:00+00:00,8.109,11.18
2026-02-25T15:25:00+00:00,8.032,11.093
2026-02-25T15:30:00+00:00,8.203,11.147
2026-02-25T15:35:00+00:00,7.993,11.174
2026-02-25T15:40:00+00:00,8.062,11.184
2026-02-25T15:45:00+00:00,8.114,11.151
2026-02-25T15:50:00+00:00,8.242,11.119
2026-02-25T15:55:00+00:00,8.148,11.172
2026-02-25T16:00:00+00:00,8.224,11.214
2026-02-25T16:05:00+00:00,8.124,11.272
2026-02-25T16:10:00+00:00,8.096,11.303
2026-02-25T16:15:00+00:00,8.226,11.25
2026-02-25T16:20:00+00:00,8.195,11.252
2026-02-25T16:25:00+00:00,8.078,11.242
2026-02-25T16:30:00+00:00,8.056,11.2
2026-02-25T16:35:00+00:00,8.057,11.2
2026-02-25T16:40:00+00:00,8.078,11.224
2026-02-25T16:45:00+00:00,7.922,11.313
2026-02-25T16:50:00+00:00,8.012,11.252
2026-02-25T16:55:00+00:00,8.092,11.25
2026-02-25T17:00:00+00:00,8.142,11.233
2026-02-25T17:05:00+00:00,8.136,11.23
2026-02-25T17:10:00+00:00,8.244,11.25
2026-02-25T17:15:00+00:00,8.108,11.247
2026-02-25T17:20:00+00:00,8.02,11.245
2026-02-25T17:25:00+00:00,7.862,11.324
2026-02-25T17:30:00+00:00,7.997,11.205
2026-02-25T17:35:00+00:00,7.959,11.131
2026-02-25T17:40:00+00:00,8.078,11.056
2026-02-25T17:45:00+00:00,8.143,11.048
2026-02-25T17:50:00+00:00,8.185,11.05
2026-02-25T17:55:00+00:00,8.156,11.05
2026-02-25T18:00:00+00:00,8.046,11.05
2026-02-25T18:05:00+00:00,7.981,11.05
2026-02-25T18:10:00+00:00,8.06,11.05
2026-02-25T18:15:00+00:00,8.055,11.047
2026-02-25T18:20:00+00:00,7.932,11.042
2026-02-25T18:25:00+00:00,7.961,11.05
2026-02-25T18:30:00+00:00,7.911,11.087
2026-02-25T18:35:00+00:00,7.998,11.097
2026-02-25T18:40:00+00:00,7.912,11.1
2026-02-25T18:45:00+00:00,7.838,11.1
2026-02-25T18:50:00+00:00,7.696,11.1
2026-02-25T18:55:00+00:00,7.65,11.118
2026-02-25T19:00:00+00:00,7.554,11.162
2026-02-25T19:05:00+00:00,7.532,11.209
2026-02-25T19:10:00+00:00,7.553,11.264
2026-02-25T19:15:00+00:00,7.403,11.071
2026-02-25T19:20:00+00:00,7.4,11.0
2026-02-25T19:25:00+00:00,7.469,11.01
2026-02-25T19:30:00+00:00,7.3,11.151
2026-02-25T19:35:00+00:00,7.222,11.156
2026-02-25T19:40:00+00:00,7.152,11.128
2026-02-25T19:45:00+00:00,7.07,11.041
2026-02-25T19:50:00+00:00,7.151,10.984
2026-02-25T19:55:00+00:00,7.095,11.053
2026-02-25T20:00:00+00:00,7.074,11.109
2026-02-25T20:05:00+00:00,6.944,11.114
2026-02-25T20:10:00+00:00,6.86,11.157
2026-02-25T20:15:00+00:00,6.82,11.204
2026-02-25T20:20:00+00:00,6.7,11.285
2026-02-25T20:25:00+00:00,6.629,11.3
2026-02-25T20:30:00+00:00,6.673,11.291
2026-02-25T20:35:00+00:00,6.78,11.112
2026-02-25T20:40:00+00:00,6.837,11.1
2026-02-25T20:45:00+00:00,6.815,11.1
2026-02-25T20:50:00+00:00,6.72,11.132
2026-02-25T20:55:00+00:00,6.613,11.15
2026-02-25T21:00:00+00:00,6.56,11.151
2026-02-25T21:05:00+00:00,6.602,11.121
2026-02-25T21:10:00+00:00,6.558,11.106
2026-02-25T21:15:00+00:00,6.534,11.172
2026-02-25T21:20:00+00:00,6.508,11.234
2026-02-25T21:25:00+00:00,6.398,11.28
2026-02-25T21:30:00+00:00,6.483,11.212
2026-02-25T21:35:00+00:00,6.364,11.219
2026-02-25T21:40:00+00:00,6.248,11.127
2026-02-25T21:45:00+00:00,6.204,11.241
2026-02-25T21:50:00+00:00,6.082,11.247
2026-02-25T21:55:00+00:00,6.081,11.2
2026-02-25T22:00:00+00:00,6.216,11.2
2026-02-25T22:05:00+00:00,6.226,11.216
2026-02-25T22:10:00+00:00,6.318,11.202
2026-02-25T22:15:00+00:00,6.22,11.113
2026-02-25T22:20:00+00:00,6.281,11.1
2026-02-25T22:25:00+00:00,6.234,11.114
2026-02-25T22:30:00+00:00,6.15,11.112
2026-02-25T22:35:00+00:00,6.038,11.106
2026-02-25T22:40:00+00:00,5.966,11.11
2026-02-25T22:45:00+00:00,5.962,11.104
2026-02-25T22:50:00+00:00,5.89,11.106
2026-02-25T22:55:00+00:00,5.872,11.102
2026-02-25T23:00:00+00:00,5.818,10.981
2026-02-25T23:05:00+00:00,5.776,11.036
2026-02-25T23:10:00+00:00,5.778,11.078
2026-02-25T23:15:00+00:00,5.756,11.1
2026-02-25T23:20:00+00:00,5.708,11.1
2026-02-25T23:25:00+00:00,5.626,11.1
2026-02-25T23:30:00+00:00,5.662,11.1
2026-02-25T23:35:00+00:00,5.592,11.1
2026-02-25T23:40:00+00:00,5.595,11.1
2026-02-25T23:45:00+00:00,5.514,11.1
2026-02-25T23:50:00+00:00,5.486,11.114
2026-02-25T23:55:00+00:00,5.498,11.141
2026-02-26T00:00:00+00:00,5.528,11.097
2026-02-26T00:05:00+00:00,5.673,11.044
2026-02-26T00:10:00+00:00,5.668,11.002
2026-02-26T00:15:00+00:00,5.69,11.057
2026-02-26T00:20:00+00:00,5.559,11.087
2026-02-26T00:25:00+00:00,5.55,11.096
2026-02-26T00:30:00+00:00,5.574,11.097
2026-02-26T00:35:00+00:00,5.576,11.007
2026-02-26T00:40:00+00:00,5.591,11.044
2026-02-26T00:45:00+00:00,5.665,11.148
2026-02-26T00:50:00+00:00,5.552,11.145
2026-02-26T00:55:00+00:00,5.61,11.114
2026-02-26T01:00:00+00:00,5.666,11.15
2026-02-26T01:05:00+00:00,5.64,11.202
2026-02-26T01:10:00+00:00,5.569,11.323
2026-02-26T01:15:00+00:00,5.765,11.286
2026-02-26T01:20:00+00:00,5.75,11.282
2026-02-26T01:25:00+00:00,5.784,11.247
2026-02-26T01:30:00+00:00,5.758,11.29
2026-02-26T01:35:00+00:00,5.622,11.3
2026-02-26T01:40:00+00:00,5.588,11.26
2026-02-26T01:45:00+00:00,5.434,11.264
2026-02-26T01:50:00+00:00,5.389,11.285
2026-02-26T01:55:00+00:00,5.383,11.3
2026-02-26T02:00:00+00:00,5.37,11.282
2026-02-26T02:05:00+00:00,5.33,11.282
2026-02-26T02:10:00+00:00,5.34,11.196
2026-02-26T02:15:00+00:00,5.286,11.098
2026-02-26T02:20:00+00:00,5.216,11.1
2026-02-26T02:25:00+00:00,5.248,11.1
2026-02-26T02:30:00+00:00,5.204,11.1
2026-02-26T02:35:00+00:00,5.158,11.1
2026-02-26T02:40:00+00:00,5.177,11.1
2026-02-26T02:45:00+00:00,5.099,11.21
2026-02-26T02:50:00+00:00,5.054,11.278
2026-02-26T02:55:00+00:00,4.996,11.294
2026-02-26T03:00:00+00:00,5.075,11.249
2026-02-26T03:05:00+00:00,5.041,11.232
2026-02-26T03:10:00+00:00,5.081,11.172
2026-02-26T03:15:00+00:00,5.048,11.073
2026-02-26T03:20:00+00:00,5.042,11.049
2026-02-26T03:25:00+00:00,4.974,11.254
2026-02-26T03:30:00+00:00,4.968,11.209
2026-02-26T03:35:00+00:00,5.036,11.176
2026-02-26T03:40:00+00:00,5.015,11.18
2026-02-26T03:45:00+00:00,5.014,11.2
2026-02-26T03:50:00+00:00,5.111,11.041
2026-02-26T03:55:00+00:00,5.092,11.064
2026-02-26T04:00:00+00:00,5.154,11.1
2026-02-26T04:05:00+00:00,5.209,11.037
2026-02-26T04:10:00+00:00,5.18,11.044
2026-02-26T04:15:00+00:00,5.228,11.03
2026-02-26T04:20:00+00:00,5.174,11.022
2026-02-26T04:25:00+00:00,5.111,11.038
2026-02-26T04:30:00+00:00,5.156,11.045
2026-02-26T04:35:00+00:00,5.154,11.048
2026-02-26T04:40:00+00:00,5.188,11.05
2026-02-26T04:45:00+00:00,5.226,11.05
2026-02-26T04:50:00+00:00,5.279,11.058
2026-02-26T04:55:00+00:00,5.174,11.18
2026-02-26T05:00:00+00:00,5.313,11.272
2026-02-26T05:05:00+00:00,5.264,11.014
2026-02-26T05:10:00+00:00,5.313,11.002
2026-02-26T05:15:00+00:00,5.413,11.0
2026-02-26T05:20:00+00:00,5.4,11.0
2026-02-26T05:25:00+00:00,5.488,11.0
2026-02-26T05:30:00+00:00,5.598,11.027
2026-02-26T05:35:00+00:00,5.694,11.014
2026-02-26T05:40:00+00:00,5.766,11.045
2026-02-26T05:45:00+00:00,5.771,11.04
2026-02-26T05:50:00+00:00,5.842,11.006
2026-02-26T05:55:00+00:00,5.952,11.006
2026-02-26T06:00:00+00:00,6.097,11.089
2026-02-26T06:05:00+00:00,6.264,11.056
2026-02-26T06:10:00+00:00,6.278,11.12
2026-02-26T06:15:00+00:00,6.406,11.1
2026-02-26T06:20:00+00:00,6.563,11.094
2026-02-26T06:25:00+00:00,6.596,11.06
2026-02-26T06:30:00+00:00,6.656,11.055
2026-02-26T06:35:00+00:00,6.763,11.034
2026-02-26T06:40:00+00:00,6.976,11.061
2026-02-26T06:45:00+00:00,7.006,11.1
2026-02-26T06:50:00+00:00,7.132,11.106
2026-02-26T06:55:00+00:00,7.189,11.1
2026-02-26T07:00:00+00:00,7.254,11.078
2026-02-26T07:05:00+00:00,7.486,11.073
2026-02-26T07:10:00+00:00,7.675,11.0
2026-02-26T07:15:00+00:00,7.799,11.116
2026-02-26T07:20:00+00:00,7.988,11.295
2026-02-26T07:25:00+00:00,7.919,11.3
2026-02-26T07:30:00+00:00,7.853,11.242
2026-02-26T07:35:00+00:00,7.996,11.167
2026-02-26T07:40:00+00:00,8.056,11.188
2026-02-26T07:45:00+00:00,8.18,11.198
2026-02-26T07:50:00+00:00,8.288,11.183
2026-02-26T07:55:00+00:00,8.356,11.23
2026-02-26T08:00:00+00:00,8.338,11.219
2026-02-26T08:05:00+00:00,8.36,11.198
2026-02-26T08:10:00+00:00,8.43,11.2
2026-02-26T08:15:00+00:00,8.554,11.282
2026-02-26T08:20:00+00:00,8.454,11.236
2026-02-26T08:25:00+00:00,8.56,11.192
2026-02-26T08:30:00+00:00,8.54,11.196
2026-02-26T08:35:00+00:00,8.651,11.2
2026-02-26T08:40:00+00:00,8.724,11.196
2026-02-26T08:45:00+00:00,8.783,11.154
2026-02-26T08:50:00+00:00,8.654,11.156
2026-02-26T08:55:00+00:00,8.675,11.2
2026-02-26T09:00:00+00:00,8.796,11.201
2026-02-26T09:05:00+00:00,8.884,11.2
2026-02-26T09:10:00+00:00,9.022,11.2
2026-02-26T09:15:00+00:00,9.072,11.184
2026-02-26T09:20:00+00:00,9.086,11.112
2026-02-26T09:25:00+00:00,9.141,11.195
2026-02-26T09:30:00+00:00,9.186,11.2
2026-02-26T09:35:00+00:00,9.132,11.2
2026-02-26T09:40:00+00:00,9.087,11.142
2026-02-26T09:45:00+00:00,9.072,11.072
2026-02-26T09:50:00+00:00,9.008,11.088
2026-02-26T09:55:00+00:00,8.99,11.098
2026-02-26T10:00:00+00:00,8.942,11.153
2026-02-26T10:05:00+00:00,8.837,11.1
2026-02-26T10:10:00+00:00,8.953,11.173
2026-02-26T10:15:00+00:00,9.058,11.209
2026-02-26T10:20:00+00:00,9.102,11.213
2026-02-26T10:25:00+00:00,9.069,11.202
2026-02-26T10:30:00+00:00,9.144,11.155
2026-02-26T10:35:00+00:00,9.291,11.11
2026-02-26T10:40:00+00:00,9.302,11.058
2026-02-26T10:45:00+00:00,9.292,11.042
2026-02-26T10:50:00+00:00,9.104,11.05
2026-02-26T10:55:00+00:00,9.148,11.043
2026-02-26T11:00:00+00:00,9.213,11.052
2026-02-26T11:05:00+00:00,9.11,11.1
2026-02-26T11:10:00+00:00,9.005,11.1
2026-02-26T11:15:00+00:00,9.196,11.09
2026-02-26T11:20:00+00:00,9.204,11.172
2026-02-26T11:25:00+00:00,9.192,11.18
2026-02-26T11:30:00+00:00,8.961,11.176
2026-02-26T11:35:00+00:00,8.963,11.192
2026-02-26T11:40:00+00:00,9.06,11.1
2026-02-26T11:45:00+00:00,8.912,11.187
2026-02-26T11:50:00+00:00,9.024,11.214
2026-02-26T11:55:00+00:00,9.187,11.068
2026-02-26T12:00:00+00:00,9.283,11.084
2026-02-26T12:05:00+00:00,9.21,11.087
2026-02-26T12:10:00+00:00,9.238,11.163
2026-02-26T12:15:00+00:00,9.246,11.138
2026-02-26T12:20:00+00:00,9.213,11.059
2026-02-26T12:25:00+00:00,9.216,11.056
2026-02-26T12:30:00+00:00,9.212,11.05
2026-02-26T12:35:00+00:00,9.262,11.026
2026-02-26T12:40:00+00:00,9.186,11.002
2026-02-26T12:45:00+00:00,9.222,11.0
2026-02-26T12:50:00+00:00,9.502,11.0
2026-02-26T12:55:00+00:00,9.487,11.011
2026-02-26T13:00:00+00:00,9.539,11.044
2026-02-26T13:05:00+00:00,9.525,11.022
2026-02-26T13:10:00+00:00,9.524,11.015
2026-02-26T13:15:00+00:00,9.307,11.068
2026-02-26T13:20:00+00:00,9.312,11.18
2026-02-26T13:25:00+00:00,9.322,11.192
2026-02-26T13:30:00+00:00,9.284,11.083
2026-02-26T13:35:00+00:00,9.275,11.052
2026-02-26T13:40:00+00:00,9.34,11.0
2026-02-26T13:45:00+00:00,9.37,11.0
2026-02-26T13:50:00+00:00,9.34,11.056
2026-02-26T13:55:00+00:00,9.273,11.078
2026-02-26T14:00:00+00:00,9.25,11.08
2026-02-26T14:05:00+00:00,9.122,11.052
2026-02-26T14:10:00+00:00,9.12,11.076
2026-02-26T14:15:00+00:00,9.096,11.083
2026-02-26T14:20:00+00:00,9.264,11.074
2026-02-26T14:25:00+00:00,9.098,11.097
2026-02-26T14:30:00+00:00,9.076,11.072
2026-02-26T14:35:00+00:00,8.977,11.066
2026-02-26T14:40:00+00:00,9.044,11.064
2026-02-26T14:45:00+00:00,9.052,11.035
2026-02-26T14:50:00+00:00,9.152,11.064
2026-02-26T14:55:00+00:00,9.149,11.192
2026-02-26T15:00:00+00:00,9.172,11.198
2026-02-26T15:05:00+00:00,9.242,11.115
2026-02-26T15:10:00+00:00,9.189,11.078
2026-02-26T15:15:00+00:00,9.204,11.1
2026-02-26T15:20:00+00:00,9.024,11.192
2026-02-26T15:25:00+00:00,8.886,11.247
2026-02-26T15:30:00+00:00,8.872,11.218
2026-02-26T15:35:00+00:00,8.853,11.2
2026-02-26T15:40:00+00:00,8.888,11.2
2026-02-26T15:45:00+00:00,8.723,11.2
2026-02-26T15:50:00+00:00,8.779,11.188
2026-02-26T15:55:00+00:00,8.914,11.09
2026-02-26T16:00:00+00:00,8.972,11.082
2026-02-26T16:05:00+00:00,9.025,11.096
2026-02-26T16:10:00+00:00,9.108,11.091
2026-02-26T16:15:00+00:00,9.175,11.1
2026-02-26T16:20:00+00:00,9.208,11.098
