ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,77.381,1.673,0.298,-1.353,11.061
2026-02-25T00:10:00+00:00,82.027,1.753,0.334,-1.43,11.028
2026-02-25T00:15:00+00:00,85.427,1.791,0.641,-1.398,11.1
2026-02-25T00:20:00+00:00,82.666,1.737,0.661,-1.366,11.1
2026-02-25T00:25:00+00:00,86.071,1.8,0.631,-1.422,11.1
2026-02-25T00:30:00+00:00,85.958,1.803,0.612,-1.436,11.1
2026-02-25T00:35:00+00:00,89.36,1.876,0.295,-1.604,11.096
2026-02-25T00:40:00+00:00,92.229,1.918,0.303,-1.664,11.1
2026-02-25T00:45:00+00:00,92.709,1.944,0.317,-1.687,11.1
2026-02-25T00:50:00+00:00,89.462,1.876,0.311,-1.617,11.1
2026-02-25T00:55:00+00:00,91.295,1.902,0.304,-1.655,11.108
2026-02-25T01:00:00+00:00,95.6,1.977,0.269,-1.745,11.113
2026-02-25T01:05:00+00:00,97.507,2.013,0.25,-1.774,11.101
2026-02-25T01:10:00+00:00,97.046,2.034,0.253,-1.774,11.1
2026-02-25T01:15:00+00:00,96.623,2.015,0.26,-1.759,11.1
2026-02-25T01:20:00+00:00,95.378,1.982,0.279,-1.748,11.124
2026-02-25T01:25:00+00:00,93.592,1.946,0.318,-1.696,11.15
2026-02-25T01:30:00+00:00,92.973,1.951,0.316,-1.672,11.15
2026-02-25T01:35:00+00:00,95.437,2.009,0.312,-1.718,11.15
2026-02-25T01:40:00+00:00,94.763,2.005,0.319,-1.704,11.15
2026-02-25T01:45:00+00:00,91.848,1.958,0.321,-1.651,11.166
2026-02-25T01:50:00+00:00,90.722,1.934,0.304,-1.657,11.189
2026-02-25T01:55:00+00:00,89.283,1.924,0.307,-1.622,11.174
2026-02-25T02:00:00+00:00,87.634,1.885,0.318,-1.573,11.164
2026-02-25T02:05:00+00:00,87.613,1.899,0.303,-1.569,11.161
2026-02-25T02:10:00+00:00,89.775,1.942,0.297,-1.622,11.17
2026-02-25T02:15:00+00:00,87.347,1.912,0.324,-1.577,11.2
2026-02-25T02:20:00+00:00,87.865,1.913,0.3,-1.575,11.196
