ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,118.53,2.293,0.694,-2.182,11.2
2026-02-25T00:10:00+00:00,125.906,2.43,0.676,-2.326,11.152
2026-02-25T00:15:00+00:00,126.376,2.448,0.688,-2.334,11.167
2026-02-25T00:20:00+00:00,127.261,2.459,0.68,-2.346,11.177
2026-02-25T00:25:00+00:00,126.846,2.46,0.664,-2.35,11.189
2026-02-25T00:30:00+00:00,124.85,2.423,0.689,-2.316,11.2
2026-02-25T00:35:00+00:00,130.306,2.504,0.692,-2.422,11.14
2026-02-25T00:40:00+00:00,138.088,2.672,0.706,-2.57,11.2
2026-02-25T00:45:00+00:00,140.292,2.728,0.672,-2.625,11.2
2026-02-25T00:50:00+00:00,139.243,2.7,0.684,-2.598,11.2
2026-02-25T00:55:00+00:00,138.585,2.692,0.677,-2.593,11.2
2026-02-25T01:00:00+00:00,139.006,2.692,0.66,-2.598,11.2
2026-02-25T01:05:00+00:00,140.608,2.731,0.677,-2.634,11.2
2026-02-25T01:10:00+00:00,141.831,2.742,0.658,-2.654,11.2
2026-02-25T01:15:00+00:00,141.948,2.76,0.678,-2.666,11.212
2026-02-25T01:20:00+00:00,140.228,2.737,0.688,-2.633,11.272
2026-02-25T01:25:00+00:00,140.912,2.764,0.637,-2.662,11.3
2026-02-25T01:30:00+00:00,138.816,2.724,0.688,-2.612,11.3
2026-02-25T01:35:00+00:00,139.619,2.736,0.682,-2.627,11.293
2026-02-25T01:40:00+00:00,141.002,2.764,0.675,-2.662,11.3
2026-02-25T01:45:00+00:00,139.821,2.743,0.689,-2.635,11.3
2026-02-25T01:50:00+00:00,139.663,2.744,0.692,-2.642,11.3
2026-02-25T01:55:00+00:00,137.259,2.689,0.683,-2.582,11.3
2026-02-25T02:00:00+00:00,136.296,2.669,0.667,-2.585,11.3
2026-02-25T02:05:00+00:00,137.981,2.7,0.67,-2.608,11.3
2026-02-25T02:10:00+00:00,138.533,2.71,0.67,-2.609,11.3
2026-02-25T02:15:00+00:00,138.041,2.702,0.664,-2.62,11.3
2026-02-25T02:20:00+00:00,137.728,2.694,0.698,-2.59,11.3
2026-02-25T02:25:00+00:00,136.538,2.67,0.706,-2.57,11.3
2026-02-25T02:30:00+00:00,134.742,2.653,0.7,-2.548,11.325
2026-02-25T02:35:00+00:00,134.475,2.633,0.665,-2.538,11.312
2026-02-25T02:40:00+00:00,134.778,2.645,0.67,-2.548,11.306
2026-02-25T02:45:00+00:00,134.584,2.656,0.69,-2.548,11.39
2026-02-25T02:50:00+00:00,134.559,2.656,0.685,-2.548,11.4
2026-02-25T02:55:00+00:00,132.526,2.61,0.692,-2.508,11.373
2026-02-25T03:00:00+00:00,130.281,2.55,0.687,-2.448,11.3
2026-02-25T03:05:00+00:00,132.399,2.586,0.67,-2.492,11.3
2026-02-25T03:10:00+00:00,132.2,2.588,0.672,-2.486,11.3
2026-02-25T03:15:00+00:00,131.068,2.562,0.662,-2.458,11.3
2026-02-25T03:20:00+00:00,129.016,2.524,0.678,-2.412,11.3
2026-02-25T03:25:00+00:00,127.607,2.498,0.653,-2.383,11.3
2026-02-25T03:30:00+00:00,125.932,2.468,0.666,-2.359,11.3
2026-02-25T03:35:00+00:00,124.543,2.442,0.696,-2.334,11.3
2026-02-25T03:40:00+00:00,122.738,2.402,0.658,-2.291,11.3
2026-02-25T03:45:00+00:00,123.508,2.418,0.698,-2.318,11.3
2026-02-25T03:50:00+00:00,120.721,2.36,0.706,-2.248,11.3
2026-02-25T03:55:00+00:00,120.283,2.358,0.67,-2.244,11.3
2026-02-25T04:00:00+00:00,118.599,2.32,0.704,-2.206,11.3
2026-02-25T04:05:00+00:00,117.85,2.31,0.696,-2.192,11.3
2026-02-25T04:10:00+00:00,117.871,2.304,0.7,-2.187,11.3
2026-02-25T04:15:00+00:00,119.154,2.329,0.695,-2.214,11.3
2026-02-25T04:20:00+00:00,116.248,2.28,0.711,-2.161,11.3
2026-02-25T04:25:00+00:00,114.061,2.236,0.696,-2.112,11.3
2026-02-25T04:30:00+00:00,112.345,2.206,0.67,-2.086,11.3
2026-02-25T04:35:00+00:00,113.021,2.211,0.709,-2.092,11.3
2026-02-25T04:40:00+00:00,114.582,2.242,0.697,-2.124,11.3
2026-02-25T04:45:00+00:00,115.435,2.268,0.656,-2.144,11.3
2026-02-25T04:50:00+00:00,114.196,2.234,0.701,-2.107,11.3
2026-02-25T04:55:00+00:00,112.417,2.2,0.706,-2.073,11.3
2026-02-25T05:00:00+00:00,110.781,2.171,0.703,-2.04,11.3
2026-02-25T05:05:00+00:00,108.734,2.125,0.685,-1.991,11.3
2026-02-25T05:10:00+00:00,108.184,2.119,0.68,-1.984,11.298
2026-02-25T05:15:00+00:00,106.984,2.1,0.686,-1.968,11.3
2026-02-25T05:20:00+00:00,107.754,2.104,0.668,-1.982,11.273
2026-02-25T05:25:00+00:00,106.132,2.07,0.67,-1.939,11.251
2026-02-25T05:30:00+00:00,107.335,2.083,0.646,-1.962,11.215
2026-02-25T05:35:00+00:00,108.142,2.096,0.69,-1.985,11.2
2026-02-25T05:40:00+00:00,106.922,2.077,0.686,-1.95,11.218
2026-02-25T05:45:00+00:00,108.062,2.092,0.662,-1.983,11.202
2026-02-25T05:50:00+00:00,108.494,2.108,0.67,-1.982,11.2
2026-02-25T05:55:00+00:00,107.248,2.079,0.668,-1.956,11.2
2026-02-25T06:00:00+00:00,107.426,2.086,0.664,-1.96,11.2
2026-02-25T06:05:00+00:00,111.816,2.161,0.672,-2.046,11.17
2026-02-25T06:10:00+00:00,117.685,2.258,0.683,-2.156,11.1
2026-02-25T06:15:00+00:00,115.086,2.219,0.694,-2.107,11.106
2026-02-25T06:20:00+00:00,114.658,2.231,0.67,-2.109,11.225
2026-02-25T06:25:00+00:00,117.542,2.294,0.658,-2.178,11.266
2026-02-25T06:30:00+00:00,116.726,2.285,0.65,-2.156,11.3
2026-02-25T06:35:00+00:00,118.996,2.328,0.668,-2.208,11.296
2026-02-25T06:40:00+00:00,119.726,2.327,0.637,-2.224,11.222
2026-02-25T06:45:00+00:00,123.125,2.387,0.616,-2.298,11.2
2026-02-25T06:50:00+00:00,122.407,2.375,0.636,-2.279,11.2
2026-02-25T06:55:00+00:00,123.07,2.387,0.628,-2.292,11.2
2026-02-25T07:00:00+00:00,126.643,2.454,0.612,-2.372,11.2
2026-02-25T07:05:00+00:00,132.439,2.562,0.606,-2.482,11.2
2026-02-25T07:10:00+00:00,136.724,2.637,0.566,-2.562,11.131
2026-02-25T07:15:00+00:00,138.439,2.66,0.558,-2.607,11.1
2026-02-25T07:20:00+00:00,135.643,2.607,0.573,-2.536,11.1
2026-02-25T07:25:00+00:00,139.971,2.686,0.544,-2.634,11.1
2026-02-25T07:30:00+00:00,139.378,2.688,0.534,-2.622,11.121
2026-02-25T07:35:00+00:00,138.058,2.654,0.549,-2.593,11.1
2026-02-25T07:40:00+00:00,137.422,2.649,0.55,-2.586,11.141
2026-02-25T07:45:00+00:00,139.516,2.707,0.532,-2.639,11.198
2026-02-25T07:50:00+00:00,141.658,2.737,0.542,-2.681,11.155
2026-02-25T07:55:00+00:00,142.884,2.756,0.508,-2.708,11.132
2026-02-25T08:00:00+00:00,142.701,2.789,0.517,-2.738,11.279
2026-02-25T08:05:00+00:00,142.148,2.779,0.522,-2.726,11.3
2026-02-25T08:10:00+00:00,143.468,2.805,0.496,-2.763,11.3
2026-02-25T08:15:00+00:00,141.176,2.762,0.508,-2.706,11.3
2026-02-25T08:20:00+00:00,137.955,2.704,0.518,-2.649,11.306
2026-02-25T08:25:00+00:00,138.2,2.706,0.534,-2.653,11.313
2026-02-25T08:30:00+00:00,137.513,2.702,0.533,-2.644,11.354
2026-02-25T08:35:00+00:00,135.416,2.657,0.535,-2.598,11.334
2026-02-25T08:40:00+00:00,138.128,2.71,0.536,-2.655,11.322
2026-02-25T08:45:00+00:00,139.418,2.733,0.513,-2.684,11.312
2026-02-25T08:50:00+00:00,136.244,2.667,0.518,-2.62,11.306
2026-02-25T08:55:00+00:00,139.501,2.73,0.506,-2.676,11.3
2026-02-25T09:00:00+00:00,141.831,2.775,0.492,-2.72,11.307
2026-02-25T09:05:00+00:00,140.066,2.748,0.524,-2.686,11.33
2026-02-25T09:10:00+00:00,139.581,2.75,0.528,-2.694,11.375
2026-02-25T09:15:00+00:00,139.088,2.744,0.504,-2.682,11.381
2026-02-25T09:20:00+00:00,136.093,2.666,0.528,-2.603,11.31
2026-02-25T09:25:00+00:00,136.35,2.67,0.554,-2.619,11.3
2026-02-25T09:30:00+00:00,131.05,2.572,0.638,-2.512,11.338
2026-02-25T09:35:00+00:00,129.394,2.542,0.621,-2.466,11.338
2026-02-25T09:40:00+00:00,128.157,2.509,0.526,-2.448,11.3
2026-02-25T09:45:00+00:00,125.618,2.461,0.515,-2.407,11.3
2026-02-25T09:50:00+00:00,124.934,2.452,0.518,-2.399,11.334
2026-02-25T09:55:00+00:00,122.29,2.404,0.519,-2.338,11.346
2026-02-25T10:00:00+00:00,121.835,2.378,0.519,-2.31,11.262
2026-02-25T10:05:00+00:00,120.252,2.332,0.533,-2.274,11.2
2026-02-25T10:10:00+00:00,120.286,2.336,0.523,-2.286,11.2
2026-02-25T10:15:00+00:00,115.742,2.26,0.554,-2.18,11.275
2026-02-25T10:20:00+00:00,112.829,2.212,0.538,-2.138,11.3
2026-02-25T10:25:00+00:00,116.098,2.266,0.541,-2.198,11.3
2026-02-25T10:30:00+00:00,116.672,2.284,0.538,-2.205,11.296
2026-02-25T10:35:00+00:00,113.333,2.222,0.539,-2.14,11.3
2026-02-25T10:40:00+00:00,108.721,2.12,0.531,-2.043,11.247
2026-02-25T10:45:00+00:00,108.824,2.13,0.518,-2.056,11.298
2026-02-25T10:50:00+00:00,111.77,2.188,0.531,-2.116,11.3
2026-02-25T10:55:00+00:00,110.613,2.165,0.541,-2.102,11.304
2026-02-25T11:00:00+00:00,110.121,2.162,0.526,-2.094,11.324
2026-02-25T11:05:00+00:00,110.558,2.164,0.506,-2.113,11.306
2026-02-25T11:10:00+00:00,111.446,2.186,0.516,-2.12,11.312
2026-02-25T11:15:00+00:00,108.773,2.133,0.478,-2.077,11.312
2026-02-25T11:20:00+00:00,106.48,2.101,0.492,-2.042,11.354
2026-02-25T11:25:00+00:00,104.84,2.058,0.519,-1.991,11.369
2026-02-25T11:30:00+00:00,104.983,2.068,0.526,-1.99,11.369
2026-02-25T11:35:00+00:00,105.044,2.068,0.532,-1.991,11.366
2026-02-25T11:40:00+00:00,103.994,2.051,0.512,-1.979,11.381
2026-02-25T11:45:00+00:00,104.402,2.06,0.511,-1.989,11.378
2026-02-25T11:50:00+00:00,105.422,2.077,0.498,-2.0,11.369
2026-02-25T11:55:00+00:00,107.246,2.114,0.518,-2.042,11.366
2026-02-25T12:00:00+00:00,107.292,2.099,0.543,-1.99,11.301
2026-02-25T12:05:00+00:00,110.372,2.162,0.517,-2.042,11.3
2026-02-25T12:10:00+00:00,109.03,2.138,0.555,-2.019,11.3
2026-02-25T12:15:00+00:00,110.708,2.168,0.548,-2.068,11.3
2026-02-25T12:20:00+00:00,106.516,2.087,0.548,-1.97,11.3
2026-02-25T12:25:00+00:00,104.154,2.038,0.563,-1.919,11.3
2026-02-25T12:30:00+00:00,106.179,2.079,0.543,-1.975,11.3
2026-02-25T12:35:00+00:00,104.206,2.041,0.562,-1.932,11.3
2026-02-25T12:40:00+00:00,105.185,2.057,0.538,-1.95,11.3
2026-02-25T12:45:00+00:00,100.282,1.959,0.538,-1.848,11.3
2026-02-25T12:50:00+00:00,96.428,1.889,0.552,-1.77,11.3
2026-02-25T12:55:00+00:00,96.363,1.888,0.526,-1.772,11.302
2026-02-25T13:00:00+00:00,99.746,1.95,0.53,-1.843,11.305
