ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,88.006,1.135,0.454,-1.659,11.218
2026-02-25T00:10:00+00:00,90.62,1.171,0.467,-1.708,11.2
2026-02-25T00:15:00+00:00,89.716,1.159,0.472,-1.686,11.2
2026-02-25T00:20:00+00:00,90.712,1.17,0.456,-1.704,11.204
2026-02-25T00:25:00+00:00,89.696,1.179,0.472,-1.684,11.234
2026-02-25T00:30:00+00:00,89.315,1.166,0.469,-1.681,11.25
2026-02-25T00:35:00+00:00,89.607,1.162,0.478,-1.688,11.25
2026-02-25T00:40:00+00:00,90.335,1.176,0.475,-1.701,11.243
2026-02-25T00:45:00+00:00,89.392,1.183,0.472,-1.688,11.25
2026-02-25T00:50:00+00:00,89.318,1.168,0.47,-1.688,11.25
2026-02-25T00:55:00+00:00,89.951,1.168,0.466,-1.702,11.25
2026-02-25T01:00:00+00:00,89.602,1.165,0.463,-1.696,11.25
2026-02-25T01:05:00+00:00,89.902,1.177,0.46,-1.702,11.25
2026-02-25T01:10:00+00:00,89.71,1.175,0.456,-1.7,11.25
2026-02-25T01:15:00+00:00,89.746,1.164,0.456,-1.7,11.25
2026-02-25T01:20:00+00:00,90.249,1.185,0.457,-1.711,11.25
2026-02-25T01:25:00+00:00,89.37,1.177,0.458,-1.694,11.25
2026-02-25T01:30:00+00:00,90.414,1.174,0.458,-1.684,11.25
2026-02-25T01:35:00+00:00,92.982,1.217,0.458,-1.76,11.25
2026-02-25T01:40:00+00:00,92.054,1.21,0.458,-1.74,11.25
2026-02-25T01:45:00+00:00,92.886,1.217,0.459,-1.757,11.254
2026-02-25T01:50:00+00:00,91.458,1.2,0.46,-1.739,11.298
2026-02-25T01:55:00+00:00,90.12,1.187,0.46,-1.731,11.294
2026-02-25T02:00:00+00:00,91.014,1.187,0.46,-1.72,11.3
2026-02-25T02:05:00+00:00,94.403,1.231,0.461,-1.794,11.3
2026-02-25T02:10:00+00:00,94.866,1.225,0.462,-1.793,11.3
2026-02-25T02:15:00+00:00,93.937,1.232,0.462,-1.773,11.291
2026-02-25T02:20:00+00:00,90.938,1.192,0.462,-1.744,11.3
2026-02-25T02:25:00+00:00,92.663,1.205,0.462,-1.757,11.3
2026-02-25T02:30:00+00:00,90.023,1.181,0.463,-1.709,11.29
2026-02-25T02:35:00+00:00,85.711,1.124,0.464,-1.626,11.3
2026-02-25T02:40:00+00:00,86.553,1.132,0.464,-1.635,11.3
2026-02-25T02:45:00+00:00,86.788,1.139,0.464,-1.662,11.3
2026-02-25T02:50:00+00:00,86.973,1.145,0.465,-1.661,11.338
2026-02-25T02:55:00+00:00,85.529,1.126,0.466,-1.622,11.341
2026-02-25T03:00:00+00:00,83.673,1.092,0.467,-1.576,11.3
2026-02-25T03:05:00+00:00,83.558,1.091,0.468,-1.574,11.261
2026-02-25T03:10:00+00:00,84.375,1.106,0.468,-1.602,11.283
2026-02-25T03:15:00+00:00,86.206,1.124,0.47,-1.634,11.3
2026-02-25T03:20:00+00:00,85.172,1.111,0.468,-1.609,11.3
2026-02-25T03:25:00+00:00,85.933,1.12,0.458,-1.622,11.3
2026-02-25T03:30:00+00:00,84.884,1.109,0.448,-1.606,11.3
2026-02-25T03:35:00+00:00,84.496,1.102,0.438,-1.596,11.3
2026-02-25T03:40:00+00:00,83.686,1.097,0.461,-1.583,11.344
2026-02-25T03:45:00+00:00,78.388,1.031,0.467,-1.475,11.35
2026-02-25T03:50:00+00:00,80.718,1.057,0.464,-1.516,11.288
2026-02-25T03:55:00+00:00,82.018,1.068,0.461,-1.54,11.237
2026-02-25T04:00:00+00:00,80.264,1.047,0.458,-1.492,11.25
2026-02-25T04:05:00+00:00,73.36,0.957,0.454,-1.352,11.237
2026-02-25T04:10:00+00:00,76.779,0.993,0.452,-1.42,11.2
2026-02-25T04:15:00+00:00,74.624,0.967,0.448,-1.381,11.189
2026-02-25T04:20:00+00:00,74.9,0.973,0.446,-1.381,11.164
2026-02-25T04:25:00+00:00,73.148,0.943,0.442,-1.35,11.159
2026-02-25T04:30:00+00:00,75.428,0.974,0.44,-1.381,11.15
2026-02-25T04:35:00+00:00,78.88,1.021,0.436,-1.458,11.15
2026-02-25T04:40:00+00:00,79.258,1.026,0.444,-1.472,11.15
2026-02-25T04:45:00+00:00,76.221,0.984,0.468,-1.406,11.15
2026-02-25T04:50:00+00:00,78.18,1.007,0.464,-1.444,11.15
2026-02-25T04:55:00+00:00,81.01,1.044,0.461,-1.488,11.15
2026-02-25T05:00:00+00:00,79.874,1.032,0.458,-1.48,11.15
2026-02-25T05:05:00+00:00,71.984,0.929,0.454,-1.31,11.144
2026-02-25T05:10:00+00:00,73.59,0.941,0.451,-1.335,11.1
2026-02-25T05:15:00+00:00,72.361,0.932,0.448,-1.322,11.124
2026-02-25T05:20:00+00:00,72.315,0.934,0.444,-1.316,11.15
2026-02-25T05:25:00+00:00,72.996,0.943,0.441,-1.341,11.144
2026-02-25T05:30:00+00:00,75.405,0.97,0.438,-1.38,11.136
2026-02-25T05:35:00+00:00,75.949,0.973,0.434,-1.383,11.126
2026-02-25T05:40:00+00:00,77.288,0.993,0.431,-1.426,11.142
2026-02-25T05:45:00+00:00,77.108,0.988,0.428,-1.422,11.111
2026-02-25T05:50:00+00:00,77.872,0.995,0.427,-1.424,11.093
2026-02-25T05:55:00+00:00,79.31,1.02,0.445,-1.472,11.205
2026-02-25T06:00:00+00:00,80.939,1.038,0.445,-1.495,11.25
2026-02-25T06:05:00+00:00,86.71,1.114,0.428,-1.62,11.25
2026-02-25T06:10:00+00:00,88.064,1.137,0.436,-1.651,11.202
2026-02-25T06:15:00+00:00,87.924,1.122,0.45,-1.64,11.15
