ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.658,11.2
2026-02-25T00:10:00+00:00,3.704,11.2
2026-02-25T00:15:00+00:00,3.691,11.2
2026-02-25T00:20:00+00:00,3.694,11.2
2026-02-25T00:25:00+00:00,3.707,11.2
2026-02-25T00:30:00+00:00,3.663,11.2
2026-02-25T00:35:00+00:00,3.641,11.2
2026-02-25T00:40:00+00:00,3.652,11.2
2026-02-25T00:45:00+00:00,3.626,11.2
2026-02-25T00:50:00+00:00,3.636,11.2
2026-02-25T00:55:00+00:00,3.574,11.2
2026-02-25T01:00:00+00:00,3.534,11.2
2026-02-25T01:05:00+00:00,3.524,11.2
2026-02-25T01:10:00+00:00,3.55,11.2
2026-02-25T01:15:00+00:00,3.514,11.2
2026-02-25T01:20:00+00:00,3.5,11.2
2026-02-25T01:25:00+00:00,3.455,11.214
2026-02-25T01:30:00+00:00,3.447,11.23
2026-02-25T01:35:00+00:00,3.466,11.202
2026-02-25T01:40:00+00:00,3.452,11.248
2026-02-25T01:45:00+00:00,3.42,11.296
2026-02-25T01:50:00+00:00,3.407,11.3
2026-02-25T01:55:00+00:00,3.362,11.28
2026-02-25T02:00:00+00:00,3.271,11.2
2026-02-25T02:05:00+00:00,3.264,11.2
2026-02-25T02:10:00+00:00,3.279,11.2
2026-02-25T02:15:00+00:00,3.296,11.209
2026-02-25T02:20:00+00:00,3.264,11.22
2026-02-25T02:25:00+00:00,3.274,11.234
2026-02-25T02:30:00+00:00,3.253,11.25
2026-02-25T02:35:00+00:00,3.222,11.25
2026-02-25T02:40:00+00:00,3.212,11.25
2026-02-25T02:45:00+00:00,3.186,11.271
2026-02-25T02:50:00+00:00,3.222,11.1
2026-02-25T02:55:00+00:00,3.152,11.1
2026-02-25T03:00:00+00:00,3.113,11.1
2026-02-25T03:05:00+00:00,3.13,11.1
2026-02-25T03:10:00+00:00,3.132,11.1
2026-02-25T03:15:00+00:00,3.103,11.1
2026-02-25T03:20:00+00:00,3.098,11.1
2026-02-25T03:25:00+00:00,3.099,11.1
2026-02-25T03:30:00+00:00,3.048,11.1
2026-02-25T03:35:00+00:00,3.049,11.1
2026-02-25T03:40:00+00:00,3.092,11.1
2026-02-25T03:45:00+00:00,3.054,11.1
2026-02-25T03:50:00+00:00,3.025,11.1
2026-02-25T03:55:00+00:00,3.036,11.114
2026-02-25T04:00:00+00:00,3.042,11.1
2026-02-25T04:05:00+00:00,3.046,11.1
2026-02-25T04:10:00+00:00,3.042,11.1
2026-02-25T04:15:00+00:00,3.086,11.1
2026-02-25T04:20:00+00:00,3.069,11.1
2026-02-25T04:25:00+00:00,3.06,11.1
2026-02-25T04:30:00+00:00,3.07,11.1
2026-02-25T04:35:00+00:00,3.12,11.1
2026-02-25T04:40:00+00:00,3.113,11.1
2026-02-25T04:45:00+00:00,3.112,11.1
2026-02-25T04:50:00+00:00,3.14,11.1
2026-02-25T04:55:00+00:00,3.158,11.1
2026-02-25T05:00:00+00:00,3.184,11.1
2026-02-25T05:05:00+00:00,3.194,11.1
2026-02-25T05:10:00+00:00,3.214,11.1
2026-02-25T05:15:00+00:00,3.248,11.1
2026-02-25T05:20:00+00:00,3.276,11.1
2026-02-25T05:25:00+00:00,3.318,11.09
2026-02-25T05:30:00+00:00,3.332,11.093
2026-02-25T05:35:00+00:00,3.346,11.1
2026-02-25T05:40:00+00:00,3.353,11.1
2026-02-25T05:45:00+00:00,3.427,11.086
2026-02-25T05:50:00+00:00,3.504,11.071
2026-02-25T05:55:00+00:00,3.647,11.1
2026-02-25T06:00:00+00:00,3.633,11.1
2026-02-25T06:05:00+00:00,3.673,11.1
2026-02-25T06:10:00+00:00,3.748,11.18
2026-02-25T06:15:00+00:00,3.841,11.2
2026-02-25T06:20:00+00:00,3.864,11.184
2026-02-25T06:25:00+00:00,3.914,11.206
2026-02-25T06:30:00+00:00,3.92,11.238
2026-02-25T06:35:00+00:00,4.006,11.272
2026-02-25T06:40:00+00:00,4.104,11.221
2026-02-25T06:45:00+00:00,4.08,11.2
2026-02-25T06:50:00+00:00,4.154,11.2
2026-02-25T06:55:00+00:00,4.263,11.2
2026-02-25T07:00:00+00:00,4.27,11.2
2026-02-25T07:05:00+00:00,4.413,11.193
2026-02-25T07:10:00+00:00,4.523,11.114
2026-02-25T07:15:00+00:00,4.577,11.1
2026-02-25T07:20:00+00:00,4.594,11.1
2026-02-25T07:25:00+00:00,4.793,11.1
2026-02-25T07:30:00+00:00,4.725,11.166
2026-02-25T07:35:00+00:00,4.741,11.128
2026-02-25T07:40:00+00:00,4.838,11.1
2026-02-25T07:45:00+00:00,4.798,11.1
