ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,4.123,11.145
2026-02-25T00:10:00+00:00,4.113,11.121
2026-02-25T00:15:00+00:00,4.077,11.137
2026-02-25T00:20:00+00:00,4.029,11.154
2026-02-25T00:25:00+00:00,4.047,11.166
2026-02-25T00:30:00+00:00,3.955,11.169
2026-02-25T00:35:00+00:00,3.959,11.165
2026-02-25T00:40:00+00:00,3.934,11.165
2026-02-25T00:45:00+00:00,3.911,11.155
2026-02-25T00:50:00+00:00,3.921,11.167
2026-02-25T00:55:00+00:00,3.975,11.167
2026-02-25T01:00:00+00:00,3.912,11.181
2026-02-25T01:05:00+00:00,3.992,11.168
2026-02-25T01:10:00+00:00,3.975,11.167
2026-02-25T01:15:00+00:00,3.971,11.167
2026-02-25T01:20:00+00:00,3.906,11.183
2026-02-25T01:25:00+00:00,3.95,11.2
2026-02-25T01:30:00+00:00,3.912,11.2
2026-02-25T01:35:00+00:00,3.904,11.2
2026-02-25T01:40:00+00:00,3.907,11.201
2026-02-25T01:45:00+00:00,3.879,11.228
2026-02-25T01:50:00+00:00,3.856,11.259
2026-02-25T01:55:00+00:00,3.843,11.267
2026-02-25T02:00:00+00:00,3.783,11.267
2026-02-25T02:05:00+00:00,3.797,11.267
2026-02-25T02:10:00+00:00,3.796,11.267
2026-02-25T02:15:00+00:00,3.765,11.29
2026-02-25T02:20:00+00:00,3.721,11.3
2026-02-25T02:25:00+00:00,3.761,11.3
2026-02-25T02:30:00+00:00,3.728,11.3
2026-02-25T02:35:00+00:00,3.777,11.286
2026-02-25T02:40:00+00:00,3.771,11.29
2026-02-25T02:45:00+00:00,3.723,11.309
2026-02-25T02:50:00+00:00,3.757,11.332
2026-02-25T02:55:00+00:00,3.819,11.329
2026-02-25T03:00:00+00:00,3.907,11.328
2026-02-25T03:05:00+00:00,3.821,11.29
2026-02-25T03:10:00+00:00,3.807,11.299
2026-02-25T03:15:00+00:00,3.786,11.3
2026-02-25T03:20:00+00:00,3.768,11.305
2026-02-25T03:25:00+00:00,3.782,11.3
2026-02-25T03:30:00+00:00,3.826,11.303
2026-02-25T03:35:00+00:00,3.851,11.304
2026-02-25T03:40:00+00:00,3.855,11.306
2026-02-25T03:45:00+00:00,3.821,11.341
2026-02-25T03:50:00+00:00,3.746,11.309
2026-02-25T03:55:00+00:00,3.858,11.229
2026-02-25T04:00:00+00:00,3.854,11.2
2026-02-25T04:05:00+00:00,3.879,11.194
2026-02-25T04:10:00+00:00,3.82,11.186
2026-02-25T04:15:00+00:00,3.76,11.174
2026-02-25T04:20:00+00:00,3.789,11.177
2026-02-25T04:25:00+00:00,3.78,11.172
2026-02-25T04:30:00+00:00,3.8,11.17
2026-02-25T04:35:00+00:00,3.769,11.169
2026-02-25T04:40:00+00:00,3.807,11.167
2026-02-25T04:45:00+00:00,3.817,11.167
2026-02-25T04:50:00+00:00,3.801,11.167
2026-02-25T04:55:00+00:00,3.829,11.167
2026-02-25T05:00:00+00:00,3.896,11.167
2026-02-25T05:05:00+00:00,3.931,11.144
2026-02-25T05:10:00+00:00,3.978,11.102
2026-02-25T05:15:00+00:00,4.003,11.1
2026-02-25T05:20:00+00:00,4.011,11.1
2026-02-25T05:25:00+00:00,4.032,11.095
2026-02-25T05:30:00+00:00,4.073,11.09
2026-02-25T05:35:00+00:00,4.1,11.097
2026-02-25T05:40:00+00:00,4.086,11.086
2026-02-25T05:45:00+00:00,4.157,11.079
2026-02-25T05:50:00+00:00,4.167,11.186
2026-02-25T05:55:00+00:00,4.184,11.2
2026-02-25T06:00:00+00:00,4.176,11.2
2026-02-25T06:05:00+00:00,4.374,11.133
2026-02-25T06:10:00+00:00,4.601,11.049
2026-02-25T06:15:00+00:00,4.611,11.146
2026-02-25T06:20:00+00:00,4.71,11.154
2026-02-25T06:25:00+00:00,4.736,11.183
2026-02-25T06:30:00+00:00,4.781,11.209
2026-02-25T06:35:00+00:00,4.8,11.198
2026-02-25T06:40:00+00:00,4.774,11.191
2026-02-25T06:45:00+00:00,4.938,11.164
2026-02-25T06:50:00+00:00,4.934,11.164
2026-02-25T06:55:00+00:00,5.014,11.115
2026-02-25T07:00:00+00:00,5.113,11.108
2026-02-25T07:05:00+00:00,5.056,11.11
2026-02-25T07:10:00+00:00,5.093,11.057
2026-02-25T07:15:00+00:00,5.084,11.067
2026-02-25T07:20:00+00:00,5.326,11.039
2026-02-25T07:25:00+00:00,5.267,11.068
2026-02-25T07:30:00+00:00,5.406,11.068
2026-02-25T07:35:00+00:00,5.437,11.067
2026-02-25T07:40:00+00:00,5.524,11.115
2026-02-25T07:45:00+00:00,5.349,11.19
2026-02-25T07:50:00+00:00,5.516,11.17
2026-02-25T07:55:00+00:00,5.506,11.168
2026-02-25T08:00:00+00:00,5.42,11.169
2026-02-25T08:05:00+00:00,5.566,11.165
2026-02-25T08:10:00+00:00,5.344,11.169
2026-02-25T08:15:00+00:00,5.436,11.166
2026-02-25T08:20:00+00:00,5.335,11.2
2026-02-25T08:25:00+00:00,5.284,11.213
2026-02-25T08:30:00+00:00,5.376,11.193
2026-02-25T08:35:00+00:00,5.304,11.211
2026-02-25T08:40:00+00:00,5.416,11.183
2026-02-25T08:45:00+00:00,5.338,11.224
2026-02-25T08:50:00+00:00,5.482,11.186
2026-02-25T08:55:00+00:00,5.437,11.175
2026-02-25T09:00:00+00:00,5.534,11.155
2026-02-25T09:05:00+00:00,5.7,11.156
2026-02-25T09:10:00+00:00,5.743,11.167
2026-02-25T09:15:00+00:00,5.691,11.166
2026-02-25T09:20:00+00:00,5.585,11.167
2026-02-25T09:25:00+00:00,5.541,11.174
2026-02-25T09:30:00+00:00,5.54,11.179
2026-02-25T09:35:00+00:00,5.442,11.199
2026-02-25T09:40:00+00:00,5.628,11.167
2026-02-25T09:45:00+00:00,5.471,11.213
2026-02-25T09:50:00+00:00,5.439,11.199
2026-02-25T09:55:00+00:00,5.482,11.177
2026-02-25T10:00:00+00:00,5.538,11.198
2026-02-25T10:05:00+00:00,5.606,11.196
2026-02-25T10:10:00+00:00,5.581,11.2
2026-02-25T10:15:00+00:00,5.595,11.204
2026-02-25T10:20:00+00:00,5.547,11.21
2026-02-25T10:25:00+00:00,5.512,11.213
2026-02-25T10:30:00+00:00,5.362,11.228
2026-02-25T10:35:00+00:00,5.238,11.231
2026-02-25T10:40:00+00:00,5.229,11.233
2026-02-25T10:45:00+00:00,5.334,11.22
2026-02-25T10:50:00+00:00,5.24,11.248
2026-02-25T10:55:00+00:00,5.166,11.268
2026-02-25T11:00:00+00:00,5.215,11.267
2026-02-25T11:05:00+00:00,5.271,11.265
2026-02-25T11:10:00+00:00,5.218,11.259
2026-02-25T11:15:00+00:00,5.364,11.251
2026-02-25T11:20:00+00:00,5.452,11.25
