ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,2.132,5.658
2026-02-25T00:10:00+00:00,2.1,5.65
2026-02-25T00:15:00+00:00,2.12,5.662
2026-02-25T00:20:00+00:00,2.109,5.678
2026-02-25T00:25:00+00:00,2.103,5.7
2026-02-25T00:30:00+00:00,2.071,5.7
2026-02-25T00:35:00+00:00,2.089,5.7
2026-02-25T00:40:00+00:00,2.15,5.7
2026-02-25T00:45:00+00:00,2.143,5.7
2026-02-25T00:50:00+00:00,2.094,5.7
2026-02-25T00:55:00+00:00,2.13,5.7
2026-02-25T01:00:00+00:00,2.169,5.7
2026-02-25T01:05:00+00:00,2.234,5.697
2026-02-25T01:10:00+00:00,2.29,5.697
2026-02-25T01:15:00+00:00,2.234,5.7
2026-02-25T01:20:00+00:00,2.193,5.7
2026-02-25T01:25:00+00:00,2.17,5.7
2026-02-25T01:30:00+00:00,2.126,5.7
2026-02-25T01:35:00+00:00,2.097,5.7
2026-02-25T01:40:00+00:00,2.116,5.7
2026-02-25T01:45:00+00:00,2.035,5.7
2026-02-25T01:50:00+00:00,1.958,5.7
2026-02-25T01:55:00+00:00,2.045,5.719
2026-02-25T02:00:00+00:00,2.081,5.7
2026-02-25T02:05:00+00:00,2.087,5.7
2026-02-25T02:10:00+00:00,2.096,5.7
2026-02-25T02:15:00+00:00,2.133,5.7
2026-02-25T02:20:00+00:00,2.099,5.702
2026-02-25T02:25:00+00:00,2.056,5.719
2026-02-25T02:30:00+00:00,2.032,5.724
2026-02-25T02:35:00+00:00,2.018,5.7
2026-02-25T02:40:00+00:00,1.975,5.7
2026-02-25T02:45:00+00:00,2.013,5.714
2026-02-25T02:50:00+00:00,1.969,5.724
2026-02-25T02:55:00+00:00,1.974,5.689
2026-02-25T03:00:00+00:00,1.954,5.65
2026-02-25T03:05:00+00:00,1.965,5.65
2026-02-25T03:10:00+00:00,1.924,5.65
2026-02-25T03:15:00+00:00,1.88,5.65
2026-02-25T03:20:00+00:00,1.876,5.65
2026-02-25T03:25:00+00:00,1.846,5.65
2026-02-25T03:30:00+00:00,1.849,5.65
2026-02-25T03:35:00+00:00,1.872,5.65
2026-02-25T03:40:00+00:00,1.872,5.658
2026-02-25T03:45:00+00:00,1.858,5.664
2026-02-25T03:50:00+00:00,1.899,5.691
2026-02-25T03:55:00+00:00,1.886,5.7
2026-02-25T04:00:00+00:00,1.992,5.7
2026-02-25T04:05:00+00:00,1.972,5.7
2026-02-25T04:10:00+00:00,1.992,5.664
2026-02-25T04:15:00+00:00,2.038,5.652
2026-02-25T04:20:00+00:00,2.027,5.652
2026-02-25T04:25:00+00:00,2.0,5.65
2026-02-25T04:30:00+00:00,1.964,5.65
2026-02-25T04:35:00+00:00,1.997,5.65
2026-02-25T04:40:00+00:00,2.022,5.65
2026-02-25T04:45:00+00:00,2.079,5.65
2026-02-25T04:50:00+00:00,2.073,5.65
2026-02-25T04:55:00+00:00,2.128,5.65
2026-02-25T05:00:00+00:00,2.16,5.65
2026-02-25T05:05:00+00:00,2.167,5.65
2026-02-25T05:10:00+00:00,2.164,5.61
2026-02-25T05:15:00+00:00,2.16,5.63
2026-02-25T05:20:00+00:00,2.162,5.65
2026-02-25T05:25:00+00:00,2.182,5.646
2026-02-25T05:30:00+00:00,2.102,5.65
2026-02-25T05:35:00+00:00,2.088,5.65
2026-02-25T05:40:00+00:00,2.156,5.65
2026-02-25T05:45:00+00:00,2.18,5.647
2026-02-25T05:50:00+00:00,2.27,5.61
2026-02-25T05:55:00+00:00,2.338,5.6
2026-02-25T06:00:00+00:00,2.374,5.6
