ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-25T00:05:00+00:00,207.219,4.007,-0.379,-3.694,11.174
2026-02-25T00:10:00+00:00,207.587,4.018,-0.313,-3.716,11.185
2026-02-25T00:15:00+00:00,209.976,4.044,-0.375,-3.749,11.139
2026-02-25T00:20:00+00:00,212.863,4.095,-0.364,-3.813,11.111
2026-02-25T00:25:00+00:00,213.374,4.105,-0.356,-3.852,11.12
2026-02-25T00:30:00+00:00,213.405,4.114,-0.36,-3.859,11.13
2026-02-25T00:35:00+00:00,216.442,4.164,-0.403,-3.906,11.101
2026-02-25T00:40:00+00:00,219.932,4.228,-0.41,-3.966,11.099
2026-02-25T00:45:00+00:00,221.015,4.247,-0.419,-4.001,11.098
2026-02-25T00:50:00+00:00,217.991,4.19,-0.372,-3.964,11.1
2026-02-25T00:55:00+00:00,216.592,4.166,-0.345,-3.937,11.101
2026-02-25T01:00:00+00:00,222.733,4.282,-0.403,-4.042,11.099
2026-02-25T01:05:00+00:00,223.331,4.29,-0.406,-4.046,11.098
2026-02-25T01:10:00+00:00,225.254,4.332,-0.433,-4.07,11.1
2026-02-25T01:15:00+00:00,226.85,4.358,-0.426,-4.11,11.098
2026-02-25T01:20:00+00:00,226.259,4.348,-0.423,-4.108,11.1
2026-02-25T01:25:00+00:00,226.45,4.354,-0.427,-4.098,11.099
2026-02-25T01:30:00+00:00,224.54,4.316,-0.432,-4.055,11.098
2026-02-25T01:35:00+00:00,223.591,4.298,-0.432,-4.026,11.097
2026-02-25T01:40:00+00:00,223.471,4.299,-0.416,-4.02,11.1
2026-02-25T01:45:00+00:00,221.52,4.259,-0.422,-3.981,11.1
2026-02-25T01:50:00+00:00,221.16,4.253,-0.42,-3.992,11.101
2026-02-25T01:55:00+00:00,219.18,4.214,-0.432,-3.945,11.101
2026-02-25T02:00:00+00:00,213.984,4.115,-0.449,-3.862,11.1
2026-02-25T02:05:00+00:00,217.365,4.18,-0.429,-3.931,11.1
2026-02-25T02:10:00+00:00,219.76,4.23,-0.396,-3.933,11.12
2026-02-25T02:15:00+00:00,223.518,4.303,-0.415,-3.954,11.132
2026-02-25T02:20:00+00:00,224.573,4.325,-0.416,-3.922,11.122
2026-02-25T02:25:00+00:00,224.283,4.32,-0.426,-3.908,11.129
2026-02-25T02:30:00+00:00,222.346,4.297,-0.381,-3.888,11.174
2026-02-25T02:35:00+00:00,220.382,4.256,-0.396,-3.832,11.164
2026-02-25T02:40:00+00:00,222.586,4.302,-0.392,-3.828,11.167
2026-02-25T02:45:00+00:00,221.902,4.303,-0.358,-3.803,11.196
2026-02-25T02:50:00+00:00,221.74,4.302,-0.384,-3.804,11.2
2026-02-25T02:55:00+00:00,220.157,4.272,-0.319,-3.748,11.2
2026-02-25T03:00:00+00:00,224.369,4.35,-0.394,-3.746,11.199
2026-02-25T03:05:00+00:00,227.068,4.379,-0.403,-3.757,11.15
2026-02-25T03:10:00+00:00,226.635,4.37,-0.371,-3.749,11.144
2026-02-25T03:15:00+00:00,226.231,4.36,-0.386,-3.732,11.139
2026-02-25T03:20:00+00:00,226.272,4.362,-0.371,-3.754,11.148
2026-02-25T03:25:00+00:00,225.611,4.348,-0.374,-3.736,11.15
2026-02-25T03:30:00+00:00,226.334,4.367,-0.383,-3.723,11.161
2026-02-25T03:35:00+00:00,226.866,4.382,-0.424,-3.708,11.164
2026-02-25T03:40:00+00:00,222.438,4.313,-0.374,-3.662,11.197
2026-02-25T03:45:00+00:00,221.26,4.292,-0.382,-3.679,11.2
2026-02-25T03:50:00+00:00,223.058,4.316,-0.432,-3.709,11.183
2026-02-25T03:55:00+00:00,221.342,4.288,-0.431,-3.697,11.183
2026-02-25T04:00:00+00:00,218.556,4.236,-0.416,-3.652,11.19
2026-02-25T04:05:00+00:00,218.049,4.222,-0.43,-3.644,11.186
2026-02-25T04:10:00+00:00,217.276,4.208,-0.418,-3.638,11.186
2026-02-25T04:15:00+00:00,212.618,4.122,-0.392,-3.576,11.198
2026-02-25T04:20:00+00:00,212.299,4.115,-0.431,-3.568,11.192
2026-02-25T04:25:00+00:00,212.197,4.115,-0.408,-3.56,11.196
2026-02-25T04:30:00+00:00,213.747,4.13,-0.436,-3.568,11.172
2026-02-25T04:35:00+00:00,213.788,4.138,-0.438,-3.608,11.178
2026-02-25T04:40:00+00:00,209.546,4.066,-0.426,-3.571,11.196
2026-02-25T04:45:00+00:00,207.368,4.018,-0.396,-3.548,11.2
2026-02-25T04:50:00+00:00,206.39,4.005,-0.392,-3.535,11.2
2026-02-25T04:55:00+00:00,206.364,4.001,-0.418,-3.526,11.192
2026-02-25T05:00:00+00:00,207.06,4.017,-0.396,-3.552,11.2
2026-02-25T05:05:00+00:00,206.234,3.991,-0.428,-3.547,11.181
2026-02-25T05:10:00+00:00,205.126,3.956,-0.428,-3.556,11.154
2026-02-25T05:15:00+00:00,201.672,3.898,-0.44,-3.529,11.162
2026-02-25T05:20:00+00:00,199.846,3.858,-0.434,-3.509,11.161
2026-02-25T05:25:00+00:00,200.992,3.872,-0.467,-3.496,11.132
2026-02-25T05:30:00+00:00,200.926,3.866,-0.458,-3.491,11.116
2026-02-25T05:35:00+00:00,199.397,3.843,-0.439,-3.452,11.138
2026-02-25T05:40:00+00:00,197.586,3.817,-0.404,-3.444,11.157
2026-02-25T05:45:00+00:00,201.15,3.866,-0.462,-3.502,11.105
2026-02-25T05:50:00+00:00,205.118,3.944,-0.452,-3.508,11.111
2026-02-25T05:55:00+00:00,204.758,3.938,-0.46,-3.476,11.106
2026-02-25T06:00:00+00:00,207.7,3.993,-0.462,-3.572,11.101
2026-02-25T06:05:00+00:00,210.12,4.042,-0.463,-3.642,11.096
2026-02-25T06:10:00+00:00,214.435,4.102,-0.524,-3.744,11.05
2026-02-25T06:15:00+00:00,221.471,4.256,-0.506,-3.816,11.1
2026-02-25T06:20:00+00:00,219.476,4.225,-0.5,-3.808,11.1
2026-02-25T06:25:00+00:00,221.623,4.26,-0.523,-3.844,11.098
2026-02-25T06:30:00+00:00,225.906,4.345,-0.545,-3.891,11.111
2026-02-25T06:35:00+00:00,222.207,4.28,-0.539,-3.907,11.123
2026-02-25T06:40:00+00:00,224.234,4.315,-0.58,-3.952,11.1
2026-02-25T06:45:00+00:00,229.91,4.419,-0.598,-4.004,11.1
2026-02-25T06:50:00+00:00,228.27,4.39,-0.53,-3.94,11.101
2026-02-25T06:55:00+00:00,230.63,4.437,-0.582,-3.998,11.1
2026-02-25T07:00:00+00:00,224.838,4.324,-0.5,-3.929,11.1
2026-02-25T07:05:00+00:00,228.268,4.387,-0.488,-3.999,11.098
2026-02-25T07:10:00+00:00,227.894,4.376,-0.524,-4.005,11.093
2026-02-25T07:15:00+00:00,228.532,4.398,-0.511,-4.13,11.118
2026-02-25T07:20:00+00:00,225.698,4.345,-0.448,-4.095,11.125
2026-02-25T07:25:00+00:00,228.438,4.398,-0.474,-4.117,11.124
2026-02-25T07:30:00+00:00,224.474,4.328,-0.44,-4.037,11.147
2026-02-25T07:35:00+00:00,225.499,4.341,-0.45,-4.072,11.112
2026-02-25T07:40:00+00:00,222.752,4.283,-0.492,-3.994,11.107
2026-02-25T07:45:00+00:00,227.858,4.378,-0.516,-4.104,11.1
2026-02-25T07:50:00+00:00,224.099,4.308,-0.497,-4.039,11.1
2026-02-25T07:55:00+00:00,229.4,4.41,-0.483,-4.119,11.1
2026-02-25T08:00:00+00:00,227.526,4.376,-0.487,-4.076,11.098
2026-02-25T08:05:00+00:00,234.409,4.505,-0.517,-4.181,11.099
2026-02-25T08:10:00+00:00,233.529,4.489,-0.533,-4.2,11.1
2026-02-25T08:15:00+00:00,232.98,4.476,-0.519,-4.236,11.098
2026-02-25T08:20:00+00:00,225.688,4.34,-0.535,-4.124,11.1
2026-02-25T08:25:00+00:00,224.072,4.311,-0.58,-4.124,11.101
2026-02-25T08:30:00+00:00,219.89,4.228,-0.549,-4.043,11.102
2026-02-25T08:35:00+00:00,218.526,4.216,-0.593,-4.054,11.142
2026-02-25T08:40:00+00:00,210.977,4.092,-0.565,-3.961,11.2
2026-02-25T08:45:00+00:00,213.364,4.14,-0.581,-4.016,11.2
2026-02-25T08:50:00+00:00,208.092,4.036,-0.574,-3.931,11.202
2026-02-25T08:55:00+00:00,207.044,4.018,-0.596,-3.932,11.21
2026-02-25T09:00:00+00:00,201.172,3.911,-0.597,-3.814,11.239
2026-02-25T09:05:00+00:00,200.454,3.912,-0.597,-3.817,11.272
2026-02-25T09:10:00+00:00,198.984,3.893,-0.57,-3.795,11.296
2026-02-25T09:15:00+00:00,198.277,3.88,-0.578,-3.78,11.3
2026-02-25T09:20:00+00:00,196.271,3.838,-0.598,-3.742,11.3
2026-02-25T09:25:00+00:00,197.596,3.859,-0.617,-3.762,11.277
2026-02-25T09:30:00+00:00,197.126,3.825,-0.553,-3.707,11.202
2026-02-25T09:35:00+00:00,200.192,3.891,-0.557,-3.758,11.216
2026-02-25T09:40:00+00:00,194.742,3.784,-0.554,-3.649,11.222
