ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,4.206,11.1
2026-02-25T00:10:00+00:00,4.319,11.1
2026-02-25T00:15:00+00:00,4.284,11.1
2026-02-25T00:20:00+00:00,4.256,11.1
2026-02-25T00:25:00+00:00,4.23,11.1
2026-02-25T00:30:00+00:00,4.228,11.1
2026-02-25T00:35:00+00:00,4.48,11.1
2026-02-25T00:40:00+00:00,4.61,11.1
2026-02-25T00:45:00+00:00,4.628,11.1
2026-02-25T00:50:00+00:00,4.618,11.1
2026-02-25T00:55:00+00:00,4.601,11.1
2026-02-25T01:00:00+00:00,4.595,11.1
2026-02-25T01:05:00+00:00,4.674,11.1
2026-02-25T01:10:00+00:00,4.66,11.1
2026-02-25T01:15:00+00:00,4.636,11.1
2026-02-25T01:20:00+00:00,4.618,11.1
2026-02-25T01:25:00+00:00,4.54,11.112
2026-02-25T01:30:00+00:00,4.499,11.126
2026-02-25T01:35:00+00:00,4.492,11.104
2026-02-25T01:40:00+00:00,4.466,11.12
2026-02-25T01:45:00+00:00,4.43,11.136
2026-02-25T01:50:00+00:00,4.4,11.189
2026-02-25T01:55:00+00:00,4.34,11.2
2026-02-25T02:00:00+00:00,4.376,11.197
2026-02-25T02:05:00+00:00,4.344,11.2
2026-02-25T02:10:00+00:00,4.287,11.2
2026-02-25T02:15:00+00:00,4.278,11.2
2026-02-25T02:20:00+00:00,4.32,11.2
2026-02-25T02:25:00+00:00,4.295,11.2
2026-02-25T02:30:00+00:00,4.235,11.2
2026-02-25T02:35:00+00:00,4.182,11.2
2026-02-25T02:40:00+00:00,4.236,11.2
2026-02-25T02:45:00+00:00,4.188,11.2
2026-02-25T02:50:00+00:00,4.209,11.2
2026-02-25T02:55:00+00:00,4.176,11.198
2026-02-25T03:00:00+00:00,4.145,11.195
2026-02-25T03:05:00+00:00,4.164,11.102
2026-02-25T03:10:00+00:00,4.163,11.1
2026-02-25T03:15:00+00:00,4.104,11.1
2026-02-25T03:20:00+00:00,4.052,11.1
2026-02-25T03:25:00+00:00,4.003,11.1
2026-02-25T03:30:00+00:00,4.036,11.1
2026-02-25T03:35:00+00:00,3.972,11.1
2026-02-25T03:40:00+00:00,3.994,11.1
2026-02-25T03:45:00+00:00,3.936,11.104
2026-02-25T03:50:00+00:00,3.954,11.1
2026-02-25T03:55:00+00:00,3.911,11.102
2026-02-25T04:00:00+00:00,3.926,11.109
2026-02-25T04:05:00+00:00,3.928,11.1
2026-02-25T04:10:00+00:00,3.958,11.1
2026-02-25T04:15:00+00:00,3.934,11.1
2026-02-25T04:20:00+00:00,3.951,11.102
2026-02-25T04:25:00+00:00,3.894,11.102
2026-02-25T04:30:00+00:00,3.899,11.1
2026-02-25T04:35:00+00:00,3.88,11.1
2026-02-25T04:40:00+00:00,3.916,11.1
2026-02-25T04:45:00+00:00,3.889,11.1
2026-02-25T04:50:00+00:00,3.984,11.1
2026-02-25T04:55:00+00:00,3.968,11.1
2026-02-25T05:00:00+00:00,3.974,11.1
2026-02-25T05:05:00+00:00,3.935,11.1
2026-02-25T05:10:00+00:00,3.976,11.1
2026-02-25T05:15:00+00:00,3.902,11.1
2026-02-25T05:20:00+00:00,3.883,11.1
2026-02-25T05:25:00+00:00,3.868,11.1
2026-02-25T05:30:00+00:00,3.896,11.1
2026-02-25T05:35:00+00:00,3.962,11.1
2026-02-25T05:40:00+00:00,4.076,11.1
2026-02-25T05:45:00+00:00,4.075,11.1
2026-02-25T05:50:00+00:00,4.136,11.1
2026-02-25T05:55:00+00:00,4.243,11.1
2026-02-25T06:00:00+00:00,4.29,11.1
2026-02-25T06:05:00+00:00,4.408,11.1
2026-02-25T06:10:00+00:00,4.542,11.073
2026-02-25T06:15:00+00:00,4.537,11.0
