ValueDate,MVA,Volts
2026-02-25T00:05:00+00:00,3.19,11.157
2026-02-25T00:10:00+00:00,3.056,11.169
2026-02-25T00:15:00+00:00,2.97,11.2
2026-02-25T00:20:00+00:00,3.001,11.2
2026-02-25T00:25:00+00:00,2.99,11.2
2026-02-25T00:30:00+00:00,3.012,11.2
2026-02-25T00:35:00+00:00,2.989,11.2
2026-02-25T00:40:00+00:00,2.962,11.2
2026-02-25T00:45:00+00:00,2.984,11.2
2026-02-25T00:50:00+00:00,2.949,11.2
2026-02-25T00:55:00+00:00,2.952,11.2
2026-02-25T01:00:00+00:00,2.933,11.2
2026-02-25T01:05:00+00:00,2.99,11.2
2026-02-25T01:10:00+00:00,2.945,11.2
2026-02-25T01:15:00+00:00,2.921,11.204
2026-02-25T01:20:00+00:00,2.862,11.226
2026-02-25T01:25:00+00:00,2.875,11.253
2026-02-25T01:30:00+00:00,2.822,11.25
2026-02-25T01:35:00+00:00,2.702,11.2
2026-02-25T01:40:00+00:00,2.705,11.2
2026-02-25T01:45:00+00:00,2.661,11.2
2026-02-25T01:50:00+00:00,2.649,11.2
2026-02-25T01:55:00+00:00,2.712,11.2
2026-02-25T02:00:00+00:00,2.687,11.2
2026-02-25T02:05:00+00:00,2.676,11.2
2026-02-25T02:10:00+00:00,2.732,11.2
2026-02-25T02:15:00+00:00,2.713,11.241
2026-02-25T02:20:00+00:00,2.681,11.228
2026-02-25T02:25:00+00:00,2.686,11.208
2026-02-25T02:30:00+00:00,2.643,11.27
2026-02-25T02:35:00+00:00,2.646,11.266
2026-02-25T02:40:00+00:00,2.625,11.266
2026-02-25T02:45:00+00:00,2.63,11.3
2026-02-25T02:50:00+00:00,2.594,11.3
2026-02-25T02:55:00+00:00,2.602,11.3
2026-02-25T03:00:00+00:00,2.568,11.3
2026-02-25T03:05:00+00:00,2.614,11.247
2026-02-25T03:10:00+00:00,2.61,11.22
2026-02-25T03:15:00+00:00,2.606,11.24
2026-02-25T03:20:00+00:00,2.622,11.25
2026-02-25T03:25:00+00:00,2.642,11.234
2026-02-25T03:30:00+00:00,2.617,11.241
2026-02-25T03:35:00+00:00,2.65,11.25
2026-02-25T03:40:00+00:00,2.658,11.25
2026-02-25T03:45:00+00:00,2.659,11.266
2026-02-25T03:50:00+00:00,2.632,11.285
2026-02-25T03:55:00+00:00,2.63,11.283
2026-02-25T04:00:00+00:00,2.655,11.274
2026-02-25T04:05:00+00:00,2.66,11.266
2026-02-25T04:10:00+00:00,2.635,11.277
2026-02-25T04:15:00+00:00,2.66,11.268
2026-02-25T04:20:00+00:00,2.68,11.278
2026-02-25T04:25:00+00:00,2.658,11.268
2026-02-25T04:30:00+00:00,2.654,11.227
2026-02-25T04:35:00+00:00,2.632,11.202
2026-02-25T04:40:00+00:00,2.649,11.2
2026-02-25T04:45:00+00:00,2.625,11.2
2026-02-25T04:50:00+00:00,2.634,11.2
2026-02-25T04:55:00+00:00,2.65,11.2
2026-02-25T05:00:00+00:00,2.707,11.2
2026-02-25T05:05:00+00:00,2.754,11.2
2026-02-25T05:10:00+00:00,2.812,11.2
2026-02-25T05:15:00+00:00,2.786,11.2
2026-02-25T05:20:00+00:00,2.786,11.2
2026-02-25T05:25:00+00:00,2.797,11.2
2026-02-25T05:30:00+00:00,2.878,11.2
2026-02-25T05:35:00+00:00,2.89,11.2
2026-02-25T05:40:00+00:00,2.902,11.2
2026-02-25T05:45:00+00:00,2.93,11.2
2026-02-25T05:50:00+00:00,2.964,11.2
2026-02-25T05:55:00+00:00,2.996,11.176
2026-02-25T06:00:00+00:00,3.046,11.176
2026-02-25T06:05:00+00:00,3.217,11.178
2026-02-25T06:10:00+00:00,3.447,11.2
2026-02-25T06:15:00+00:00,3.558,11.188
2026-02-25T06:20:00+00:00,3.441,11.194
2026-02-25T06:25:00+00:00,3.374,11.2
2026-02-25T06:30:00+00:00,3.424,11.2
2026-02-25T06:35:00+00:00,3.488,11.2
2026-02-25T06:40:00+00:00,3.55,11.2
2026-02-25T06:45:00+00:00,3.554,11.2
2026-02-25T06:50:00+00:00,3.593,11.183
2026-02-25T06:55:00+00:00,3.755,11.172
2026-02-25T07:00:00+00:00,3.832,11.223
2026-02-25T07:05:00+00:00,3.833,11.217
2026-02-25T07:10:00+00:00,3.902,11.19
2026-02-25T07:15:00+00:00,3.966,11.2
2026-02-25T07:20:00+00:00,3.962,11.185
2026-02-25T07:25:00+00:00,3.968,11.2
2026-02-25T07:30:00+00:00,4.013,11.2
2026-02-25T07:35:00+00:00,4.034,11.198
2026-02-25T07:40:00+00:00,4.123,11.151
2026-02-25T07:45:00+00:00,4.098,11.163
2026-02-25T07:50:00+00:00,4.023,11.2
2026-02-25T07:55:00+00:00,3.987,11.2
2026-02-25T08:00:00+00:00,3.918,11.278
2026-02-25T08:05:00+00:00,3.98,11.296
2026-02-25T08:10:00+00:00,3.925,11.281
2026-02-25T08:15:00+00:00,3.917,11.284
2026-02-25T08:20:00+00:00,3.946,11.288
2026-02-25T08:25:00+00:00,3.975,11.3
2026-02-25T08:30:00+00:00,3.957,11.3
2026-02-25T08:35:00+00:00,4.017,11.3
2026-02-25T08:40:00+00:00,3.948,11.3
2026-02-25T08:45:00+00:00,3.958,11.3
2026-02-25T08:50:00+00:00,4.028,11.296
2026-02-25T08:55:00+00:00,4.028,11.26
2026-02-25T09:00:00+00:00,3.995,11.218
2026-02-25T09:05:00+00:00,4.062,11.295
2026-02-25T09:10:00+00:00,4.046,11.3
2026-02-25T09:15:00+00:00,4.087,11.22
2026-02-25T09:20:00+00:00,4.076,11.227
2026-02-25T09:25:00+00:00,4.078,11.266
2026-02-25T09:30:00+00:00,4.076,11.282
2026-02-25T09:35:00+00:00,4.03,11.279
2026-02-25T09:40:00+00:00,4.04,11.3
2026-02-25T09:45:00+00:00,4.008,11.3
2026-02-25T09:50:00+00:00,4.018,11.3
2026-02-25T09:55:00+00:00,3.913,11.228
2026-02-25T10:00:00+00:00,4.027,11.211
2026-02-25T10:05:00+00:00,4.026,11.2
2026-02-25T10:10:00+00:00,3.974,11.2
2026-02-25T10:15:00+00:00,3.963,11.2
2026-02-25T10:20:00+00:00,3.926,11.2
2026-02-25T10:25:00+00:00,3.899,11.2
2026-02-25T10:30:00+00:00,3.962,11.2
2026-02-25T10:35:00+00:00,4.004,11.2
2026-02-25T10:40:00+00:00,3.936,11.2
2026-02-25T10:45:00+00:00,3.87,11.2
2026-02-25T10:50:00+00:00,3.844,11.19
2026-02-25T10:55:00+00:00,3.738,11.2
2026-02-25T11:00:00+00:00,3.788,11.2
2026-02-25T11:05:00+00:00,3.797,11.2
2026-02-25T11:10:00+00:00,3.72,11.2
2026-02-25T11:15:00+00:00,3.702,11.2
2026-02-25T11:20:00+00:00,3.765,11.2
2026-02-25T11:25:00+00:00,3.756,11.2
2026-02-25T11:30:00+00:00,3.718,11.2
2026-02-25T11:35:00+00:00,3.698,11.2
2026-02-25T11:40:00+00:00,3.662,11.2
2026-02-25T11:45:00+00:00,3.658,11.2
2026-02-25T11:50:00+00:00,3.676,11.2
2026-02-25T11:55:00+00:00,3.699,11.2
2026-02-25T12:00:00+00:00,3.676,11.2
2026-02-25T12:05:00+00:00,3.673,11.2
2026-02-25T12:10:00+00:00,3.611,11.2
2026-02-25T12:15:00+00:00,3.568,11.2
2026-02-25T12:20:00+00:00,3.522,11.2
2026-02-25T12:25:00+00:00,3.508,11.2
2026-02-25T12:30:00+00:00,3.54,11.2
2026-02-25T12:35:00+00:00,3.542,11.2
2026-02-25T12:40:00+00:00,3.613,11.2
2026-02-25T12:45:00+00:00,3.606,11.2
2026-02-25T12:50:00+00:00,3.631,11.204
2026-02-25T12:55:00+00:00,3.634,11.247
2026-02-25T13:00:00+00:00,3.614,11.208
2026-02-25T13:05:00+00:00,3.661,11.2
2026-02-25T13:10:00+00:00,3.756,11.2
2026-02-25T13:15:00+00:00,3.738,11.2
2026-02-25T13:20:00+00:00,3.696,11.2
2026-02-25T13:25:00+00:00,3.672,11.2
2026-02-25T13:30:00+00:00,3.784,11.2
2026-02-25T13:35:00+00:00,3.698,11.2
2026-02-25T13:40:00+00:00,3.704,11.2
2026-02-25T13:45:00+00:00,3.707,11.2
2026-02-25T13:50:00+00:00,3.649,11.2
2026-02-25T13:55:00+00:00,3.684,11.2
2026-02-25T14:00:00+00:00,3.684,11.202
2026-02-25T14:05:00+00:00,3.658,11.203
2026-02-25T14:10:00+00:00,3.709,11.2
2026-02-25T14:15:00+00:00,3.681,11.2
2026-02-25T14:20:00+00:00,3.66,11.2
2026-02-25T14:25:00+00:00,3.678,11.2
2026-02-25T14:30:00+00:00,3.636,11.2
2026-02-25T14:35:00+00:00,3.614,11.2
2026-02-25T14:40:00+00:00,3.592,11.2
2026-02-25T14:45:00+00:00,3.624,11.2
2026-02-25T14:50:00+00:00,3.626,11.2
2026-02-25T14:55:00+00:00,3.601,11.2
2026-02-25T15:00:00+00:00,3.622,11.218
2026-02-25T15:05:00+00:00,3.463,11.181
2026-02-25T15:10:00+00:00,3.502,11.168
2026-02-25T15:15:00+00:00,3.508,11.166
2026-02-25T15:20:00+00:00,3.481,11.194
2026-02-25T15:25:00+00:00,3.593,11.162
2026-02-25T15:30:00+00:00,3.539,11.115
2026-02-25T15:35:00+00:00,3.502,11.151
2026-02-25T15:40:00+00:00,3.514,11.13
2026-02-25T15:45:00+00:00,3.566,11.129
2026-02-25T15:50:00+00:00,3.825,11.203
2026-02-25T15:55:00+00:00,3.858,11.2
2026-02-25T16:00:00+00:00,3.832,11.2
2026-02-25T16:05:00+00:00,3.786,11.136
2026-02-25T16:10:00+00:00,3.563,11.19
2026-02-25T16:15:00+00:00,3.637,11.289
2026-02-25T16:20:00+00:00,3.549,11.224
2026-02-25T16:25:00+00:00,3.492,11.2
2026-02-25T16:30:00+00:00,3.508,11.2
2026-02-25T16:35:00+00:00,3.49,11.2
2026-02-25T16:40:00+00:00,3.526,11.176
2026-02-25T16:45:00+00:00,3.561,11.108
2026-02-25T16:50:00+00:00,3.522,11.13
2026-02-25T16:55:00+00:00,3.502,11.2
2026-02-25T17:00:00+00:00,3.538,11.2
2026-02-25T17:05:00+00:00,3.459,11.18
2026-02-25T17:10:00+00:00,3.444,11.233
2026-02-25T17:15:00+00:00,3.444,11.282
2026-02-25T17:20:00+00:00,3.479,11.256
